date,open,high,low,close,volume,average,barCount
2024-05-24,69.9,70.59,69.35,69.57,6573,69.926,4350
2024-05-28,69.89,71.62,69.75,70.18,15284,70.583,9650
2024-05-29,64.32,67.86,60.61,62.48,54485,64.012,32414
2024-05-30,62.51,67.51,62.5,66.96,18893,66.24,12783
2024-05-31,67.89,70.67,67.63,70.64,15445,69.518,10134
2024-06-03,70.38,71.09,66.28,67.42,9458,67.509,6107
2024-06-04,67.0,67.0,64.51,65.21,6917,65.26,4525
2024-06-05,65.75,66.18,63.81,65.27,9670,64.659,6295
2024-06-06,65.68,65.87,64.13,64.56,5567,64.756,3815
2024-06-07,63.8,64.96,63.55,64.58,5826,64.275,3665
2024-06-10,64.18,64.32,62.93,63.19,10977,63.362,6499
2024-06-11,63.24,63.92,62.43,63.74,6007,63.371,3400
2024-06-12,64.78,66.4,64.53,64.93,7196,65.3,4240
2024-06-13,64.55,65.47,62.85,63.93,11000,63.766,6209
2024-06-14,63.27,63.62,60.8,63.42,10497,62.296,6827
2024-06-17,63.1,65.15,62.57,64.17,9986,64.326,6820
2024-06-18,64.09,65.16,64.09,64.28,4489,64.503,2957
2024-06-20,63.91,66.39,63.83,66.14,8135,65.596,5528
2024-06-21,66.12,67.03,65.15,65.76,8584,65.94,5862
2024-06-24,65.67,66.08,64.98,65.3,8655,65.37,6394
2024-06-25,65.05,65.19,63.4,63.69,6893,63.779,4776
2024-06-26,63.08,63.5,61.72,61.79,5817,62.269,3795
2024-06-27,61.82,63.37,61.27,62.7,6864,62.777,4558
2024-06-28,62.86,63.46,61.97,63.33,5794,62.746,4198
2024-07-01,62.58,62.82,59.45,59.71,10542,60.331,5970
2024-07-02,59.26,60.73,58.98,60.6,8210,60.241,5559
2024-07-03,60.79,61.13,59.66,59.86,4373,60.036,2812
2024-07-05,59.72,59.92,58.01,58.72,9660,58.61,6332
2024-07-08,59.33,59.99,58.4,59.3,7239,59.234,4922
2024-07-09,59.04,59.13,57.83,57.91,6533,58.32,4250
2024-07-10,58.85,58.88,58.17,58.74,4314,58.505,3017
2024-07-11,59.92,62.12,59.41,61.73,6911,61.253,4498
2024-07-12,61.92,63.98,61.55,62.92,10011,63.217,6342
2024-07-15,62.6,63.62,61.8,62.42,6650,62.76,4495
2024-07-16,62.86,64.11,62.3,63.66,5365,63.419,3997
2024-07-17,63.03,64.92,62.21,64.44,8033,64.295,5359
2024-07-18,63.93,64.84,61.21,61.26,7613,62.843,5167
2024-07-19,61.2,61.35,59.35,59.62,6436,59.929,4598
2024-07-22,59.68,60.04,58.77,59.75,6916,59.638,4119
2024-07-23,58.66,59.84,58.33,59.64,6522,59.38,4148
2024-07-24,59.5,60.22,58.45,58.94,7550,58.923,4207
2024-07-25,58.84,61.44,58.84,60.17,11581,60.335,5972
2024-07-26,60.78,61.71,60.33,60.76,8068,60.757,5249
2024-07-29,61.0,61.72,60.59,60.99,8713,61.157,5180
2024-07-30,61.06,63.3,60.77,63.09,8647,62.308,6061
2024-07-31,63.14,64.58,62.81,63.33,6025,63.716,4321
2024-08-01,63.63,63.68,60.79,62.13,5354,61.732,3898
2024-08-02,61.08,61.53,58.85,61.05,7140,60.157,4690
2024-08-05,58.35,59.58,57.02,58.86,7769,58.654,5327
2024-08-06,58.36,59.53,57.48,58.22,4378,58.733,2894
2024-08-07,59.14,60.58,58.59,58.99,5971,59.305,4185
2024-08-08,59.1,61.1,59.0,60.92,7523,60.516,3819
2024-08-09,61.33,61.33,59.92,60.21,4633,60.331,3088
2024-08-12,60.57,60.57,57.81,58.06,7867,58.738,5441
2024-08-13,58.35,60.46,58.12,60.19,4827,59.854,3214
2024-08-14,60.65,61.37,60.0,60.5,4787,60.598,3172
2024-08-15,62.12,63.12,61.43,62.39,6465,62.348,4200
2024-08-16,62.27,62.8,61.74,62.19,5325,62.222,3672
2024-08-19,62.19,62.22,60.52,60.9,6005,61.059,3827
2024-08-20,60.85,61.18,60.28,60.81,5549,60.786,4067
2024-08-21,61.48,61.97,60.81,61.92,10712,61.529,7379
2024-08-22,48.4,53.89,48.28,51.1,101940,51.43,51020
2024-08-23,51.3,51.49,47.97,49.15,50820,49.387,24351
2024-08-26,49.71,49.83,48.36,49.11,23003,49.003,13399
2024-08-27,49.0,49.05,47.77,47.85,22477,48.375,11531
2024-08-28,47.38,48.3,46.47,46.64,19294,47.156,10217
2024-08-29,46.75,46.85,45.79,46.15,19042,46.408,10265
2024-08-30,46.46,46.62,44.9,45.31,19548,45.345,10083
2024-09-03,44.5,45.2,43.7,43.72,17119,44.193,8673
2024-09-04,43.56,43.73,41.94,42.42,22751,42.566,12131
2024-09-05,42.5,42.67,40.3,40.46,25363,40.935,12963
2024-09-06,40.4,41.19,39.53,39.76,27807,40.038,13041
2024-09-09,39.75,40.37,38.62,38.72,22043,39.368,12177
2024-09-10,38.59,39.47,38.11,38.53,16846,38.707,9466
2024-09-11,38.5,38.9,37.51,38.77,19691,38.308,10755
2024-09-12,38.79,39.52,38.31,39.48,11285,39.14,6051
2024-09-13,40.0,41.51,39.85,41.43,19852,40.859,11774
2024-09-16,41.8,41.98,40.36,41.14,16183,41.026,8264
2024-09-17,41.63,41.74,40.73,41.33,40703,41.225,21510
2024-09-18,41.43,42.9,41.14,42.07,33469,41.895,16411
2024-09-19,43.05,43.39,41.88,42.43,10276,42.437,6464
2024-09-20,42.29,42.65,40.73,40.99,13347,41.244,8243
2024-09-23,41.01,41.06,39.96,40.57,11308,40.497,7245
2024-09-24,40.6,41.26,40.25,40.91,11926,40.809,7819
2024-09-25,40.96,40.96,39.17,39.6,14018,39.638,8535
2024-09-26,39.89,40.9,39.88,40.23,21485,40.388,8985
2024-09-27,40.83,42.49,40.83,41.38,17716,41.721,11036
2024-09-30,41.0,41.18,38.89,38.99,22346,39.459,11560
2024-10-01,38.5,38.74,37.52,37.78,21134,37.972,10802
2024-10-02,37.81,38.32,37.07,37.17,17758,37.508,8525
2024-10-03,36.9,39.24,36.4,38.89,34598,38.266,15324
2024-10-04,39.4,39.85,37.05,38.69,37527,38.409,16934
2024-10-07,38.88,39.92,38.49,39.09,18139,39.177,8485
2024-10-08,38.7,39.23,38.3,38.85,12186,38.819,7633
2024-10-09,39.02,39.45,38.01,38.44,19319,38.453,9383
2024-10-10,38.26,38.36,37.24,37.4,14322,37.553,7363
2024-10-11,37.1,37.83,37.04,37.53,10153,37.477,5478
2024-10-14,37.55,39.5,37.4,39.47,16419,38.916,8689
2024-10-15,40.4,41.42,39.3,39.47,23743,39.946,13336
2024-10-16,39.93,39.93,38.58,38.62,13457,39.03,7308
2024-10-17,38.39,39.48,38.24,39.38,15009,39.155,7600
2024-10-18,39.81,40.46,39.57,39.82,7661,39.986,4524
2024-10-21,39.83,41.16,39.7,40.98,17622,40.532,10047
2024-10-22,40.38,40.51,38.74,38.75,20463,39.224,10076
2024-10-23,38.74,38.85,37.05,37.85,17233,37.749,9084
2024-10-24,37.64,38.15,36.9,37.28,14785,37.399,7922
2024-10-25,37.46,37.56,36.67,36.74,12364,36.985,6097
2024-10-28,36.86,37.82,36.75,37.09,15715,37.285,7786
2024-10-29,36.83,37.09,35.83,35.85,20505,36.325,9459
2024-10-30,36.08,37.11,35.77,35.95,19874,36.329,9070
2024-10-31,36.0,36.15,35.59,35.69,15368,35.813,8498
2024-11-01,35.8,36.41,35.61,36.25,14743,36.039,6813
2024-11-04,36.35,38.94,36.31,37.45,22753,37.973,12431
2024-11-05,37.25,38.41,37.25,38.16,10799,38.069,6421
2024-11-06,38.78,39.33,37.88,38.84,12028,38.846,7068
2024-11-07,39.0,39.27,38.53,38.98,9314,38.984,6172
2024-11-08,38.57,38.74,37.31,37.9,18876,37.816,10297
2024-11-11,38.01,40.6,38.01,40.54,16743,39.753,9270
2024-11-12,40.0,40.55,39.53,39.91,11211,39.906,6824
2024-11-13,40.29,41.46,40.07,40.94,21356,41.072,13140
2024-11-14,43.49,45.46,41.09,41.2,55874,42.921,30860
2024-11-15,40.27,41.12,37.41,37.69,41080,38.268,21364
2024-11-18,37.56,40.19,37.55,40.09,22861,39.209,12706
2024-11-19,39.34,39.62,38.11,38.5,17007,38.784,9670
2024-11-20,38.89,39.55,37.96,38.63,14398,38.581,8494
2024-11-21,38.63,38.98,38.19,38.69,16465,38.672,7534
2024-11-22,38.7,40.88,38.68,40.79,16986,40.026,9287
2024-11-25,41.76,43.74,41.39,43.42,18785,43.127,10133
2024-11-26,42.29,43.93,42.22,43.84,12953,43.3,8148
2024-11-27,44.1,44.88,43.31,44.44,11992,44.381,7198
2024-11-29,44.03,44.06,41.01,41.35,20134,41.805,9422
2024-12-02,41.98,43.28,41.41,42.6,15159,42.59,8747
2024-12-03,42.45,42.86,41.53,42.64,9718,42.466,6005
2024-12-04,42.38,44.86,42.22,44.01,13638,44.128,8580
2024-12-05,44.23,44.75,43.56,43.61,13902,44.085,9124
2024-12-06,44.02,45.24,43.95,44.97,13655,44.784,8905
2024-12-09,45.45,48.95,45.27,47.44,26963,47.843,15477
2024-12-10,47.31,47.65,45.91,47.06,11663,46.943,7811
2024-12-11,47.07,47.48,45.22,45.54,7332,45.785,4377
2024-12-12,45.33,45.64,42.92,44.04,12597,43.729,7121
2024-12-13,43.74,44.15,42.91,43.86,7163,43.61,4187
2024-12-16,43.56,45.77,43.4,43.98,10048,44.512,5214
2024-12-17,43.53,44.59,43.22,44.46,7642,44.18,4165
2024-12-18,44.6,45.32,42.92,42.97,9988,43.961,5756
2024-12-19,43.45,44.16,41.17,41.96,11586,42.131,7349
2024-12-20,41.67,43.84,41.45,43.52,10983,43.181,6580
2024-12-23,43.04,43.86,42.6,43.75,7341,43.268,4526
2024-12-24,43.77,43.98,42.87,43.73,2732,43.643,1742
2024-12-26,43.37,45.3,43.33,44.24,7690,44.518,4746
2024-12-27,44.0,45.03,43.8,44.06,6620,44.192,4120
2024-12-30,43.77,46.62,43.36,46.05,16825,45.669,10416
2024-12-31,46.1,47.69,46.06,47.29,15120,47.121,8714
2025-01-02,47.36,48.15,46.66,48.14,10930,47.709,6804
2025-01-03,48.19,48.67,45.5,46.34,10458,46.263,6216
2025-01-06,46.78,49.52,46.61,47.78,15050,48.142,9680
2025-01-07,47.95,48.1,45.63,45.99,9190,46.163,4971
2025-01-08,45.6,46.24,44.66,45.53,8337,45.381,5412
2025-01-10,45.25,46.76,44.36,46.2,10143,46.093,5893
2025-01-13,45.83,46.22,44.42,44.85,16896,45.255,11292
2025-01-14,45.1,45.53,43.78,44.69,8922,44.487,5670
2025-01-15,46.1,46.47,44.36,44.37,5890,45.123,3475
2025-01-16,44.2,45.98,43.71,45.73,6379,45.156,3936
2025-01-17,46.16,47.19,45.89,45.91,7332,46.306,4616
2025-01-21,45.97,46.84,45.51,46.18,8924,46.235,5862
2025-01-22,46.11,47.19,45.73,46.48,8858,46.593,5421
2025-01-23,46.48,48.17,46.29,47.37,10267,47.424,7159
2025-01-24,47.36,48.58,47.02,48.44,7638,48.061,5157
2025-01-27,48.35,49.38,47.99,49.22,10844,48.931,7692
2025-01-28,49.21,49.5,48.01,48.76,6137,48.69,4141
2025-01-29,48.8,49.27,48.21,48.74,6793,48.91,4748
2025-01-30,49.24,50.59,49.09,49.79,11846,49.839,8299
2025-01-31,49.55,49.89,48.02,48.5,8849,48.728,6342
2025-02-03,47.14,48.78,46.22,48.2,8341,47.791,5692
2025-02-04,48.56,49.96,48.53,49.57,8281,49.572,6180
2025-02-05,49.58,50.4,48.73,49.0,5581,49.312,3999
2025-02-06,49.73,50.42,48.73,48.88,6404,49.367,4185
2025-02-07,48.66,48.86,45.9,45.95,11927,46.611,6970
2025-02-10,46.06,46.74,45.17,45.24,10366,45.78,7192
2025-02-11,45.06,47.04,44.5,47.0,10389,46.134,6713
2025-02-12,45.98,47.52,45.63,47.49,9798,46.888,6667
2025-02-13,48.64,49.37,47.61,48.59,12737,48.794,7969
2025-02-14,49.0,49.02,47.49,47.87,5542,47.928,3699
2025-02-18,47.77,47.8,44.57,44.57,19509,45.16,9769
2025-02-19,44.23,45.14,44.04,44.32,9120,44.474,5944
2025-02-20,44.65,44.8,43.42,44.34,10531,44.179,6281
2025-02-21,45.04,45.27,42.7,43.44,13567,43.502,7826
