date,open,high,low,close,volume,average,barCount
2024-05-28,10.69,12.15,10.69,11.7,568,11.81,310
2024-05-29,11.59,11.99,11.2,11.79,354,11.77,276
2024-05-30,11.63,11.64,10.05,10.05,361,10.897,282
2024-05-31,10.03,11.89,10.03,11.41,202,11.163,148
2024-06-03,11.65,12.4,11.25,11.73,234,11.919,106
2024-06-04,11.62,11.86,11.41,11.5,33,11.73,17
2024-06-05,11.59,11.59,10.35,10.8,225,10.896,144
2024-06-06,11.1,11.1,10.21,10.71,105,10.774,79
2024-06-07,10.63,10.74,10.38,10.38,9,10.655,8
2024-06-10,10.8,12.4,10.61,11.62,278,11.632,192
2024-06-11,11.52,11.66,10.31,10.49,301,10.834,154
2024-06-12,10.45,11.17,10.41,10.41,21,10.767,18
2024-06-13,11.13,11.14,10.4,10.76,101,10.732,50
2024-06-14,10.54,10.54,10.29,10.3,31,10.325,18
2024-06-17,10.11,10.55,10.11,10.21,33,10.289,22
2024-06-18,10.23,10.5,9.01,9.01,120,9.878,78
2024-06-20,9.37,10.57,9.37,9.76,333,9.997,161
2024-06-21,8.35,8.93,8.3,8.71,10043,8.596,5056
2024-06-24,8.71,8.95,8.5,8.51,2408,8.703,855
2024-06-25,8.5,8.75,8.5,8.65,433,8.643,162
2024-06-26,8.62,9.25,8.62,8.81,2668,9.001,488
2024-06-27,9.23,9.24,8.9,9.1,320,9.034,223
2024-06-28,9.12,9.4,8.65,8.65,1038,9.084,221
2024-07-01,8.65,9.06,8.6,9.0,751,8.778,432
2024-07-02,9.12,9.17,8.61,8.8,849,8.821,214
2024-07-03,9.2,9.2,8.57,8.94,363,8.86,140
2024-07-05,8.85,8.85,8.36,8.8,557,8.619,307
2024-07-08,8.82,8.95,8.35,8.38,656,8.466,252
2024-07-09,8.36,8.54,8.24,8.4,996,8.343,437
2024-07-10,8.64,8.64,8.41,8.47,69,8.484,45
2024-07-11,8.75,8.8,8.49,8.52,142,8.606,62
2024-07-12,8.5,8.6,8.41,8.58,198,8.537,99
2024-07-15,8.7,8.79,8.5,8.63,1006,8.731,125
2024-07-16,8.54,8.96,8.54,8.83,1289,8.72,310
2024-07-17,8.75,8.75,8.42,8.5,165,8.538,81
2024-07-18,8.55,8.96,8.34,8.38,350,8.451,194
2024-07-19,9.07,10.15,8.99,10.08,3798,9.797,1909
2024-07-22,10.05,10.08,9.62,10.02,628,9.975,231
2024-07-23,10.0,10.88,9.95,10.78,601,10.485,350
2024-07-24,11.14,11.14,10.38,10.68,1239,10.851,536
2024-07-25,10.65,10.94,9.98,10.07,380,10.305,163
2024-07-26,10.1,10.52,9.7,9.93,114,10.066,71
2024-07-29,9.86,10.07,9.48,9.48,118,9.794,53
2024-07-30,9.21,9.75,9.21,9.47,597,9.519,209
2024-07-31,9.59,9.74,9.49,9.64,39,9.581,25
2024-08-01,9.61,9.8,9.57,9.62,60,9.701,45
2024-08-02,9.55,9.79,9.11,9.61,184,9.61,77
2024-08-05,9.54,9.73,8.87,9.13,437,9.232,176
2024-08-06,9.11,9.44,8.97,9.28,271,9.239,58
2024-08-07,9.3,9.61,9.12,9.53,249,9.414,91
2024-08-08,10.12,11.0,9.56,10.26,916,10.165,553
2024-08-09,10.11,10.97,10.11,10.59,342,10.386,226
2024-08-12,11.76,11.86,9.76,10.36,941,10.725,542
2024-08-13,10.92,11.39,9.8,10.66,1269,10.838,844
2024-08-14,10.57,10.98,10.19,10.45,334,10.543,195
2024-08-15,10.52,10.74,10.21,10.65,197,10.465,122
2024-08-16,10.62,10.65,10.04,10.29,412,10.358,249
2024-08-19,10.23,10.62,10.0,10.51,684,10.185,247
2024-08-20,10.54,11.0,10.49,10.98,602,10.671,372
2024-08-21,10.95,10.95,10.0,10.21,543,10.425,328
2024-08-22,10.22,10.44,9.97,10.02,189,10.096,144
2024-08-23,10.13,10.36,10.0,10.3,168,10.157,81
2024-08-26,10.29,10.3,9.93,10.3,201,10.128,77
2024-08-27,10.14,10.5,10.02,10.33,544,10.33,270
2024-08-28,10.36,10.47,9.91,10.2,279,10.173,244
2024-08-29,10.31,10.34,9.9,10.0,377,10.099,206
2024-08-30,9.98,10.3,9.87,10.21,448,10.074,224
2024-09-03,10.2,10.5,9.96,10.17,448,10.252,262
2024-09-04,10.14,10.46,10.04,10.14,337,10.286,176
2024-09-05,10.11,10.31,9.85,9.98,204,10.109,114
2024-09-06,10.14,10.2,9.65,10.04,315,9.829,175
2024-09-09,10.06,10.32,9.73,9.92,518,9.991,452
2024-09-10,10.04,10.05,9.65,9.78,235,9.849,174
2024-09-11,9.68,9.95,9.67,9.84,251,9.834,203
2024-09-12,9.93,10.05,9.73,9.92,130,9.936,104
2024-09-13,9.86,10.21,9.8,10.2,341,9.992,165
2024-09-16,10.08,10.34,9.85,9.86,358,10.055,154
2024-09-17,9.87,10.06,9.68,9.87,275,9.899,180
2024-09-18,9.96,10.5,9.85,10.4,725,10.221,501
2024-09-19,10.44,10.59,9.56,9.89,2093,9.971,915
2024-09-20,9.92,10.24,9.7,10.22,1988,9.976,1201
2024-09-23,10.3,10.48,10.07,10.48,1099,10.231,573
2024-09-24,10.5,10.66,10.22,10.59,943,10.485,469
2024-09-25,10.6,10.95,10.5,10.62,766,10.788,398
2024-09-26,10.65,10.85,10.31,10.36,280,10.533,163
2024-09-27,10.45,10.5,10.05,10.27,216,10.314,93
2024-09-30,10.21,10.53,10.01,10.12,87,10.178,38
2024-10-01,10.08,10.27,9.36,9.6,551,9.655,273
2024-10-02,9.57,9.75,9.5,9.54,184,9.595,103
2024-10-03,9.57,9.6,9.32,9.5,149,9.481,94
2024-10-04,9.53,9.82,9.45,9.7,153,9.587,99
2024-10-07,9.63,9.91,9.37,9.57,237,9.569,106
2024-10-08,9.66,9.89,9.47,9.72,388,9.654,259
2024-10-09,9.62,9.76,9.32,9.4,504,9.515,255
2024-10-10,9.42,10.04,9.39,9.74,214,9.688,117
2024-10-11,10.0,10.26,9.75,10.24,261,10.05,171
2024-10-14,10.25,10.3,10.0,10.01,118,10.148,65
2024-10-15,10.03,10.27,9.68,9.77,818,10.028,215
2024-10-16,9.84,10.0,9.7,9.85,564,9.893,148
2024-10-17,9.77,10.11,9.53,9.76,474,9.93,232
2024-10-18,9.73,9.85,9.4,9.49,781,9.609,321
2024-10-21,9.46,9.69,9.38,9.54,1484,9.573,339
2024-10-22,9.35,9.35,8.67,8.7,657,9.031,266
2024-10-23,8.85,8.95,8.75,8.79,333,8.807,213
2024-10-24,8.91,9.23,8.86,9.1,1111,9.038,361
2024-10-25,9.13,9.19,8.94,9.03,180,9.034,104
2024-10-28,9.06,9.26,8.92,9.0,169,9.03,97
2024-10-29,8.92,8.97,8.52,8.63,244,8.698,152
2024-10-30,8.65,8.79,8.5,8.66,235,8.639,146
2024-10-31,8.68,8.78,8.55,8.64,163,8.653,71
2024-11-01,8.67,8.69,8.37,8.54,384,8.528,223
2024-11-04,8.51,8.65,8.42,8.63,81,8.556,49
2024-11-05,8.68,8.92,8.47,8.56,218,8.684,136
2024-11-06,8.76,8.86,8.6,8.69,261,8.713,122
2024-11-07,8.63,9.25,8.63,8.81,283,8.904,203
2024-11-08,8.8,9.25,8.68,9.02,248,8.839,126
2024-11-11,9.11,9.11,8.48,8.56,162,8.688,94
2024-11-12,8.56,8.73,8.17,8.22,338,8.338,192
2024-11-13,8.27,9.0,8.22,8.75,318,8.686,153
2024-11-14,8.85,8.85,8.39,8.48,499,8.593,240
2024-11-15,8.44,8.51,8.12,8.34,299,8.305,158
2024-11-18,8.37,8.61,8.22,8.43,191,8.439,93
2024-11-19,8.37,8.65,8.27,8.43,171,8.437,111
2024-11-20,8.44,9.21,8.4,8.86,555,8.893,333
2024-11-21,8.85,8.93,8.66,8.71,149,8.783,101
2024-11-22,7.72,7.83,7.07,7.55,23284,7.597,11107
2024-11-25,7.61,7.85,7.55,7.67,5148,7.694,2992
2024-11-26,7.75,7.93,7.65,7.82,5678,7.83,2309
2024-11-27,7.89,8.08,7.77,8.08,3877,7.978,2065
2024-11-29,8.12,8.2,7.91,8.18,1640,8.134,1069
2024-12-02,8.21,8.22,7.91,7.92,2077,7.995,1036
2024-12-03,7.98,7.98,7.66,7.95,1571,7.888,952
2024-12-04,7.93,8.12,7.8,7.9,1539,7.971,1038
2024-12-05,7.98,8.01,7.84,7.93,779,7.956,608
2024-12-06,7.93,8.03,7.77,7.93,1721,7.944,893
2024-12-09,7.91,8.11,7.78,7.82,1233,7.977,680
2024-12-10,7.84,8.05,7.77,8.03,3855,7.968,2060
2024-12-11,8.08,8.13,7.84,7.92,1477,7.989,814
2024-12-12,7.99,8.07,7.79,7.89,2681,8.012,1403
2024-12-13,7.92,8.0,7.82,7.94,619,7.901,448
