date,open,high,low,close,volume,average,barCount
2024-01-02,14.87,15.08,14.65,14.89,9943,14.902,6394
2024-01-03,14.57,14.69,14.28,14.34,7206,14.448,4754
2024-01-04,14.33,14.39,13.83,13.83,9655,14.075,4188
2024-01-05,13.67,13.84,13.39,13.42,10546,13.579,4352
2024-01-08,13.38,13.77,13.16,13.76,4551,13.605,3084
2024-01-09,13.49,13.71,13.27,13.48,2731,13.547,2062
2024-01-10,14.0,14.61,13.68,14.51,10249,14.302,5370
2024-01-11,14.38,14.5,14.01,14.05,3595,14.163,2549
2024-01-12,14.31,14.41,13.87,14.01,4173,14.031,3006
2024-01-16,13.72,13.93,13.65,13.86,2706,13.795,1789
2024-01-17,13.57,13.75,13.4,13.69,3557,13.599,2694
2024-01-18,13.78,13.93,13.63,13.87,3466,13.799,2436
2024-01-19,13.98,14.1,13.45,13.66,5423,13.671,3470
2024-01-22,13.9,14.14,13.84,14.06,5657,13.981,3394
2024-01-23,14.25,14.44,13.97,14.06,4892,14.111,2578
2024-01-24,14.31,14.31,13.47,13.5,4484,13.655,3414
2024-01-25,13.84,13.84,13.33,13.47,8144,13.518,5082
2024-01-26,13.56,13.59,13.26,13.45,8554,13.413,5528
2024-01-29,13.43,13.89,13.34,13.89,3901,13.707,2722
2024-01-30,13.77,13.81,13.35,13.37,3853,13.461,2745
2024-01-31,13.39,13.55,12.95,12.97,4654,13.189,3420
2024-02-01,13.11,13.4,13.01,13.33,3597,13.249,2989
2024-02-02,13.08,13.74,12.84,13.6,5979,13.438,3479
2024-02-05,13.38,14.03,13.37,13.9,4588,13.727,3134
2024-02-06,13.8,14.24,13.77,14.14,6042,14.084,4099
2024-02-07,14.28,14.63,14.11,14.34,5335,14.38,3525
2024-02-08,14.32,14.66,14.22,14.39,3100,14.457,1865
2024-02-09,14.47,14.64,14.26,14.49,3093,14.478,2084
2024-02-12,14.4,14.83,14.4,14.54,4883,14.653,3006
2024-02-13,14.18,14.18,13.52,13.66,7427,13.704,3635
2024-02-14,14.02,14.27,13.59,13.88,5130,13.845,3070
2024-02-15,14.06,14.45,13.87,14.44,7241,14.212,5224
2024-02-16,14.35,14.39,13.96,14.29,5764,14.234,3290
2024-02-20,13.99,14.31,13.89,14.04,9741,14.048,4906
2024-02-21,13.87,14.16,13.66,14.0,13224,13.94,7435
2024-02-22,16.26,17.06,15.81,16.41,25605,16.451,13357
2024-02-23,16.5,16.75,16.2,16.52,23369,16.482,11361
2024-02-26,16.44,16.72,16.04,16.39,21145,16.261,5984
2024-02-27,16.54,17.75,16.36,17.56,12075,17.346,5978
2024-02-28,17.41,18.11,17.35,17.74,10726,17.7,6477
2024-02-29,18.0,18.47,17.46,17.75,8301,17.776,4631
2024-03-01,17.8,18.01,17.72,17.89,4023,17.901,2643
2024-03-04,18.0,18.75,17.86,18.6,26564,18.45,9281
2024-03-05,18.43,18.92,18.32,18.68,39967,18.648,14925
2024-03-06,18.79,19.06,18.12,18.16,12707,18.57,6855
2024-03-07,18.33,18.37,17.64,18.0,5472,17.913,3280
2024-03-08,18.25,18.67,17.83,17.92,7261,18.192,3607
2024-03-11,17.8,17.95,17.18,17.24,2682,17.401,1932
2024-03-12,17.23,17.77,17.11,17.61,4362,17.531,2609
2024-03-13,17.51,17.97,17.49,17.6,15538,17.543,2768
2024-03-14,17.47,17.55,17.05,17.35,6911,17.343,4392
2024-03-15,17.26,17.76,17.18,17.68,7120,17.498,3188
2024-03-18,17.66,18.47,17.62,18.42,4084,18.219,2478
2024-03-19,18.4,18.58,18.16,18.45,7739,18.412,4862
2024-03-20,18.39,19.0,18.29,18.91,4932,18.714,3371
2024-03-21,18.95,19.33,18.83,19.04,13203,19.205,5253
2024-03-22,19.08,19.25,18.82,19.15,5705,19.084,3360
2024-03-25,19.14,19.54,18.61,18.79,5301,18.996,3374
2024-03-26,18.9,18.97,18.54,18.55,3349,18.733,2038
2024-03-27,18.74,18.94,18.59,18.86,3473,18.731,1744
2024-03-28,18.86,19.2,18.71,18.77,2350,18.925,1537
2024-04-01,18.83,18.83,18.26,18.28,6347,18.461,2998
2024-04-02,17.9,18.26,17.65,18.24,8553,17.991,3813
2024-04-03,18.01,18.58,17.95,18.51,11857,18.384,4714
2024-04-04,18.72,18.98,18.31,18.35,12202,18.589,5717
2024-04-05,18.24,18.6,17.78,18.41,3617,18.372,2434
2024-04-08,18.48,18.6,18.09,18.34,2699,18.394,1965
2024-04-09,18.5,18.72,17.81,18.65,6711,18.568,2554
2024-04-10,17.89,18.45,17.78,17.96,3740,18.079,2852
2024-04-11,17.95,18.62,17.72,18.24,12639,18.289,4160
2024-04-12,18.02,18.1,17.49,17.7,6040,17.738,2628
2024-04-15,17.88,17.88,16.92,16.96,3689,17.141,2432
2024-04-16,16.96,17.39,16.75,17.29,3624,17.194,2736
2024-04-17,17.39,17.91,17.35,17.8,6985,17.681,3661
2024-04-18,17.79,18.21,17.18,17.3,7487,17.825,3295
2024-04-19,17.18,17.52,16.97,17.31,3431,17.211,2436
2024-04-22,17.4,17.56,17.11,17.5,2697,17.373,1636
2024-04-23,17.66,18.54,17.65,18.35,7086,18.241,4349
2024-04-24,18.33,18.33,17.93,17.96,2448,18.073,1836
2024-04-25,17.7,18.06,17.35,17.72,2093,17.713,1477
2024-04-26,17.78,18.4,17.63,18.09,3681,18.11,2428
2024-04-29,18.12,18.32,17.74,17.83,4727,17.894,3361
2024-04-30,17.71,17.86,17.39,17.45,3247,17.619,2535
2024-05-01,17.48,17.66,16.9,16.91,4556,17.157,2902
2024-05-02,17.22,17.4,17.03,17.38,3720,17.294,2646
2024-05-03,17.83,18.0,17.53,17.81,5738,17.754,3537
2024-05-06,17.83,18.15,17.77,18.1,3867,18.005,2435
2024-05-07,18.17,18.28,17.73,17.76,3621,17.984,2355
2024-05-08,17.37,17.43,17.0,17.32,7463,17.22,4285
2024-05-09,16.37,17.61,15.43,17.47,13128,17.154,8100
2024-05-10,17.47,17.91,16.86,17.29,6222,17.328,4045
2024-05-13,17.34,17.89,17.11,17.41,6962,17.409,4013
2024-05-14,17.59,17.85,17.37,17.76,10155,17.7,4678
2024-05-15,18.13,19.11,18.0,19.02,11083,18.767,4939
2024-05-16,18.97,19.07,18.19,18.23,10255,18.446,6268
2024-05-17,18.23,18.85,18.21,18.62,7325,18.638,4087
2024-05-20,18.56,18.77,18.4,18.76,6436,18.65,2589
2024-05-21,18.66,19.23,18.63,18.88,12636,19.018,4099
2024-05-22,18.82,18.98,18.38,18.44,10380,18.556,4646
2024-05-23,18.6,18.75,18.25,18.68,4971,18.569,3172
2024-05-24,18.81,19.11,18.64,19.09,4397,18.948,2716
2024-05-28,19.25,19.62,18.51,18.67,5485,19.011,3339
2024-05-29,18.39,18.48,17.67,17.86,9898,17.955,6027
2024-05-30,17.89,18.23,17.82,18.06,4153,18.041,2854
2024-05-31,18.03,18.29,17.61,17.85,4158,17.828,2807
2024-06-03,17.85,18.04,17.61,17.81,5526,17.803,3735
2024-06-04,17.72,17.73,17.11,17.53,3987,17.568,2323
2024-06-05,17.5,17.77,17.39,17.75,5123,17.553,3189
2024-06-06,17.68,18.04,17.6,17.67,2145,17.734,1414
2024-06-07,17.49,18.11,17.4,17.83,3888,17.91,2320
2024-06-10,18.1,18.46,18.0,18.36,4273,18.332,2672
2024-06-11,18.2,18.4,17.99,18.08,5715,18.125,4039
2024-06-12,18.75,19.09,18.54,18.9,5495,18.853,3350
2024-06-13,18.81,18.87,18.15,18.24,3556,18.392,2434
2024-06-14,17.89,18.22,17.49,17.69,2257,17.711,1578
2024-06-17,17.62,18.07,17.6,17.87,4423,17.851,2137
2024-06-18,17.86,18.1,17.5,17.71,4178,17.71,2993
2024-06-20,17.87,18.09,17.24,17.69,9430,17.624,5927
2024-06-21,17.6,17.91,17.36,17.74,8113,17.67,3015
2024-06-24,17.69,18.24,17.59,18.18,3920,17.96,2608
2024-06-25,18.17,18.31,17.65,17.86,3631,17.871,2404
2024-06-26,17.75,18.07,17.55,18.01,4858,17.837,2391
2024-06-27,18.07,18.24,17.7,18.23,4855,18.028,2846
2024-06-28,18.33,18.44,18.05,18.25,4331,18.227,2866
2024-07-01,18.19,18.3,17.44,17.5,4772,17.65,3343
2024-07-02,17.59,18.04,17.46,17.97,2713,17.846,1624
2024-07-03,18.0,18.12,17.74,17.78,2065,17.907,1368
2024-07-05,17.71,18.07,17.44,18.04,4284,17.943,2682
2024-07-08,18.21,18.29,17.87,17.88,4336,18.047,2440
2024-07-09,17.79,18.04,17.41,17.47,2718,17.529,2007
2024-07-10,17.49,17.7,16.69,16.8,7868,16.963,4252
2024-07-11,17.24,17.47,16.84,16.96,11229,17.136,6091
2024-07-12,17.19,17.49,17.13,17.37,8210,17.353,4495
2024-07-15,17.6,18.28,17.6,17.99,7718,18.032,5127
2024-07-16,18.32,19.4,18.15,19.32,11226,19.018,6679
2024-07-17,19.05,19.63,18.62,18.83,11807,19.004,6750
2024-07-18,18.76,18.91,18.1,18.37,8728,18.501,4116
2024-07-19,18.42,18.96,18.23,18.41,6085,18.656,2131
2024-07-22,18.56,18.68,18.2,18.53,7029,18.414,3183
2024-07-23,18.4,18.94,18.36,18.6,5767,18.682,3050
2024-07-24,18.43,18.58,17.51,17.7,4087,17.859,2552
2024-07-25,17.72,17.85,17.33,17.47,7762,17.64,4126
2024-07-26,17.75,17.88,17.35,17.62,7494,17.656,3330
2024-07-29,17.63,17.9,17.01,17.03,3712,17.365,2270
2024-07-30,17.28,17.58,16.78,16.94,4416,17.002,2883
2024-07-31,17.14,17.67,16.9,17.08,4233,17.16,2955
2024-08-01,17.13,17.37,16.04,16.32,7427,16.359,4416
2024-08-02,15.67,15.95,15.43,15.88,8422,15.766,4646
2024-08-05,14.94,15.32,14.76,15.15,9325,15.073,5471
2024-08-06,15.21,15.46,14.82,15.09,7676,15.209,4710
2024-08-07,15.66,15.83,14.79,14.83,12414,15.118,6381
