date,open,high,low,close,volume,average,barCount
2025-02-18 08:00:00,2.7,2.7,2.7,2.7,39,2.7,3
2025-02-18 09:00:00,2.71,2.74,2.695,2.695,152,2.71882,63
2025-02-18 10:00:00,2.695,2.695,2.665,2.685,222,2.68616,138
2025-02-18 11:00:00,2.68,2.685,2.665,2.675,86,2.67264,58
2025-02-18 12:00:00,2.675,2.68,2.67,2.67,125,2.67507,75
2025-02-18 13:00:00,2.67,2.675,2.65,2.65,119,2.65745,79
2025-02-18 14:00:00,2.655,2.66,2.63,2.635,168,2.64255,82
2025-02-18 15:00:00,2.635,2.67,2.63,2.655,518,2.65806,281
2025-02-18 16:00:00,2.65,2.65,2.65,2.65,438,2.65,3
2025-02-18 17:00:00,2.65,2.65,2.65,2.65,0,2.65,0
2025-02-18 18:00:00,2.65,2.65,2.65,2.65,0,2.65,0
2025-02-18 19:00:00,2.65,2.65,2.65,2.65,0,2.65,0
2025-02-19 09:00:00,2.63,2.635,2.53,2.565,191,2.56671,111
2025-02-19 10:00:00,2.565,2.59,2.495,2.495,290,2.53419,190
2025-02-19 11:00:00,2.49,2.495,2.47,2.495,214,2.4844,131
2025-02-19 12:00:00,2.495,2.495,2.47,2.48,252,2.48373,137
2025-02-19 13:00:00,2.48,2.48,2.46,2.465,180,2.46736,122
2025-02-19 14:00:00,2.46,2.475,2.455,2.46,205,2.46351,149
2025-02-19 15:00:00,2.46,2.51,2.46,2.51,1008,2.48047,426
2025-02-19 16:00:00,2.5,2.5,2.5,2.5,424,2.5,2
2025-02-19 17:00:00,2.5,2.5,2.5,2.5,0,2.5,0
2025-02-19 18:00:00,2.5,2.5,2.5,2.5,0,2.5,0
2025-02-19 19:00:00,2.5,2.5,2.5,2.5,0,2.5,0
2025-02-20 09:00:00,2.47,2.49,2.46,2.46,89,2.47292,33
2025-02-20 10:00:00,2.4549,2.48,2.42,2.465,358,2.45492,224
2025-02-20 11:00:00,2.465,2.48,2.43,2.445,323,2.45325,205
2025-02-20 12:00:00,2.45,2.47,2.44,2.465,178,2.45475,113
2025-02-20 13:00:00,2.46,2.49,2.45,2.485,354,2.46732,231
2025-02-20 14:00:00,2.485,2.505,2.475,2.475,294,2.48922,192
2025-02-20 15:00:00,2.475,2.495,2.47,2.485,931,2.47802,634
2025-02-20 16:00:00,2.48,2.48,2.48,2.48,347,2.48,4
2025-02-20 17:00:00,2.48,2.48,2.48,2.48,0,2.48,0
2025-02-20 18:00:00,2.48,2.48,2.48,2.48,0,2.48,0
2025-02-20 19:00:00,2.48,2.48,2.48,2.48,0,2.48,0
2025-02-21 09:00:00,2.52,2.561,2.52,2.525,326,2.52482,45
2025-02-21 10:00:00,2.52,2.52,2.485,2.485,100,2.50607,76
2025-02-21 11:00:00,2.485,2.505,2.48,2.485,113,2.49132,73
2025-02-21 12:00:00,2.485,2.51,2.485,2.495,112,2.50176,83
2025-02-21 13:00:00,2.495,2.5,2.47,2.495,384,2.49012,191
2025-02-21 14:00:00,2.485,2.505,2.475,2.49,137,2.48949,102
2025-02-21 15:00:00,2.49,2.51,2.445,2.455,391,2.47622,276
2025-02-21 16:00:00,2.45,2.45,2.45,2.45,662,2.45,1
2025-02-21 17:00:00,2.45,2.45,2.45,2.45,0,2.45,0
2025-02-21 18:00:00,2.45,2.45,2.45,2.45,0,2.45,0
2025-02-21 19:00:00,2.45,2.45,2.45,2.45,0,2.45,0
2025-02-24 09:00:00,2.47,2.54,2.43,2.495,98,2.48313,52
2025-02-24 10:00:00,2.49,2.51,2.48,2.505,216,2.49954,90
2025-02-24 11:00:00,2.505,2.63,2.505,2.6,633,2.57569,429
2025-02-24 12:00:00,2.605,2.665,2.605,2.655,379,2.63925,271
2025-02-24 13:00:00,2.655,2.69,2.65,2.665,500,2.67016,293
2025-02-24 14:00:00,2.665,2.69,2.64,2.68,511,2.66476,292
2025-02-24 15:00:00,2.675,2.69,2.63,2.645,918,2.66144,618
2025-02-24 16:00:00,2.64,2.64,2.64,2.64,518,2.64,2
2025-02-24 17:00:00,2.64,2.64,2.64,2.64,0,2.64,0
2025-02-24 18:00:00,2.64,2.64,2.64,2.64,0,2.64,0
2025-02-24 19:00:00,2.64,2.64,2.64,2.64,0,2.64,0
2025-02-25 05:00:00,2.7,2.7,2.7,2.7,1,2.7,1
2025-02-25 06:00:00,2.7,2.7,2.7,2.7,0,2.7,0
2025-02-25 07:00:00,2.7,2.7,2.7,2.7,0,2.7,0
2025-02-25 08:00:00,2.7,2.7,2.7,2.7,0,2.7,0
2025-02-25 09:00:00,2.65,2.671,2.62,2.6299,68,2.64841,33
2025-02-25 10:00:00,2.62,2.66,2.605,2.645,175,2.62957,146
2025-02-25 11:00:00,2.64,2.645,2.625,2.64,92,2.63676,70
2025-02-25 12:00:00,2.625,2.635,2.61,2.61,81,2.62105,63
2025-02-25 13:00:00,2.615,2.62,2.595,2.605,66,2.60857,47
2025-02-25 14:00:00,2.6,2.63,2.59,2.62,237,2.61233,124
2025-02-25 15:00:00,2.62,2.625,2.585,2.59,1234,2.6044,736
2025-02-25 16:00:00,2.59,2.59,2.59,2.59,1019,2.59,2
2025-02-25 17:00:00,2.59,2.59,2.59,2.59,0,2.59,0
2025-02-25 18:00:00,2.59,2.59,2.59,2.59,0,2.59,0
2025-02-25 19:00:00,2.59,2.59,2.59,2.59,0,2.59,0
2025-02-26 09:00:00,2.56,2.57,2.48,2.49,117,2.5336,75
2025-02-26 10:00:00,2.5,2.52,2.465,2.5,352,2.49132,217
2025-02-26 11:00:00,2.5,2.51,2.48,2.485,299,2.49664,172
2025-02-26 12:00:00,2.485,2.495,2.475,2.475,154,2.48584,115
2025-02-26 13:00:00,2.47,2.48,2.465,2.465,94,2.47252,79
2025-02-26 14:00:00,2.465,2.49,2.465,2.485,237,2.4776,137
2025-02-26 15:00:00,2.485,2.5,2.455,2.5,760,2.47738,477
2025-02-26 16:00:00,2.49,2.49,2.49,2.49,490,2.49,4
2025-02-26 17:00:00,2.49,2.49,2.49,2.49,0,2.49,0
2025-02-26 18:00:00,2.49,2.49,2.49,2.49,0,2.49,0
2025-02-26 19:00:00,2.49,2.49,2.49,2.49,0,2.49,0
2025-02-27 09:00:00,2.54,2.54,2.46,2.46,31,2.47328,16
2025-02-27 10:00:00,2.455,2.475,2.445,2.475,145,2.46324,58
2025-02-27 11:00:00,2.48,2.49,2.4799,2.485,39,2.48477,37
2025-02-27 12:00:00,2.485,2.485,2.465,2.475,128,2.47201,83
2025-02-27 13:00:00,2.475,2.495,2.47,2.485,77,2.48477,68
2025-02-27 14:00:00,2.485,2.4899,2.455,2.475,159,2.46975,122
2025-02-27 15:00:00,2.475,2.52,2.46,2.505,688,2.49644,451
2025-02-27 16:00:00,2.5,2.5,2.5,2.5,357,2.5,5
2025-02-27 17:00:00,2.5,2.5,2.5,2.5,0,2.5,0
2025-02-27 18:00:00,2.5,2.5,2.5,2.5,0,2.5,0
2025-02-27 19:00:00,2.5,2.5,2.5,2.5,0,2.5,0
2025-02-28 08:00:00,2.63,2.63,2.63,2.63,3,2.63,1
2025-02-28 09:00:00,2.5,2.54,2.48,2.5203,155,2.50918,74
2025-02-28 10:00:00,2.53,2.53,2.505,2.525,43,2.52165,36
2025-02-28 11:00:00,2.525,2.525,2.51,2.525,102,2.51741,81
2025-02-28 12:00:00,2.525,2.54,2.52,2.525,150,2.5273,100
2025-02-28 13:00:00,2.525,2.5255,2.495,2.495,105,2.51526,83
2025-02-28 14:00:00,2.495,2.51,2.485,2.495,73,2.49725,65
2025-02-28 15:00:00,2.495,2.53,2.495,2.52,237,2.51466,142
2025-02-28 16:00:00,2.51,2.5111,2.51,2.51,4322,2.5101,6
2025-02-28 17:00:00,2.51,2.51,2.51,2.51,0,2.51,0
2025-02-28 18:00:00,2.51,2.51,2.51,2.51,0,2.51,0
2025-02-28 19:00:00,2.51,2.51,2.51,2.51,0,2.51,0
2025-03-03 09:00:00,2.49,2.53,2.48,2.48,52,2.49658,25
2025-03-03 10:00:00,2.47,2.515,2.47,2.49,156,2.48864,113
2025-03-03 11:00:00,2.49,2.495,2.465,2.4699,56,2.47712,43
2025-03-03 12:00:00,2.4692,2.48,2.46,2.465,73,2.47061,62
2025-03-03 13:00:00,2.465,2.465,2.405,2.41,320,2.42447,183
2025-03-03 14:00:00,2.415,2.425,2.385,2.385,144,2.40661,118
2025-03-03 15:00:00,2.38,2.38,2.315,2.36,1341,2.34459,723
2025-03-03 16:00:00,2.35,2.35,2.35,2.35,824,2.35,11
2025-03-03 17:00:00,2.35,2.35,2.35,2.35,0,2.35,0
2025-03-03 18:00:00,2.35,2.35,2.35,2.35,0,2.35,0
2025-03-03 19:00:00,2.35,2.35,2.35,2.35,0,2.35,0
2025-03-04 08:00:00,2.39,2.39,2.39,2.39,5,2.39,1
2025-03-04 09:00:00,2.32,2.3399,2.26,2.335,306,2.31992,131
2025-03-04 10:00:00,2.335,2.35,2.315,2.32,424,2.33175,221
2025-03-04 11:00:00,2.315,2.345,2.315,2.34,299,2.3302,238
2025-03-04 12:00:00,2.335,2.335,2.305,2.315,249,2.31857,172
2025-03-04 13:00:00,2.32,2.355,2.32,2.345,248,2.33704,149
2025-03-04 14:00:00,2.345,2.35,2.33,2.335,248,2.34096,194
2025-03-04 15:00:00,2.33,2.36,2.3,2.3,902,2.32126,604
2025-03-04 16:00:00,2.3,2.3,2.3,2.3,890,2.3,4
2025-03-04 17:00:00,2.3,2.3,2.3,2.3,0,2.3,0
2025-03-04 18:00:00,2.3,2.3,2.3,2.3,0,2.3,0
2025-03-04 19:00:00,2.3,2.3,2.3,2.3,0,2.3,0
2025-03-05 09:00:00,2.31,2.39,2.31,2.39,68,2.3607,35
2025-03-05 10:00:00,2.405,2.405,2.355,2.39,157,2.36916,116
2025-03-05 11:00:00,2.38,2.405,2.35,2.395,267,2.37079,111
2025-03-05 12:00:00,2.395,2.41,2.39,2.395,198,2.39814,74
2025-03-05 13:00:00,2.395,2.395,2.375,2.385,108,2.38576,83
2025-03-05 14:00:00,2.39,2.4193,2.385,2.385,504,2.39846,247
2025-03-05 15:00:00,2.385,2.4,2.37,2.4,1052,2.38743,533
2025-03-05 16:00:00,2.39,2.39,2.39,2.39,1118,2.39,6
2025-03-05 17:00:00,2.39,2.39,2.39,2.39,0,2.39,0
2025-03-05 18:00:00,2.39,2.39,2.39,2.39,0,2.39,0
2025-03-05 19:00:00,2.39,2.39,2.39,2.39,0,2.39,0
2025-03-06 07:00:00,2.42,2.42,2.42,2.42,3,2.42,2
2025-03-06 08:00:00,2.42,2.42,2.42,2.42,0,2.42,0
2025-03-06 09:00:00,2.35,2.415,2.335,2.375,116,2.3669,50
2025-03-06 10:00:00,2.38,2.42,2.38,2.42,79,2.40551,74
2025-03-06 11:00:00,2.43,2.455,2.425,2.435,283,2.43846,168
2025-03-06 12:00:00,2.435,2.435,2.415,2.425,157,2.42583,113
2025-03-06 13:00:00,2.43,2.44,2.38,2.395,331,2.41453,212
2025-03-06 14:00:00,2.395,2.405,2.37,2.375,554,2.39603,354
2025-03-06 15:00:00,2.37,2.38,2.35,2.365,1103,2.3622,538
2025-03-06 16:00:00,2.36,2.36,2.36,2.36,360,2.36,1
2025-03-06 17:00:00,2.36,2.36,2.36,2.36,0,2.36,0
2025-03-06 18:00:00,2.45,2.7,2.41,2.7,5,2.50321,4
2025-03-06 19:00:00,2.49,2.49,2.49,2.49,5,2.49,1
2025-03-07 07:00:00,2.47,2.49,2.45,2.49,22,2.45932,3
2025-03-07 08:00:00,2.62,2.62,2.31,2.37,130,2.46088,18
2025-03-07 09:00:00,2.37,2.4664,2.119,2.365,1012,2.29047,237
2025-03-07 10:00:00,2.37,2.375,2.15,2.155,1184,2.22072,339
2025-03-07 11:00:00,2.15,2.21,2.035,2.17,1010,2.12947,420
2025-03-07 12:00:00,2.175,2.215,2.15,2.2,419,2.18338,270
2025-03-07 13:00:00,2.19,2.21,2.1508,2.165,601,2.17971,296
2025-03-07 14:00:00,2.165,2.175,2.14,2.165,520,2.16296,266
2025-03-07 15:00:00,2.16,2.175,2.14,2.15,1540,2.15113,792
2025-03-07 16:00:00,2.15,2.15,2.15,2.15,441,2.15,2
2025-03-07 17:00:00,2.15,2.15,2.15,2.15,0,2.15,0
2025-03-07 18:00:00,2.15,2.15,2.15,2.15,0,2.15,0
2025-03-07 19:00:00,2.15,2.15,2.15,2.15,2,2.15,1
2025-03-10 08:00:00,2.08,2.09,1.975,1.995,673,2.0233,263
2025-03-10 09:00:00,1.995,2.01,1.9,1.915,1099,1.93142,434
2025-03-10 10:00:00,1.915,1.99,1.915,1.975,288,1.95551,220
2025-03-10 11:00:00,1.975,1.99,1.945,1.965,550,1.96845,294
2025-03-10 12:00:00,1.96,1.97,1.87,1.895,654,1.91323,317
2025-03-10 13:00:00,1.9,1.9,1.88,1.885,685,1.89294,252
2025-03-10 14:00:00,1.88,1.89,1.82,1.83,1421,1.84971,872
2025-03-10 15:00:00,1.82,1.86,1.82,1.86,460,1.82031,5
2025-03-10 16:00:00,1.86,1.86,1.86,1.86,0,1.86,0
2025-03-10 17:00:00,1.86,1.86,1.86,1.86,0,1.86,0
2025-03-10 18:00:00,1.86,1.86,1.86,1.86,0,1.86,0
2025-03-11 06:00:00,1.82,1.82,1.82,1.82,1,1.82,1
2025-03-11 07:00:00,1.82,1.82,1.82,1.82,0,1.82,0
2025-03-11 08:00:00,1.81,1.82,1.7001,1.7001,1244,1.76974,287
2025-03-11 09:00:00,1.705,1.705,1.54,1.585,1606,1.57897,686
2025-03-11 10:00:00,1.585,1.61,1.55,1.59,1404,1.5799,411
2025-03-11 11:00:00,1.585,1.67,1.56,1.56,935,1.62611,417
2025-03-11 12:00:00,1.561,1.57,1.53,1.5307,3898,1.55795,660
2025-03-11 13:00:00,1.5306,1.64,1.53,1.63,2337,1.58328,1028
2025-03-11 14:00:00,1.625,1.625,1.6,1.6,1727,1.60665,830
2025-03-11 15:00:00,1.605,1.605,1.605,1.605,517,1.605,2
2025-03-11 16:00:00,1.605,1.605,1.605,1.605,0,1.605,0
2025-03-11 17:00:00,1.605,1.605,1.605,1.605,0,1.605,0
2025-03-11 18:00:00,1.605,1.605,1.605,1.605,0,1.605,0
2025-03-12 08:00:00,1.61,1.74,1.61,1.735,867,1.68451,282
2025-03-12 09:00:00,1.74,1.7694,1.74,1.765,600,1.75648,258
2025-03-12 10:00:00,1.765,1.7694,1.7101,1.735,856,1.74765,409
2025-03-12 11:00:00,1.735,1.75,1.73,1.73,713,1.73725,211
2025-03-12 12:00:00,1.73,1.74,1.7,1.7001,939,1.72389,344
2025-03-12 13:00:00,1.7001,1.71,1.67,1.675,1870,1.70161,783
2025-03-12 14:00:00,1.67,1.7,1.67,1.7,4858,1.69157,1976
2025-03-12 15:00:00,1.69,1.85,1.69,1.81,3062,1.70183,16
2025-03-12 16:00:00,1.81,1.81,1.81,1.81,0,1.81,0
2025-03-12 17:00:00,1.81,1.81,1.81,1.81,0,1.81,0
2025-03-12 18:00:00,1.81,1.81,1.81,1.81,0,1.81,0
2025-03-13 03:00:00,1.79,1.79,1.78,1.78,27,1.78814,8
2025-03-13 04:00:00,1.78,1.78,1.78,1.78,0,1.78,0
2025-03-13 05:00:00,1.78,1.78,1.78,1.78,0,1.78,0
2025-03-13 06:00:00,1.81,1.81,1.78,1.78,16,1.79384,5
2025-03-13 07:00:00,1.81,1.81,1.8,1.8,16,1.80069,16
2025-03-13 08:00:00,1.8,1.965,1.72,1.94,6298,1.85686,1048
2025-03-13 09:00:00,1.94,2.02,1.815,1.82,2791,1.96172,973
2025-03-13 10:00:00,1.82,1.86,1.785,1.785,871,1.82491,421
2025-03-13 11:00:00,1.785,1.8099,1.765,1.78,677,1.7808,265
2025-03-13 12:00:00,1.78,1.795,1.63,1.675,4913,1.68486,1635
2025-03-13 13:00:00,1.672,1.68,1.63,1.64,1174,1.65661,484
2025-03-13 14:00:00,1.6406,1.675,1.63,1.635,1539,1.65181,875
2025-03-13 15:00:00,1.64,1.67,1.64,1.67,796,1.64004,5
2025-03-13 16:00:00,1.67,1.67,1.67,1.67,0,1.67,0
2025-03-13 17:00:00,1.67,1.67,1.67,1.67,0,1.67,0
2025-03-13 18:00:00,1.67,1.67,1.67,1.67,0,1.67,0
2025-03-14 06:00:00,1.66,1.66,1.66,1.66,1,1.66,1
2025-03-14 07:00:00,1.66,1.66,1.66,1.66,2,1.66,1
2025-03-14 08:00:00,1.66,1.705,1.645,1.655,1017,1.68042,149
2025-03-14 09:00:00,1.65,1.675,1.635,1.65,395,1.6531,120
2025-03-14 10:00:00,1.648,1.76,1.648,1.74,1614,1.70664,377
2025-03-14 11:00:00,1.74,1.76,1.725,1.755,284,1.73843,105
2025-03-14 12:00:00,1.755,1.765,1.705,1.705,869,1.73884,416
2025-03-14 13:00:00,1.705,1.705,1.665,1.68,1107,1.68099,543
2025-03-14 14:00:00,1.68,1.705,1.68,1.7,2216,1.69402,873
2025-03-14 15:00:00,1.7,1.7,1.7,1.7,1797,1.7,5
2025-03-14 16:00:00,1.7,1.7,1.7,1.7,1,1.7,1
2025-03-14 17:00:00,1.7,1.7,1.7,1.7,0,1.7,0
2025-03-14 18:00:00,1.7,1.7,1.7,1.7,0,1.7,0
2025-03-17 08:00:00,1.68,1.76,1.68,1.68,544,1.70899,229
2025-03-17 09:00:00,1.68,1.68,1.655,1.6597,408,1.66675,147
2025-03-17 10:00:00,1.66,1.68,1.64,1.64,610,1.65942,216
2025-03-17 11:00:00,1.64,1.65,1.62,1.625,288,1.63083,109
2025-03-17 12:00:00,1.62,1.62,1.58,1.585,873,1.59869,227
2025-03-17 13:00:00,1.59,1.6,1.585,1.585,274,1.59151,193
2025-03-17 14:00:00,1.58,1.62,1.56,1.59,1683,1.58608,913
2025-03-17 15:00:00,1.58,1.58,1.58,1.58,1219,1.58,6
2025-03-17 16:00:00,1.58,1.58,1.58,1.58,31,1.58,3
