date,open,high,low,close,volume,average,barCount
2024-03-20,5.0,5.09,4.44,4.81,5906,4.642,2708
2024-03-21,4.76,4.96,4.29,4.36,5132,4.532,1996
2024-03-22,4.26,4.3,3.88,4.09,6087,4.047,2284
2024-03-25,4.0,4.15,3.89,3.9,2724,3.964,1068
2024-03-26,3.89,3.9,3.48,3.48,4645,3.625,1660
2024-03-27,3.41,3.71,3.3,3.54,4760,3.524,1520
2024-03-28,3.53,4.01,3.5,3.93,5326,3.842,1625
2024-04-01,3.86,4.18,3.78,4.14,2953,4.016,1006
2024-04-02,3.97,4.09,3.83,4.04,2019,4.006,883
2024-04-03,4.0,4.15,3.9,4.11,2063,4.033,948
2024-04-04,4.16,4.45,4.12,4.17,2530,4.286,1209
2024-04-05,4.12,4.25,3.94,3.99,1782,4.02,636
2024-04-08,3.99,4.16,3.99,4.04,1136,4.054,521
2024-04-09,4.07,4.3,4.07,4.19,984,4.2,412
2024-04-10,4.02,4.09,3.83,3.9,2253,3.944,975
2024-04-11,3.91,4.04,3.72,3.89,1331,3.831,521
2024-04-12,3.83,3.83,3.53,3.58,1623,3.635,641
2024-04-15,3.57,3.64,3.4,3.44,1928,3.499,778
2024-04-16,3.41,3.44,3.18,3.18,1889,3.296,747
2024-04-17,3.21,3.25,2.94,2.98,3537,3.045,1093
2024-04-18,2.98,3.11,2.8,3.1,2920,2.992,1212
2024-04-19,3.08,3.22,3.07,3.11,1720,3.118,715
2024-04-22,3.13,3.2,2.91,2.99,2122,2.999,708
2024-04-23,3.0,3.21,2.98,3.09,1953,3.105,924
2024-04-24,3.18,3.18,3.0,3.13,1525,3.106,712
2024-04-25,3.06,3.09,2.91,2.94,1644,2.968,676
2024-04-26,2.96,3.13,2.96,3.09,1340,3.061,487
2024-04-29,3.12,3.32,3.12,3.24,1550,3.234,557
2024-04-30,3.19,3.27,3.11,3.12,1956,3.176,704
2024-05-01,3.12,3.24,3.02,3.07,1555,3.113,664
2024-05-02,3.13,3.22,3.0,3.1,2520,3.111,976
2024-05-03,3.2,3.62,3.2,3.42,4100,3.468,1218
2024-05-06,3.52,3.65,3.39,3.44,2115,3.499,898
2024-05-07,3.46,3.52,3.38,3.45,1462,3.466,496
2024-05-08,3.48,3.6,3.32,3.46,2506,3.465,914
2024-05-09,3.47,3.63,3.36,3.49,1834,3.543,900
2024-05-10,3.5,3.55,3.23,3.35,2359,3.332,695
2024-05-13,3.39,3.58,3.39,3.42,1272,3.494,472
2024-05-14,3.49,3.82,3.46,3.79,2747,3.693,1134
2024-05-15,3.86,3.87,3.59,3.6,1401,3.715,504
2024-05-16,3.58,3.61,3.38,3.4,1798,3.473,663
2024-05-17,3.41,3.58,3.35,3.4,1243,3.448,501
2024-05-20,3.4,3.64,3.38,3.47,1858,3.512,835
2024-05-21,3.46,3.5,3.26,3.3,1477,3.366,724
2024-05-22,3.27,3.47,3.26,3.45,1641,3.375,716
2024-05-23,3.47,3.49,3.25,3.28,2559,3.378,999
