date,open,high,low,close,volume,average,barCount
2024-05-24 00:00:00,42.08,42.29,41.16,41.55,9426,41.647,2155
2024-05-28 00:00:00,46.23,46.34,44.37,46.07,15354,45.707,4134
2024-05-29 00:00:00,45.48,46.79,45.21,45.88,10513,46.052,2864
2024-05-30 00:00:00,44.69,45.44,43.13,43.4,11237,44.186,3000
2024-05-31 00:00:00,44.43,44.73,40.81,41.29,19048,42.317,4619
2024-06-03 00:00:00,41.52,42.5,40.77,41.79,11784,41.735,2920
2024-06-04 00:00:00,40.0,40.0,38.54,39.0,20162,39.025,5336
2024-06-05 00:00:00,39.4,40.32,38.75,40.16,12538,39.689,2935
2024-06-06 00:00:00,41.39,43.75,40.93,43.53,12791,42.71,3051
2024-06-07 00:00:00,39.63,39.67,37.58,37.76,28613,38.515,7037
2024-06-10 00:00:00,38.93,39.39,38.35,39.1,9393,38.963,2343
2024-06-11 00:00:00,37.91,38.14,37.44,37.84,9689,37.768,2141
2024-06-12 00:00:00,40.1,40.26,38.44,38.7,16690,39.408,3885
2024-06-13 00:00:00,37.99,38.38,36.18,36.92,17370,37.01,4188
2024-06-14 00:00:00,37.5,38.58,37.13,38.57,14220,38.019,3163
2024-06-17 00:00:00,38.26,38.37,37.3,38.31,6813,37.946,1655
2024-06-18 00:00:00,37.57,38.6,37.52,38.46,9023,38.21,2118
2024-06-20 00:00:00,39.94,41.69,39.69,41.36,14677,41.076,4174
2024-06-21 00:00:00,39.95,40.03,38.12,38.27,17518,38.786,5230
2024-06-24 00:00:00,38.54,38.74,38.03,38.29,6127,38.387,1446
2024-06-25 00:00:00,37.75,37.77,36.43,36.6,11565,36.955,2697
2024-06-26 00:00:00,35.99,36.75,35.77,36.33,7931,36.266,2125
2024-06-27 00:00:00,37.04,37.3,36.39,36.69,6677,36.831,2036
2024-06-28 00:00:00,37.92,37.97,36.97,37.09,7670,37.432,1913
2024-07-01 00:00:00,37.44,38.03,37.11,37.81,5308,37.61,1423
