date,open,high,low,close,volume,average,barCount
2023-12-20,0.777,0.788,0.71,0.71,113,0.77511,26
2023-12-21,0.705,0.78,0.705,0.7304,22,0.7328,12
2023-12-22,0.72,0.7358,0.72,0.7358,44,0.72601,23
2023-12-26,0.84,0.9124,0.75,0.7965,206,0.79235,59
2023-12-27,0.95,0.95,0.7315,0.7665,45,0.77706,26
2023-12-28,0.7608,0.8302,0.72,0.7201,109,0.75204,20
2023-12-29,0.72,0.8073,0.7,0.74,45,0.75947,18
2024-01-02,0.84,1.35,0.84,1.13,35794,1.08442,9275
2024-01-03,1.02,1.1599,0.92,1.15,1517,1.02042,426
2024-01-04,1.0901,1.2687,1.04,1.24,698,1.17431,262
2024-01-05,1.21,1.21,1.11,1.2,208,1.15528,76
2024-01-08,1.17,1.24,1.1025,1.15,371,1.14696,155
2024-01-09,1.185,1.185,1.13,1.15,82,1.15527,40
2024-01-10,1.15,1.15,0.8743,0.9,457,0.98865,205
2024-01-11,0.87,1.0,0.87,0.89,152,0.93344,50
2024-01-12,1.06,1.34,1.0,1.07,10502,1.18439,2755
2024-01-16,1.2,1.445,1.12,1.41,3108,1.27183,587
2024-01-17,1.4,1.44,1.29,1.37,523,1.37066,193
2024-01-18,1.37,1.38,1.2,1.21,268,1.26131,86
2024-01-19,1.24,1.34,1.21,1.26,115,1.24867,43
2024-01-22,1.22,1.31,1.2,1.27,111,1.23666,48
2024-01-23,1.2,1.2331,1.15,1.15,98,1.1801,31
2024-01-24,1.13,1.64,1.1,1.515,1956,1.43604,513
2024-01-25,1.44,1.57,1.43,1.52,249,1.45845,38
2024-01-26,1.49,1.53,1.4,1.4,96,1.47454,27
2024-01-29,1.44,1.4801,1.3301,1.34,168,1.39282,43
2024-01-30,1.28,1.59,1.28,1.56,763,1.46568,241
2024-01-31,1.61,1.76,1.57,1.64,969,1.66341,264
2024-02-01,1.64,2.383,1.5699,2.225,6061,2.07746,1610
2024-02-02,2.38,2.9,2.0301,2.6,10447,2.59735,2695
2024-02-05,2.43,2.43,2.0899,2.24,2418,2.20588,651
2024-02-06,1.98,1.98,1.34,1.71,2355,1.62552,637
2024-02-07,1.68,1.7,1.6,1.6,338,1.63798,133
2024-02-08,1.66,1.73,1.6,1.64,241,1.66504,103
2024-02-09,1.67,1.96,1.6,1.9,477,1.74058,172
2024-02-12,1.88,2.0,1.6,1.78,611,1.7853,213
2024-02-13,1.8,1.9499,1.65,1.73,214,1.76037,61
