date,open,high,low,close,volume,average,barCount
2024-01-02,7.48,7.54,6.97,7.19,990,7.247,476
2024-01-03,7.22,7.39,6.88,6.94,327,7.054,248
2024-01-04,6.97,7.5,6.9,7.14,1078,7.074,463
2024-01-05,7.07,7.5,7.07,7.36,463,7.304,305
2024-01-08,7.37,8.18,7.35,8.0,721,8.001,436
2024-01-09,7.81,8.1,7.79,7.97,193,7.934,152
2024-01-10,8.03,8.05,7.72,7.98,347,7.988,163
2024-01-11,7.97,8.28,7.88,8.0,601,8.064,391
2024-01-12,8.12,8.13,7.57,7.98,187,7.958,103
2024-01-16,7.57,8.03,7.28,7.95,566,7.748,363
2024-01-17,7.82,8.06,7.69,7.95,411,7.917,229
2024-01-18,8.0,8.08,7.64,7.96,379,7.96,120
2024-01-19,8.0,8.0,7.58,7.77,1762,7.873,374
2024-01-22,7.8,8.17,7.66,8.12,310,8.022,145
2024-01-23,8.15,8.22,7.91,8.19,635,8.051,270
2024-01-24,8.3,8.3,7.62,7.64,992,8.032,141
2024-01-25,7.79,7.95,7.41,7.64,310,7.687,215
2024-01-26,7.84,7.96,7.43,7.68,1076,7.665,427
2024-01-29,7.76,7.85,7.63,7.75,131,7.725,80
2024-01-30,7.81,8.15,7.45,7.63,384,7.61,200
2024-01-31,7.64,7.69,7.22,7.26,644,7.506,435
2024-02-01,7.33,7.85,6.89,7.14,373,7.089,241
2024-02-02,7.01,7.48,7.0,7.45,728,7.222,466
2024-02-05,7.43,7.43,6.99,7.03,393,7.129,97
2024-02-06,6.9,7.03,6.7,6.89,687,6.863,257
2024-02-07,6.82,6.84,6.49,6.64,1120,6.661,548
2024-02-08,6.63,6.94,6.55,6.89,353,6.819,250
2024-02-09,6.89,7.11,6.8,7.04,621,6.979,348
2024-02-12,7.04,7.31,6.96,7.1,289,7.11,221
2024-02-13,6.85,6.97,6.58,6.61,663,6.78,307
2024-02-14,6.74,6.96,6.66,6.94,379,6.825,169
2024-02-15,6.95,7.22,6.81,7.21,427,6.99,112
2024-02-16,7.2,7.38,7.06,7.09,222,7.197,71
2024-02-20,7.08,7.08,6.52,6.64,540,6.745,284
2024-02-21,6.59,6.85,6.14,6.29,304,6.311,206
2024-02-22,6.25,6.48,6.11,6.2,736,6.305,469
2024-02-23,4.53,5.93,4.5,5.85,9849,5.235,4057
2024-02-26,5.83,6.53,5.83,6.31,1717,6.329,821
2024-02-27,5.46,6.53,5.46,6.18,857,6.11,449
2024-02-28,6.13,6.13,5.55,6.05,916,5.899,523
2024-02-29,6.15,6.37,6.03,6.31,717,6.295,468
2024-03-01,6.41,6.59,6.26,6.28,917,6.452,749
2024-03-04,6.23,6.24,5.92,5.96,987,6.031,623
2024-03-05,5.9,6.02,5.8,5.91,253,5.889,168
2024-03-06,6.01,6.06,5.75,6.03,235,5.962,166
2024-03-07,6.08,6.08,5.78,5.79,196,5.91,155
2024-03-08,5.86,6.12,5.86,6.05,212,6.037,150
2024-03-11,5.98,6.03,5.8,5.86,218,5.895,170
2024-03-12,5.91,6.08,5.82,5.84,178,5.86,105
2024-03-13,5.86,6.0,5.86,5.93,79,5.941,52
2024-03-14,6.07,6.07,5.59,5.67,190,5.769,119
2024-03-15,5.57,5.91,5.45,5.75,607,5.631,274
2024-03-18,5.84,5.84,5.5,5.64,187,5.654,101
2024-03-19,5.6,5.77,5.6,5.71,66,5.71,53
2024-03-20,5.71,5.98,5.6,5.9,160,5.8,94
2024-03-21,6.0,6.12,5.88,5.98,107,6.005,86
2024-03-22,5.98,6.08,5.74,5.77,144,5.853,89
2024-03-25,5.68,6.06,5.68,5.88,148,5.893,97
2024-03-26,5.95,6.19,5.86,6.0,194,6.046,134
2024-03-27,6.11,6.34,6.05,6.29,175,6.229,114
2024-03-28,6.2,6.39,6.1,6.14,51,6.19,37
2024-04-01,6.11,6.15,5.86,6.0,252,6.001,137
2024-04-02,5.82,6.13,5.63,5.65,245,5.864,159
2024-04-03,5.89,5.91,5.58,5.59,29,5.688,22
2024-04-04,5.66,5.7,5.42,5.42,103,5.584,71
2024-04-05,5.42,5.59,5.42,5.49,160,5.483,92
2024-04-08,5.58,5.75,5.41,5.51,67,5.553,43
2024-04-09,5.49,5.61,5.37,5.59,111,5.519,38
2024-04-10,5.38,5.53,5.38,5.46,80,5.43,73
2024-04-11,5.37,5.66,5.37,5.63,205,5.539,110
2024-04-12,5.7,5.7,5.23,5.44,46,5.419,44
2024-04-15,5.42,5.43,5.19,5.25,89,5.273,77
2024-04-16,5.32,5.48,5.14,5.25,51,5.286,22
2024-04-17,5.4,5.66,5.39,5.41,204,5.449,138
2024-04-18,5.37,5.57,5.35,5.44,130,5.442,101
2024-04-19,5.38,5.74,5.36,5.7,94,5.501,48
2024-04-22,5.68,5.75,5.5,5.66,71,5.612,40
2024-04-23,5.53,5.74,5.5,5.65,108,5.59,50
2024-04-24,5.67,5.69,5.37,5.63,110,5.531,57
2024-04-25,5.71,5.72,5.3,5.52,129,5.391,93
2024-04-26,5.5,5.69,5.46,5.61,22,5.535,10
2024-04-29,5.56,5.73,5.35,5.58,96,5.512,73
2024-04-30,5.45,5.57,5.4,5.51,56,5.479,53
2024-05-01,5.55,5.65,5.5,5.51,158,5.531,120
2024-05-02,5.56,5.6,5.4,5.5,259,5.483,156
