date,open,high,low,close,volume,average,barCount
2025-02-18 07:00:00,2.13,2.13,2.13,2.13,9,2.13,3
2025-02-18 08:00:00,2.13,2.13,2.13,2.13,3,2.13,1
2025-02-18 09:00:00,2.12,2.14,2.12,2.125,1216,2.12825,195
2025-02-18 10:00:00,2.12,2.13,2.1,2.125,1208,2.11371,270
2025-02-18 11:00:00,2.12,2.13,2.1,2.1,2190,2.10651,386
2025-02-18 12:00:00,2.105,2.12,2.1,2.115,1064,2.10859,180
2025-02-18 13:00:00,2.12,2.12,2.09,2.1,1619,2.10234,298
2025-02-18 14:00:00,2.11,2.11,2.09,2.095,963,2.09548,158
2025-02-18 15:00:00,2.09,2.1,2.07,2.07,2809,2.08059,538
2025-02-18 16:00:00,2.07,2.08,2.07,2.08,914,2.07057,9
2025-02-18 17:00:00,2.09,2.09,2.07,2.08,231,2.07582,11
2025-02-18 18:00:00,2.09,2.09,2.09,2.09,9,2.09,1
2025-02-18 19:00:00,2.09,2.09,2.09,2.09,0,2.09,0
2025-02-19 04:00:00,2.12,2.12,2.12,2.12,3,2.12,1
2025-02-19 05:00:00,2.12,2.12,2.12,2.12,0,2.12,0
2025-02-19 06:00:00,2.12,2.12,2.12,2.12,0,2.12,0
2025-02-19 07:00:00,2.12,2.12,2.12,2.12,0,2.12,0
2025-02-19 08:00:00,2.09,2.1,2.07,2.1,37,2.08602,6
2025-02-19 09:00:00,2.07,2.08,2.04,2.055,3001,2.06081,401
2025-02-19 10:00:00,2.055,2.06,2.01,2.011,2833,2.03059,513
2025-02-19 11:00:00,2.01,2.04,2.01,2.03,1056,2.03215,265
2025-02-19 12:00:00,2.03,2.04,2.01,2.015,1301,2.02703,317
2025-02-19 13:00:00,2.015,2.02,2.0,2.01,2140,2.01021,340
2025-02-19 14:00:00,2.015,2.02,2.01,2.015,1308,2.01413,217
2025-02-19 15:00:00,2.0187,2.0187,1.97,1.97,2792,1.98448,700
2025-02-19 16:00:00,1.98,1.9999,1.97,1.9999,1069,1.98013,15
2025-02-19 17:00:00,2.0,2.0,1.98,1.9902,85,1.99544,8
2025-02-19 18:00:00,1.9902,1.9902,1.9902,1.9902,0,1.9902,0
2025-02-19 19:00:00,2.0,2.05,2.0,2.02,3,2.02201,3
2025-02-20 07:00:00,2.0,2.05,2.0,2.05,7,2.03145,4
2025-02-20 08:00:00,2.0,2.0025,2.0,2.0025,10,2.00148,2
2025-02-20 09:00:00,2.0,2.0,1.88,1.89,7014,1.91112,886
2025-02-20 10:00:00,1.89,1.92,1.88,1.8849,4286,1.90075,581
2025-02-20 11:00:00,1.88,1.905,1.875,1.88,5198,1.88517,807
2025-02-20 12:00:00,1.885,1.91,1.88,1.895,2951,1.89094,493
2025-02-20 13:00:00,1.8939,1.91,1.8939,1.91,1382,1.90485,318
2025-02-20 14:00:00,1.91,1.91,1.9,1.905,492,1.90593,177
2025-02-20 15:00:00,1.91,1.91,1.9,1.905,2325,1.90495,763
2025-02-20 16:00:00,1.91,1.939,1.91,1.91,998,1.91015,4
2025-02-20 17:00:00,1.901,1.901,1.9005,1.9005,13,1.90087,2
2025-02-20 18:00:00,1.9005,1.9005,1.9005,1.9005,0,1.9005,0
2025-02-20 19:00:00,1.9107,1.92,1.9107,1.92,7,1.91389,2
2025-02-21 04:00:00,1.91,1.91,1.91,1.91,1,1.91,1
2025-02-21 05:00:00,1.91,1.91,1.91,1.91,0,1.91,0
2025-02-21 06:00:00,1.91,1.91,1.91,1.91,0,1.91,0
2025-02-21 07:00:00,1.93,1.93,1.93,1.93,3,1.93,1
2025-02-21 08:00:00,1.901,1.901,1.9,1.9,13,1.90092,2
2025-02-21 09:00:00,1.94,1.94,1.9,1.92,2205,1.92379,258
2025-02-21 10:00:00,1.92,1.92,1.8712,1.88,2492,1.8921,330
2025-02-21 11:00:00,1.88,1.9,1.88,1.885,2964,1.88754,378
2025-02-21 12:00:00,1.8801,1.89,1.84,1.8405,4360,1.86643,500
2025-02-21 13:00:00,1.845,1.855,1.78,1.79,16096,1.80404,1744
2025-02-21 14:00:00,1.795,1.81,1.78,1.8,4535,1.79183,965
2025-02-21 15:00:00,1.795,1.81,1.79,1.795,4695,1.80027,906
2025-02-21 16:00:00,1.8,1.8,1.79,1.79,1316,1.79991,12
2025-02-21 17:00:00,1.8,1.8,1.7907,1.8,50,1.79626,4
2025-02-21 18:00:00,1.8,1.8,1.8,1.8,0,1.8,0
2025-02-21 19:00:00,1.8,1.8,1.8,1.8,0,1.8,0
2025-02-24 07:00:00,1.83,1.83,1.82,1.82,27,1.82348,8
2025-02-24 08:00:00,1.83,1.83,1.81,1.8297,93,1.82948,7
2025-02-24 09:00:00,1.83,1.83,1.75,1.7517,4164,1.79087,580
2025-02-24 10:00:00,1.76,1.77,1.74,1.755,6681,1.75498,934
2025-02-24 11:00:00,1.755,1.79,1.75,1.785,2408,1.76835,562
2025-02-24 12:00:00,1.785,1.805,1.78,1.79,1487,1.79479,405
2025-02-24 13:00:00,1.79,1.81,1.79,1.795,2485,1.7969,383
2025-02-24 14:00:00,1.8,1.81,1.78,1.785,1596,1.79518,371
2025-02-24 15:00:00,1.785,1.79,1.76,1.76,3515,1.77528,992
2025-02-24 16:00:00,1.77,1.8396,1.75,1.78,1735,1.7703,6
2025-02-24 17:00:00,1.84,1.84,1.8299,1.8299,6,1.83495,2
2025-02-24 18:00:00,1.8299,1.8299,1.8299,1.8299,0,1.8299,0
2025-02-24 19:00:00,1.8299,1.8299,1.8299,1.8299,0,1.8299,0
2025-02-25 04:00:00,1.83,1.83,1.83,1.83,2,1.83,1
2025-02-25 05:00:00,1.83,1.83,1.82,1.82,2,1.82655,2
2025-02-25 06:00:00,1.82,1.82,1.82,1.82,0,1.82,0
2025-02-25 07:00:00,1.8,1.8,1.8,1.8,1,1.8,1
2025-02-25 08:00:00,1.7634,1.82,1.7634,1.82,15,1.77902,4
2025-02-25 09:00:00,1.77,1.82,1.76,1.805,2120,1.78921,469
2025-02-25 10:00:00,1.8,1.835,1.8,1.805,2984,1.81605,508
2025-02-25 11:00:00,1.809,1.81,1.76,1.79,5590,1.78802,759
2025-02-25 12:00:00,1.785,1.83,1.785,1.82,4868,1.80706,703
2025-02-25 13:00:00,1.815,1.83,1.805,1.81,1741,1.81506,479
2025-02-25 14:00:00,1.81,1.82,1.795,1.815,1186,1.8054,338
2025-02-25 15:00:00,1.8101,1.84,1.8101,1.825,3649,1.8274,941
2025-02-25 16:00:00,1.82,1.82,1.8,1.8,1590,1.81982,14
2025-02-25 17:00:00,1.8007,1.8007,1.8007,1.8007,1,1.8007,1
2025-02-25 18:00:00,1.85,1.85,1.8488,1.85,16,1.84983,4
2025-02-25 19:00:00,1.84,1.84,1.84,1.84,9,1.84,1
2025-02-26 05:00:00,1.81,1.81,1.81,1.81,6,1.81,3
2025-02-26 06:00:00,1.82,1.82,1.82,1.82,2,1.82,2
2025-02-26 07:00:00,1.82,1.82,1.82,1.82,0,1.82,0
2025-02-26 08:00:00,1.84,1.84,1.84,1.84,18,1.84,1
2025-02-26 09:00:00,1.84,1.845,1.81,1.815,709,1.82535,132
2025-02-26 10:00:00,1.815,1.84,1.815,1.8346,3597,1.82621,318
2025-02-26 11:00:00,1.835,1.85,1.835,1.845,2023,1.84597,414
