date,open,high,low,close,volume,average,barCount
2023-12-20,22.8,23.35,21.32,21.56,4788,22.081,3382
2023-12-21,22.18,22.73,21.85,22.32,3559,22.142,2480
2023-12-22,22.56,23.45,22.55,23.08,3051,23.041,2094
2023-12-26,23.3,24.02,23.1,23.72,2584,23.695,1693
2023-12-27,23.69,24.3,23.22,24.25,3234,23.931,2053
2023-12-28,24.23,24.91,23.56,24.02,7142,24.212,5288
2023-12-29,24.17,24.17,23.1,23.35,4770,23.46,3474
2024-01-02,23.03,24.11,22.55,23.48,3367,23.465,2529
2024-01-03,23.31,23.31,21.93,22.21,3124,22.625,1909
2024-01-04,22.31,23.21,22.2,22.83,2260,22.755,1639
2024-01-05,22.52,23.04,21.62,22.84,3336,22.703,2454
2024-01-08,22.72,24.21,22.32,24.13,4542,23.403,3053
2024-01-09,23.78,23.89,22.82,23.07,4797,23.187,3393
2024-01-10,23.03,23.4,22.04,23.34,3627,23.027,2510
2024-01-11,22.82,23.11,22.38,22.58,3609,22.668,2264
2024-01-12,22.67,23.77,22.38,22.44,2831,22.829,2047
2024-01-16,22.25,22.48,21.82,22.03,1731,22.115,1325
2024-01-17,21.64,21.86,21.26,21.8,3342,21.556,2404
2024-01-18,22.04,22.04,21.11,21.57,2744,21.543,2202
2024-01-19,21.56,22.31,21.2,21.91,4832,22.065,2606
2024-01-22,22.02,22.37,21.76,22.35,2925,22.099,1845
2024-01-23,22.64,22.7,21.69,22.42,2381,22.204,1561
2024-01-24,22.68,22.71,21.87,21.87,1524,22.2,1212
2024-01-25,22.09,22.52,21.85,22.06,2863,22.155,2001
2024-01-26,22.24,22.29,22.03,22.12,2442,22.155,2111
2024-01-29,22.11,23.64,21.75,23.57,3462,23.141,2200
2024-01-30,23.43,23.55,21.73,22.34,2221,22.353,1635
2024-01-31,22.4,22.56,21.59,21.61,2878,22.045,2023
2024-02-01,21.87,22.02,20.87,20.98,2615,21.284,2104
2024-02-02,20.59,20.87,19.96,20.81,6853,20.476,4295
2024-02-05,20.5,21.03,20.08,20.24,2729,20.439,2128
2024-02-06,16.95,18.39,15.32,17.76,35187,17.28,17136
2024-02-07,17.92,18.28,16.25,17.89,10744,17.423,6639
2024-02-08,17.98,19.2,17.84,18.6,6134,18.599,3062
2024-02-09,18.71,19.81,18.66,19.76,4807,19.381,2945
2024-02-12,19.89,22.17,19.72,21.88,6853,21.429,4475
2024-02-13,21.0,21.13,20.11,20.59,8011,20.613,5279
2024-02-14,20.72,22.49,20.28,21.75,10464,21.763,3797
2024-02-15,21.65,21.94,20.96,21.41,4779,21.5,3228
2024-02-16,21.04,21.65,20.36,20.89,4084,20.931,2794
2024-02-20,20.74,21.85,20.69,21.62,2584,21.602,2046
2024-02-21,21.48,24.28,21.25,24.04,7017,23.308,4563
2024-02-22,23.59,25.09,23.48,24.21,3535,24.472,2694
2024-02-23,24.36,27.66,24.36,25.34,9874,26.43,5814
2024-02-26,24.1,25.41,23.11,23.9,7225,24.068,4740
2024-02-27,24.01,27.51,23.8,27.3,6226,26.243,3908
2024-02-28,27.31,27.98,26.9,27.23,3999,27.297,2743
2024-02-29,27.96,29.79,26.93,26.99,11894,27.743,5233
2024-03-01,27.4,30.47,27.07,27.81,16441,28.636,8833
2024-03-04,35.51,37.0,29.8,31.07,53532,32.437,27208
2024-03-05,30.75,31.35,28.13,30.52,16209,29.931,8319
2024-03-06,31.2,32.4,28.15,30.0,21884,30.161,11592
2024-03-07,30.43,32.09,29.98,30.88,14763,30.954,7847
2024-03-08,30.93,32.56,30.58,31.18,7615,31.302,4813
2024-03-11,31.01,32.3,28.93,29.31,9901,30.6,7125
