date,open,high,low,close,volume,average,barCount
2024-06-28 00:00:00,13.5,13.53,12.02,13.3,15168,13.055,5192
2024-07-01 00:00:00,12.82,13.5,12.42,12.54,2734,12.942,1848
2024-07-02 00:00:00,12.5,12.58,11.75,11.94,2609,12.005,1412
2024-07-03 00:00:00,12.0,12.11,11.65,11.65,1418,11.932,789
2024-07-05 00:00:00,12.23,12.23,10.85,11.45,2299,11.251,968
2024-07-08 00:00:00,11.63,12.97,10.92,12.75,999,12.231,559
2024-07-09 00:00:00,12.85,12.86,11.58,11.75,1484,12.225,756
2024-07-10 00:00:00,11.99,13.08,11.52,12.96,1149,12.813,808
2024-07-11 00:00:00,13.36,13.36,11.94,12.37,1000,12.588,606
2024-07-12 00:00:00,12.07,12.49,11.09,11.09,809,11.572,460
2024-07-15 00:00:00,11.07,11.4,10.45,11.29,1685,10.848,740
2024-07-16 00:00:00,11.49,11.49,10.57,11.09,774,11.001,542
2024-07-17 00:00:00,11.33,12.64,11.02,12.58,1397,11.774,825
2024-07-18 00:00:00,12.58,12.99,11.99,12.51,820,12.68,506
2024-07-19 00:00:00,12.5,13.0,12.29,12.5,522,12.638,372
2024-07-22 00:00:00,12.51,13.0,12.26,13.0,705,12.679,393
2024-07-23 00:00:00,13.4,13.5,12.58,12.6,1574,13.007,837
2024-07-24 00:00:00,12.6,13.08,12.39,12.81,1009,12.807,692
2024-07-25 00:00:00,12.99,12.99,12.47,12.85,656,12.652,376
2024-07-26 00:00:00,12.92,13.0,12.43,12.5,686,12.543,298
2024-07-29 00:00:00,12.5,13.0,12.3,12.78,1618,12.552,854
2024-07-30 00:00:00,12.96,12.96,11.65,11.95,2162,12.348,1445
2024-07-31 00:00:00,12.06,13.2,11.76,12.3,1947,12.355,1440
2024-08-01 00:00:00,12.5,12.95,12.0,12.69,865,12.533,573
2024-08-02 00:00:00,12.5,13.0,12.44,12.98,644,12.813,483
2024-08-05 00:00:00,12.5,12.71,11.52,11.86,2052,12.266,1324
2024-08-06 00:00:00,11.86,12.9,11.82,12.26,679,12.205,474
2024-08-07 00:00:00,12.21,12.8,11.77,12.16,444,12.226,351
2024-08-08 00:00:00,11.78,12.59,11.75,12.21,447,12.05,264
2024-08-09 00:00:00,12.34,12.51,11.57,11.96,437,12.044,333
2024-08-12 00:00:00,11.97,12.57,11.7,11.99,817,12.026,548
