date,open,high,low,close,volume,average,barCount
2024-01-02,11.49,11.49,11.26,11.36,53,11.376,39
2024-01-03,11.5,11.75,11.46,11.68,501,11.615,201
2024-01-04,11.75,12.61,11.68,12.1,230,12.046,150
2024-01-05,12.2,12.5,12.2,12.26,332,12.319,158
2024-01-08,12.98,12.99,12.4,12.47,623,12.622,335
2024-01-09,12.5,12.52,12.4,12.49,549,12.44,221
2024-01-10,12.4,12.62,12.07,12.21,800,12.379,231
2024-01-11,12.2,12.35,12.2,12.23,876,12.301,210
2024-01-12,12.22,12.31,12.22,12.31,107,12.284,58
2024-01-16,12.16,12.45,12.16,12.42,45,12.324,22
2024-01-17,12.29,12.5,12.24,12.35,91,12.329,57
2024-01-18,12.38,12.38,12.21,12.27,37,12.327,30
2024-01-19,13.08,14.59,12.26,14.14,22973,13.681,3726
2024-01-22,14.75,14.75,14.1,14.18,9014,14.471,2641
2024-01-23,14.11,14.54,14.1,14.25,2702,14.278,633
2024-01-24,14.41,14.75,14.21,14.25,4311,14.471,1259
2024-01-25,14.34,14.36,14.23,14.24,2531,14.266,532
2024-01-26,14.25,14.65,14.25,14.65,667,14.487,257
2024-01-29,15.0,15.7,14.6,15.25,4588,15.157,1713
2024-01-30,15.28,15.38,15.0,15.13,2480,15.162,819
2024-01-31,15.71,16.03,15.6,15.75,8583,15.746,2660
2024-02-01,15.74,16.1,15.72,15.95,5599,15.946,2464
2024-02-02,15.75,15.92,15.31,15.7,3329,15.669,1830
2024-02-05,15.66,15.74,15.42,15.49,1480,15.537,755
2024-02-06,15.5,15.59,15.36,15.48,1815,15.459,751
2024-02-07,15.45,15.88,15.45,15.61,1371,15.603,784
2024-02-08,15.46,15.6,15.32,15.49,1240,15.473,636
2024-02-09,15.4,15.76,15.26,15.66,4901,15.559,2371
2024-02-12,15.72,15.91,15.65,15.71,3249,15.755,860
2024-02-13,15.55,15.82,15.55,15.66,1427,15.67,527
2024-02-14,15.7,15.83,15.65,15.7,2810,15.705,843
2024-02-15,15.75,16.22,15.7,15.8,5398,15.853,1226
2024-02-16,15.69,15.93,15.69,15.82,1046,15.838,470
2024-02-20,15.9,16.0,15.9,15.97,4786,15.955,2093
2024-02-21,16.0,16.0,15.7,15.75,1103,15.816,598
2024-02-22,15.93,15.93,15.53,15.57,2213,15.672,927
2024-02-23,15.65,16.15,15.6,16.03,6652,15.923,2821
2024-02-26,17.85,18.0,17.02,17.27,16316,17.581,4764
2024-02-27,17.1,17.1,15.92,16.29,3212,16.353,1867
2024-02-28,16.17,16.28,15.71,15.9,2094,15.801,975
2024-02-29,15.89,15.89,15.0,15.39,2255,15.489,1204
2024-03-01,15.3,15.77,15.3,15.76,1406,15.664,940
2024-03-04,15.6,16.0,15.6,16.0,1291,15.889,755
2024-03-05,16.3,16.95,16.05,16.16,3937,16.187,2294
2024-03-06,16.0,16.12,15.97,15.98,984,16.022,560
2024-03-07,16.1,16.1,15.97,16.02,756,16.027,330
2024-03-08,16.03,16.1,15.57,15.6,1541,15.805,796
2024-03-11,15.34,15.9,15.34,15.43,432,15.474,270
2024-03-12,15.62,15.83,15.3,15.32,887,15.406,556
2024-03-13,15.25,15.48,15.25,15.39,1080,15.363,675
2024-03-14,15.3,15.56,15.12,15.33,911,15.271,542
2024-03-15,15.22,15.5,15.21,15.31,1803,15.34,427
