date,open,high,low,close,volume,average,barCount
2023-12-20,6.69,6.7,6.17,6.17,243256,6.448,48669
2023-12-21,6.33,6.38,5.93,6.07,262071,6.099,52405
2023-12-22,6.05,6.2,5.96,6.1,125428,6.1,26285
2023-12-26,6.08,6.19,5.96,6.11,115962,6.086,22253
2023-12-27,6.11,6.26,6.04,6.16,99749,6.182,22685
2023-12-28,6.18,6.5,6.14,6.21,164313,6.306,30322
2023-12-29,6.2,6.23,6.06,6.12,135597,6.14,32815
2024-01-02,6.09,6.33,6.01,6.11,120915,6.172,27108
2024-01-03,6.05,6.07,5.55,5.58,268716,5.701,57085
2024-01-04,5.56,5.6,5.25,5.3,210013,5.398,41191
2024-01-05,5.26,5.28,5.08,5.17,146618,5.165,33908
2024-01-08,5.14,5.42,5.09,5.29,131239,5.264,25703
2024-01-09,5.24,5.3,5.03,5.04,115093,5.136,22722
2024-01-10,5.05,5.05,4.71,4.91,211724,4.85,41764
2024-01-11,4.86,4.87,4.64,4.7,118475,4.721,26069
2024-01-12,4.67,4.79,4.46,4.56,126424,4.606,23779
2024-01-16,4.54,4.54,4.13,4.21,162233,4.292,31028
2024-01-17,4.07,4.26,4.01,4.11,138264,4.114,34519
2024-01-18,4.15,4.44,4.08,4.43,158320,4.295,31621
2024-01-19,4.5,4.53,4.3,4.51,94958,4.43,18300
2024-01-22,4.6,4.81,4.43,4.48,128422,4.576,31357
2024-01-23,4.53,4.72,4.33,4.33,115595,4.471,24408
2024-01-24,4.4,4.44,4.11,4.13,99816,4.222,23235
2024-01-25,4.13,4.23,4.07,4.08,97252,4.127,20664
2024-01-26,4.12,4.26,4.06,4.07,102585,4.155,19910
2024-01-29,4.11,4.27,3.98,4.27,97201,4.131,19412
2024-01-30,4.23,4.23,4.08,4.11,78992,4.145,15956
2024-01-31,4.12,4.32,4.02,4.05,131741,4.178,25457
2024-02-01,4.1,4.15,4.02,4.06,92322,4.069,18174
2024-02-02,4.04,4.06,3.93,4.01,115559,3.985,23020
2024-02-05,3.97,3.98,3.6,3.67,179451,3.716,34592
2024-02-06,3.65,4.16,3.58,4.07,192704,3.965,40548
2024-02-07,4.08,4.08,3.84,3.94,114028,3.948,22087
2024-02-08,3.98,4.16,3.94,4.09,97147,4.084,18102
2024-02-09,4.15,4.49,4.1,4.38,174799,4.335,32564
2024-02-12,4.38,4.72,4.31,4.56,144273,4.589,31948
2024-02-13,4.37,4.68,4.26,4.49,106299,4.475,26267
2024-02-14,4.62,4.87,4.47,4.8,119213,4.679,24595
2024-02-15,4.8,5.05,4.76,4.89,112231,4.89,25428
2024-02-16,4.77,4.95,4.62,4.83,90309,4.801,20872
2024-02-20,4.76,4.81,4.55,4.66,78584,4.663,18756
2024-02-21,4.59,4.82,4.51,4.57,70706,4.626,16331
2024-02-22,4.66,4.69,4.36,4.42,84746,4.46,19135
2024-02-23,4.39,4.54,4.28,4.44,86081,4.424,19479
2024-02-26,4.46,4.62,4.37,4.45,90663,4.515,21254
2024-02-27,4.49,4.85,4.48,4.81,133818,4.667,27663
2024-02-28,4.93,5.1,4.75,4.99,221338,4.933,44491
2024-02-29,4.46,4.75,4.22,4.32,259212,4.407,51859
2024-03-01,4.34,4.5,4.23,4.36,114104,4.381,22791
2024-03-04,4.36,4.39,4.12,4.32,130659,4.275,32131
2024-03-05,4.23,4.55,4.21,4.5,124400,4.414,28377
2024-03-06,4.52,4.69,4.4,4.56,115406,4.544,26451
2024-03-07,4.6,4.9,4.52,4.6,175711,4.673,45228
2024-03-08,4.68,4.78,4.24,4.3,160200,4.442,28679
2024-03-11,4.3,4.5,4.25,4.36,107813,4.402,22417
2024-03-12,4.38,4.41,4.27,4.34,62420,4.325,15115
2024-03-13,4.32,4.45,4.3,4.36,66946,4.378,17793
2024-03-14,4.37,4.38,4.17,4.27,75424,4.256,18455
2024-03-15,4.2,4.54,4.2,4.44,104231,4.427,24592
2024-03-18,4.43,4.49,4.36,4.39,67211,4.422,19046
2024-03-19,4.35,4.41,4.24,4.27,65552,4.297,14176
2024-03-20,4.25,4.28,4.15,4.25,75633,4.214,15847
2024-03-21,4.25,4.3,4.15,4.2,62293,4.219,13828
2024-03-22,4.17,4.18,4.06,4.08,60242,4.097,14068
2024-03-25,4.11,4.24,4.06,4.09,72097,4.116,15294
2024-03-26,4.14,4.3,4.06,4.07,124845,4.176,23203
2024-03-27,4.13,4.37,4.07,4.34,116309,4.239,22811
2024-03-28,3.84,3.96,3.65,3.72,358413,3.748,64234
