date,open,high,low,close,volume,average,barCount
2023-12-20,5.32,5.49,5.22,5.29,10413,5.38263,5199
2023-12-21,5.35,5.555,5.34,5.54,7213,5.46537,3254
2023-12-22,5.6,5.8,5.56,5.76,14449,5.74511,7579
2023-12-26,5.77,5.95,5.745,5.87,8160,5.87527,4175
2023-12-27,5.88,6.25,5.76,6.21,11171,6.125,5582
2023-12-28,6.24,6.3,6.06,6.12,7256,6.152,3332
2023-12-29,6.15,6.16,5.92,6.07,7974,6.064,4585
2024-01-02,6.11,6.11,5.71,5.98,12745,5.912,6608
2024-01-03,5.93,6.0,5.81,5.86,6127,5.899,3570
2024-01-04,5.81,6.02,5.81,5.9,8276,5.924,4483
2024-01-05,5.8,6.09,5.76,5.99,9517,5.988,5499
2024-01-08,6.0,6.0,5.83,5.94,7446,5.917,4099
2024-01-09,5.89,5.9,5.6,5.69,16729,5.713,7477
2024-01-10,5.69,5.73,5.34,5.51,24303,5.491,9500
2024-01-11,5.47,5.5,5.37,5.45,15273,5.444,6954
2024-01-12,5.53,5.59,5.38,5.4,10700,5.432,5429
2024-01-16,5.34,5.36,5.24,5.35,8894,5.301,5494
2024-01-17,5.3,5.35,5.2,5.24,8621,5.264,5546
2024-01-18,5.23,5.33,5.19,5.31,13043,5.275,6613
2024-01-19,5.3,5.41,5.24,5.4,9257,5.34,4997
2024-01-22,5.56,5.56,5.31,5.47,9444,5.407,4920
2024-01-23,5.55,5.57,5.42,5.48,6084,5.491,3144
2024-01-24,5.53,5.55,5.34,5.43,7309,5.433,3538
2024-01-25,5.52,5.56,5.42,5.47,9426,5.467,3519
2024-01-26,5.53,5.54,5.38,5.49,4466,5.461,2283
2024-01-29,5.64,5.81,5.56,5.76,11445,5.717,5486
2024-01-30,5.76,5.76,5.29,5.51,10511,5.456,4807
2024-01-31,5.48,5.62,5.34,5.35,6963,5.474,3869
2024-02-01,5.5,5.53,5.23,5.51,9816,5.389,4410
2024-02-02,5.41,5.57,5.27,5.52,7169,5.467,4444
