date,open,high,low,close,volume,average,barCount
2024-03-18 06:00:00,6.85,6.95,6.84,6.85,52,6.9175,13
2024-03-18 07:00:00,6.9698,7.0,6.8499,6.9965,121,6.96647,16
2024-03-18 08:00:00,7.0,7.0,6.35,6.64,3698,6.72797,1181
2024-03-18 09:00:00,6.64,6.69,6.36,6.47,3316,6.54346,1334
2024-03-18 10:00:00,6.48,6.5051,6.33,6.41,1575,6.45098,897
2024-03-18 11:00:00,6.43,6.48,6.38,6.42,1979,6.44251,866
2024-03-18 12:00:00,6.41,6.45,6.33,6.39,1901,6.39487,1047
2024-03-18 13:00:00,6.3906,6.43,6.33,6.36,1899,6.37413,1074
2024-03-18 14:00:00,6.355,6.355,6.19,6.285,3918,6.25438,2152
2024-03-18 15:00:00,6.29,6.29,6.29,6.29,3898,6.29,14
2024-03-18 16:00:00,6.29,6.29,6.29,6.29,11,6.29,3
2024-03-18 17:00:00,6.1399,6.14,6.1399,6.14,2,6.13995,2
2024-03-18 18:00:00,6.11,6.11,6.01,6.01,3,6.04642,3
2024-03-19 07:00:00,6.0086,6.3,6.0006,6.3,38,6.04849,7
2024-03-19 08:00:00,6.18,6.329,5.78,6.01,1860,6.00647,598
2024-03-19 09:00:00,6.005,6.18,5.9,6.01,1809,6.0552,880
2024-03-19 10:00:00,6.01,6.08,5.95,6.05,1170,6.00279,559
2024-03-19 11:00:00,6.06,6.215,6.0,6.17,1429,6.11477,673
2024-03-19 12:00:00,6.16,6.27,6.14,6.195,1266,6.20463,614
2024-03-19 13:00:00,6.195,6.22,6.12,6.13,977,6.17296,580
2024-03-19 14:00:00,6.14,6.15,6.02,6.07,2241,6.07497,1080
2024-03-19 15:00:00,6.08,6.0999,6.08,6.0999,3555,6.08001,12
2024-03-19 16:00:00,6.12,6.12,6.12,6.12,1,6.12,1
2024-03-19 17:00:00,6.25,6.3961,6.25,6.3961,2,6.31581,2
2024-03-19 18:00:00,6.5,6.5,6.5,6.5,1,6.5,1
2024-03-20 06:00:00,6.28,6.35,6.28,6.35,6,6.315,4
2024-03-20 07:00:00,6.51,6.7364,6.35,6.35,15,6.50726,4
2024-03-20 08:00:00,6.38,6.38,5.66,5.71,1713,5.83787,273
2024-03-20 09:00:00,5.7295,5.9,5.66,5.79,1786,5.77927,840
2024-03-20 10:00:00,5.7986,5.84,5.71,5.73,1377,5.76336,578
2024-03-20 11:00:00,5.71,5.78,5.71,5.74,1248,5.73618,525
2024-03-20 12:00:00,5.75,5.91,5.7,5.83,1505,5.80381,510
2024-03-20 13:00:00,5.85,6.03,5.8,5.98,1676,5.90895,690
2024-03-20 14:00:00,5.98,5.98,5.7606,5.88,4386,5.86234,1359
2024-03-20 15:00:00,5.89,5.9,5.71,5.71,860,5.88808,6
2024-03-20 16:00:00,6.0,6.0,5.85,5.85,12,5.90962,2
2024-03-20 17:00:00,5.85,5.85,5.85,5.85,0,5.85,0
2024-03-20 18:00:00,5.85,5.85,5.85,5.85,0,5.85,0
2024-03-21 07:00:00,6.14,6.14,5.85,5.85,94,5.9197,10
2024-03-21 08:00:00,5.93,6.07,5.8,5.93,843,5.93396,277
2024-03-21 09:00:00,5.935,6.14,5.935,6.04,1790,6.04883,798
2024-03-21 10:00:00,6.06,6.15,5.92,5.93,1542,6.03494,637
2024-03-21 11:00:00,5.94,5.94,5.775,5.88,1666,5.8523,627
2024-03-21 12:00:00,5.885,6.075,5.885,6.035,2177,5.98012,603
2024-03-21 13:00:00,6.03,6.1,5.98,6.08,1266,6.04983,687
2024-03-21 14:00:00,6.09,6.19,6.01,6.08,2652,6.11213,1452
2024-03-21 15:00:00,6.09,6.26,6.09,6.21,1064,6.0984,16
2024-03-21 16:00:00,6.2945,6.2945,6.282,6.29,4,6.28913,4
2024-03-21 17:00:00,6.27,6.2701,6.27,6.2701,2,6.27005,2
2024-03-21 18:00:00,6.2701,6.2701,6.2701,6.2701,0,6.2701,0
2024-03-22 07:00:00,6.16,6.27,6.09,6.09,34,6.15609,3
2024-03-22 08:00:00,6.08,7.35,6.07,6.9526,8363,6.91867,2184
2024-03-22 09:00:00,6.9601,7.38,6.96,7.28,11020,7.17028,3692
2024-03-22 10:00:00,7.2899,7.61,7.1017,7.295,8433,7.36451,2984
2024-03-22 11:00:00,7.3096,7.35,6.93,6.95,5682,7.13871,1999
2024-03-22 12:00:00,6.96,7.0,6.8743,7.0,2323,6.92718,1077
2024-03-22 13:00:00,7.01,7.1,6.945,6.975,1879,7.00765,1070
2024-03-22 14:00:00,6.975,6.99,6.78,6.8,8247,6.90899,2719
2024-03-22 15:00:00,6.8,7.0,6.8,6.93,1508,6.80139,13
2024-03-22 16:00:00,6.83,6.83,6.83,6.83,1,6.83,1
2024-03-22 17:00:00,6.93,6.93,6.93,6.93,5,6.93,2
2024-03-22 18:00:00,6.9,6.9,6.9,6.9,2,6.9,1
2024-03-25 04:00:00,6.9,6.9,6.89,6.9,6,6.89833,5
2024-03-25 05:00:00,6.9,6.9,6.9,6.9,0,6.9,0
2024-03-25 06:00:00,6.91,6.91,6.9,6.9,4,6.9025,3
2024-03-25 07:00:00,7.0999,7.0999,6.92,7.0498,38,7.05036,10
2024-03-25 08:00:00,7.05,7.19,6.83,6.92,2868,6.97648,1005
2024-03-25 09:00:00,6.9063,7.07,6.64,6.775,2585,6.83519,1113
2024-03-25 10:00:00,6.7799,6.89,6.72,6.8898,1250,6.84041,664
2024-03-25 11:00:00,6.88,6.89,6.72,6.86,1428,6.79747,789
2024-03-25 12:00:00,6.86,6.96,6.7,6.7,1058,6.8356,616
2024-03-25 13:00:00,6.7098,6.81,6.65,6.6762,1016,6.72568,508
2024-03-25 14:00:00,6.68,6.68,6.56,6.64,3561,6.61342,1580
2024-03-25 15:00:00,6.64,6.64,6.5608,6.5608,1248,6.63981,5
2024-03-25 16:00:00,6.5614,6.5614,6.5611,6.5611,9,6.56123,2
2024-03-25 17:00:00,6.5611,6.5611,6.5611,6.5611,0,6.5611,0
2024-03-25 18:00:00,6.95,6.95,6.95,6.95,10,6.95,1
2024-03-26 06:00:00,6.8,6.8,6.8,6.8,46,6.8,10
2024-03-26 07:00:00,6.6415,6.81,6.6415,6.77,18,6.70715,3
2024-03-26 08:00:00,6.65,7.145,6.64,7.075,2454,7.03931,815
2024-03-26 09:00:00,7.08,7.11,6.8,6.85,1887,6.94245,940
2024-03-26 10:00:00,6.84,7.0,6.73,6.73,1786,6.86482,770
2024-03-26 11:00:00,6.72,6.76,6.57,6.71,1524,6.67593,606
2024-03-26 12:00:00,6.71,6.76,6.7,6.74,736,6.73538,363
2024-03-26 13:00:00,6.74,6.845,6.72,6.82,3641,6.80221,674
2024-03-26 14:00:00,6.82,6.955,6.815,6.86,1906,6.87558,1146
2024-03-26 15:00:00,6.88,6.9398,6.72,6.9299,1013,6.88042,11
2024-03-26 16:00:00,6.75,6.75,6.65,6.66,28,6.67311,10
2024-03-26 17:00:00,6.75,6.75,6.67,6.67,3,6.72333,2
2024-03-26 18:00:00,6.75,6.75,6.75,6.75,5,6.75,1
2024-03-27 06:00:00,6.9,6.91,6.9,6.91,15,6.90805,7
2024-03-27 07:00:00,6.9092,6.91,6.9092,6.91,7,6.90966,3
2024-03-27 08:00:00,6.9,8.27,6.9,7.61,5906,7.51086,1989
2024-03-27 09:00:00,7.61,8.4,7.59,7.97,8402,7.98809,3418
2024-03-27 10:00:00,7.97,8.4,7.95,8.12,5363,8.09216,1833
2024-03-27 11:00:00,8.12,8.25,7.85,7.98,4161,8.04923,1878
2024-03-27 12:00:00,7.98,8.05,7.91,7.92,3642,7.99356,1213
2024-03-27 13:00:00,7.91,8.01,7.81,7.925,2855,7.91623,1570
2024-03-27 14:00:00,7.925,8.005,7.77,7.78,10948,7.84661,3825
2024-03-27 15:00:00,7.81,8.02,7.81,7.97,2195,7.81474,22
2024-03-27 16:00:00,7.97,8.05,7.92,7.92,46,7.98713,6
2024-03-27 17:00:00,7.97,8.0267,7.97,8.0267,2,7.99268,2
2024-03-27 18:00:00,8.0,8.03,8.0,8.03,6,8.005,2
2024-03-28 03:00:00,7.88,7.89,7.88,7.89,2,7.885,2
2024-03-28 04:00:00,7.89,7.89,7.89,7.89,0,7.89,0
2024-03-28 05:00:00,7.89,7.89,7.89,7.89,0,7.89,0
2024-03-28 06:00:00,7.81,7.81,7.81,7.81,1,7.81,1
2024-03-28 07:00:00,7.9,7.9,7.88,7.9,42,7.89383,10
2024-03-28 08:00:00,8.05,8.21,7.685,8.11,4759,7.97235,947
2024-03-28 09:00:00,8.137,8.26,7.73,7.83,3994,7.98198,1353
2024-03-28 10:00:00,7.83,8.1489,7.76,8.1489,3613,7.9385,1313
2024-03-28 11:00:00,8.145,8.1899,7.54,7.626,4206,7.96497,1071
2024-03-28 12:00:00,7.62,7.68,7.29,7.295,2647,7.48484,966
2024-03-28 13:00:00,7.3,7.355,7.17,7.23,1792,7.27803,852
2024-03-28 14:00:00,7.229,7.27,7.03,7.195,4405,7.14187,2255
2024-03-28 15:00:00,7.17,7.27,7.17,7.17,8848,7.17007,13
2024-03-28 16:00:00,7.25,7.25,7.17,7.1721,12,7.18961,6
2024-03-28 17:00:00,7.24,7.25,7.24,7.25,39,7.24354,9
2024-03-28 18:00:00,7.26,7.3,7.25,7.3,11,7.27857,4
2024-04-01 03:00:00,7.3,7.3,7.3,7.3,4,7.3,2
2024-04-01 04:00:00,7.3,7.3,7.3,7.3,0,7.3,0
2024-04-01 05:00:00,7.3,7.3,7.3,7.3,0,7.3,0
2024-04-01 06:00:00,7.3,7.3,7.3,7.3,0,7.3,0
2024-04-01 07:00:00,7.37,7.3788,7.3,7.34,29,7.32499,6
2024-04-01 08:00:00,7.37,7.3799,7.0048,7.2501,2475,7.20075,682
2024-04-01 09:00:00,7.25,7.31,6.7347,6.91,2172,6.95524,809
2024-04-01 10:00:00,6.91,7.05,6.78,6.8,2154,6.86451,817
2024-04-01 11:00:00,6.79,6.86,6.7725,6.79,1116,6.8113,587
2024-04-01 12:00:00,6.8,6.83,6.76,6.795,1107,6.79961,616
2024-04-01 13:00:00,6.795,6.81,6.61,6.64,1827,6.70149,897
2024-04-01 14:00:00,6.635,6.69,6.56,6.63,3899,6.61616,2068
2024-04-01 15:00:00,6.63,6.8,6.6,6.6,1037,6.63064,12
2024-04-01 16:00:00,6.75,6.75,6.75,6.75,2,6.75,1
2024-04-01 17:00:00,6.79,6.79,6.79,6.79,6,6.79,2
2024-04-01 18:00:00,6.76,6.8,6.76,6.8,13,6.77963,8
2024-04-02 03:00:00,6.63,6.63,6.63,6.63,4,6.63,2
2024-04-02 04:00:00,6.63,6.63,6.63,6.63,0,6.63,0
2024-04-02 05:00:00,6.63,6.63,6.63,6.63,0,6.63,0
2024-04-02 06:00:00,6.63,6.63,6.63,6.63,0,6.63,0
2024-04-02 07:00:00,6.66,6.74,6.63,6.74,15,6.65586,6
2024-04-02 08:00:00,6.79,6.82,6.2,6.685,3467,6.57361,1004
2024-04-02 09:00:00,6.69,6.69,6.43,6.51,1528,6.51389,736
2024-04-02 10:00:00,6.52,6.6,6.49,6.59,1122,6.55754,519
2024-04-02 11:00:00,6.595,6.61,6.44,6.48,770,6.50336,423
2024-04-02 12:00:00,6.4899,6.52,6.44,6.49,531,6.48614,392
2024-04-02 13:00:00,6.5,6.54,6.35,6.4,1649,6.40257,411
2024-04-02 14:00:00,6.4,6.475,6.39,6.4,2987,6.43118,1964
2024-04-02 15:00:00,6.42,6.42,6.42,6.42,2101,6.42,9
2024-04-02 16:00:00,6.42,6.42,6.42,6.42,0,6.42,0
2024-04-02 17:00:00,6.42,6.42,6.42,6.42,14,6.42,3
2024-04-02 18:00:00,6.55,6.55,6.55,6.55,1,6.55,1
2024-04-03 07:00:00,6.3731,6.6,6.37,6.6,12,6.47244,3
2024-04-03 08:00:00,6.47,6.72,6.31,6.5768,1086,6.60344,467
2024-04-03 09:00:00,6.59,6.61,6.46,6.58,1920,6.55153,967
2024-04-03 10:00:00,6.59,6.59,6.46,6.55,1608,6.54323,704
2024-04-03 11:00:00,6.56,6.65,6.53,6.59,1487,6.60441,640
2024-04-03 12:00:00,6.58,6.61,6.5,6.5,1095,6.56795,486
2024-04-03 13:00:00,6.505,6.605,6.49,6.53,1713,6.56686,635
2024-04-03 14:00:00,6.54,6.55,6.43,6.46,1996,6.46805,1140
2024-04-03 15:00:00,6.45,6.8161,6.4,6.8161,1381,6.45223,13
2024-04-03 16:00:00,6.41,6.41,6.41,6.41,1,6.41,1
2024-04-03 17:00:00,6.58,6.58,6.4352,6.4352,2,6.5076,2
2024-04-03 18:00:00,6.65,6.65,6.65,6.65,1,6.65,1
2024-04-04 07:00:00,6.82,6.82,6.5008,6.5008,8,6.67575,3
2024-04-04 08:00:00,6.53,6.885,6.53,6.62,1909,6.74109,548
2024-04-04 09:00:00,6.61,6.62,6.36,6.46,1761,6.48765,695
2024-04-04 10:00:00,6.47,6.77,6.47,6.685,6300,6.64099,1122
2024-04-04 11:00:00,6.685,6.6863,6.58,6.6,1104,6.64321,436
2024-04-04 12:00:00,6.6,6.62,6.55,6.6,2660,6.5961,972
2024-04-04 13:00:00,6.59,6.6,6.35,6.35,5736,6.53383,1467
2024-04-04 14:00:00,6.35,6.44,6.32,6.38,2903,6.37698,1484
2024-04-04 15:00:00,6.38,6.5,6.38,6.38,1875,6.38064,11
2024-04-04 16:00:00,6.38,6.38,6.38,6.38,0,6.38,0
2024-04-04 17:00:00,6.38,6.38,6.38,6.38,3,6.38,1
2024-04-04 18:00:00,6.38,6.38,6.38,6.38,0,6.38,0
2024-04-05 07:00:00,6.4376,6.4376,6.28,6.28,24,6.37639,4
2024-04-05 08:00:00,6.29,6.29,6.03,6.13,988,6.13811,263
2024-04-05 09:00:00,6.1223,6.29,6.09,6.17,1393,6.14372,714
2024-04-05 10:00:00,6.175,6.31,6.16,6.225,876,6.2345,486
2024-04-05 11:00:00,6.21,6.25,6.17,6.22,903,6.20678,499
2024-04-05 12:00:00,6.228,6.335,6.16,6.265,975,6.25228,510
2024-04-05 13:00:00,6.26,6.305,6.21,6.235,920,6.26592,459
2024-04-05 14:00:00,6.235,6.26,6.16,6.17,1685,6.20184,1069
2024-04-05 15:00:00,6.19,6.19,6.05,6.11,975,6.18942,10
2024-04-05 16:00:00,6.11,6.11,6.11,6.11,0,6.11,0
2024-04-05 17:00:00,6.11,6.11,6.11,6.11,0,6.11,0
2024-04-05 18:00:00,6.11,6.11,6.11,6.11,0,6.11,0
2024-04-08 07:00:00,6.086,6.1009,6.0796,6.1009,62,6.09568,6
2024-04-08 08:00:00,6.11,6.19,5.84,5.865,1881,6.00819,395
2024-04-08 09:00:00,5.865,6.045,5.79,6.03,2529,5.91065,1186
2024-04-08 10:00:00,6.03,6.215,5.991,6.17,1036,6.13656,597
2024-04-08 11:00:00,6.16,6.16,6.05,6.1,906,6.10086,541
2024-04-08 12:00:00,6.09,6.15,6.04,6.08,1167,6.08442,740
2024-04-08 13:00:00,6.08,6.14,6.065,6.12,889,6.10324,575
2024-04-08 14:00:00,6.11,6.12,6.03,6.05,2533,6.05935,1482
2024-04-08 15:00:00,6.05,6.05,6.05,6.05,640,6.05,10
2024-04-08 16:00:00,6.05,6.05,6.05,6.05,0,6.05,0
2024-04-08 17:00:00,6.05,6.05,6.05,6.05,0,6.05,0
2024-04-08 18:00:00,6.05,6.05,6.05,6.05,0,6.05,0
2024-04-09 06:00:00,5.89,5.89,5.89,5.89,1,5.89,1
2024-04-09 07:00:00,5.88,6.17,5.88,6.17,14,6.07555,2
2024-04-09 08:00:00,6.06,6.17,5.92,5.97,406,6.00888,116
2024-04-09 09:00:00,5.95,6.0,5.86,5.92,953,5.91821,360
2024-04-09 10:00:00,5.91,5.9399,5.81,5.82,705,5.87271,257
2024-04-09 11:00:00,5.81,6.04,5.81,5.96,1254,5.94927,566
2024-04-09 12:00:00,5.965,6.2,5.96,6.13,1499,6.11673,775
2024-04-09 13:00:00,6.12,6.2272,6.075,6.16,1970,6.14775,879
2024-04-09 14:00:00,6.16,6.26,6.12,6.23,3335,6.20322,1588
2024-04-09 15:00:00,6.23,6.425,6.22,6.425,644,6.2305,9
2024-04-09 16:00:00,6.425,6.425,6.425,6.425,0,6.425,0
2024-04-09 17:00:00,6.425,6.425,6.425,6.425,0,6.425,0
2024-04-09 18:00:00,6.43,6.43,6.43,6.43,2,6.43,1
2024-04-10 04:00:00,6.44,6.5,6.21,6.5,4,6.4,4
2024-04-10 05:00:00,6.5,6.5,6.5,6.5,0,6.5,0
2024-04-10 06:00:00,6.5,6.5,6.5,6.5,0,6.5,0
2024-04-10 07:00:00,6.12,6.5649,6.12,6.2,57,6.357,6
2024-04-10 08:00:00,6.07,6.11,5.9274,6.0056,685,6.05398,212
