date,open,high,low,close,volume,average,barCount
2023-12-20,12.0,12.4975,11.3975,11.95,179,11.893,948
2023-12-21,11.95,12.2,11.5525,11.75,150,11.82875,734
2023-12-22,11.75,12.0,11.575,11.75,137,11.7275,656
2023-12-26,11.655,11.9,11.25,11.9,258,11.475,948
2023-12-27,11.6,11.895,11.325,11.4175,228,11.6655,1066
2023-12-28,11.5,11.865,11.0,11.85,290,11.403,1388
2023-12-29,11.875,12.0,11.095,11.85,375,11.4075,1220
2024-01-02,12.125,12.475,11.75,11.975,182,11.9735,848
2024-01-03,11.7525,11.7525,10.765,11.2,373,11.12225,1538
2024-01-04,11.225,11.25,10.34,10.91,219,10.845,1227
2024-01-05,10.75,10.75,10.0,10.05,390,10.244,1781
2024-01-08,10.25,11.5,10.2,10.75,350,10.722,1213
2024-01-09,11.27,11.75,10.9325,11.5,194,11.39675,696
2024-01-10,11.5,12.0,11.4875,11.6,280,11.7385,1061
2024-01-11,11.5,11.75,11.25,11.275,170,11.52575,739
2024-01-12,11.75,11.75,11.275,11.73,127,11.56175,519
2024-01-16,12.0,12.25,11.0,11.2,343,11.47325,1123
2024-01-17,11.25,11.625,10.5,11.5,306,10.93725,1369
2024-01-18,11.235,11.7475,10.8125,11.735,131,11.3525,1161
2024-01-19,11.75,11.75,11.25,11.75,114,11.568,538
2024-01-22,12.0,12.25,11.3875,11.5,224,11.76575,1211
2024-01-23,12.0,12.0,11.255,11.5,91,11.43125,524
2024-01-24,11.535,11.535,11.0,11.225,125,11.30475,453
2024-01-25,11.0,11.625,10.7725,11.0,117,11.1305,717
2024-01-26,10.8775,11.225,10.75,11.205,74,11.05275,396
2024-01-29,11.25,11.25,11.0,11.225,126,11.154,533
2024-01-30,11.25,11.875,11.25,11.475,208,11.5815,953
2024-01-31,11.5,11.75,11.25,11.385,96,11.41675,369
2024-02-01,11.25,11.7475,11.0425,11.25,106,11.322,356
2024-02-02,11.25,11.3,10.5025,10.75,195,10.7955,1176
2024-02-05,10.895,11.7725,10.505,10.9425,256,11.1295,1169
2024-02-06,11.2475,11.2475,10.75,11.01,148,10.95225,708
2024-02-07,11.25,11.75,11.0025,11.625,124,11.30975,681
2024-02-08,11.75,13.45,11.5625,13.45,714,12.324,2009
2024-02-09,13.375,15.0,12.5,13.25,653,14.035,2709
2024-02-12,13.25,17.0,13.1,15.6,1540,15.36,4191
2024-02-13,15.0,15.24,13.895,14.36,311,14.4605,1418
2024-02-14,14.8725,15.7425,14.645,15.0,505,15.25875,1772
2024-02-15,15.25,15.75,14.5,15.0,341,15.00525,1290
2024-02-16,15.35,15.4075,14.25,14.75,171,14.69225,925
2024-02-20,15.0,15.125,13.255,13.975,335,14.17725,1376
2024-02-21,13.8575,13.975,13.0,13.4775,141,13.22475,602
2024-02-22,14.06,14.75,14.0,14.45,213,14.27075,1043
2024-02-23,14.6475,15.0,13.475,13.7375,210,14.11675,788
2024-02-26,13.75,15.5,13.725,15.0,222,14.43925,945
2024-02-27,15.5575,16.475,14.5,15.0,429,15.66675,1386
2024-02-28,14.7775,18.225,14.75,17.535,1130,16.73475,3803
2024-02-29,18.0,21.25,17.5,17.835,1510,19.415,5538
2024-03-01,18.5,19.7475,17.835,18.2975,596,18.3875,2214
2024-03-04,18.75,21.125,18.5,19.5,962,19.82925,2965
2024-03-05,20.0,21.75,20.0,20.3,611,20.628,2343
2024-03-06,21.4975,21.75,16.65,18.3875,668,19.34725,2790
2024-03-07,18.5,20.725,18.5,20.5,495,19.819,1652
2024-03-08,21.0,23.0,20.0,21.25,752,21.49925,2624
2024-03-11,21.0,21.5,20.0,20.3125,250,20.58375,1108
2024-03-12,20.705,20.75,18.75,19.675,463,19.456,1533
2024-03-13,19.7975,22.0,19.625,20.75,476,20.93825,1844
2024-03-14,20.47,20.75,18.75,19.375,235,19.506,1184
2024-03-15,19.25,20.25,18.0,19.4,290,19.0545,1319
2024-03-18,19.25,19.4,18.3,19.225,278,18.86925,1298
2024-03-19,18.65,18.65,16.75,18.0,296,17.7875,1385
2024-03-20,18.0,18.75,17.0,18.595,163,17.63475,894
2024-03-21,18.75,20.25,18.2525,18.825,234,19.0705,1106
2024-03-22,19.25,19.25,17.495,18.375,184,18.035,865
