date,open,high,low,close,volume,average,barCount
2024-03-18 03:00:00,19.4,19.4,19.4,19.4,0,19.4,1
2024-03-18 04:00:00,19.4,19.4,19.4,19.4,0,19.4,1
2024-03-18 05:00:00,19.4,19.4,19.4,19.4,0,19.4,0
2024-03-18 06:00:00,19.2525,19.2525,19.2525,19.2525,0,19.2525,1
2024-03-18 07:00:00,19.4,19.4,18.9975,19.0,3,19.20625,23
2024-03-18 08:00:00,18.9975,19.4,18.5,18.7525,63,18.9865,210
2024-03-18 09:00:00,18.7525,19.325,18.5,19.0775,70,18.97775,205
2024-03-18 10:00:00,19.075,19.225,18.315,18.325,42,18.83325,174
2024-03-18 11:00:00,18.325,19.135,18.3,18.5,38,18.58075,162
2024-03-18 12:00:00,18.5,18.75,18.3025,18.5925,19,18.64975,101
2024-03-18 13:00:00,18.5925,18.705,18.3525,18.5025,9,18.555,63
2024-03-18 14:00:00,18.5025,19.2475,18.5025,18.75,37,19.00175,393
2024-03-18 15:00:00,19.225,19.225,19.195,19.1975,2,19.21775,3
2024-03-18 16:00:00,19.15,19.175,18.505,18.505,0,19.075,6
2024-03-18 17:00:00,18.505,18.505,18.505,18.505,0,18.505,0
2024-03-18 18:00:00,18.5125,18.5125,18.5125,18.5125,0,18.5125,1
2024-03-19 03:00:00,19.2,19.2,18.1325,18.1325,0,18.388,4
2024-03-19 04:00:00,18.925,19.17,18.925,19.17,0,19.0875,3
2024-03-19 05:00:00,19.175,19.175,19.175,19.175,0,19.175,1
2024-03-19 06:00:00,19.175,19.175,19.175,19.175,0,19.175,0
2024-03-19 07:00:00,19.05,19.2,18.375,19.0475,9,18.61125,12
2024-03-19 08:00:00,18.7525,18.7525,17.5,17.6225,83,17.81475,376
2024-03-19 09:00:00,17.6225,18.25,16.75,17.875,83,17.404,339
2024-03-19 10:00:00,17.75,18.25,17.5,17.9375,40,17.74925,157
2024-03-19 11:00:00,18.0,18.125,17.875,18.045,23,17.99175,60
2024-03-19 12:00:00,18.0875,18.0875,17.9275,18.0225,9,18.01225,35
2024-03-19 13:00:00,18.0,18.4975,18.0,18.4975,26,18.11475,195
2024-03-19 14:00:00,18.4975,18.5,18.0,18.0,30,18.3145,228
2024-03-19 15:00:00,18.0,18.64,17.75,17.75,7,17.902,17
2024-03-19 16:00:00,17.76,17.76,17.75,17.75,0,17.755,3
2024-03-19 17:00:00,18.0,18.0,18.0,18.0,0,18.0,2
2024-03-19 18:00:00,18.875,18.875,18.45,18.45,1,18.59175,2
2024-03-20 04:00:00,18.0,18.0,18.0,18.0,0,18.0,1
2024-03-20 05:00:00,18.715,18.715,18.715,18.715,0,18.715,1
2024-03-20 06:00:00,18.715,18.715,18.715,18.715,0,18.715,0
2024-03-20 07:00:00,18.0025,18.5,18.0,18.2475,4,18.075,10
2024-03-20 08:00:00,18.125,18.1875,17.25,17.5,16,17.72025,88
2024-03-20 09:00:00,17.2575,17.475,17.0,17.3225,45,17.2035,210
2024-03-20 10:00:00,17.3225,17.4075,17.25,17.2525,19,17.287,132
2024-03-20 11:00:00,17.2525,17.8075,17.2525,17.615,17,17.44425,94
2024-03-20 12:00:00,17.5,17.6975,17.25,17.655,15,17.4245,102
2024-03-20 13:00:00,17.625,18.1075,17.5225,18.005,18,17.918,123
2024-03-20 14:00:00,18.005,18.75,18.005,18.605,31,18.4855,147
2024-03-20 15:00:00,18.595,18.595,18.375,18.375,4,18.56075,7
2024-03-20 16:00:00,18.335,18.3775,18.335,18.3775,2,18.34425,4
2024-03-20 17:00:00,18.3775,18.3775,18.175,18.175,0,18.23,2
2024-03-20 18:00:00,18.875,18.875,18.7475,18.875,1,18.83675,4
2024-03-21 03:00:00,18.25,18.25,18.25,18.25,0,18.25,1
2024-03-21 04:00:00,18.25,18.25,18.25,18.25,0,18.25,0
2024-03-21 05:00:00,18.595,19.0,18.595,19.0,0,18.7975,3
2024-03-21 06:00:00,18.75,18.75,18.595,18.595,0,18.62025,5
