date,open,high,low,close,volume,average,barCount
2024-05-23,99.97,99.97,97.86,98.04,1225,98.872,958
2024-05-24,98.52,99.73,98.23,99.65,838,99.269,615
2024-05-28,100.23,100.52,99.58,100.11,1007,100.039,765
2024-05-29,99.04,99.3,97.95,98.32,1604,98.388,1182
2024-05-30,98.5,99.76,98.26,99.63,1503,99.306,1109
2024-05-31,99.38,100.27,99.24,100.17,1744,99.782,1356
2024-06-03,100.2,100.54,98.6,98.75,2148,99.245,1685
2024-06-04,98.08,99.4,97.74,97.95,2069,98.504,1676
2024-06-05,97.85,99.29,97.25,98.81,1427,98.643,978
2024-06-06,98.92,100.34,98.89,100.24,1584,99.82,1313
2024-06-07,99.51,100.98,99.4,100.13,2020,100.102,1621
2024-06-10,99.57,100.96,99.43,100.52,1641,100.491,1256
2024-06-11,100.18,101.47,99.58,101.19,1950,101.119,1471
2024-06-12,102.31,102.5,99.27,100.13,2512,100.685,1996
2024-06-13,99.75,99.96,97.36,97.38,2146,98.253,1554
2024-06-14,96.84,97.19,95.19,95.91,2071,95.982,1717
2024-06-17,95.79,96.69,94.93,96.66,2592,95.973,2048
2024-06-18,96.86,98.27,96.81,97.59,1751,97.701,1259
2024-06-20,97.21,98.58,96.49,96.51,2155,97.373,1510
2024-06-21,96.2,97.58,96.2,96.86,2818,96.748,1786
2024-06-24,97.47,98.99,97.34,97.65,1821,98.032,1298
2024-06-25,97.39,97.39,94.44,95.23,1095,95.26,816
2024-06-26,94.75,95.26,94.4,94.88,974,94.756,771
2024-06-27,95.13,95.13,93.83,94.28,1121,94.333,811
2024-06-28,94.87,94.87,93.38,94.49,1977,94.017,1462
2024-07-01,94.99,94.99,91.76,92.07,1899,92.453,1444
2024-07-02,92.01,92.45,91.09,92.28,1731,91.755,1348
2024-07-03,92.69,93.43,92.11,93.15,639,93.067,499
2024-07-05,93.01,93.01,92.31,92.62,984,92.617,792
2024-07-08,93.32,94.05,92.4,92.48,1121,92.845,918
2024-07-09,92.34,92.76,91.86,92.16,796,92.237,636
2024-07-10,92.81,93.31,92.13,93.25,648,92.803,462
2024-07-11,94.28,95.72,94.28,94.72,988,94.999,818
2024-07-12,95.38,95.76,94.61,94.7,1214,94.978,802
2024-07-15,94.72,95.1,93.89,94.0,1600,94.317,1222
2024-07-16,94.43,97.62,94.02,97.42,1006,96.789,804
2024-07-17,98.0,98.13,96.31,96.71,1318,96.849,1077
2024-07-18,96.77,97.87,96.26,96.52,733,96.801,564
2024-07-19,96.42,96.42,94.51,94.94,584,94.905,433
2024-07-22,95.5,96.33,94.08,96.28,1030,95.753,732
2024-07-23,96.58,97.94,96.21,97.38,2251,97.507,1014
2024-07-24,97.44,98.15,95.51,95.57,1081,96.396,878
2024-07-25,95.71,96.18,94.44,94.52,1415,95.092,1218
2024-07-26,95.31,97.01,95.08,96.19,777,96.041,600
2024-07-29,96.01,96.44,95.57,95.87,498,96.012,378
2024-07-30,95.85,96.6,95.21,96.32,1028,96.007,667
2024-07-31,96.68,98.44,96.24,96.65,1136,97.101,864
2024-08-01,96.85,97.84,95.37,96.09,840,95.922,669
2024-08-02,94.44,94.44,92.66,93.56,1309,93.486,1026
2024-08-05,91.14,91.29,88.21,88.85,3183,89.046,2226
2024-08-06,89.16,91.47,88.55,90.39,2405,90.631,1858
2024-08-07,82.78,87.38,80.68,81.74,14145,83.078,7758
2024-08-08,83.08,83.9,82.03,83.11,5238,82.883,3878
2024-08-09,83.8,84.06,82.01,82.07,4254,82.92,2982
2024-08-12,82.12,83.77,81.14,83.26,3428,82.909,2101
2024-08-13,83.26,83.46,82.02,83.32,3422,82.992,2694
2024-08-14,83.6,84.21,82.51,82.85,1396,82.96,1066
2024-08-15,84.28,85.42,84.0,85.17,2605,84.989,1767
2024-08-16,84.89,85.38,84.12,84.97,2395,84.814,1628
2024-08-19,85.42,86.8,84.94,86.69,1754,86.102,1207
2024-08-20,86.62,87.27,85.68,85.98,1553,86.169,1116
2024-08-21,86.42,87.14,85.84,87.14,2445,86.454,1697
2024-08-22,87.21,87.78,86.3,86.68,1677,86.941,1280
2024-08-23,87.09,89.1,86.59,88.58,1888,88.124,1264
2024-08-26,89.08,90.21,88.45,88.6,1335,89.192,1072
2024-08-27,88.34,89.11,87.96,89.09,1654,88.85,1257
2024-08-28,88.61,89.68,88.32,88.87,2156,88.995,1794
2024-08-29,89.43,90.61,88.99,89.75,1763,89.865,1322
2024-08-30,89.71,90.46,89.06,89.5,3035,89.575,2049
2024-09-03,88.66,89.5,88.19,88.32,2035,88.733,1586
2024-09-04,87.88,89.01,87.87,87.99,1742,88.327,1389
2024-09-05,88.31,88.31,86.06,86.27,1854,86.785,1444
2024-09-06,86.27,86.53,84.95,85.01,2192,85.596,1726
2024-09-09,85.14,86.05,85.12,85.36,2440,85.586,1835
2024-09-10,85.33,85.55,84.08,84.5,1792,84.51,1394
2024-09-11,84.27,84.65,82.64,84.41,2445,83.721,1827
2024-09-12,84.58,85.19,83.59,85.17,2535,84.636,1433
2024-09-13,85.78,87.25,85.78,86.7,2255,86.604,1522
2024-09-16,86.94,88.33,86.91,87.0,3211,87.446,1703
2024-09-17,87.5,88.02,86.7,87.19,1859,87.308,1370
2024-09-18,87.48,88.36,86.7,87.25,1864,87.572,1362
2024-09-19,89.09,89.09,87.79,88.0,3656,88.159,2265
2024-09-20,88.01,88.01,86.6,87.32,5408,87.456,3804
2024-09-23,87.52,88.61,86.99,87.58,2738,87.622,2118
2024-09-24,87.84,88.07,85.64,86.56,4323,86.65,2920
2024-09-25,86.65,86.65,84.5,85.23,4318,85.231,3075
2024-09-26,86.08,87.93,86.02,87.22,2636,86.931,1661
2024-09-27,87.76,88.59,86.37,87.63,2270,87.625,1505
2024-09-30,87.47,87.47,86.41,86.97,1983,86.804,1389
2024-10-01,87.0,87.0,85.71,85.89,1562,86.034,1175
2024-10-02,85.77,86.12,85.13,85.3,1517,85.474,1189
2024-10-03,85.0,85.26,84.2,84.5,2260,84.617,1612
2024-10-04,85.71,85.87,84.93,85.59,1517,85.352,963
2024-10-07,84.82,85.21,84.18,84.5,1287,84.549,979
2024-10-08,84.09,84.33,82.86,83.77,1591,83.785,1165
2024-10-09,83.86,84.83,83.69,84.65,1557,84.335,1077
2024-10-10,84.5,85.87,84.0,84.77,1581,84.992,1158
2024-10-11,84.71,85.93,84.66,85.75,902,85.587,702
2024-10-14,85.48,87.08,85.34,87.07,1443,86.629,1055
2024-10-15,86.78,88.13,86.65,86.99,1236,87.419,997
2024-10-16,87.13,87.81,87.13,87.2,944,87.398,761
2024-10-17,87.44,87.83,86.79,87.78,1402,87.413,998
2024-10-18,87.87,87.87,86.88,87.75,1227,87.496,957
2024-10-21,87.55,87.93,86.41,86.74,897,86.752,645
2024-10-22,86.22,86.88,85.5,86.38,1315,86.21,974
2024-10-23,86.19,86.71,84.69,85.35,1242,85.432,996
2024-10-24,85.64,85.64,84.64,84.97,1289,84.966,1014
2024-10-25,84.92,85.57,83.62,83.84,1870,84.213,1284
2024-10-28,84.42,85.83,84.35,85.55,1445,85.4,971
2024-10-29,84.87,86.7,84.65,86.53,2096,86.298,1579
2024-10-30,86.54,88.0,86.35,87.14,960,87.305,773
2024-10-31,86.81,86.95,84.52,84.57,1208,85.393,921
2024-11-01,84.79,85.79,84.68,84.82,1185,84.972,820
2024-11-04,85.22,86.19,84.74,85.32,1258,85.185,916
2024-11-05,84.78,85.61,84.17,84.98,1309,84.795,1039
2024-11-06,88.89,88.89,86.33,87.38,3193,87.289,2286
2024-11-07,80.01,82.89,79.92,80.7,10402,81.173,5648
2024-11-08,80.85,81.86,80.04,80.96,2826,81.198,1929
2024-11-11,81.75,81.75,78.13,78.75,2544,78.97,1882
2024-11-12,79.0,79.23,77.11,77.2,4504,77.871,2641
2024-11-13,77.55,78.33,77.24,77.45,1651,77.57,1149
2024-11-14,77.24,78.16,77.0,78.05,2604,77.593,1716
2024-11-15,77.9,78.2,76.68,76.96,1461,77.209,907
2024-11-18,77.0,77.95,76.72,77.03,1968,77.193,1436
2024-11-19,75.54,76.55,75.48,76.39,1436,76.064,1144
2024-11-20,75.89,76.25,75.04,76.21,1434,75.805,1114
2024-11-21,76.15,77.98,75.66,77.64,1168,77.33,807
2024-11-22,77.79,79.24,77.71,79.05,1116,78.688,730
2024-11-25,79.44,80.94,79.26,79.77,2203,80.15,1457
2024-11-26,79.19,79.64,77.86,77.97,1481,78.466,1130
2024-11-27,78.07,78.72,77.73,78.31,1327,78.297,909
2024-11-29,77.94,78.54,77.7,78.06,430,78.16,327
2024-12-02,77.96,80.66,77.96,80.19,3187,79.682,1997
2024-12-03,79.99,79.99,78.52,78.7,1295,79.033,930
2024-12-04,78.22,78.75,77.56,78.17,777,78.101,518
2024-12-05,78.07,78.07,76.26,76.45,848,76.672,503
2024-12-06,76.75,76.82,75.19,75.49,3310,75.546,2358
2024-12-09,76.47,78.12,76.2,76.28,4108,76.81,2718
2024-12-10,76.6,77.29,74.89,75.87,3112,76.296,1799
2024-12-11,75.98,76.19,74.75,74.94,1755,75.18,1175
2024-12-12,74.74,74.96,74.0,74.13,1697,74.271,1266
2024-12-13,73.65,74.79,72.83,74.78,3016,73.927,2086
2024-12-16,74.29,75.34,73.72,73.75,2044,74.382,1316
2024-12-17,73.21,74.29,73.0,73.08,2236,73.392,1652
2024-12-18,73.0,74.57,72.4,72.8,3597,73.263,2732
2024-12-19,72.8,73.84,71.7,71.95,3391,72.287,2328
2024-12-20,71.56,73.43,71.56,71.85,3126,72.323,2273
