date,open,high,low,close,volume,average,barCount
2024-05-24 00:00:00,5.21,5.57,5.12,5.43,10165,5.38749,2771
2024-05-28 00:00:00,5.59,5.67,5.07,5.21,12355,5.25079,4041
2024-05-29 00:00:00,5.07,5.22,4.96,5.14,3166,5.10981,1495
2024-05-30 00:00:00,5.21,5.49,5.12,5.43,6519,5.36474,2450
2024-05-31 00:00:00,5.42,5.54,4.99,5.11,7997,5.17735,2719
2024-06-03 00:00:00,5.05,5.2,4.63,4.75,8855,4.84394,2452
2024-06-04 00:00:00,4.73,4.83,4.46,4.58,5552,4.58466,1893
2024-06-05 00:00:00,4.59,4.6,4.375,4.42,4614,4.45939,1581
2024-06-06 00:00:00,4.51,4.53,4.22,4.31,6488,4.35167,2254
2024-06-07 00:00:00,4.22,4.3699,3.92,4.01,10365,4.09012,3579
2024-06-10 00:00:00,3.92,4.06,3.814,3.99,5964,3.94385,2030
2024-06-11 00:00:00,3.92,4.06,3.62,3.71,8347,3.805,2105
2024-06-12 00:00:00,3.83,4.29,3.83,4.17,5041,4.10318,2073
2024-06-13 00:00:00,4.14,4.274,3.98,4.11,3995,4.09874,1409
2024-06-14 00:00:00,3.99,4.0732,3.88,3.9,4809,3.97329,1548
2024-06-17 00:00:00,3.91,3.985,3.65,3.77,4366,3.77252,1754
2024-06-18 00:00:00,3.68,3.765,3.46,3.59,8192,3.57449,3012
2024-06-20 00:00:00,3.5,3.62,3.34,3.4,6760,3.42423,2166
2024-06-21 00:00:00,3.43,3.48,3.11,3.15,10717,3.23519,3470
2024-06-24 00:00:00,3.14,3.22,3.04,3.15,8183,3.13821,3530
2024-06-25 00:00:00,3.17,3.28,3.04,3.06,8240,3.17786,3705
2024-06-26 00:00:00,3.05,3.245,2.91,3.21,10635,3.07589,4266
2024-06-27 00:00:00,3.25,3.36,2.97,3.04,13552,3.08339,4745
2024-06-28 00:00:00,3.05,3.14,2.9449,3.06,10799,3.0368,4753
2024-07-01 00:00:00,3.13,3.39,2.96,3.28,14099,3.21591,5246
2024-07-02 00:00:00,3.26,3.28,3.05,3.07,10039,3.14261,3498
