date,open,high,low,close,volume,average,barCount
2024-02-01,13.4,13.8,13.1,13.4,169966,13.42,53614
2024-02-02,13.55,15.12,13.55,14.95,89501,14.59,42923
2024-02-05,15.39,15.47,14.35,14.6,28719,14.781,14099
2024-02-06,14.84,15.52,14.55,15.13,28196,15.203,13015
2024-02-07,15.2,15.23,14.68,15.05,14073,14.894,7392
2024-02-08,15.1,15.18,14.9,15.18,10383,15.082,5027
2024-02-09,15.37,15.39,14.73,14.94,6678,14.992,2853
2024-02-12,15.02,15.04,14.51,14.91,9891,14.68,5561
2024-02-13,14.64,14.72,14.36,14.5,4343,14.504,2364
2024-02-14,14.79,15.0,14.65,14.85,5718,14.906,1976
2024-02-15,14.96,15.5,14.96,15.5,9300,15.19,4144
2024-02-16,15.59,16.35,15.43,15.97,12513,15.955,6534
2024-02-20,15.98,15.98,14.8,14.97,9857,15.289,4646
2024-02-21,15.03,15.21,14.66,14.75,5494,14.908,2851
2024-02-22,14.99,15.35,14.8,15.02,5628,14.972,3385
2024-02-23,15.11,15.7,14.95,15.54,7510,15.262,3202
2024-02-26,16.0,16.48,15.58,16.1,24492,16.043,10579
2024-02-27,16.35,16.54,15.95,15.99,12198,16.152,4780
2024-02-28,15.96,16.5,15.9,16.05,6420,16.092,2712
2024-02-29,16.3,17.29,16.15,16.32,18420,16.733,7443
2024-03-01,16.62,18.1,16.62,17.66,29698,17.38,12369
2024-03-04,17.8,18.23,17.34,17.34,19427,17.793,8255
2024-03-05,16.0,16.57,15.52,16.45,43586,15.991,17190
2024-03-06,16.63,16.63,14.71,15.16,26724,15.452,11683
2024-03-07,15.24,15.3,14.76,15.06,12017,14.998,6086
2024-03-08,15.1,15.9,15.04,15.49,6066,15.413,2661
2024-03-11,15.53,16.3,15.5,16.16,7816,15.993,3801
2024-03-12,16.18,16.36,15.72,15.96,7799,16.066,3241
2024-03-13,15.9,16.46,15.9,16.23,4489,16.228,2383
2024-03-14,16.3,16.6,15.39,15.54,6719,15.964,3129
2024-03-15,15.5,15.6,15.02,15.13,6440,15.173,3837
2024-03-18,15.2,15.66,15.05,15.06,8191,15.153,3979
2024-03-19,15.13,15.33,14.92,15.08,5978,15.094,3545
2024-03-20,15.07,15.67,15.05,15.47,8810,15.428,5557
2024-03-21,15.6,15.84,15.42,15.81,5374,15.694,2775
2024-03-22,15.6,16.38,15.36,16.27,10158,15.938,5923
2024-03-25,16.17,16.98,16.12,16.68,11387,16.635,6058
2024-03-26,16.69,17.28,16.51,16.7,11939,16.864,5639
2024-03-27,16.75,16.98,16.06,16.06,7764,16.369,3984
2024-03-28,16.11,16.51,15.97,16.3,9503,16.254,5383
2024-04-01,16.19,16.9,15.46,15.76,11737,16.114,7445
2024-04-02,15.6,15.65,15.3,15.5,13399,15.453,7200
2024-04-03,15.44,15.94,15.44,15.71,8632,15.728,4504
2024-04-04,15.78,16.1,15.3,15.51,7834,15.724,4872
2024-04-05,15.7,15.7,15.23,15.34,6202,15.492,2828
2024-04-08,15.11,15.13,14.27,14.52,23374,14.621,9519
2024-04-09,14.49,14.94,14.36,14.94,6450,14.706,3779
2024-04-10,14.61,15.22,14.45,14.82,6535,14.923,3535
2024-04-11,14.89,15.11,14.54,15.05,3315,14.927,1870
2024-04-12,14.68,14.85,14.03,14.19,11623,14.233,5618
2024-04-15,14.43,14.7,13.49,13.64,36602,13.77,16785
2024-04-16,13.71,13.76,13.39,13.57,11716,13.565,7074
2024-04-17,13.57,13.74,13.16,13.35,10974,13.484,5994
2024-04-18,13.31,13.79,13.1,13.63,9892,13.532,5321
2024-04-19,13.6,13.78,13.36,13.77,8607,13.661,4175
2024-04-22,13.88,14.0,13.71,13.82,9260,13.876,4451
2024-04-23,14.1,14.45,13.95,14.14,11933,14.211,6799
2024-04-24,14.25,14.44,14.06,14.33,6790,14.245,3906
2024-04-25,14.31,14.69,14.16,14.55,14372,14.542,6950
2024-04-26,14.82,15.34,14.79,15.04,19352,15.113,7483
2024-04-29,15.03,15.3,14.85,15.21,11396,15.138,6730
2024-04-30,15.12,15.12,14.17,14.28,10549,14.38,5894
2024-05-01,14.19,14.25,13.75,13.87,16380,13.93,7944
2024-05-02,14.03,14.49,13.96,14.48,15754,14.284,9017
2024-05-03,14.61,14.69,14.2,14.48,10436,14.432,5407
2024-05-06,14.61,14.69,14.45,14.54,6595,14.518,3755
2024-05-07,14.57,14.77,14.29,14.7,6530,14.547,3068
2024-05-08,14.5,14.7,13.85,13.9,6973,14.073,3784
2024-05-09,13.94,14.29,13.85,14.25,8243,14.116,4077
2024-05-10,14.41,14.89,14.38,14.81,8548,14.766,4788
2024-05-13,14.8,15.1,14.57,14.92,9277,14.959,5351
2024-05-14,14.88,15.09,14.68,15.08,6337,14.945,3796
2024-05-15,15.29,16.0,15.19,15.98,14792,15.793,8563
2024-05-16,15.97,16.43,15.97,16.25,17141,16.237,6220
2024-05-17,16.18,16.29,15.89,16.15,10410,16.103,5124
2024-05-20,16.02,16.15,15.92,16.03,18683,16.043,9227
2024-05-21,16.23,16.26,14.44,14.76,34580,14.781,18646
2024-05-22,14.94,15.18,14.86,15.01,11469,15.033,5080
