date,open,high,low,close,volume,average,barCount
2024-01-02,31.37,33.42,30.85,32.56,606,32.027,306
2024-01-03,32.57,33.85,30.6,32.05,889,32.456,433
2024-01-04,32.05,32.8,31.25,32.07,293,32.195,116
2024-01-05,31.79,32.32,30.97,31.93,280,31.706,151
2024-01-08,31.93,33.07,31.36,31.99,205,32.051,138
2024-01-09,31.52,31.7,30.1,30.88,706,30.843,440
2024-01-10,30.73,31.4,28.42,28.57,679,29.436,354
2024-01-11,28.77,29.07,26.6,27.11,870,27.571,382
2024-01-12,27.82,28.85,27.02,27.31,348,28.126,184
2024-01-16,27.48,28.06,26.83,26.98,286,27.484,146
2024-01-17,26.44,26.69,24.84,25.02,667,25.5,299
2024-01-18,25.0,25.75,24.26,25.46,278,25.082,135
2024-01-19,25.88,26.24,24.53,24.73,345,25.052,201
2024-01-22,24.72,24.99,23.5,23.5,475,24.132,224
2024-01-23,23.41,24.0,23.0,23.25,280,23.561,108
2024-01-24,23.89,24.0,22.63,22.82,543,23.303,240
2024-01-25,22.81,23.3,20.51,21.2,992,21.465,395
2024-01-26,21.2,22.8,20.58,22.18,757,21.345,372
2024-01-29,22.64,23.81,21.88,23.48,303,23.117,153
2024-01-30,23.53,24.72,22.69,23.53,443,23.753,260
2024-01-31,22.98,23.76,22.4,22.65,320,22.842,130
2024-02-01,22.57,23.2,22.21,22.24,215,22.565,107
2024-02-02,22.17,22.5,21.21,22.03,232,21.921,106
2024-02-05,21.0,21.85,17.5,18.06,2450,19.148,921
2024-02-06,17.95,20.21,17.95,20.05,387,19.407,203
2024-02-07,20.27,20.33,18.96,19.18,318,19.491,155
2024-02-08,19.31,19.97,18.59,18.97,355,18.886,182
2024-02-09,19.47,19.5,18.21,18.84,176,18.791,97
2024-02-12,18.62,20.5,18.62,19.85,604,19.598,213
2024-02-13,19.11,19.6,18.79,18.79,173,19.082,118
2024-02-14,19.74,19.74,18.54,18.83,103,19.066,51
2024-02-15,18.6,19.24,18.15,18.25,134,18.569,62
2024-02-16,18.25,18.91,18.12,18.62,152,18.488,74
2024-02-20,18.97,18.99,16.59,16.93,444,17.374,241
2024-02-21,16.94,17.37,16.62,16.97,202,16.988,99
2024-02-22,17.18,17.2,16.76,16.99,94,16.944,71
2024-02-23,16.53,16.72,14.82,15.21,1044,15.515,512
2024-02-26,15.12,15.12,14.2,14.39,633,14.681,409
2024-02-27,14.25,16.07,14.25,15.66,579,15.393,322
2024-02-28,15.8,17.79,15.75,17.42,343,16.736,217
2024-02-29,17.75,17.89,16.67,16.83,1022,17.455,335
2024-03-01,17.47,17.7,16.83,17.19,1097,17.333,455
2024-03-04,17.18,17.24,15.2,16.44,367,16.165,186
2024-03-05,16.19,16.99,14.65,14.75,218,15.471,144
2024-03-06,15.24,15.67,14.8,15.03,509,15.266,251
2024-03-07,15.36,15.96,15.18,15.5,381,15.461,256
2024-03-08,15.74,15.74,14.5,14.74,232,14.94,172
2024-03-11,14.7,15.51,14.7,14.81,325,15.041,181
2024-03-12,15.17,15.25,14.26,14.75,317,14.783,146
2024-03-13,14.53,14.76,14.15,14.15,291,14.61,156
2024-03-14,14.24,14.26,13.01,13.43,738,13.399,382
2024-03-15,13.45,13.84,12.62,13.24,523,13.187,298
2024-03-18,13.05,13.3,11.8,12.06,1056,12.354,515
2024-03-19,12.0,13.1,11.81,12.73,713,12.363,365
2024-03-20,12.9,15.18,12.9,14.98,1064,14.4,514
2024-03-21,14.5,14.98,13.25,14.49,1010,13.931,551
2024-03-22,13.89,15.41,13.31,15.06,1392,14.498,749
2024-03-25,15.25,15.68,13.35,13.98,1624,14.086,657
2024-03-26,13.91,14.36,13.7,13.92,950,13.954,472
2024-03-27,13.87,17.1,13.22,14.92,2227,14.998,889
2024-03-28,16.92,17.64,14.99,17.02,2062,16.749,934
2024-04-01,16.98,20.0,16.53,19.3,2511,18.578,1121
2024-04-02,18.79,19.72,18.0,18.63,939,18.927,412
2024-04-03,18.0,19.16,17.07,18.92,760,17.927,376
2024-04-04,18.75,19.18,17.0,17.17,669,17.98,269
2024-04-05,17.17,17.88,16.76,17.45,368,17.216,172
2024-04-08,17.5,19.15,17.44,18.32,916,18.616,280
2024-04-09,19.37,19.37,16.53,17.07,992,17.336,404
2024-04-10,16.87,17.0,15.8,15.98,1038,16.246,427
2024-04-11,16.16,16.25,14.8,15.49,696,15.407,336
2024-04-12,15.52,16.02,15.06,15.46,423,15.453,229
2024-04-15,15.5,15.68,14.42,14.73,619,14.801,307
2024-04-16,14.4,14.5,13.78,14.27,440,14.131,235
2024-04-17,14.36,14.84,13.65,13.78,277,13.98,173
