date,open,high,low,close,volume,average,barCount
2025-02-18 08:00:00,6.05,6.15,6.05,6.12,26,6.071,6
2025-02-18 09:00:00,6.12,6.19,6.05,6.1,434,6.111,128
2025-02-18 10:00:00,6.1,6.11,6.01,6.07,131,6.062,58
2025-02-18 11:00:00,6.04,6.1,5.95,5.95,175,6.032,40
2025-02-18 12:00:00,5.96,6.04,5.87,5.93,95,5.966,36
2025-02-18 13:00:00,5.95,5.96,5.87,5.93,89,5.911,49
2025-02-18 14:00:00,5.93,5.93,5.83,5.84,136,5.891,41
2025-02-18 15:00:00,5.91,5.97,5.87,5.94,173,5.923,90
2025-02-18 16:00:00,5.97,6.06,5.97,6.06,54,5.973,2
2025-02-18 17:00:00,5.83,5.83,5.83,5.83,1,5.83,1
2025-02-18 18:00:00,6.06,6.07,6.06,6.07,4,6.063,2
2025-02-18 19:00:00,6.07,6.07,6.07,6.07,2,6.07,1
2025-02-19 08:00:00,6.05,6.05,6.05,6.05,12,6.05,3
2025-02-19 09:00:00,5.97,6.0,5.8,5.86,146,5.89,31
2025-02-19 10:00:00,5.89,5.9,5.79,5.81,174,5.842,81
2025-02-19 11:00:00,5.85,5.9,5.8,5.88,94,5.861,45
2025-02-19 12:00:00,5.87,5.89,5.83,5.83,104,5.852,48
2025-02-19 13:00:00,5.83,5.83,5.71,5.81,137,5.792,53
2025-02-19 14:00:00,5.82,5.85,5.79,5.83,134,5.833,56
2025-02-19 15:00:00,5.85,5.85,5.77,5.78,250,5.815,99
2025-02-19 16:00:00,5.8,5.8,5.62,5.63,21,5.721,2
2025-02-19 17:00:00,5.63,5.63,5.63,5.63,0,5.63,0
2025-02-19 18:00:00,5.63,5.63,5.63,5.63,0,5.63,0
2025-02-19 19:00:00,5.63,5.63,5.62,5.63,0,5.63,0
2025-02-20 08:00:00,5.8,5.81,5.77,5.8,18,5.785,5
2025-02-20 09:00:00,5.8,5.93,5.7,5.73,137,5.798,31
2025-02-20 10:00:00,5.74,5.85,5.72,5.84,36,5.801,17
2025-02-20 11:00:00,5.86,5.9,5.8,5.85,46,5.847,24
2025-02-20 12:00:00,5.83,5.85,5.73,5.81,26,5.783,14
2025-02-20 13:00:00,5.8,5.8,5.73,5.73,34,5.773,13
2025-02-20 14:00:00,5.75,5.81,5.72,5.75,49,5.78,29
2025-02-20 15:00:00,5.78,5.8,5.72,5.74,169,5.776,67
2025-02-20 16:00:00,5.76,5.76,5.64,5.65,9,5.723,3
2025-02-20 17:00:00,5.65,5.65,5.65,5.65,0,5.65,0
