date,open,high,low,close,volume,average,barCount
2025-02-19 09:00:00,2.11,2.13,2.035,2.04,1463,2.08461,336
2025-02-19 10:00:00,2.04,2.08,2.03,2.035,1314,2.04679,448
2025-02-19 11:00:00,2.0365,2.06,2.005,2.01,1132,2.03337,294
2025-02-19 12:00:00,2.01,2.02,2.005,2.015,537,2.01455,196
2025-02-19 13:00:00,2.015,2.02,1.985,1.995,774,2.00103,299
2025-02-19 14:00:00,1.995,2.02,1.995,2.015,620,2.00709,247
2025-02-19 15:00:00,2.015,2.02,1.98,1.99,2870,1.99555,983
2025-02-19 16:00:00,2.0,2.0,2.0,2.0,324,2.0,2
2025-02-19 17:00:00,2.0396,2.0396,2.0386,2.0386,13,2.03937,2
2025-02-19 18:00:00,2.0386,2.0386,2.0386,2.0386,0,2.0386,0
2025-02-19 19:00:00,2.0359,2.0359,2.0359,2.0359,1,2.0359,1
2025-02-20 09:00:00,2.01,2.01,1.92,1.945,977,1.95354,285
2025-02-20 10:00:00,1.945,1.975,1.935,1.965,772,1.95836,327
2025-02-20 11:00:00,1.965,1.97,1.9425,1.97,705,1.9607,232
2025-02-20 12:00:00,1.97,1.98,1.94,1.945,1277,1.95963,396
2025-02-20 13:00:00,1.94,1.95,1.93,1.935,757,1.93672,242
2025-02-20 14:00:00,1.94,1.95,1.93,1.94,1171,1.93632,313
2025-02-20 15:00:00,1.935,1.95,1.92,1.945,1128,1.93543,472
2025-02-20 16:00:00,1.95,1.95,1.95,1.95,125,1.95,2
2025-02-20 17:00:00,1.95,1.95,1.95,1.95,0,1.95,0
2025-02-20 18:00:00,1.95,1.95,1.95,1.95,0,1.95,0
2025-02-20 19:00:00,1.95,1.95,1.95,1.95,49,1.95,1
2025-02-21 09:00:00,1.98,2.01,1.965,1.975,1388,1.98509,300
2025-02-21 10:00:00,1.975,1.98,1.95,1.97,1604,1.96375,394
2025-02-21 11:00:00,1.975,1.98,1.955,1.965,1036,1.96964,259
2025-02-21 12:00:00,1.96,1.98,1.94,1.96,1604,1.9628,507
2025-02-21 13:00:00,1.96,1.96,1.93,1.95,893,1.94573,284
2025-02-21 14:00:00,1.94,1.955,1.935,1.94,677,1.94578,261
2025-02-21 15:00:00,1.94,1.965,1.94,1.96,2694,1.95391,1237
2025-02-21 16:00:00,1.95,1.9599,1.95,1.9599,173,1.95086,3
2025-02-21 17:00:00,1.9599,1.9599,1.9599,1.9599,0,1.9599,0
2025-02-21 18:00:00,1.9599,1.9599,1.9599,1.9599,0,1.9599,0
2025-02-21 19:00:00,1.9599,1.9599,1.9599,1.9599,0,1.9599,0
2025-02-24 04:00:00,1.94,1.95,1.92,1.92,9,1.92666,3
2025-02-24 05:00:00,1.92,1.92,1.92,1.92,0,1.92,0
2025-02-24 06:00:00,1.92,1.92,1.92,1.92,0,1.92,0
2025-02-24 07:00:00,1.92,1.92,1.92,1.92,0,1.92,0
2025-02-24 08:00:00,1.9201,1.9201,1.9201,1.9201,13,1.9201,1
2025-02-24 09:00:00,1.95,1.955,1.88,1.895,1725,1.9081,352
2025-02-24 10:00:00,1.8991,1.8991,1.85,1.867,2271,1.87683,583
2025-02-24 11:00:00,1.865,1.91,1.865,1.905,1280,1.88815,388
2025-02-24 12:00:00,1.905,1.925,1.89,1.91,1573,1.90899,575
2025-02-24 13:00:00,1.91,1.915,1.885,1.91,787,1.89984,252
2025-02-24 14:00:00,1.9,1.9,1.87,1.875,966,1.88342,516
2025-02-24 15:00:00,1.87,1.91,1.87,1.88,3994,1.88881,1673
2025-02-24 16:00:00,1.88,1.88,1.88,1.88,153,1.88,1
2025-02-24 17:00:00,1.88,1.88,1.88,1.88,0,1.88,0
2025-02-24 18:00:00,1.88,1.88,1.88,1.88,0,1.88,0
2025-02-24 19:00:00,1.88,1.88,1.88,1.88,0,1.88,0
2025-02-25 04:00:00,1.87,1.87,1.87,1.87,3,1.87,1
2025-02-25 05:00:00,1.87,1.87,1.87,1.87,0,1.87,0
2025-02-25 06:00:00,1.87,1.87,1.87,1.87,0,1.87,0
2025-02-25 07:00:00,1.87,1.87,1.87,1.87,0,1.87,0
2025-02-25 08:00:00,1.87,1.87,1.87,1.87,0,1.87,0
2025-02-25 09:00:00,1.9,1.92,1.85,1.875,1138,1.87614,444
2025-02-25 10:00:00,1.87,1.88,1.845,1.855,1313,1.85666,334
2025-02-25 11:00:00,1.855,1.86,1.82,1.86,1886,1.83988,447
2025-02-25 12:00:00,1.855,1.88,1.8511,1.8605,1589,1.86102,404
2025-02-25 13:00:00,1.8646,1.8698,1.83,1.835,842,1.8492,174
2025-02-25 14:00:00,1.835,1.84,1.81,1.81,6544,1.82163,299
2025-02-25 15:00:00,1.815,1.83,1.79,1.8,3239,1.80989,941
2025-02-25 16:00:00,1.79,1.79,1.79,1.79,375,1.79,4
2025-02-25 17:00:00,1.79,1.79,1.79,1.79,0,1.79,0
2025-02-25 18:00:00,1.79,1.79,1.79,1.79,0,1.79,0
2025-02-25 19:00:00,1.85,1.85,1.85,1.85,16,1.85,3
2025-02-26 09:00:00,1.81,1.8391,1.8,1.8108,746,1.80845,223
2025-02-26 10:00:00,1.815,1.845,1.8,1.84,3358,1.82157,708
2025-02-26 11:00:00,1.835,1.835,1.81,1.81,1693,1.8226,567
2025-02-26 12:00:00,1.81,1.85,1.81,1.83,1297,1.82756,390
2025-02-26 13:00:00,1.83,1.835,1.81,1.81,380,1.82304,208
2025-02-26 14:00:00,1.81,1.83,1.81,1.81,878,1.8203,256
2025-02-26 15:00:00,1.81,1.83,1.8,1.81,1992,1.81822,694
2025-02-26 16:00:00,1.82,1.82,1.82,1.82,411,1.82,1
2025-02-26 17:00:00,1.82,1.82,1.82,1.82,0,1.82,0
2025-02-26 18:00:00,1.82,1.82,1.82,1.82,0,1.82,0
2025-02-26 19:00:00,1.82,1.82,1.82,1.82,0,1.82,0
2025-02-27 08:00:00,1.8486,1.8486,1.77,1.77,51,1.77308,2
2025-02-27 09:00:00,1.81,1.84,1.8,1.81,478,1.82326,124
2025-02-27 10:00:00,1.81,1.835,1.79,1.795,2272,1.81644,552
2025-02-27 11:00:00,1.795,1.8,1.7801,1.795,896,1.79331,168
2025-02-27 12:00:00,1.8,1.8,1.78,1.785,604,1.78597,154
2025-02-27 13:00:00,1.785,1.8,1.78,1.795,258,1.79029,109
2025-02-27 14:00:00,1.795,1.7999,1.755,1.76,1448,1.77137,391
