date,open,high,low,close,volume,average,barCount
2024-12-13,6.0,6.0,5.1,5.6,20237,5.71,5175
2024-12-16,5.75,5.85,5.41,5.5,3693,5.586,1741
2024-12-17,5.64,5.75,5.4,5.66,1280,5.568,440
2024-12-18,5.62,5.84,5.55,5.7,1089,5.659,442
2024-12-19,5.79,5.9,5.58,5.78,483,5.681,209
2024-12-20,5.7,5.75,5.55,5.58,595,5.608,263
2024-12-23,5.67,5.67,5.46,5.51,415,5.535,174
2024-12-24,5.46,5.74,5.27,5.52,256,5.474,155
2024-12-26,5.5,5.6,5.4,5.49,470,5.462,103
2024-12-27,5.61,5.62,5.4,5.61,2310,5.449,85
2024-12-30,5.5,5.59,5.3,5.58,982,5.478,632
2024-12-31,5.58,5.59,5.4,5.58,219,5.478,77
2025-01-02,5.46,5.6,5.25,5.55,569,5.375,235
2025-01-03,5.39,5.59,5.35,5.59,792,5.46,324
2025-01-06,5.53,5.61,5.45,5.61,846,5.537,368
2025-01-07,5.95,5.99,5.73,5.75,2849,5.848,658
2025-01-08,5.84,5.93,5.62,5.63,1329,5.76,451
2025-01-10,5.9,6.04,5.79,6.0,2899,5.942,919
2025-01-13,6.0,6.1,5.6,5.6,671,5.884,249
2025-01-14,5.6,5.79,5.6,5.61,211,5.649,133
2025-01-15,5.64,6.0,5.64,5.87,460,5.931,289
2025-01-16,5.84,6.02,5.8,6.0,1764,5.973,574
2025-01-17,5.94,6.0,5.9,5.99,410,5.965,183
2025-01-21,6.0,6.0,5.81,5.88,374,5.907,240
2025-01-22,5.82,6.0,5.82,5.99,495,5.961,282
2025-01-23,6.0,6.02,5.83,5.96,780,5.973,337
2025-01-24,5.99,6.0,5.91,5.99,299,5.966,163
2025-01-27,6.0,6.01,5.94,6.0,462,5.99,198
2025-01-28,6.0,6.01,5.95,6.0,286,5.99,156
2025-01-29,5.98,6.0,5.89,5.95,520,5.963,210
2025-01-30,6.08,6.08,5.92,5.98,578,5.988,351
2025-01-31,5.96,6.29,5.94,6.2,2466,6.055,642
2025-02-03,6.2,6.21,6.15,6.2,836,6.198,420
2025-02-04,6.29,6.29,6.12,6.18,325,6.176,197
2025-02-05,6.19,6.24,6.1,6.2,218,6.185,130
2025-02-06,6.21,6.21,6.1,6.19,502,6.182,250
2025-02-07,6.15,6.2,6.07,6.2,359,6.164,151
2025-02-10,6.2,6.78,6.05,6.6,1271,6.32,409
2025-02-11,6.84,7.9,6.69,7.65,1744,7.393,750
2025-02-12,7.67,8.51,7.5,8.17,1585,7.881,687
2025-02-13,8.18,8.32,7.79,7.84,818,8.01,335
2025-02-14,7.66,8.01,7.44,7.99,688,7.763,417
2025-02-18,8.25,8.79,8.25,8.65,1355,8.585,770
2025-02-19,8.55,8.55,8.13,8.18,565,8.239,328
2025-02-20,8.18,8.72,7.93,8.27,1237,8.211,587
2025-02-21,8.35,8.72,8.18,8.25,973,8.328,546
2025-02-24,8.25,8.27,7.02,7.27,1207,7.518,430
2025-02-25,7.19,7.92,7.02,7.17,905,7.463,562
2025-02-26,7.03,8.0,7.0,7.61,716,7.533,413
2025-02-27,7.61,7.94,7.05,7.05,656,7.46,297
2025-02-28,7.05,7.38,6.79,7.0,573,7.012,363
2025-03-03,7.07,7.64,6.87,7.17,374,7.199,219
2025-03-04,7.15,7.58,7.06,7.43,291,7.332,195
2025-03-05,7.43,8.31,7.43,7.98,675,7.928,390
2025-03-06,7.9,8.36,7.84,7.89,1538,8.094,405
2025-03-07,7.91,8.08,7.2,7.56,644,7.723,275
2025-03-10,7.48,7.48,6.9,7.06,1012,7.148,665
2025-03-11,7.03,7.42,6.77,7.37,487,7.178,313
2025-03-12,7.51,7.9,7.09,7.28,1725,7.394,486
2025-03-13,7.04,7.41,6.5,6.83,410,6.903,278
2025-03-14,6.78,6.97,6.77,6.86,1513,6.874,611
2025-03-17,6.86,7.09,6.6,6.72,724,6.929,437
2025-03-18,6.71,6.99,6.2,6.32,777,6.447,522
2025-03-19,6.3,6.57,6.01,6.21,1266,6.18,655
