date,open,high,low,close,volume,average,barCount
2024-01-02,6.76,6.97,6.76,6.91,687,6.894,562
2024-01-03,6.81,7.1,6.55,6.63,1357,6.718,992
2024-01-04,6.63,6.77,6.52,6.75,1006,6.675,766
2024-01-05,7.43,8.74,7.33,8.55,11402,8.365,4614
2024-01-08,8.58,9.25,8.57,8.59,6000,8.786,2902
2024-01-09,8.47,8.77,8.29,8.47,3140,8.542,2039
2024-01-10,8.51,8.62,8.02,8.22,1973,8.199,1052
2024-01-11,8.18,8.18,7.73,8.0,1052,7.96,769
2024-01-12,8.07,8.27,7.84,7.9,763,7.963,504
2024-01-16,7.84,7.96,7.63,7.95,977,7.83,609
2024-01-17,7.8,7.9,7.67,7.82,590,7.756,404
2024-01-18,7.88,8.33,7.88,8.14,1639,8.112,779
2024-01-19,8.22,8.8,7.98,8.78,2751,8.443,1291
2024-01-22,8.86,9.06,8.82,9.04,1185,8.964,659
2024-01-23,9.2,9.32,8.68,8.86,1743,8.86,813
2024-01-24,9.05,9.43,8.97,9.2,1447,9.257,909
2024-01-25,9.36,9.54,9.24,9.51,2022,9.454,1116
2024-01-26,9.52,9.65,9.43,9.53,1471,9.545,802
2024-01-29,9.59,9.84,9.47,9.68,1643,9.641,974
2024-01-30,9.61,9.62,9.47,9.52,882,9.552,530
2024-01-31,9.42,9.93,9.4,9.67,1403,9.653,932
2024-02-01,9.75,9.84,9.52,9.75,1082,9.701,731
2024-02-02,9.6,9.73,9.54,9.6,502,9.616,389
2024-02-05,9.55,9.67,9.43,9.56,2075,9.56,1114
2024-02-06,9.51,9.87,9.51,9.74,1347,9.742,848
2024-02-07,9.68,9.93,9.56,9.69,2129,9.725,1071
2024-02-08,9.63,9.92,9.59,9.87,1885,9.819,1258
2024-02-09,10.0,10.05,9.72,9.88,1449,9.873,794
2024-02-12,9.82,10.06,9.82,10.04,1740,9.993,1116
2024-02-13,9.6,9.77,9.45,9.76,1823,9.673,1357
2024-02-14,9.92,10.1,9.82,9.9,1236,9.977,822
2024-02-15,10.01,10.5,9.98,10.49,1986,10.222,1161
2024-02-16,10.36,10.65,10.33,10.6,1133,10.531,745
2024-02-20,10.45,10.5,10.18,10.42,1103,10.365,668
2024-02-21,10.33,10.53,10.25,10.4,790,10.404,555
2024-02-22,10.51,10.55,10.15,10.23,1308,10.316,753
2024-02-23,10.18,10.65,10.01,10.37,982,10.411,667
2024-02-26,10.36,10.6,10.26,10.45,1203,10.39,750
2024-02-27,10.54,10.84,10.51,10.67,1174,10.719,922
2024-02-28,10.55,10.69,10.24,10.33,1681,10.502,1052
2024-02-29,10.53,10.71,10.47,10.56,1084,10.583,726
2024-03-01,10.58,10.76,10.2,10.69,1348,10.585,879
2024-03-04,10.73,10.83,10.54,10.59,2805,10.683,1180
2024-03-05,9.0,9.9,8.47,8.99,5506,9.417,2956
2024-03-06,8.91,9.31,8.53,9.06,3484,9.033,2267
2024-03-07,9.02,9.15,8.31,9.02,3487,8.824,1961
2024-03-08,9.1,9.28,8.66,8.75,1318,8.897,796
2024-03-11,8.49,8.82,8.38,8.44,1218,8.535,652
2024-03-12,8.43,8.47,8.03,8.23,2838,8.25,1471
2024-03-13,8.2,8.34,7.84,8.05,1883,8.036,1099
2024-03-14,8.04,8.06,7.63,7.76,1251,7.76,809
2024-03-15,7.72,7.86,7.6,7.68,1572,7.688,558
2024-03-18,7.68,7.88,7.5,7.71,2662,7.752,1292
2024-03-19,7.69,7.8,7.57,7.68,914,7.718,601
2024-03-20,7.68,7.82,7.52,7.74,1880,7.689,1215
2024-03-21,7.77,7.88,7.62,7.67,953,7.712,578
2024-03-22,7.71,7.71,7.34,7.35,659,7.485,462
2024-03-25,7.34,7.48,7.31,7.42,964,7.402,572
2024-03-26,7.5,7.6,7.38,7.55,972,7.533,650
2024-03-27,7.62,7.8,7.56,7.77,2202,7.744,930
2024-03-28,7.74,8.11,7.74,8.07,790,7.989,464
2024-04-01,8.1,8.11,7.77,7.95,823,7.91,590
2024-04-02,7.77,7.85,7.68,7.81,2186,7.777,1403
2024-04-03,7.77,8.06,7.69,8.06,1720,7.923,862
2024-04-04,8.1,8.25,7.7,7.76,2400,7.924,1181
2024-04-05,7.7,7.91,7.62,7.8,1082,7.791,672
2024-04-08,7.84,7.98,7.78,7.92,771,7.882,515
2024-04-09,7.94,8.08,7.91,8.03,507,8.008,412
2024-04-10,7.81,7.86,7.48,7.5,821,7.658,587
2024-04-11,7.53,7.62,7.24,7.34,944,7.371,617
2024-04-12,7.27,7.28,6.96,7.21,1957,7.102,1098
2024-04-15,7.22,7.24,6.95,7.03,713,7.063,575
2024-04-16,6.97,7.13,6.9,7.0,762,7.022,550
2024-04-17,7.06,7.15,6.92,6.94,881,7.042,681
2024-04-18,6.91,6.95,6.49,6.55,1180,6.692,721
