date,open,high,low,close,volume,average,barCount
2023-12-20,63.99,64.93,62.43,62.54,3279,63.84,2547
2023-12-21,63.19,64.68,63.12,64.35,2561,64.206,1807
2023-12-22,64.91,65.1,63.8,64.49,1199,64.484,852
2023-12-26,64.71,65.98,64.41,65.76,959,65.58,696
2023-12-27,66.01,66.41,65.67,66.3,946,66.179,732
2023-12-28,66.22,66.98,65.89,66.26,989,66.361,819
2023-12-29,65.98,66.49,65.03,65.14,1179,65.536,903
2024-01-02,64.51,65.59,63.94,64.86,1383,64.896,1014
2024-01-03,64.22,64.22,61.36,61.95,1864,62.012,1492
2024-01-04,61.95,62.98,61.07,62.76,1254,62.546,1025
2024-01-05,62.12,64.62,61.35,64.3,2105,64.007,1513
2024-01-08,64.37,65.39,64.11,64.6,1083,64.767,789
2024-01-09,63.91,65.99,63.91,64.71,1257,64.836,942
2024-01-10,64.55,64.86,63.4,64.66,1040,64.267,817
2024-01-11,64.06,64.31,63.04,63.96,1711,63.511,1227
2024-01-12,65.06,65.98,64.57,65.14,959,65.076,782
2024-01-16,64.31,66.0,63.95,65.7,1586,65.223,1268
2024-01-17,64.52,65.48,63.87,64.56,1822,64.447,1543
2024-01-18,64.73,66.39,64.27,66.09,1352,65.634,1195
2024-01-19,66.21,67.46,65.55,67.41,1381,66.695,1156
2024-01-22,68.11,69.16,67.26,67.26,2475,68.041,1560
2024-01-23,67.69,68.54,66.07,66.55,823,66.586,691
2024-01-24,67.07,68.11,64.87,65.14,1693,65.439,1176
2024-01-25,65.83,66.16,65.14,65.36,1431,65.553,862
2024-01-26,66.05,66.65,65.41,65.5,1177,65.816,928
2024-01-29,65.38,67.55,64.99,67.51,1073,66.748,847
2024-01-30,67.04,67.86,66.69,67.43,949,67.353,738
2024-01-31,67.13,67.53,65.0,65.2,2845,66.656,1917
2024-02-01,65.63,66.86,65.15,66.13,2578,66.047,2069
2024-02-02,65.26,66.42,64.97,66.1,1271,65.615,793
2024-02-05,65.13,65.96,64.09,65.63,1420,65.718,1085
2024-02-06,65.9,67.26,65.9,66.72,2112,66.498,1391
2024-02-07,66.84,66.99,64.7,65.05,4595,65.655,3114
2024-02-08,64.0,64.78,61.88,64.04,3650,63.436,2683
2024-02-09,63.87,66.94,63.87,65.13,2392,65.456,1598
2024-02-12,64.83,66.05,64.66,65.93,1300,65.562,958
2024-02-13,63.5,65.44,63.06,63.84,2366,64.048,1836
2024-02-14,64.89,66.03,64.5,65.61,1425,65.503,1141
2024-02-15,66.33,66.45,64.59,64.66,1275,65.151,1038
2024-02-16,63.89,66.0,63.64,64.16,1473,64.76,1144
2024-02-20,63.47,64.43,62.83,64.11,2012,63.67,1526
2024-02-21,63.56,63.74,62.33,63.32,2999,62.851,2252
2024-02-22,63.51,64.15,62.61,63.38,2249,63.208,1898
2024-02-23,63.62,64.06,62.91,63.37,2869,63.423,2109
2024-02-26,63.13,64.64,63.04,64.34,1992,63.971,1409
2024-02-27,64.61,65.3,64.08,65.11,1348,64.951,936
2024-02-28,64.52,66.0,64.52,65.21,2130,65.286,1606
2024-02-29,65.67,65.91,65.01,65.15,1335,65.337,1044
2024-03-01,65.41,67.35,65.01,67.3,1674,66.664,1432
2024-03-04,67.55,67.55,65.7,66.11,1954,66.159,1380
2024-03-05,65.43,66.13,65.01,65.14,1829,65.541,1566
2024-03-06,65.48,65.96,64.11,64.91,1714,64.935,1481
2024-03-07,65.0,67.22,65.0,67.14,1882,66.289,1545
2024-03-08,67.5,67.77,65.24,65.39,1150,66.354,838
2024-03-11,65.23,65.51,64.78,65.14,1617,65.158,1306
2024-03-12,64.98,65.29,64.25,64.69,2026,64.785,1553
2024-03-13,64.51,65.09,63.7,64.11,1551,64.276,1222
2024-03-14,64.11,64.31,59.02,59.26,3655,60.719,2879
2024-03-15,59.11,60.84,58.4,59.51,3748,59.198,2677
2024-03-18,59.5,59.72,58.09,58.18,3189,58.963,2677
2024-03-19,57.89,59.41,57.58,58.7,3762,58.583,2819
2024-03-20,58.5,59.25,57.67,58.69,3245,58.545,2595
2024-03-21,59.47,60.18,59.18,59.23,1850,59.704,1559
2024-03-22,59.27,59.49,58.38,59.31,2680,58.93,2105
2024-03-25,59.03,59.3,57.63,57.82,2221,58.11,1704
2024-03-26,58.17,58.39,57.62,58.39,1666,58.017,1368
