date,open,high,low,close,volume,average,barCount
2024-01-02,3.425,3.425,3.275,3.325,165,3.365475,88
2024-01-03,3.275,3.275,2.8047,2.9,574,3.01705,436
2024-01-04,2.875,2.9498,2.807,2.9,385,2.8844,298
2024-01-05,2.825,3.0,2.825,2.975,166,2.959225,136
2024-01-08,2.95,3.025,2.95,2.975,27,2.99725,49
2024-01-09,2.9,2.95,2.775,2.85,136,2.85065,98
2024-01-10,2.8,2.85,2.625,2.675,126,2.77285,88
2024-01-11,2.6,2.85,2.6,2.725,91,2.73865,73
2024-01-12,2.725,2.8103,2.7,2.7375,88,2.72845,43
2024-01-16,2.55,2.875,2.3972,2.675,853,2.590975,530
2024-01-17,2.6,2.725,2.525,2.7,377,2.656975,240
2024-01-18,2.6,2.675,2.525,2.575,173,2.605425,105
2024-01-19,2.725,2.775,2.525,2.575,421,2.6622,487
2024-01-22,2.7,3.225,2.7,3.125,797,2.928125,422
2024-01-23,3.1,3.25,2.925,3.05,191,3.07845,154
2024-01-24,3.05,3.25,3.025,3.25,572,3.12015,176
2024-01-25,3.225,3.2485,3.025,3.2,281,3.1507,153
2024-01-26,3.15,3.1888,2.8,2.95,183,3.01395,137
2024-01-29,3.0,3.125,2.9247,3.1,83,3.00825,56
2024-01-30,3.1,3.175,2.9752,3.125,280,3.081025,149
2024-01-31,3.059,3.059,2.9,2.95,56,2.98125,44
2024-02-01,2.85,3.0,2.85,2.85,60,2.92945,40
2024-02-02,2.85,2.859,2.75,2.75,50,2.8013,33
2024-02-05,2.8255,2.95,2.6,2.6,170,2.673675,81
2024-02-06,2.65,2.875,2.65,2.775,63,2.749,52
2024-02-07,2.7792,2.7997,2.6568,2.675,215,2.73495,84
2024-02-08,2.775,2.875,2.625,2.65,231,2.71,165
2024-02-09,2.65,3.175,2.65,3.0,284,2.916725,206
2024-02-12,3.2,3.2,2.9752,3.05,163,3.073075,50
2024-02-13,3.05,3.11,2.8502,3.075,88,3.046975,79
2024-02-14,2.8,3.175,2.8,3.125,334,3.064175,192
2024-02-15,3.0375,3.125,2.9,2.9,118,2.98025,89
2024-02-16,2.95,3.2,2.95,3.15,73,3.13255,55
2024-02-20,3.025,3.5,2.925,3.475,842,3.2295,684
2024-02-21,3.475,3.475,3.075,3.15,272,3.1935,217
2024-02-22,3.35,3.35,3.025,3.125,121,3.1031,138
2024-02-23,3.225,3.3,3.025,3.025,253,3.12075,310
2024-02-26,3.125,3.125,2.875,2.9,271,2.97405,69
2024-02-27,3.05,3.05,2.75,2.9,120,2.845075,118
2024-02-28,2.95,2.9738,2.575,2.85,231,2.77735,138
2024-02-29,2.8,3.25,2.775,3.25,342,2.9559,197
2024-03-01,3.15,3.15,2.8363,3.075,258,3.047825,138
2024-03-04,3.0,3.0498,2.825,2.975,146,2.960525,113
2024-03-05,2.975,3.1,2.775,2.85,197,2.85475,132
2024-03-06,2.785,2.875,2.725,2.75,95,2.811125,74
2024-03-07,2.7513,2.791,2.4995,2.675,322,2.62225,121
2024-03-08,2.775,2.775,2.25,2.625,876,2.530525,233
2024-03-11,2.575,2.625,2.2543,2.45,484,2.431875,336
2024-03-12,2.4005,2.5,2.051,2.1193,775,2.187475,378
2024-03-13,2.0558,2.125,1.775,2.125,762,2.038125,258
2024-03-14,2.1,2.125,1.9767,2.0,119,2.018,89
2024-03-15,2.0425,2.0425,1.825,1.9475,199,1.91875,121
2024-03-18,2.0575,2.2253,1.675,1.675,274,1.808975,292
2024-03-19,2.08,2.08,1.675,1.75,362,1.823575,156
2024-03-20,1.75,1.9287,1.675,1.87,349,1.75775,201
2024-03-21,1.85,1.8725,1.653,1.675,244,1.716175,165
2024-03-22,1.74,1.8975,1.5028,1.5493,945,1.63295,469
2024-03-25,1.5457,1.575,1.4,1.45,488,1.49245,577
2024-03-26,1.45,1.45,1.1497,1.1497,1216,1.280525,682
2024-03-27,1.3725,1.575,1.3225,1.505,994,1.4443,626
2024-03-28,1.65,1.78,1.4575,1.458,1270,1.619825,496
2024-04-01,1.45,1.45,1.1783,1.194,976,1.28835,504
2024-04-02,1.2215,1.4945,1.1527,1.1588,1571,1.287125,668
2024-04-03,1.2725,1.4463,1.2497,1.325,1019,1.320525,486
2024-04-04,1.3103,1.525,1.3103,1.3125,1452,1.435125,449
2024-04-05,1.3475,1.45,1.3,1.3,89,1.3633,67
2024-04-08,1.325,1.3775,1.15,1.1503,373,1.2549,208
2024-04-09,1.15,1.3002,1.15,1.1778,259,1.212925,112
2024-04-10,1.1512,1.2863,1.1512,1.18,203,1.2015,41
2024-04-11,1.175,1.25,1.0625,1.065,449,1.139675,318
2024-04-12,1.1182,1.125,1.057,1.062,141,1.0713,111
2024-04-15,1.2,1.2,0.9275,0.9615,858,1.053,305
2024-04-16,1.0098,1.1232,0.8815,1.0525,859,1.02725,429
2024-04-17,1.1375,1.1603,1.0,1.0625,227,1.076425,182
2024-04-18,1.055,1.0975,0.929,1.035,310,1.034225,176
2024-04-19,1.0293,1.1,0.9315,1.0003,449,1.017475,326
2024-04-22,1.04,1.04,0.95,1.0003,146,0.99055,167
2024-04-23,0.98,1.2565,0.98,1.1285,751,1.143925,340
2024-04-24,1.2483,1.2853,1.0,1.175,332,1.11965,228
2024-04-25,1.0925,1.2225,1.0045,1.0175,280,1.055525,183
2024-04-26,1.0172,1.122,0.98,0.98,206,1.02125,159
2024-04-29,1.0,1.125,1.0,1.05,244,1.05005,245
2024-04-30,1.0875,1.0875,0.9978,1.0142,25,1.0276,13
2024-05-01,1.025,1.1,1.025,1.0502,18,1.0414,13
2024-05-02,1.1,1.125,1.012,1.0205,59,1.07005,34
2024-05-03,1.1,1.125,1.0253,1.0485,285,1.086325,108
2024-05-06,1.0633,1.0978,1.0003,1.0128,146,1.027875,98
2024-05-07,1.0425,1.064,0.9375,0.9375,217,0.997325,101
2024-05-08,0.9065,1.0,0.905,0.9625,295,0.94675,115
2024-05-09,1.045,1.0593,0.9753,0.9753,69,1.004975,62
2024-05-10,1.0,1.0,0.905,0.9075,124,0.9558,54
2024-05-13,0.975,1.1245,0.9725,1.1,286,1.03235,179
2024-05-14,1.125,1.125,1.0,1.037,134,1.036325,93
2024-05-15,1.0973,1.1225,1.0,1.1022,295,1.0685,162
2024-05-16,1.1,1.1,0.9995,1.0515,106,1.0489,94
2024-05-17,1.075,1.1,0.9988,1.0353,140,1.041125,89
2024-05-20,1.025,1.025,0.905,0.945,165,0.962925,88
2024-05-21,0.9375,0.9625,0.85,0.9555,224,0.918475,123
2024-05-22,0.9625,1.0,0.9502,0.977,66,0.978375,39
2024-05-23,0.9875,1.0007,0.9525,0.955,18,0.95925,10
2024-05-24,0.95,1.05,0.9275,1.0495,480,1.018075,64
2024-05-28,1.02,1.075,0.9425,1.0505,336,1.02765,127
2024-05-29,1.05,1.05,0.95,1.005,178,0.9747,103
2024-05-30,1.0125,1.025,0.965,0.9867,139,0.990125,102
2024-05-31,1.075,1.225,0.969,1.0865,1398,1.08065,642
2024-06-03,1.1,1.1,0.9715,0.975,584,1.0049,259
2024-06-04,1.05,1.05,0.9512,0.98,203,0.97635,55
2024-06-05,0.9733,0.975,0.9175,0.9438,86,0.9399,44
2024-06-06,0.97,0.9975,0.95,0.9975,150,0.963775,120
2024-06-07,0.95,1.05,0.9173,0.9748,79,0.934,44
2024-06-10,0.925,0.9748,0.8997,0.9375,152,0.94155,75
