date,open,high,low,close,volume,average,barCount
2023-12-20,4.18,4.27,4.08,4.1,59132,4.182,11170
2023-12-21,3.88,3.89,3.52,3.58,155483,3.601,31180
2023-12-22,3.61,3.63,3.54,3.57,63530,3.584,12191
2023-12-26,3.57,3.62,3.48,3.61,54197,3.538,11658
2023-12-27,3.6,3.63,3.55,3.55,40101,3.576,9265
2023-12-28,3.55,3.62,3.51,3.56,49327,3.562,9493
2023-12-29,3.55,3.62,3.53,3.54,65190,3.564,11921
2024-01-02,3.5,3.51,3.39,3.43,62477,3.444,12694
2024-01-03,3.4,3.4,3.32,3.33,74262,3.355,14468
2024-01-04,3.32,3.33,3.23,3.25,60150,3.254,11026
2024-01-05,3.23,3.3,3.23,3.26,35414,3.255,6304
2024-01-08,3.27,3.3,3.19,3.23,69958,3.243,12104
2024-01-09,3.23,3.32,3.2,3.31,42729,3.265,7313
2024-01-10,3.3,3.45,3.24,3.45,71544,3.359,9176
2024-01-11,3.4,3.45,3.29,3.39,46642,3.36,7617
2024-01-12,3.39,3.48,3.39,3.4,51100,3.43,9852
2024-01-16,3.38,3.46,3.34,3.4,48697,3.419,7959
2024-01-17,3.33,3.35,3.27,3.34,30119,3.321,6750
2024-01-18,3.37,3.42,3.34,3.39,31834,3.377,6287
2024-01-19,3.38,3.46,3.34,3.43,63845,3.421,9442
2024-01-22,3.45,3.61,3.45,3.6,90300,3.547,12988
2024-01-23,3.62,3.63,3.54,3.55,46123,3.573,6562
2024-01-24,3.19,3.25,2.85,2.93,511757,2.944,62625
2024-01-25,2.89,3.06,2.84,2.98,216115,2.972,38955
2024-01-26,2.98,3.03,2.89,2.92,83518,2.945,14798
2024-01-29,2.93,2.98,2.83,2.98,56920,2.907,9418
2024-01-30,2.98,2.98,2.83,2.86,76182,2.869,10334
2024-01-31,2.83,2.91,2.79,2.79,63303,2.846,10451
2024-02-01,2.83,2.86,2.76,2.77,74113,2.797,10236
2024-02-02,2.78,2.78,2.69,2.71,53339,2.718,9227
2024-02-05,2.67,2.69,2.59,2.66,62713,2.634,10108
2024-02-06,2.67,2.76,2.65,2.76,38235,2.704,6277
2024-02-07,2.75,2.79,2.73,2.75,27358,2.754,5822
2024-02-08,2.75,2.85,2.7,2.79,81552,2.779,11280
2024-02-09,2.79,2.82,2.72,2.8,91639,2.783,9719
2024-02-12,2.82,2.88,2.78,2.81,55333,2.837,7207
2024-02-13,2.71,2.74,2.65,2.71,61573,2.699,10381
2024-02-14,2.73,2.82,2.72,2.78,76185,2.784,10332
2024-02-15,2.84,2.86,2.77,2.86,47714,2.821,7213
2024-02-16,2.82,2.86,2.79,2.79,37527,2.819,7318
2024-02-20,2.78,2.79,2.69,2.69,33684,2.717,7217
2024-02-21,2.68,2.73,2.65,2.71,37569,2.696,6334
2024-02-22,2.73,2.74,2.63,2.65,59718,2.664,9422
2024-02-23,2.66,2.68,2.57,2.57,62016,2.603,10758
2024-02-26,2.58,2.62,2.55,2.61,34644,2.604,8221
2024-02-27,2.6,2.76,2.6,2.71,60669,2.705,7685
2024-02-28,2.68,2.72,2.64,2.69,36298,2.692,6210
2024-02-29,2.7,2.82,2.7,2.78,84494,2.756,12271
2024-03-01,2.79,2.85,2.76,2.78,67791,2.813,10255
2024-03-04,2.75,2.81,2.66,2.68,39133,2.705,7425
2024-03-05,2.66,2.68,2.6,2.62,34562,2.632,7777
2024-03-06,2.66,2.71,2.63,2.67,42134,2.669,7627
2024-03-07,2.68,2.74,2.66,2.73,34114,2.704,7263
2024-03-08,2.75,2.82,2.72,2.76,59919,2.761,10032
2024-03-11,2.78,3.12,2.75,3.06,208015,2.996,34138
2024-03-12,3.05,3.1,2.94,3.08,120448,3.048,22710
2024-03-13,3.05,3.18,3.0,3.12,191463,3.106,35979
2024-03-14,3.09,3.1,2.96,3.07,174436,3.038,30194
2024-03-15,3.06,3.08,2.76,2.85,173709,2.896,32851
2024-03-18,2.87,2.88,2.63,2.65,81103,2.717,15611
2024-03-19,2.64,2.64,2.46,2.47,135891,2.52,22527
2024-03-20,2.53,2.64,2.48,2.62,144198,2.561,20221
2024-03-21,2.64,2.83,2.64,2.78,114206,2.761,20429
2024-03-22,2.76,2.76,2.65,2.67,50610,2.689,8520
