date,open,high,low,close,volume,average,barCount
2023-12-20,11.42,11.605,10.99,11.0,56844,11.2656,23677
2023-12-21,11.41,11.58,11.26,11.57,34345,11.42169,15145
2023-12-22,10.42,11.28,10.41,11.0,76467,10.95762,32545
2023-12-26,11.25,11.37,11.09,11.22,26803,11.24253,11609
2023-12-27,11.15,11.21,10.97,11.12,39206,11.0638,17161
2023-12-28,11.57,12.25,11.5,11.84,103738,11.93652,38035
2023-12-29,12.07,12.32,11.91,12.17,56515,12.1939,23559
2024-01-02,11.92,11.96,11.55,11.61,48190,11.69398,20451
2024-01-03,11.61,12.09,11.495,12.07,56994,11.91943,22071
2024-01-04,11.91,12.0,11.685,11.69,40391,11.79228,18385
2024-01-05,11.58,11.58,11.08,11.12,62867,11.21852,26615
2024-01-08,10.78,11.17,10.76,11.12,37091,11.0368,16368
2024-01-09,10.85,10.96,10.805,10.85,31462,10.88099,14708
2024-01-10,10.93,11.02,10.72,10.78,30145,10.84155,14193
2024-01-11,11.04,11.13,10.65,10.9,43612,10.87386,19942
2024-01-12,10.84,10.975,10.64,10.65,26904,10.75744,13792
2024-01-16,10.33,10.395,9.94,10.04,63865,10.09781,24740
2024-01-17,9.5,9.89,9.495,9.81,56801,9.73326,24440
2024-01-18,9.97,10.06,9.635,9.7,43526,9.73715,20447
2024-01-19,9.48,9.505,9.13,9.41,82750,9.34536,33575
2024-01-22,8.9,9.375,8.8,9.21,69528,9.18826,31040
2024-01-23,9.91,10.65,9.78,10.05,201928,10.15423,83158
2024-01-24,10.649,10.72,9.87,10.01,104811,10.14029,42999
2024-01-25,9.94,9.99,9.6,9.64,59430,9.72177,24656
2024-01-26,9.39,9.68,9.38,9.55,25917,9.5663,12244
2024-01-29,9.51,9.54,9.12,9.42,53823,9.27159,21713
2024-01-30,9.03,9.18,8.96,8.98,52120,9.03959,20210
2024-01-31,8.82,9.36,8.815,9.07,75652,9.14927,30530
2024-02-01,9.33,9.55,9.25,9.35,64915,9.36191,27677
2024-02-02,9.1,9.118,8.86,8.94,50267,8.95082,19116
2024-02-05,9.03,9.16,8.87,9.09,50491,9.02424,19680
2024-02-06,9.7,10.26,9.5013,10.2,122333,9.97788,47593
2024-02-07,9.49,9.815,9.374,9.74,76533,9.66996,33356
2024-02-08,9.69,9.91,9.55,9.73,50492,9.7703,23733
2024-02-09,9.84,9.925,9.53,9.88,36490,9.70502,14773
2024-02-12,9.95,10.5,9.93,10.2,40541,10.26774,18775
2024-02-13,9.89,10.075,9.6,9.63,41948,9.76317,19849
2024-02-14,9.88,10.1,9.85,10.03,34482,9.99188,16148
2024-02-15,10.05,10.15,9.945,10.14,25775,10.06505,11746
2024-02-16,10.43,10.72,10.32,10.36,54073,10.50429,23197
2024-02-20,10.16,10.23,9.9605,10.2,39972,10.10033,17460
2024-02-21,10.45,10.63,10.26,10.31,37278,10.37265,16298
2024-02-22,10.35,10.44,10.06,10.28,37018,10.20654,17875
2024-02-23,10.28,10.37,9.87,10.02,44957,9.99487,21656
2024-02-26,10.1,10.23,10.015,10.13,31985,10.11523,15313
2024-02-27,10.4,10.47,10.25,10.31,36555,10.32394,17735
2024-02-28,9.89,9.98,9.65,9.67,37018,9.74289,15552
2024-02-29,9.77,9.96,9.63,9.68,40827,9.75187,18889
2024-03-01,9.97,10.22,9.96,10.05,43566,10.09714,21162
2024-03-04,10.3,10.82,10.1,10.37,88782,10.43561,37052
2024-03-05,10.24,10.5907,9.99,10.16,53919,10.27863,25224
2024-03-06,10.8,11.19,10.79,10.81,113110,10.95176,52125
2024-03-07,9.89,10.78,9.86,10.6,126878,10.32483,52469
2024-03-08,10.64,11.23,10.62,11.13,79044,11.0337,36095
2024-03-11,11.93,12.86,11.92,12.61,127710,12.64126,57982
2024-03-12,12.97,13.19,12.51,12.69,89086,12.8055,42495
2024-03-13,12.86,13.2,12.45,12.51,70188,12.66632,34922
2024-03-14,12.54,12.54,11.335,11.66,122488,11.71471,57471
2024-03-15,11.79,12.03,11.67,11.78,40525,11.87062,19838
2024-03-18,11.99,12.12,11.485,11.84,55106,11.68331,26569
2024-03-19,11.7,11.85,11.535,11.83,20792,11.71469,11454
2024-03-20,12.18,12.31,11.98,12.28,38008,12.1377,20179
2024-03-21,11.21,11.48,11.1,11.2,212470,11.31568,72633
2024-03-22,10.99,11.14,10.855,10.93,62118,11.0011,25379
