date,open,high,low,close,volume,average,barCount
2023-12-21,47.91,48.43,45.82,46.8,8878,46.651,4444
2023-12-22,46.16,47.18,45.7,46.31,5564,46.303,2581
2023-12-26,46.5,49.13,46.5,49.03,2011,48.232,1168
2023-12-27,49.52,51.01,49.3,50.06,3987,50.335,2524
2023-12-28,50.61,50.94,49.06,49.5,3756,49.605,1999
2023-12-29,49.3,49.81,48.6,48.73,2433,48.938,1356
2024-01-02,48.43,48.55,46.75,47.38,3698,47.583,2129
2024-01-03,46.74,47.69,45.92,46.29,4482,46.632,3403
2024-01-04,46.0,46.53,45.55,46.19,1841,46.048,1422
2024-01-05,45.6,46.41,45.58,45.7,1511,45.958,1159
2024-01-08,45.7,47.9,45.7,47.43,4597,47.251,3104
2024-01-09,47.23,47.65,46.59,46.64,2545,46.972,1484
2024-01-10,46.51,48.0,46.45,47.65,4983,47.388,2646
2024-01-11,47.83,47.88,46.89,47.54,7369,47.524,3908
2024-01-12,48.39,48.69,46.99,47.88,11382,47.849,5311
2024-01-16,47.12,49.78,47.11,49.43,8175,49.007,5270
2024-01-17,48.61,50.19,47.88,49.98,13360,49.458,8710
2024-01-18,43.49,47.72,43.0,46.12,28463,45.686,16744
2024-01-19,47.17,47.17,44.31,46.32,9794,45.541,6615
2024-01-22,46.46,49.24,46.46,47.6,6093,47.709,4047
2024-01-23,47.59,48.03,45.1,45.61,4946,46.286,3250
2024-01-24,46.66,46.66,44.77,44.8,3108,45.187,2315
2024-01-25,44.71,46.44,44.71,46.4,2311,45.942,1795
2024-01-26,46.72,47.37,46.25,46.53,1601,46.726,1206
2024-01-29,46.6,48.76,46.46,48.42,4542,48.038,2921
2024-01-30,48.5,48.54,47.43,47.5,1741,47.871,1281
2024-01-31,47.59,48.44,46.29,46.39,3112,47.13,2133
2024-02-01,46.47,46.92,45.42,46.67,2470,46.283,1730
2024-02-02,46.57,46.76,45.6,46.09,2552,46.261,1935
2024-02-05,45.58,45.98,44.0,45.15,4774,45.173,2735
2024-02-06,45.34,47.0,45.08,46.41,2749,46.37,1580
2024-02-07,46.88,46.89,45.65,45.91,1635,46.063,1196
2024-02-08,46.04,48.75,45.7,48.0,3267,47.99,1867
2024-02-09,47.79,48.38,47.36,47.86,2146,47.877,1125
2024-02-12,48.0,51.09,48.0,50.7,4165,50.16,2382
2024-02-13,49.04,49.35,47.85,48.13,1868,48.526,1021
2024-02-14,49.4,50.28,48.47,49.85,3465,49.593,1613
2024-02-15,50.5,50.82,48.78,49.78,3049,49.726,1575
2024-02-16,49.72,50.5,49.1,49.25,3188,49.691,1574
2024-02-20,49.0,50.05,48.63,49.24,3245,49.435,1720
2024-02-21,49.02,52.95,49.02,51.98,10877,51.435,5804
2024-02-22,53.26,55.0,50.89,51.3,8440,52.806,4585
2024-02-23,51.17,52.1,50.44,52.0,2568,51.707,1466
2024-02-26,52.0,53.18,50.82,51.0,3553,51.519,2299
2024-02-27,50.97,51.86,50.76,51.45,4748,51.456,3087
2024-02-28,50.88,52.13,49.45,51.23,6735,51.19,3639
2024-02-29,47.78,50.04,44.75,50.01,17827,48.203,10884
2024-03-01,50.5,50.88,47.58,47.83,3765,48.747,2607
2024-03-04,48.47,51.41,48.2,50.24,6455,50.457,3851
2024-03-05,50.39,50.46,48.0,48.36,3711,48.531,2559
2024-03-06,48.55,49.04,47.77,48.19,1058,48.164,745
2024-03-07,48.3,49.16,48.3,48.4,905,48.668,656
2024-03-08,48.69,48.91,46.71,47.18,2767,47.407,1856
2024-03-11,47.18,47.65,46.2,47.43,3483,47.046,2603
2024-03-12,47.43,47.43,46.25,47.03,1783,46.788,1314
2024-03-13,46.97,48.07,46.64,46.85,2056,47.31,1568
2024-03-14,46.93,46.95,45.91,46.43,1147,46.253,795
2024-03-15,46.08,47.34,46.08,47.09,1679,46.952,972
2024-03-18,46.79,47.28,45.9,46.4,3576,46.227,2051
2024-03-19,45.98,46.41,44.81,45.87,5712,45.53,3396
2024-03-20,46.06,46.17,45.19,45.95,2875,45.74,1634
2024-03-21,46.34,47.44,45.67,46.75,3192,46.676,2050
