date,open,high,low,close,volume,average,barCount
2024-01-02,150.7,151.15,145.5,149.35,11866,148.55,26728
2024-01-03,160.75,164.65,153.75,160.7,13611,159.285,32060
2024-01-04,170.3,176.3,162.45,174.9,15460,168.78,34446
2024-01-05,163.6,181.75,162.35,176.95,15268,172.68,34227
2024-01-08,159.8,179.15,155.8,174.2,17651,167.515,32830
2024-01-09,186.7,203.5,174.65,191.15,27032,189.34,55370
2024-01-10,176.7,182.0,168.2,170.15,19145,173.66,41165
2024-01-11,172.85,183.25,166.95,167.25,20691,175.755,44618
2024-01-12,179.25,182.75,171.75,181.7,19158,177.51,47479
2024-01-16,159.4,164.7,155.35,155.75,15848,160.16,31959
2024-01-17,157.05,165.0,154.5,159.65,13818,159.545,29303
2024-01-18,155.5,155.9,145.4,151.45,18265,150.855,42486
2024-01-19,141.7,141.8,130.45,130.45,21632,134.08,37401
2024-01-22,116.95,120.85,115.75,116.8,15749,117.875,31147
2024-01-23,113.95,123.25,113.85,122.75,14800,118.415,26216
2024-01-24,129.1,134.7,125.0,133.9,17250,130.0,29525
2024-01-25,133.65,134.45,120.05,121.6,20049,125.89,38460
2024-01-26,120.0,123.0,112.85,122.0,20785,117.835,36441
2024-01-29,115.1,115.75,107.75,109.55,21677,111.325,38310
2024-01-30,112.7,115.1,108.85,112.6,17847,111.835,32646
2024-01-31,114.25,119.35,112.55,115.5,16171,115.505,31296
2024-02-01,112.7,115.45,106.15,106.85,23857,109.49,45636
2024-02-02,109.7,113.0,108.45,112.0,13230,110.9,28112
2024-02-05,110.75,113.3,108.05,110.95,13801,110.045,25864
2024-02-06,104.95,107.5,102.25,102.7,18916,104.795,37501
2024-02-07,104.05,104.55,98.0,99.35,22233,99.96,31955
2024-02-08,97.15,97.95,90.15,91.35,27256,94.505,42714
2024-02-09,91.2,91.65,87.0,88.5,16234,88.95,24417
2024-02-12,87.5,89.5,78.9,79.85,29170,83.25,41911
2024-02-13,75.05,77.35,73.85,75.25,25974,75.185,35260
2024-02-14,72.6,74.2,68.15,68.85,30632,70.465,43092
2024-02-15,70.25,71.3,67.25,69.35,24629,69.24,31408
2024-02-16,69.5,73.35,69.35,71.55,23746,71.3,38306
2024-02-20,68.7,70.3,67.3,68.65,17907,68.445,24818
2024-02-21,83.95,86.2,80.5,85.15,25294,83.66,40924
2024-02-22,81.1,84.95,76.7,83.3,19276,80.54,30158
2024-02-23,77.0,77.35,73.05,73.65,22987,74.87,33861
2024-02-26,80.5,80.5,74.65,77.35,17553,77.505,28401
2024-02-27,82.95,84.85,80.05,82.7,17828,82.81,33281
2024-02-28,85.95,91.85,85.55,89.1,17806,88.665,32811
2024-02-29,87.55,91.25,84.7,85.05,16015,87.68,28541
2024-03-01,82.6,85.5,82.5,83.65,11911,83.915,21649
2024-03-04,92.7,96.75,90.45,92.7,17397,94.06,28667
2024-03-05,91.55,98.85,89.0,93.95,13120,92.655,22503
2024-03-06,94.4,94.6,90.95,91.5,7924,92.54,13918
2024-03-07,88.95,91.45,79.35,79.55,22096,84.61,34802
2024-03-08,79.65,81.4,78.4,78.65,9696,79.405,15479
2024-03-11,76.1,76.1,73.45,73.5,14113,74.605,21354
2024-03-12,76.1,76.3,69.0,70.35,19532,71.54,31426
2024-03-13,67.25,69.8,66.35,67.8,15408,68.05,24723
2024-03-14,68.5,75.2,68.05,73.35,22649,72.075,31483
2024-03-15,71.75,72.15,67.3,69.6,22724,69.14,34597
2024-03-18,72.7,73.5,68.8,71.35,16932,71.145,23413
2024-03-19,73.95,75.5,71.85,74.3,13496,74.065,21617
2024-03-20,71.55,73.2,71.2,71.65,13512,71.93,19608
2024-03-21,71.0,71.8,68.45,71.25,18750,70.24,24870
2024-03-22,68.25,70.3,67.95,69.35,11526,69.205,14930
2024-03-25,68.1,70.0,67.3,68.6,14783,68.41,18933
2024-03-26,69.1,69.55,66.75,67.6,15116,67.89,19673
2024-03-27,63.1,63.7,61.4,62.25,22392,62.45,27154
2024-03-28,64.1,67.25,62.4,64.3,21578,64.365,28739
2024-04-01,70.25,72.35,68.6,71.45,18816,70.595,24555
2024-04-02,68.9,74.55,68.4,72.25,16871,72.515,24184
2024-04-03,75.85,75.85,71.1,72.2,10914,72.725,14989
2024-04-04,71.25,71.55,65.95,66.75,21190,67.855,29752
2024-04-05,66.95,69.9,66.25,66.55,16160,67.835,27595
2024-04-08,68.5,71.6,68.1,71.05,12490,70.25,21784
2024-04-09,74.0,75.5,70.25,73.55,13629,73.0,24151
2024-04-10,73.55,74.05,71.05,71.85,9766,72.305,15270
2024-04-11,70.9,71.0,67.65,68.3,19475,68.755,31903
2024-04-12,68.0,70.3,67.6,70.05,12096,69.035,16690
2024-04-15,66.05,66.95,64.4,64.6,15590,65.645,22088
2024-04-16,64.35,70.9,63.6,67.75,25463,66.72,40466
2024-04-17,65.35,67.05,64.3,67.05,11869,65.33,18758
2024-04-18,67.25,68.3,66.35,66.8,9549,67.305,17956
2024-04-19,69.05,69.65,66.55,67.7,11795,68.135,20672
2024-04-22,70.1,71.5,69.2,71.1,9302,70.43,15908
2024-04-23,70.9,74.85,70.45,74.3,12537,72.8,21463
2024-04-24,70.95,71.2,66.9,67.35,15940,68.85,25073
2024-04-25,66.95,69.5,66.25,67.9,12350,68.21,16988
2024-04-26,66.5,67.45,65.15,65.95,12493,66.14,16229
2024-04-29,67.55,71.55,67.45,71.25,21035,69.915,32645
2024-04-30,71.3,71.3,66.6,66.8,15576,68.465,24586
2024-05-01,64.8,65.95,63.9,64.4,17303,64.63,28357
2024-05-02,65.45,68.85,65.25,67.9,17177,67.56,27726
2024-05-03,68.85,73.95,67.7,73.2,20770,71.775,37061
2024-05-06,76.6,79.5,75.5,75.9,16209,77.275,29732
2024-05-07,75.5,77.35,74.5,76.7,8283,76.22,17040
2024-05-08,78.2,78.45,75.2,76.15,9940,76.535,19461
2024-05-09,77.65,82.05,77.45,81.15,12509,80.095,21984
2024-05-10,79.35,79.65,77.1,77.4,8979,78.305,13307
2024-05-13,78.15,83.75,77.7,82.8,13154,81.25,22683
2024-05-14,81.35,85.1,80.45,82.1,10638,82.945,18685
2024-05-15,81.95,86.85,80.75,85.8,13417,84.175,20424
2024-05-16,89.25,94.4,87.3,89.65,18242,90.355,34772
2024-05-17,93.2,98.35,93.2,97.45,13834,95.555,23320
2024-05-20,98.85,104.95,98.85,104.55,13593,102.56,24053
2024-05-21,102.05,105.5,97.75,101.0,10893,101.725,17642
2024-05-22,102.4,115.8,101.1,111.75,18590,109.39,37567
2024-05-23,121.55,123.6,103.6,106.95,35038,112.975,71224
2024-05-24,101.7,101.7,94.4,95.1,14077,98.445,22322
2024-05-28,93.9,99.7,92.9,98.65,9198,96.385,10290
2024-05-29,93.8,93.85,86.75,87.05,14735,89.075,20127
2024-05-30,83.2,84.95,80.6,80.6,14165,82.495,20859
2024-05-31,82.15,84.45,79.15,81.05,12370,81.655,22234
2024-06-03,91.35,94.05,84.8,93.4,20172,89.845,41752
2024-06-04,90.75,92.55,80.9,84.35,22404,85.84,41000
2024-06-05,85.95,94.1,85.4,92.85,17509,90.155,32481
2024-06-06,98.05,100.2,90.9,96.25,18313,95.16,36706
2024-06-07,97.85,106.45,96.6,105.2,17322,102.39,29424
2024-06-10,112.4,114.8,99.4,104.9,21987,107.07,42562
2024-06-11,110.75,118.5,108.5,118.3,15933,113.48,33588
2024-06-12,113.3,116.95,108.35,111.05,14630,112.18,24843
2024-06-13,108.8,109.8,101.4,103.85,12006,105.345,26340
2024-06-14,103.65,105.8,99.85,101.6,8815,102.635,17440
2024-06-17,96.05,96.8,92.6,94.6,11500,94.59,20798
2024-06-18,95.15,102.6,95.15,101.85,11091,99.89,22169
2024-06-20,96.85,97.1,92.05,92.95,13761,94.49,25165
2024-06-21,93.8,95.3,91.3,91.95,9793,93.08,19041
2024-06-24,92.1,99.45,91.6,99.25,10628,96.255,19171
2024-06-25,94.25,97.15,91.75,92.2,9652,94.18,19418
2024-06-26,90.45,90.45,85.9,86.25,11362,88.055,20624
2024-06-27,84.6,87.75,82.1,83.1,14970,84.655,26754
2024-06-28,82.65,83.35,77.6,78.35,15633,79.63,25232
2024-07-01,75.5,76.65,71.35,71.55,15835,73.09,23329
2024-07-02,70.2,70.8,68.5,70.65,14671,69.68,21208
2024-07-03,69.4,72.2,68.3,70.4,11391,70.34,16569
2024-07-05,67.4,68.45,63.5,64.3,20418,65.19,26032
2024-07-08,65.65,66.5,64.55,65.65,11718,65.355,16505
2024-07-09,67.7,67.95,64.0,64.45,16370,65.87,20430
2024-07-10,63.65,64.45,61.6,62.55,18536,62.98,26604
2024-07-11,61.45,61.9,59.65,60.15,19492,60.505,23109
2024-07-12,59.5,63.9,59.5,61.9,17057,62.09,22608
2024-07-15,57.5,58.8,53.9,54.65,35495,56.46,39686
2024-07-16,55.65,57.15,54.6,55.35,18626,55.815,20270
