date,open,high,low,close,volume,average,barCount
2024-05-28 00:00:00,41.36,41.56,40.67,41.39,4011,41.19,2495
2024-05-29 00:00:00,40.73,41.33,40.65,41.22,3356,41.136,2464
2024-05-30 00:00:00,40.38,40.69,37.02,37.32,10614,37.852,6595
2024-05-31 00:00:00,37.68,38.17,36.81,37.65,3117,37.249,2423
2024-06-03 00:00:00,38.32,38.33,36.42,37.03,8306,36.964,5173
2024-06-04 00:00:00,37.12,37.24,35.5,36.32,10772,36.342,6691
2024-06-05 00:00:00,36.85,36.98,35.96,36.05,10263,36.215,6416
2024-06-06 00:00:00,35.75,36.88,35.47,36.78,14790,36.131,9749
2024-06-07 00:00:00,41.48,41.55,36.37,36.65,27616,37.994,16976
2024-06-10 00:00:00,36.58,38.03,36.51,36.72,7494,37.222,5072
2024-06-11 00:00:00,36.78,36.99,35.86,36.23,6590,36.295,4723
2024-06-12 00:00:00,37.66,38.8,37.37,37.56,15409,38.159,9656
2024-06-13 00:00:00,38.4,38.41,35.97,36.02,5508,36.48,3668
2024-06-14 00:00:00,35.84,35.94,35.23,35.86,4610,35.714,3255
2024-06-17 00:00:00,35.59,35.7,35.1,35.41,4403,35.402,2883
2024-06-18 00:00:00,35.08,35.69,34.56,35.13,8595,35.016,4945
2024-06-20 00:00:00,34.85,34.99,34.15,34.51,5673,34.464,4287
2024-06-21 00:00:00,34.39,35.76,33.93,35.5,9702,35.196,5424
2024-06-24 00:00:00,35.34,35.75,34.8,34.9,3626,35.015,2746
2024-06-25 00:00:00,34.89,35.29,34.19,35.21,6244,35.083,4518
2024-06-26 00:00:00,35.16,36.45,34.98,35.9,11827,35.896,5272
2024-06-27 00:00:00,36.0,38.21,35.62,38.06,11914,37.479,7409
2024-06-28 00:00:00,38.14,38.91,37.74,38.84,7806,38.347,5224
2024-07-01 00:00:00,39.0,39.61,38.08,39.41,7452,39.01,4842
2024-07-02 00:00:00,39.52,39.98,38.99,39.47,4596,39.537,2685
2024-07-03 00:00:00,39.41,39.59,39.06,39.54,1650,39.414,1238
2024-07-05 00:00:00,39.41,39.74,39.01,39.05,3195,39.346,2286
2024-07-08 00:00:00,38.85,39.35,38.48,38.8,3362,38.949,2305
2024-07-09 00:00:00,38.83,38.95,37.41,37.92,3852,37.955,2538
2024-07-10 00:00:00,39.33,39.34,37.73,37.8,4452,38.288,3021
2024-07-11 00:00:00,39.08,39.91,38.01,38.14,3740,38.664,2451
2024-07-12 00:00:00,38.33,39.88,38.33,39.43,4367,39.475,3132
2024-07-15 00:00:00,39.51,41.26,39.26,40.3,7297,40.603,4460
2024-07-16 00:00:00,40.22,41.63,40.1,41.6,7046,40.891,4226
2024-07-17 00:00:00,41.18,42.0,40.56,41.39,6395,41.338,4110
2024-07-18 00:00:00,41.45,41.9,39.83,40.08,6792,40.477,3713
2024-07-19 00:00:00,39.88,40.24,39.12,40.11,4446,39.745,3241
2024-07-22 00:00:00,40.05,40.66,39.47,39.48,3529,39.941,2083
2024-07-23 00:00:00,39.44,40.93,39.33,40.45,3345,40.493,2137
2024-07-24 00:00:00,39.92,40.75,38.31,38.47,4399,39.032,2416
2024-07-25 00:00:00,38.99,42.65,38.33,41.61,10283,41.281,6115
2024-07-26 00:00:00,42.0,42.94,41.68,42.9,5564,42.61,4496
2024-07-29 00:00:00,42.97,43.14,42.29,42.63,7599,42.781,3180
2024-07-30 00:00:00,42.93,43.12,42.05,42.92,2893,42.668,2396
2024-07-31 00:00:00,43.47,44.3,42.91,44.06,8369,43.729,5494
2024-08-01 00:00:00,44.01,44.26,41.13,41.88,3909,42.147,2541
2024-08-02 00:00:00,40.34,40.34,38.19,39.24,4785,38.982,3244
2024-08-05 00:00:00,36.72,37.88,36.15,36.98,7688,36.969,5314
2024-08-06 00:00:00,37.43,38.27,36.97,37.19,3189,37.321,2266
2024-08-07 00:00:00,38.02,38.65,37.25,37.32,1925,37.946,1263
2024-08-08 00:00:00,37.94,39.99,37.54,39.78,3166,39.324,2437
2024-08-09 00:00:00,39.97,40.32,39.38,40.18,2120,39.974,1662
2024-08-12 00:00:00,39.99,40.51,39.09,40.13,3291,39.867,2131
2024-08-13 00:00:00,40.84,41.73,40.84,41.47,3164,41.376,2282
2024-08-14 00:00:00,41.52,41.61,40.1,40.31,2889,40.619,1924
2024-08-15 00:00:00,41.41,42.43,41.14,41.74,2843,41.891,1925
2024-08-16 00:00:00,41.5,42.22,40.62,42.16,4935,41.54,3074
2024-08-19 00:00:00,42.28,43.87,42.21,43.71,6613,43.29,2519
2024-08-20 00:00:00,43.82,43.91,43.24,43.63,2165,43.605,1239
2024-08-21 00:00:00,44.05,44.27,43.43,44.24,2039,43.936,1439
2024-08-22 00:00:00,44.27,44.8,43.29,43.47,5962,43.806,2571
2024-08-23 00:00:00,44.03,44.93,43.58,44.86,3626,44.425,2232
2024-08-26 00:00:00,44.99,46.51,44.84,45.88,5622,45.98,4331
2024-08-27 00:00:00,45.28,46.5,45.28,45.78,3332,45.947,2520
2024-08-28 00:00:00,45.57,45.66,44.19,44.55,2789,44.805,1944
2024-08-29 00:00:00,45.48,46.14,44.83,44.94,3548,45.506,2313
2024-08-30 00:00:00,45.13,45.43,44.22,44.78,5038,44.706,3155
2024-09-03 00:00:00,45.02,45.04,42.92,43.3,7904,43.45,4967
2024-09-04 00:00:00,42.54,43.75,42.19,43.18,7706,43.158,5219
2024-09-05 00:00:00,42.92,44.18,42.88,44.13,11530,43.693,7561
2024-09-06 00:00:00,41.5,41.97,34.42,35.57,32163,36.38,20687
2024-09-09 00:00:00,35.89,37.59,35.64,36.28,10034,36.468,6924
2024-09-10 00:00:00,36.15,36.19,33.24,34.29,18465,34.15,11262
2024-09-11 00:00:00,34.14,34.87,33.37,34.63,8291,34.299,5695
2024-09-12 00:00:00,34.96,35.21,34.24,34.55,4936,34.681,3475
2024-09-13 00:00:00,34.36,35.22,34.36,35.13,5240,34.941,3407
2024-09-16 00:00:00,35.09,36.12,34.38,35.1,5337,35.162,3670
2024-09-17 00:00:00,35.7,35.9,35.14,35.6,5285,35.614,3388
2024-09-18 00:00:00,35.61,36.07,34.56,34.99,3695,35.197,2526
2024-09-19 00:00:00,36.28,36.45,35.66,36.39,7708,36.096,4948
2024-09-20 00:00:00,36.53,36.6,35.48,36.39,6743,36.192,4027
2024-09-23 00:00:00,36.51,36.51,34.6,34.63,6785,35.076,4250
2024-09-24 00:00:00,33.96,34.07,31.8,32.64,21799,32.573,12208
2024-09-25 00:00:00,32.41,33.21,32.17,32.36,8604,32.654,5292
2024-09-26 00:00:00,32.99,32.99,32.06,32.78,5048,32.574,3181
2024-09-27 00:00:00,33.09,33.5,32.79,33.22,8920,33.106,5592
2024-09-30 00:00:00,33.0,33.64,31.93,32.34,5292,32.483,3378
2024-10-01 00:00:00,32.37,32.49,31.77,32.25,5884,32.144,3603
2024-10-02 00:00:00,32.18,32.4,31.71,31.92,9896,32.036,6150
2024-10-03 00:00:00,31.16,31.47,30.36,30.58,7262,30.657,5109
2024-10-04 00:00:00,31.19,31.67,30.9,31.08,6465,31.248,3789
2024-10-07 00:00:00,30.89,31.05,30.17,30.27,6022,30.441,3856
2024-10-08 00:00:00,30.24,30.62,29.95,29.97,11784,30.255,7534
2024-10-09 00:00:00,30.05,30.49,29.95,30.01,5158,30.173,3362
2024-10-10 00:00:00,29.22,29.99,29.18,29.93,9685,29.69,5855
2024-10-11 00:00:00,29.9,30.78,29.73,30.71,9381,30.242,5929
2024-10-14 00:00:00,30.71,31.81,30.62,31.68,8087,31.38,5041
2024-10-15 00:00:00,31.68,31.97,31.04,31.63,6917,31.654,4292
2024-10-16 00:00:00,31.35,31.35,30.01,30.69,7094,30.546,3902
2024-10-17 00:00:00,30.72,30.72,29.71,30.26,4838,30.126,2481
2024-10-18 00:00:00,30.55,31.19,30.21,30.25,6259,30.696,3612
2024-10-21 00:00:00,30.21,31.04,30.21,30.93,5489,30.71,2812
2024-10-22 00:00:00,31.14,31.31,30.48,31.2,5424,30.857,3242
2024-10-23 00:00:00,31.0,31.19,29.8,30.05,6453,30.323,3818
2024-10-24 00:00:00,30.47,30.91,30.05,30.78,3536,30.617,2422
2024-10-25 00:00:00,31.18,31.5,30.52,30.8,2995,30.831,1946
2024-10-28 00:00:00,31.05,31.07,30.34,30.83,2948,30.739,1777
2024-10-29 00:00:00,30.8,32.26,30.77,31.96,6121,31.746,3753
2024-10-30 00:00:00,31.94,32.49,31.83,32.0,3780,32.079,2664
2024-10-31 00:00:00,31.75,32.28,31.3,31.46,3961,31.648,2371
2024-11-01 00:00:00,31.46,32.26,31.3,31.67,4163,31.766,2197
2024-11-04 00:00:00,31.41,32.3,30.73,31.76,5084,31.857,2957
2024-11-05 00:00:00,31.69,32.24,31.21,32.22,6215,31.763,3379
2024-11-06 00:00:00,33.82,34.13,33.31,33.85,8170,33.821,4876
2024-11-07 00:00:00,33.76,35.15,33.26,35.02,6261,34.58,3392
2024-11-08 00:00:00,34.93,35.0,34.08,34.59,3044,34.566,1961
2024-11-11 00:00:00,34.94,35.77,34.57,35.73,3496,35.307,2378
2024-11-12 00:00:00,35.29,36.14,35.27,35.7,2248,35.743,1557
2024-11-13 00:00:00,35.46,37.18,35.36,36.61,7328,36.592,4634
2024-11-14 00:00:00,36.55,36.81,35.62,36.49,5154,36.425,3701
2024-11-15 00:00:00,36.27,36.27,34.68,35.06,7222,35.124,4405
2024-11-18 00:00:00,35.27,35.45,33.82,34.51,7070,34.424,4290
2024-11-19 00:00:00,33.97,36.24,33.93,36.2,3376,35.774,2385
2024-11-20 00:00:00,36.38,36.62,35.62,36.02,5294,36.028,3974
2024-11-21 00:00:00,37.11,39.15,37.11,37.98,10178,38.155,5693
2024-11-22 00:00:00,38.06,39.09,38.0,38.71,4695,38.615,2955
2024-11-25 00:00:00,39.47,39.88,38.78,39.12,5003,39.279,3286
2024-11-26 00:00:00,38.86,39.2,38.28,39.1,3603,38.852,2584
2024-11-27 00:00:00,39.25,39.49,37.82,38.82,4040,38.458,2786
2024-11-29 00:00:00,38.6,39.8,38.6,39.72,3015,39.298,1846
2024-12-02 00:00:00,39.7,39.89,38.89,39.35,3737,39.48,2651
2024-12-03 00:00:00,38.91,40.33,38.86,39.57,7656,39.564,3706
2024-12-04 00:00:00,40.5,42.4,40.09,42.22,7656,41.876,4393
2024-12-05 00:00:00,41.9,42.21,41.14,41.29,3668,41.462,2474
2024-12-06 00:00:00,41.36,42.41,40.53,41.46,9724,41.794,7054
2024-12-09 00:00:00,43.88,44.34,41.16,41.8,16680,42.128,8717
2024-12-10 00:00:00,40.31,43.24,39.9,40.95,20547,41.464,12406
2024-12-11 00:00:00,41.61,42.86,40.69,42.38,7383,42.02,4917
2024-12-12 00:00:00,41.14,42.75,41.14,42.01,8027,41.705,4020
2024-12-13 00:00:00,41.95,42.59,40.73,41.63,6553,41.547,4173
2024-12-16 00:00:00,41.29,45.0,41.22,44.78,10097,44.138,5808
2024-12-17 00:00:00,44.72,44.99,43.53,44.75,4653,44.626,2931
2024-12-18 00:00:00,44.71,45.78,42.8,43.37,12271,44.464,8281
2024-12-19 00:00:00,43.61,44.53,42.66,44.0,8772,43.598,4786
2024-12-20 00:00:00,43.38,46.19,43.38,44.31,9144,44.903,4679
2024-12-23 00:00:00,44.25,44.31,42.81,43.43,4160,43.332,2567
2024-12-24 00:00:00,43.72,43.99,43.28,43.6,1764,43.592,1025
2024-12-26 00:00:00,43.21,44.32,43.11,44.1,2635,43.814,1628
2024-12-27 00:00:00,43.64,43.89,42.2,42.9,3329,42.756,2430
2024-12-30 00:00:00,41.93,42.63,41.21,42.27,3742,41.99,2388
2024-12-31 00:00:00,42.7,42.91,41.41,41.88,6180,41.933,3080
2025-01-02 00:00:00,42.42,43.49,41.85,43.39,6515,43.01,4385
2025-01-03 00:00:00,43.78,44.93,43.46,44.87,4961,44.369,2963
2025-01-06 00:00:00,45.35,46.63,44.54,45.59,7198,45.876,4326
2025-01-07 00:00:00,45.71,46.23,44.33,44.6,5394,44.978,3865
2025-01-08 00:00:00,44.07,44.41,43.57,44.15,4614,44.063,2838
2025-01-10 00:00:00,43.19,43.34,42.01,42.63,3745,42.741,2533
2025-01-13 00:00:00,41.57,42.48,41.2,41.6,4899,41.745,3291
2025-01-14 00:00:00,42.01,42.52,40.55,41.86,8559,41.506,5809
2025-01-15 00:00:00,43.13,44.51,43.0,43.77,6644,43.969,4336
2025-01-16 00:00:00,43.96,44.6,43.12,44.09,3904,44.125,2928
2025-01-17 00:00:00,44.85,44.85,43.66,44.11,3144,44.158,2067
2025-01-21 00:00:00,44.6,45.41,44.43,45.09,2686,45.036,1805
2025-01-22 00:00:00,45.28,45.64,44.41,44.53,2120,44.763,1501
