date,open,high,low,close,volume,average,barCount
2025-02-18 04:00:00,1.8,1.8,1.76,1.78,451,1.77263,70
2025-02-18 05:00:00,1.79,1.79,1.76,1.76,46,1.769,12
2025-02-18 06:00:00,1.765,1.78,1.76,1.77,118,1.77335,36
2025-02-18 07:00:00,1.77,1.78,1.76,1.78,121,1.77303,28
2025-02-18 08:00:00,1.76,1.8,1.76,1.78,852,1.7777,75
2025-02-18 09:00:00,1.79,1.84,1.76,1.775,12110,1.7882,846
2025-02-18 10:00:00,1.77,1.8,1.76,1.7999,12046,1.77811,708
2025-02-18 11:00:00,1.795,1.805,1.77,1.775,12621,1.78492,845
2025-02-18 12:00:00,1.775,1.78,1.745,1.745,10036,1.76333,736
2025-02-18 13:00:00,1.745,1.75,1.72,1.7338,6183,1.73325,511
2025-02-18 14:00:00,1.7357,1.77,1.73,1.765,6166,1.74517,466
2025-02-18 15:00:00,1.765,1.77,1.75,1.76,7725,1.75842,857
2025-02-18 16:00:00,1.75,1.76,1.75,1.76,2069,1.75112,9
2025-02-18 17:00:00,1.76,1.76,1.75,1.75,31,1.75637,9
2025-02-18 18:00:00,1.75,1.77,1.75,1.77,83,1.75815,11
2025-02-18 19:00:00,1.77,1.77,1.77,1.77,0,1.77,0
2025-02-19 04:00:00,1.78,1.78,1.77,1.77,62,1.77359,10
2025-02-19 05:00:00,1.77,1.79,1.77,1.79,51,1.78185,16
2025-02-19 06:00:00,1.8,1.81,1.8,1.81,266,1.80714,62
2025-02-19 07:00:00,1.8,1.801,1.8,1.8,127,1.80002,46
2025-02-19 08:00:00,1.79,1.81,1.77,1.78,549,1.78414,40
2025-02-19 09:00:00,1.78,1.85,1.77,1.805,13437,1.81837,1469
2025-02-19 10:00:00,1.8,1.82,1.79,1.795,19433,1.8011,1271
2025-02-19 11:00:00,1.792,1.82,1.79,1.795,9776,1.80359,716
2025-02-19 12:00:00,1.795,1.8,1.77,1.775,10108,1.78438,645
2025-02-19 13:00:00,1.77,1.775,1.76,1.765,5802,1.76539,621
2025-02-19 14:00:00,1.77,1.81,1.76,1.81,8161,1.78643,688
2025-02-19 15:00:00,1.81,1.81,1.7601,1.7801,12926,1.78922,1331
2025-02-19 16:00:00,1.78,1.78,1.76,1.77,2359,1.7785,37
2025-02-19 17:00:00,1.7603,1.77,1.76,1.77,98,1.76825,7
2025-02-19 18:00:00,1.76,1.7798,1.76,1.7798,124,1.76287,13
2025-02-19 19:00:00,1.77,1.78,1.77,1.78,79,1.77806,12
2025-02-20 04:00:00,1.81,1.83,1.81,1.82,538,1.82177,64
2025-02-20 05:00:00,1.81,1.81,1.81,1.81,181,1.81,37
2025-02-20 06:00:00,1.82,1.83,1.815,1.83,209,1.82238,54
2025-02-20 07:00:00,1.82,1.83,1.8,1.8,394,1.81558,109
2025-02-20 08:00:00,1.82,1.83,1.79,1.82,912,1.81628,119
2025-02-20 09:00:00,1.8202,1.85,1.76,1.7692,26127,1.80298,1877
2025-02-20 10:00:00,1.77,1.79,1.73,1.74,24475,1.76175,1572
2025-02-20 11:00:00,1.75,1.76,1.74,1.755,6252,1.75191,640
2025-02-20 12:00:00,1.755,1.79,1.75,1.7765,6970,1.77237,739
2025-02-20 13:00:00,1.775,1.78,1.76,1.77,5263,1.77297,642
2025-02-20 14:00:00,1.775,1.79,1.77,1.78,2813,1.77951,459
2025-02-20 15:00:00,1.77,1.8,1.77,1.785,8668,1.78114,1072
2025-02-20 16:00:00,1.79,1.79,1.7799,1.78,833,1.78968,13
2025-02-20 17:00:00,1.79,1.79,1.79,1.79,4,1.79,2
2025-02-20 18:00:00,1.79,1.8,1.78,1.8,113,1.79138,8
2025-02-20 19:00:00,1.79,1.8,1.78,1.78,25,1.79583,5
2025-02-21 04:00:00,1.81,1.82,1.79,1.8,100,1.80573,22
2025-02-21 05:00:00,1.8,1.81,1.78,1.81,271,1.79446,51
2025-02-21 06:00:00,1.81,1.82,1.79,1.8,187,1.80592,52
2025-02-21 07:00:00,1.8,1.81,1.79,1.8,154,1.80361,36
2025-02-21 08:00:00,1.82,1.84,1.75,1.84,2521,1.81961,192
2025-02-21 09:00:00,1.83,1.89,1.82,1.835,18431,1.85259,1307
2025-02-21 10:00:00,1.83,1.85,1.78,1.7835,17971,1.81434,1394
2025-02-21 11:00:00,1.785,1.8,1.77,1.77,8621,1.78578,726
2025-02-21 12:00:00,1.7788,1.78,1.7,1.705,11389,1.73822,1167
2025-02-21 13:00:00,1.705,1.74,1.69,1.7,13736,1.71083,1445
2025-02-21 14:00:00,1.7,1.71,1.67,1.675,11491,1.68651,880
2025-02-21 15:00:00,1.67,1.69,1.66,1.67,20756,1.67179,1491
2025-02-21 16:00:00,1.67,1.69,1.66,1.66,6326,1.66965,38
2025-02-21 17:00:00,1.67,1.67,1.66,1.67,179,1.66845,36
2025-02-21 18:00:00,1.67,1.7,1.665,1.7,174,1.67731,25
2025-02-21 19:00:00,1.6999,1.6999,1.665,1.665,542,1.68111,25
2025-02-24 04:00:00,1.69,1.74,1.66,1.7,431,1.70107,66
2025-02-24 05:00:00,1.695,1.7,1.685,1.69,198,1.69605,26
2025-02-24 06:00:00,1.695,1.72,1.695,1.71,58,1.71109,17
2025-02-24 07:00:00,1.7,1.705,1.68,1.69,207,1.6987,30
2025-02-24 08:00:00,1.6998,1.71,1.65,1.7,594,1.69431,104
