date,open,high,low,close,volume,average,barCount
2024-05-28,11.92,12.05,11.83,11.89,19615,11.901,7517
2024-05-29,11.45,11.66,11.37,11.45,131773,11.505,39252
2024-05-30,11.4,11.45,11.23,11.28,57907,11.345,29504
2024-05-31,11.28,11.43,11.05,11.18,53068,11.174,25808
2024-06-03,11.25,11.32,10.99,11.18,34250,11.112,15312
2024-06-04,11.13,11.4,11.13,11.39,29590,11.352,13305
2024-06-05,11.43,11.58,11.4,11.45,26577,11.487,10744
2024-06-06,11.39,11.47,11.29,11.45,24106,11.408,10214
2024-06-07,11.37,11.55,11.37,11.48,13517,11.473,6621
2024-06-10,11.42,11.68,11.36,11.64,18748,11.605,9118
2024-06-11,11.58,11.72,11.45,11.66,12572,11.65,6531
2024-06-12,11.77,11.8,11.5,11.57,37189,11.6,15984
2024-06-13,11.61,11.64,11.5,11.56,16113,11.565,8010
2024-06-14,11.62,11.68,11.52,11.61,13268,11.625,7196
2024-06-17,11.59,11.61,11.38,11.52,12127,11.487,7219
2024-06-18,11.5,11.53,11.31,11.42,10964,11.394,6095
2024-06-20,11.42,11.53,11.24,11.25,14250,11.297,7538
2024-06-21,11.29,11.58,11.2,11.49,19245,11.401,8497
2024-06-24,11.44,11.56,11.35,11.47,14114,11.489,6933
2024-06-25,11.48,11.5,11.38,11.48,15960,11.457,7551
2024-06-26,11.44,11.57,11.4,11.5,20683,11.504,8629
2024-06-27,11.52,11.7,11.45,11.5,39451,11.542,12452
2024-06-28,11.2,11.31,11.01,11.11,166046,11.149,62298
2024-07-01,11.13,11.21,11.0,11.1,49459,11.122,21632
2024-07-02,11.13,11.21,11.04,11.06,38238,11.12,14349
2024-07-03,11.09,11.11,11.03,11.1,14784,11.081,6414
2024-07-05,11.07,11.2,11.01,11.12,33911,11.127,10629
2024-07-08,11.11,11.25,11.08,11.19,50236,11.199,15093
2024-07-09,11.19,11.2,11.0,11.01,27426,11.079,10489
2024-07-10,10.99,11.15,10.87,11.12,48579,11.036,13102
2024-07-11,11.25,11.27,11.05,11.16,26724,11.159,11015
2024-07-12,11.15,11.24,11.1,11.15,23420,11.182,8283
2024-07-15,11.1,11.3,11.08,11.26,21061,11.248,8537
2024-07-16,11.3,11.33,11.15,11.33,52174,11.269,11547
2024-07-17,11.31,11.32,11.16,11.24,41795,11.214,10632
2024-07-18,11.27,11.51,11.15,11.28,52308,11.368,14294
2024-07-19,11.31,11.37,11.14,11.19,12820,11.231,6061
2024-07-22,11.18,11.25,11.07,11.23,20345,11.16,8361
2024-07-23,11.23,11.36,11.12,11.16,26744,11.258,8960
2024-07-24,11.11,11.16,10.98,11.03,19470,11.032,7864
2024-07-25,11.07,11.14,10.99,11.01,24222,11.055,9274
2024-07-26,11.04,11.14,11.0,11.1,27817,11.067,10173
2024-07-29,11.12,11.15,10.99,11.05,15317,11.064,6066
2024-07-30,11.1,11.13,10.96,11.03,22105,11.039,9182
2024-07-31,10.24,10.71,10.05,10.26,129712,10.401,43832
2024-08-01,10.28,10.39,10.08,10.22,76617,10.218,25075
2024-08-02,10.0,10.23,9.97,10.22,33541,10.142,14487
2024-08-05,9.86,10.02,9.79,9.97,27044,9.942,11965
2024-08-06,10.06,10.17,9.98,10.04,20473,10.088,9992
2024-08-07,10.18,10.37,10.15,10.16,28471,10.243,12028
2024-08-08,10.25,10.37,10.16,10.21,16497,10.289,6522
2024-08-09,10.25,10.41,10.16,10.38,19916,10.321,8481
2024-08-12,10.41,10.41,10.14,10.16,15222,10.265,7220
2024-08-13,10.17,10.3,10.17,10.26,12537,10.246,6782
2024-08-14,10.27,10.36,10.23,10.27,13823,10.284,4985
2024-08-15,10.41,10.53,10.32,10.51,13763,10.446,5551
2024-08-16,10.5,10.53,10.35,10.42,14228,10.411,7069
2024-08-19,10.49,10.6,10.45,10.54,8584,10.52,3652
2024-08-20,10.59,10.76,10.56,10.72,13520,10.706,7157
2024-08-21,10.71,10.88,10.47,10.83,14951,10.789,7434
2024-08-22,10.79,10.99,10.77,10.8,17045,10.856,8412
2024-08-23,10.9,11.0,10.74,10.94,14168,10.915,7352
2024-08-26,10.91,10.99,10.77,10.79,8426,10.856,4297
2024-08-27,10.65,10.88,10.65,10.82,9277,10.789,4317
2024-08-28,10.82,10.91,10.72,10.74,10363,10.775,4593
2024-08-29,10.8,10.91,10.77,10.87,15569,10.867,7561
2024-08-30,11.01,11.01,10.72,10.78,15548,10.797,6630
2024-09-03,10.8,10.82,10.59,10.63,10894,10.689,5705
2024-09-04,10.66,10.66,10.45,10.52,14862,10.532,6761
2024-09-05,10.52,10.62,10.49,10.51,8641,10.551,4319
2024-09-06,10.54,10.59,10.35,10.4,9884,10.408,5545
2024-09-09,10.47,10.55,10.36,10.5,11565,10.492,5992
2024-09-10,10.57,10.57,10.39,10.43,10997,10.452,4878
2024-09-11,10.35,10.63,10.32,10.62,10523,10.516,4573
2024-09-12,10.65,10.76,10.55,10.75,20950,10.689,6389
2024-09-13,10.71,10.9,10.71,10.89,25800,10.823,7960
2024-09-16,10.91,10.94,10.74,10.83,20833,10.857,7240
2024-09-17,10.86,10.95,10.58,10.87,26493,10.875,8076
2024-09-18,10.88,10.94,10.8,10.82,24362,10.862,8481
2024-09-19,10.95,11.11,10.88,11.02,25858,11.007,8634
2024-09-20,11.0,11.08,10.89,10.98,16318,11.0,7342
2024-09-23,10.98,11.04,10.92,10.95,14375,10.981,6598
2024-09-24,10.92,11.0,10.88,10.93,8174,10.931,4413
2024-09-25,10.96,10.98,10.84,10.88,12185,10.893,5137
2024-09-26,10.98,11.05,10.93,11.03,8975,10.994,4606
2024-09-27,11.06,11.22,11.06,11.13,9709,11.139,4215
2024-09-30,11.12,11.13,10.97,11.05,12120,11.048,5707
2024-10-01,11.05,11.07,10.79,10.81,9411,10.877,4595
2024-10-02,10.7,10.83,10.67,10.74,17161,10.73,6714
2024-10-03,10.83,10.83,10.61,10.63,7162,10.657,4063
2024-10-04,10.82,10.82,10.61,10.62,10772,10.645,5751
2024-10-07,10.56,10.62,10.38,10.46,16470,10.462,7425
2024-10-08,10.52,10.91,10.52,10.78,17507,10.79,6646
2024-10-09,10.87,10.93,10.76,10.8,10998,10.843,5331
2024-10-10,10.75,10.81,10.6,10.8,40212,10.673,9442
2024-10-11,10.8,11.02,10.7,10.77,25346,10.839,9724
2024-10-14,10.82,10.86,10.75,10.85,11934,10.81,6438
2024-10-15,10.9,10.99,10.83,10.96,23733,10.939,7800
2024-10-16,10.98,11.09,10.96,11.05,16131,11.03,5573
2024-10-17,11.08,11.2,10.99,11.17,18690,11.136,5944
2024-10-18,11.19,11.23,11.14,11.16,7463,11.172,3669
2024-10-21,11.16,11.38,11.15,11.33,36324,11.294,8236
2024-10-22,11.31,11.38,11.26,11.32,12973,11.314,5543
2024-10-23,11.34,11.39,11.06,11.08,17150,11.24,6579
2024-10-24,11.1,11.29,11.08,11.15,9265,11.199,4784
2024-10-25,11.2,11.31,10.99,11.0,19549,11.08,7169
2024-10-28,11.1,11.22,10.92,10.95,25295,10.991,10679
2024-10-29,10.5,11.4,10.46,10.93,36771,10.916,16468
2024-10-30,10.85,11.01,10.59,10.61,22799,10.767,10194
2024-10-31,10.62,10.69,10.4,10.41,14495,10.531,7207
2024-11-01,10.39,10.49,10.29,10.47,16337,10.405,7243
2024-11-04,10.48,10.71,10.43,10.66,13940,10.615,6146
2024-11-05,10.66,10.97,10.66,10.8,17643,10.85,7840
2024-11-06,11.11,11.21,10.97,11.17,15613,11.099,7706
2024-11-07,11.17,11.5,11.17,11.39,27086,11.414,9781
2024-11-08,11.4,11.42,11.27,11.41,11040,11.381,5183
2024-11-11,11.43,11.51,11.37,11.42,10367,11.442,4180
