date,open,high,low,close,volume,average,barCount
2023-12-20,34.4,35.04,34.12,34.29,1232,34.7344,870
2023-12-21,34.49,34.9,33.57,34.82,772,34.4448,516
2023-12-22,34.89,35.78,34.72,34.82,1931,35.1728,941
2023-12-26,35.04,35.72,34.97,35.71,690,35.3448,436
2023-12-27,35.84,36.09,35.63,35.83,847,35.824,605
2023-12-28,35.62,35.78,35.32,35.52,909,35.5504,589
2023-12-29,35.55,35.69,34.87,35.23,963,35.1536,553
2024-01-02,34.93,35.86,34.74,35.73,760,35.5552,484
2024-01-03,35.69,36.4,35.28,35.6,6255,35.7112,928
2024-01-04,35.78,35.98,35.08,35.16,1439,35.356,921
2024-01-05,34.82,35.3,34.42,34.52,942,34.5912,636
2024-01-08,34.42,34.8,34.33,34.45,618,34.516,431
2024-01-09,34.02,34.18,33.83,34.1,474,34.0504,294
2024-01-10,33.94,34.34,33.68,33.97,693,33.9024,462
2024-01-11,33.76,33.94,33.13,33.38,1160,33.3048,792
2024-01-12,33.82,33.9,33.14,33.27,742,33.3896,507
2024-01-16,33.03,33.49,32.87,33.26,1192,33.1584,815
2024-01-17,32.91,33.77,32.91,33.18,712,33.2928,503
2024-01-18,33.12,33.44,32.75,33.28,548,33.068,327
2024-01-19,33.47,33.47,33.07,33.38,635,33.308,376
2024-01-22,33.66,34.04,33.37,33.88,1266,33.8072,843
2024-01-23,34.24,34.5,33.62,33.67,922,33.9024,668
2024-01-24,33.95,33.95,32.94,33.02,1046,33.244,598
2024-01-25,33.49,33.74,33.06,33.7,884,33.4352,646
2024-01-26,34.04,34.37,33.78,33.92,674,33.9432,491
2024-01-29,33.94,34.46,33.74,34.43,1341,34.2984,845
2024-01-30,34.43,34.55,33.67,33.8,827,34.0312,478
2024-01-31,33.92,34.08,32.98,33.02,1090,33.5536,758
2024-02-01,33.1,33.5,33.06,33.46,511,33.3416,342
2024-02-02,33.09,33.22,32.83,32.97,573,33.0584,420
2024-02-05,32.81,32.81,32.42,32.56,828,32.6216,487
2024-02-06,32.44,33.29,32.42,33.25,874,33.116,581
2024-02-07,33.23,33.34,32.86,32.97,357,33.0272,266
