date,open,high,low,close,volume,average,barCount
2023-12-20,38.08,38.65,37.73,37.87,634,38.3014245,438
2023-12-21,38.27,38.48,37.55,38.44,710,37.9946061,408
2023-12-22,38.5,39.48,38.5,38.67,597,38.9675022,358
2023-12-26,38.95,39.68,38.77,39.64,240,39.2500569,152
2023-12-27,39.69,40.11,39.4,39.78,273,39.8409954,196
2023-12-28,39.59,39.74,39.24,39.64,291,39.5451348,199
2023-12-29,39.75,39.82,38.85,39.22,286,39.2484915,198
2024-01-02,38.87,39.78,38.82,39.64,470,39.4598205,316
2024-01-03,39.44,40.47,39.17,39.8,1013,39.9247443,642
2024-01-04,39.94,39.94,38.83,38.9,473,39.0747321,288
2024-01-05,38.62,39.15,38.21,38.27,264,38.4978822,176
2024-01-08,38.39,38.67,38.04,38.35,202,38.3436903,140
2024-01-09,37.92,38.08,37.61,38.05,262,37.9038129,183
2024-01-10,37.89,38.27,37.59,37.87,231,37.80441,161
2024-01-11,37.67,37.87,36.95,37.2,265,37.1578998,178
2024-01-12,37.72,37.72,36.97,37.14,315,37.2463449,197
2024-01-16,36.97,37.17,36.39,37.0,490,36.8659527,337
2024-01-17,36.54,37.55,36.54,36.88,588,36.9450054,417
2024-01-18,36.91,37.0,36.27,36.93,313,36.6906279,221
2024-01-19,37.05,37.16,36.53,37.14,264,36.9716172,167
2024-01-22,37.37,37.72,37.12,37.64,391,37.5038532,282
2024-01-23,38.05,38.2,37.27,37.27,388,37.6416084,260
2024-01-24,37.13,37.25,36.56,36.62,425,36.7493304,242
2024-01-25,37.13,37.45,36.89,37.45,264,37.1696403,156
2024-01-26,37.73,38.02,37.55,37.74,351,37.7300535,251
2024-01-29,37.69,38.23,37.67,38.12,236,38.0689626,154
2024-01-30,37.69,38.34,37.28,37.53,459,37.6353468,323
2024-01-31,37.62,37.75,36.69,36.71,296,37.3668807,215
2024-02-01,36.99,37.3,36.72,37.26,368,37.0984146,247
2024-02-02,36.91,36.93,36.47,36.61,186,36.7094127,132
2024-02-05,36.27,36.57,36.09,36.29,493,36.3971154,275
2024-02-06,36.24,37.08,36.24,36.94,192,36.8565603,137
2024-02-07,36.92,37.08,36.58,36.74,248,36.7798557,172
2024-02-08,37.17,39.54,37.14,38.99,1264,38.9166267,902
2024-02-09,43.69,44.45,40.86,41.43,2663,42.728,1143
2024-02-12,41.88,43.62,41.23,43.35,971,43.077,837
2024-02-13,42.03,43.05,41.53,41.99,723,42.249,598
2024-02-14,42.2,43.18,41.41,43.0,1088,42.395,984
2024-02-15,42.94,43.65,42.55,43.61,1074,43.177,969
2024-02-16,43.47,43.7,42.92,42.99,875,43.261,774
2024-02-20,42.58,43.55,42.52,43.28,959,42.996,905
2024-02-21,43.45,43.73,42.35,42.78,689,43.0,631
2024-02-22,42.87,43.13,42.14,42.9,1083,42.766,972
2024-02-23,43.19,43.73,42.89,43.13,841,43.385,672
2024-02-26,43.13,43.54,42.71,42.88,577,43.093,523
2024-02-27,43.17,43.5,42.85,43.42,864,43.17,730
2024-02-28,43.2,43.72,42.87,43.64,687,43.374,651
2024-02-29,44.1,44.39,43.49,43.87,857,43.885,762
2024-03-01,44.04,44.04,43.38,43.97,467,43.81,429
2024-03-04,44.08,44.22,43.3,43.45,575,43.67,505
2024-03-05,43.52,43.52,41.64,41.69,596,42.369,492
2024-03-06,42.04,42.04,40.9,41.16,369,41.329,306
2024-03-07,41.49,41.79,41.32,41.66,252,41.599,227
2024-03-08,42.09,42.09,40.96,41.24,508,41.475,433
2024-03-11,41.38,41.42,40.86,41.25,358,41.146,318
2024-03-12,41.81,42.68,41.25,42.57,492,42.048,417
2024-03-13,42.45,43.43,42.1,43.23,303,43.01,264
2024-03-14,43.4,43.4,41.78,41.99,469,42.261,393
2024-03-15,41.77,42.5,41.77,42.35,1009,42.206,637
2024-03-18,42.77,42.77,41.85,41.96,421,42.284,318
2024-03-19,42.01,42.7,41.93,41.96,368,42.21,257
2024-03-20,42.1,43.1,41.66,43.04,390,42.431,347
2024-03-21,43.2,43.6,43.0,43.22,188,43.273,147
2024-03-22,43.34,43.54,42.59,42.86,290,42.905,212
2024-03-25,42.72,43.23,42.37,42.56,389,42.799,282
2024-03-26,42.78,42.78,41.57,41.6,273,41.995,228
2024-03-27,41.88,42.81,41.85,42.81,175,42.463,148
2024-03-28,43.03,44.1,42.36,42.83,137,42.744,104
2024-04-01,42.83,42.83,42.11,42.16,622,42.425,535
2024-04-02,41.96,41.96,40.4,40.9,310,41.019,227
2024-04-03,40.88,41.22,40.55,40.95,584,40.92,433
2024-04-04,41.39,41.62,40.78,41.1,939,41.223,856
2024-04-05,40.61,41.22,40.35,41.21,1137,40.593,1007
2024-04-08,41.47,41.91,41.26,41.31,183,41.449,146
2024-04-09,41.35,41.6,40.91,41.3,190,41.161,168
2024-04-10,40.67,40.67,39.51,39.75,231,39.867,183
2024-04-11,40.01,40.37,39.82,40.11,472,40.119,298
2024-04-12,39.95,40.08,39.58,39.74,255,39.821,209
2024-04-15,39.69,40.05,39.3,39.48,259,39.558,206
2024-04-16,39.25,39.51,38.95,39.37,315,39.284,238
2024-04-17,39.52,39.91,39.28,39.31,289,39.424,267
2024-04-18,39.35,39.59,39.02,39.27,287,39.283,216
2024-04-19,39.27,40.05,39.25,39.98,173,39.653,134
2024-04-22,39.97,40.45,39.68,40.23,430,40.129,409
2024-04-23,40.24,42.81,40.24,42.08,1761,41.973,1490
2024-04-24,41.69,42.22,41.49,41.94,442,41.948,383
2024-04-25,41.61,41.62,40.43,40.7,252,40.768,227
2024-04-26,40.72,41.36,40.72,41.29,273,41.114,234
2024-04-29,41.61,42.02,40.93,41.24,145,41.363,115
2024-04-30,40.98,40.98,40.59,40.95,151,40.821,128
2024-05-01,41.02,41.73,40.79,41.44,243,41.32,218
2024-05-02,41.92,41.99,41.46,41.75,151,41.767,141
2024-05-03,42.27,42.27,41.3,42.15,202,41.874,194
2024-05-06,42.24,42.61,41.58,41.64,551,41.95,246
2024-05-07,41.92,42.25,41.55,41.55,169,41.789,155
2024-05-08,41.42,41.94,41.25,41.73,442,41.733,357
2024-05-09,42.08,46.72,41.6,46.5,906,45.142,753
2024-05-10,46.22,46.85,45.5,46.69,710,46.486,601
2024-05-13,46.91,46.91,46.23,46.6,499,46.539,464
2024-05-14,47.02,47.04,45.88,46.57,256,46.41,235
2024-05-15,47.06,47.48,46.58,47.33,279,47.199,250
2024-05-16,47.16,47.29,45.73,45.73,220,46.198,195
2024-05-17,45.94,46.26,45.24,46.03,451,45.889,393
2024-05-20,46.07,46.51,45.7,46.41,195,46.16,189
2024-05-21,46.4,46.98,46.32,46.5,174,46.635,141
2024-05-22,46.58,46.58,45.95,46.17,174,46.264,160
2024-05-23,46.17,46.17,45.05,45.35,961,45.504,879
2024-05-24,45.64,45.93,45.05,45.35,334,45.326,230
2024-05-28,46.85,46.85,44.98,45.28,387,45.573,305
2024-05-29,44.95,45.01,44.27,44.43,173,44.577,154
2024-05-30,44.84,44.93,43.03,43.45,446,43.716,373
2024-05-31,43.45,43.68,43.05,43.45,216,43.327,160
2024-06-03,43.61,43.75,42.45,42.71,405,42.824,368
2024-06-04,42.49,42.6,42.07,42.19,220,42.279,193
2024-06-05,42.37,42.68,41.96,42.3,253,42.3,229
2024-06-06,42.08,42.64,41.9,42.47,364,42.311,320
2024-06-07,42.31,42.62,41.39,41.83,212,41.912,198
2024-06-10,41.39,41.47,39.87,40.69,504,40.624,436
2024-06-11,40.36,40.77,40.02,40.5,577,40.431,507
2024-06-12,41.4,41.4,39.86,40.0,594,40.566,489
2024-06-13,39.8,39.8,39.05,39.29,349,39.278,319
2024-06-14,38.77,38.77,37.67,37.75,1177,37.986,1072
2024-06-17,37.59,38.03,37.43,37.97,489,37.673,408
2024-06-18,37.89,38.64,37.6,38.61,452,38.176,383
2024-06-20,38.38,39.15,38.28,38.44,1193,38.743,906
2024-06-21,38.6,39.33,38.34,39.21,1458,38.975,930
2024-06-24,38.95,39.53,38.65,38.8,420,39.035,335
2024-06-25,38.65,39.22,38.29,39.0,525,38.879,423
2024-06-26,38.88,38.92,38.2,38.3,540,38.409,439
2024-06-27,38.3,38.33,37.52,37.79,449,37.829,371
2024-06-28,38.07,38.67,37.58,38.5,1115,38.206,814
2024-07-01,38.37,38.96,37.91,38.84,385,38.56,304
2024-07-02,39.05,39.54,38.44,38.59,604,39.02,496
2024-07-03,38.74,38.74,37.97,38.43,176,38.288,156
2024-07-05,38.24,38.43,37.3,37.47,476,37.562,377
2024-07-08,37.71,38.02,37.36,37.49,327,37.619,214
2024-07-09,37.32,37.32,36.48,36.64,338,36.698,280
2024-07-10,36.51,37.37,36.22,37.33,314,36.893,268
2024-07-11,37.94,38.44,37.71,38.07,773,38.192,554
2024-07-12,38.57,38.79,38.08,38.22,290,38.417,252
2024-07-15,38.53,38.58,37.91,38.06,304,38.244,280
2024-07-16,38.17,39.94,38.17,39.9,401,39.466,306
2024-07-17,39.76,41.1,39.76,40.59,301,40.485,246
2024-07-18,40.15,40.88,39.19,39.35,435,39.746,339
2024-07-19,39.41,39.8,38.82,39.15,257,39.144,206
2024-07-22,39.4,39.46,38.56,39.43,279,39.032,246
2024-07-23,39.19,39.52,38.16,38.54,492,38.671,433
2024-07-24,38.53,39.29,38.48,38.68,592,38.874,508
2024-07-25,38.68,39.57,38.68,38.87,231,39.197,199
2024-07-26,39.36,39.82,39.23,39.45,550,39.515,482
2024-07-29,39.71,40.22,38.82,39.52,655,39.28,564
2024-07-30,39.64,40.37,38.95,40.02,1071,39.576,901
2024-07-31,40.08,40.76,39.14,39.84,503,39.911,432
2024-08-01,39.99,40.08,38.45,39.54,513,39.152,420
2024-08-02,38.55,39.39,38.24,39.1,310,39.034,243
2024-08-05,37.7,37.97,37.02,37.55,308,37.395,276
2024-08-06,37.39,38.4,37.27,38.29,493,38.13,404
2024-08-07,38.86,39.99,37.92,38.0,417,38.327,326
2024-08-08,37.24,40.27,35.04,40.22,1111,38.532,920
2024-08-09,40.19,40.19,38.52,39.01,471,38.93,394
2024-08-12,39.19,39.2,38.34,38.62,349,38.744,277
2024-08-13,39.02,39.12,37.81,38.58,786,38.239,679
2024-08-14,38.5,38.53,37.9,38.21,415,38.266,344
2024-08-15,38.91,39.46,38.59,39.31,435,39.141,352
2024-08-16,39.24,39.54,38.83,38.99,279,39.059,224
2024-08-19,39.11,39.73,38.97,39.42,821,39.447,776
2024-08-20,39.52,39.52,38.77,38.78,347,39.015,308
2024-08-21,38.93,39.34,38.79,39.15,269,39.126,231
2024-08-22,39.04,39.28,38.41,38.64,568,38.593,366
2024-08-23,39.03,39.96,38.74,39.63,314,39.536,265
2024-08-26,39.66,40.71,39.66,40.12,634,40.185,533
2024-08-27,40.04,40.04,39.2,39.73,736,39.636,636
2024-08-28,39.55,40.04,38.92,39.39,286,39.417,236
2024-08-29,39.53,40.0,38.98,39.55,262,39.557,225
2024-08-30,39.77,40.05,39.23,39.47,321,39.444,280
2024-09-03,39.39,39.77,39.12,39.25,473,39.342,368
2024-09-04,39.01,39.36,38.43,38.92,518,38.888,441
2024-09-05,38.92,39.15,38.68,38.74,416,38.875,332
2024-09-06,38.61,38.95,38.1,38.61,381,38.609,319
2024-09-09,38.61,38.61,37.76,37.79,551,38.046,452
2024-09-10,37.79,37.81,37.12,37.19,355,37.369,314
2024-09-11,37.0,37.07,36.25,37.03,310,36.701,266
2024-09-12,37.29,37.82,36.91,37.47,340,37.427,268
2024-09-13,37.79,38.87,37.77,38.38,430,38.429,354
2024-09-16,38.39,38.86,38.11,38.4,294,38.421,226
2024-09-17,38.56,38.82,37.77,37.77,369,38.292,299
2024-09-18,37.77,39.1,37.65,38.33,403,38.409,302
2024-09-19,38.95,38.95,38.19,38.38,319,38.441,268
2024-09-20,38.34,38.48,37.81,38.09,1131,38.175,851
2024-09-23,38.33,38.51,37.65,37.73,929,37.855,774
2024-09-24,37.84,37.93,37.05,37.08,423,37.41,334
2024-09-25,37.15,37.15,36.35,36.61,740,36.602,337
2024-09-26,36.82,37.42,36.73,36.77,314,37.004,276
2024-09-27,37.15,37.58,36.62,36.65,320,36.911,271
2024-09-30,36.7,36.74,36.23,36.47,476,36.45,378
2024-10-01,36.57,36.57,35.43,35.65,517,35.738,425
2024-10-02,35.64,35.64,34.78,34.82,503,35.188,414
2024-10-03,34.74,34.74,33.86,33.92,420,34.241,367
2024-10-04,34.23,34.38,33.64,33.69,306,33.861,254
2024-10-07,33.48,33.57,32.52,32.52,334,32.793,241
2024-10-08,32.65,33.63,32.17,33.44,835,33.236,624
2024-10-09,33.53,33.54,32.82,33.3,589,33.217,477
2024-10-10,32.96,33.31,32.51,33.21,366,33.009,318
2024-10-11,33.09,34.25,33.09,34.13,591,34.056,490
2024-10-14,34.24,34.83,34.05,34.65,490,34.615,389
2024-10-15,34.64,35.28,34.55,34.84,692,35.109,518
2024-10-16,35.01,36.03,35.01,35.82,1083,35.659,772
2024-10-17,35.99,35.99,35.22,35.22,326,35.47,266
2024-10-18,35.25,35.35,35.01,35.06,355,35.167,287
2024-10-21,35.06,35.06,33.73,33.81,421,34.091,320
2024-10-22,33.69,33.89,33.29,33.49,328,33.644,294
2024-10-23,33.32,33.73,33.23,33.7,327,33.533,280
