date,open,high,low,close,volume,average,barCount
2024-05-28,2.81,2.98,2.7601,2.87,552,2.85893,240
2024-05-29,2.92,3.09,2.89,3.05,870,3.03005,341
2024-05-30,3.0,3.06,2.83,2.83,388,2.95997,182
2024-05-31,2.82,2.9276,2.79,2.85,323,2.85844,214
2024-06-03,2.84,3.08,2.84,2.97,441,2.9626,184
2024-06-04,2.97,3.06,2.97,3.05,253,3.01355,143
2024-06-05,3.0,3.06,3.0,3.03,254,3.02989,131
2024-06-06,3.03,3.11,2.96,2.97,474,2.98222,290
2024-06-07,2.95,3.0,2.93,2.98,167,2.95893,103
2024-06-10,2.93,3.05,2.93,3.02,238,2.9969,129
2024-06-11,2.97,3.04,2.94,3.03,244,2.97688,143
2024-06-12,3.01,3.19,3.01,3.09,490,3.08754,162
2024-06-13,3.11,3.11,2.86,2.91,507,2.91586,178
2024-06-14,2.88,2.9,2.81,2.84,298,2.83562,92
2024-06-17,2.81,2.93,2.81,2.85,162,2.83003,76
2024-06-18,2.88,2.95,2.82,2.85,259,2.87889,151
2024-06-20,2.81,3.05,2.81,2.99,373,2.9704,162
2024-06-21,2.99,3.2,2.98,3.13,667,3.0834,325
2024-06-24,3.0,3.0,2.88,2.91,643,2.96639,222
2024-06-25,2.8,2.91,2.77,2.82,681,2.8252,218
2024-06-26,2.81,2.84,2.75,2.76,120,2.78226,80
2024-06-27,2.76,2.81,2.59,2.67,396,2.67576,212
2024-06-28,2.64,2.8,2.64,2.72,587,2.72747,272
2024-07-01,2.72,2.91,2.72,2.87,310,2.86338,177
2024-07-02,2.81,2.9,2.65,2.65,229,2.78301,93
2024-07-03,2.65,2.72,2.65,2.67,46,2.68716,30
2024-07-05,2.68,2.81,2.65,2.77,316,2.74593,198
2024-07-08,2.76,2.81,2.65,2.65,496,2.72325,273
2024-07-09,2.59,2.69,2.58,2.59,348,2.62513,173
2024-07-10,2.61,2.65,2.6,2.6,75,2.62326,53
2024-07-11,2.61,2.65,2.58,2.58,126,2.62503,68
2024-07-12,2.58,2.75,2.58,2.6,184,2.64205,151
2024-07-15,2.6,2.85,2.6,2.66,231,2.65923,111
2024-07-16,2.64,2.94,2.6,2.73,1572,2.78475,439
2024-07-17,2.76,2.87,2.67,2.73,152,2.74495,91
2024-07-18,2.68,2.8,2.68,2.73,69,2.71841,40
2024-07-19,2.67,2.7699,2.64,2.69,205,2.69658,60
2024-07-22,2.64,2.76,2.64,2.75,130,2.69061,65
2024-07-23,2.7,2.97,2.661,2.8,803,2.85349,351
2024-07-24,2.73,2.8474,2.68,2.77,224,2.7915,139
2024-07-25,2.74,2.88,2.71,2.76,194,2.79624,114
2024-07-26,2.73,2.88,2.73,2.82,325,2.80929,141
2024-07-29,2.76,2.785,2.69,2.71,144,2.71571,86
2024-07-30,2.66,2.8699,2.64,2.65,228,2.7049,139
2024-07-31,2.62,2.78,2.59,2.59,267,2.6746,170
2024-08-01,2.61,2.78,2.61,2.69,241,2.70586,102
2024-08-02,2.52,2.67,2.52,2.56,221,2.57701,87
2024-08-05,2.505,2.505,2.33,2.39,280,2.39065,171
2024-08-06,2.36,2.56,2.36,2.47,93,2.46567,30
2024-08-07,2.4969,2.81,2.4969,2.51,550,2.6777,211
2024-08-08,2.47,2.95,2.46,2.6,884,2.74672,326
2024-08-09,2.65,2.83,2.65,2.8,251,2.76154,60
2024-08-12,2.62,2.81,2.62,2.76,311,2.69563,120
2024-08-13,2.7,2.87,2.7,2.73,127,2.78252,71
2024-08-14,2.71,2.9,2.71,2.82,597,2.83303,232
2024-08-15,2.76,2.93,2.76,2.8,470,2.8632,236
2024-08-16,2.77,2.93,2.77,2.91,273,2.86876,137
2024-08-19,2.85,3.08,2.85,3.02,1111,2.98454,339
2024-08-20,3.0,3.08,2.9,3.0,421,3.02626,184
2024-08-21,2.97,3.07,2.9,3.02,210,3.01117,118
