date,open,high,low,close,volume,average,barCount
2023-12-21,1.83,1.9088,1.75,1.84,10568,1.83225,2230
2023-12-22,1.86,2.0,1.8271,1.87,8717,1.92528,2982
2023-12-26,2.05,2.15,2.0,2.08,10959,2.07698,2709
2023-12-27,2.12,2.29,2.1,2.18,14805,2.1836,3406
2023-12-28,2.2,2.4198,2.2,2.26,11957,2.29659,3116
2023-12-29,2.35,2.4,2.12,2.29,9383,2.24663,2480
2024-01-02,2.3,2.38,2.14,2.19,8729,2.21356,2304
2024-01-03,2.2,2.31,2.13,2.24,6429,2.23222,2028
2024-01-04,2.24,2.585,2.24,2.44,11648,2.43367,3456
2024-01-05,2.49,2.52,2.33,2.39,5456,2.41222,1946
2024-01-08,2.35,2.37,2.1,2.19,10069,2.21274,2016
2024-01-09,2.15,2.22,2.085,2.1,4641,2.15145,1249
2024-01-10,2.07,2.08,1.89,1.91,9870,1.96788,2415
2024-01-11,1.94,1.97,1.82,1.89,5915,1.88911,1391
2024-01-12,1.93,1.97,1.85,1.94,4948,1.93046,1481
2024-01-16,1.96,1.965,1.86,1.88,4807,1.90281,1240
2024-01-17,1.93,1.93,1.83,1.86,8565,1.85099,1658
2024-01-18,1.84,1.88,1.79,1.82,4700,1.81012,1049
2024-01-19,1.84,1.89,1.79,1.84,6374,1.83804,1516
2024-01-22,1.86,1.9,1.8,1.84,12684,1.84736,2928
2024-01-23,1.88,1.88,1.72,1.75,7623,1.78223,1619
2024-01-24,1.75,1.76,1.65,1.68,5414,1.70735,1157
2024-01-25,1.7,1.73,1.65,1.71,4156,1.69034,995
2024-01-26,1.75,1.75,1.65,1.68,4283,1.68817,1083
2024-01-29,1.69,2.1,1.68,1.99,28181,1.97157,7700
2024-01-30,2.01,2.07,1.86,1.9,7842,1.9155,1640
2024-01-31,1.88,2.1,1.862,2.04,6139,2.01703,1368
2024-02-01,2.05,2.08,1.94,1.96,5427,1.98917,1296
2024-02-02,1.99,1.99,1.86,1.92,7731,1.91679,1661
2024-02-05,1.92,1.93,1.8,1.85,4849,1.84156,1077
2024-02-06,1.85,2.06,1.84,2.0,5597,1.98686,1239
2024-02-07,2.03,2.03,1.91,1.93,3382,1.9599,782
2024-02-08,1.97,2.02,1.9104,1.99,3460,1.97722,905
2024-02-09,1.99,2.02,1.94,2.0,3434,1.9937,1004
2024-02-12,2.03,2.0829,1.95,1.99,7723,2.01187,2018
2024-02-13,1.95,1.965,1.88,1.9,5897,1.92179,1260
2024-02-14,1.97,2.03,1.91,1.99,4013,1.97786,1246
2024-02-15,2.05,2.06,1.97,2.01,4621,2.01624,1656
2024-02-16,1.97,2.06,1.97,2.01,4208,2.01997,1425
2024-02-20,2.0,2.0501,1.94,1.98,3803,1.98014,1091
2024-02-21,1.98,2.005,1.9,1.92,3574,1.94296,1117
2024-02-22,1.93,1.95,1.8711,1.88,4379,1.9036,1213
2024-02-23,1.87,2.025,1.87,1.96,6487,1.95615,2027
2024-02-26,1.95,2.05,1.92,2.04,3618,2.01166,1893
2024-02-27,2.06,2.185,2.02,2.14,7059,2.11982,2891
2024-02-28,2.11,2.14,2.02,2.05,4215,2.06906,1888
2024-02-29,2.1,2.15,2.065,2.09,2258,2.10184,567
2024-03-01,2.15,2.33,2.1,2.23,5756,2.18627,1876
2024-03-04,2.25,2.34,2.2,2.32,5131,2.26954,1828
2024-03-05,2.29,2.34,2.2,2.23,3640,2.24634,1062
2024-03-06,2.27,2.355,2.18,2.21,3312,2.24229,1198
2024-03-07,2.21,2.21,2.11,2.17,2276,2.16431,892
2024-03-08,2.14,2.24,2.12,2.135,2192,2.17635,887
2024-03-11,2.13,2.23,2.105,2.15,3155,2.16669,1144
2024-03-12,2.15,2.155,2.0,2.0,2444,2.07075,861
2024-03-13,2.05,2.09,1.95,1.95,2547,2.02214,1004
2024-03-14,2.0,2.0079,1.85,1.85,3463,1.90913,923
2024-03-15,1.89,1.935,1.88,1.92,1987,1.90347,664
2024-03-18,1.93,2.0085,1.87,1.89,3119,1.93828,956
2024-03-19,1.92,1.935,1.85,1.85,2603,1.88488,879
2024-03-20,1.87,1.92,1.8,1.88,3530,1.86759,1091
2024-03-21,1.89,1.95,1.865,1.9,3656,1.91199,1143
2024-03-22,1.89,1.99,1.85,1.94,4516,1.92269,1431
2024-03-25,1.9,2.06,1.9,2.0,4093,1.98472,1144
2024-03-26,2.04,2.15,2.0,2.07,4267,2.07587,1624
