date,open,high,low,close,volume,average,barCount
2024-05-28,16.0,16.275,15.925,16.13,781,16.07972,339
2024-05-29,15.93,16.0,15.795,15.91,196,15.87466,114
2024-05-30,15.85,16.09,15.7614,16.07,679,15.90642,280
2024-05-31,15.98,16.46,15.98,16.28,831,16.25456,420
2024-06-03,16.28,16.5,16.0,16.46,610,16.20419,288
2024-06-04,16.3,16.33,15.93,16.1,902,16.1154,320
2024-06-05,16.07,16.1,15.78,15.84,1029,15.94186,377
2024-06-06,15.77,15.82,15.63,15.81,725,15.73836,453
2024-06-07,15.71,15.88,15.6134,15.8,163,15.76833,61
2024-06-10,15.51,16.48,15.51,16.3,1127,16.07331,447
2024-06-11,16.2,16.46,16.0,16.45,508,16.24073,300
2024-06-12,16.48,16.695,16.44,16.5,359,16.53485,205
2024-06-13,16.45,16.63,15.85,16.13,963,16.17624,457
2024-06-14,16.01,16.13,15.76,16.09,400,15.96086,196
2024-06-17,16.0,16.28,16.0,16.26,1238,16.19595,484
2024-06-18,16.13,16.37,16.13,16.37,325,16.27641,129
2024-06-20,16.17,16.34,15.75,16.27,537,16.18802,174
2024-06-21,16.14,16.29,15.94,16.23,681,16.15551,338
2024-06-24,16.2,16.53,15.955,16.35,1872,16.26893,706
2024-06-25,16.19,16.4379,15.9,15.95,1016,16.26339,419
2024-06-26,15.92,16.09,15.92,16.02,796,16.00671,453
2024-06-27,16.09,16.27,16.0,16.2,555,16.1715,387
2024-06-28,16.11,16.2999,15.96,16.05,447,16.08308,267
2024-07-01,16.16,16.26,16.09,16.13,541,16.17411,258
2024-07-02,16.1,16.3,15.9,15.9,440,16.05307,305
2024-07-03,16.0,16.1,15.91,16.0,264,16.01439,156
2024-07-05,15.9,16.18,15.9,15.96,786,16.08736,288
2024-07-08,16.0051,16.1847,15.9314,16.14,1621,16.07668,612
2024-07-09,16.19,16.26,16.06,16.14,1145,16.16233,564
2024-07-10,16.44,17.45,16.252,17.32,3373,16.92899,1385
2024-07-11,17.16,18.1,16.9,16.97,2622,17.536,1146
2024-07-12,17.06,17.06,15.92,16.3,2809,16.226,1550
2024-07-15,16.5,16.9,16.22,16.33,2772,16.496,1291
2024-07-16,16.42,16.42,15.98,16.02,1775,16.174,835
2024-07-17,16.07,16.09,15.56,15.64,1871,15.796,798
2024-07-18,15.0,15.26,14.45,14.51,7203,14.809,2552
2024-07-19,14.68,14.92,13.89,13.97,3412,14.184,1727
2024-07-22,14.08,14.5,13.65,14.2,2965,14.17,1317
2024-07-23,14.11,14.33,12.89,12.91,5283,13.446,2179
2024-07-24,12.86,13.42,11.95,12.21,9266,12.453,3745
2024-07-25,12.21,12.7,11.94,12.24,5749,12.399,2568
2024-07-26,12.35,13.21,12.22,13.15,5610,12.811,2753
2024-07-29,13.22,13.31,12.56,12.66,2961,12.91,1628
2024-07-30,12.6,12.83,12.2,12.67,4689,12.486,2310
2024-07-31,12.69,13.58,12.69,13.4,3712,13.278,1718
2024-08-01,13.5,13.78,12.27,12.66,3226,12.797,1470
2024-08-02,12.21,12.41,11.52,11.84,5148,11.836,2359
2024-08-05,11.0,11.66,9.97,11.47,6261,10.989,2544
2024-08-06,11.45,12.35,11.22,11.84,3936,11.987,2005
2024-08-07,12.0,12.14,11.2,11.26,2599,11.636,1405
2024-08-08,11.36,11.84,11.09,11.79,3401,11.571,1514
2024-08-09,12.4,13.99,12.29,13.64,9850,13.526,4821
