date,open,high,low,close,volume,average,barCount
2023-07-14,15.67,15.67,15.2,15.2,4855,15.349,2938
2023-07-17,15.14,15.3,15.08,15.18,4016,15.199,2482
2023-07-18,15.15,15.25,15.02,15.04,3999,15.097,2282
2023-07-19,15.1,15.19,14.89,14.98,9212,14.992,5734
2023-07-20,14.95,15.05,14.82,15.01,4821,14.953,3074
2023-07-21,15.05,15.05,14.74,14.79,5444,14.806,3541
2023-07-24,14.83,15.21,14.81,15.2,4973,15.053,3050
2023-07-25,15.24,15.89,15.23,15.72,8345,15.662,5525
2023-07-26,15.5,15.66,15.36,15.51,4927,15.526,3262
2023-07-27,15.51,15.67,15.36,15.38,4405,15.53,2716
2023-07-28,15.55,15.83,15.5,15.78,6291,15.734,4024
2023-07-31,16.36,16.68,16.24,16.51,7492,16.442,4396
2023-08-01,16.44,16.46,16.2,16.25,4575,16.302,2560
2023-08-02,16.16,16.31,15.91,16.24,5599,16.144,3331
2023-08-03,16.64,17.43,16.64,16.94,13435,17.047,8185
2023-08-04,17.52,17.52,17.03,17.07,11413,17.27,6763
2023-08-07,17.25,17.26,16.84,16.89,6087,16.915,3543
2023-08-08,17.02,17.46,16.9,17.2,13157,17.205,7226
2023-08-09,17.48,17.71,17.35,17.44,7351,17.494,4480
2023-08-10,17.64,17.83,17.32,17.4,8046,17.56,5034
2023-08-11,17.68,17.8,17.58,17.6,6508,17.651,3528
2023-08-14,17.76,17.76,17.46,17.63,6315,17.603,3648
2023-08-15,17.91,17.92,17.51,17.55,7779,17.685,4964
2023-08-16,18.25,18.37,17.76,17.78,13778,17.951,7681
2023-08-17,18.13,18.35,17.92,18.16,11863,18.139,6661
2023-08-18,17.81,18.51,17.78,18.44,10267,18.26,5529
2023-08-21,18.45,18.48,18.04,18.37,5843,18.269,3432
2023-08-22,18.31,18.42,18.16,18.16,6462,18.264,4285
2023-08-23,17.98,18.18,17.72,17.98,10687,17.969,5178
2023-08-24,18.13,18.39,17.85,17.87,6392,18.05,3848
2023-08-25,18.06,18.15,17.78,18.02,7319,17.986,4049
2023-08-28,18.19,18.3,17.81,17.91,4926,18.001,2893
2023-08-29,17.9,18.11,17.71,18.08,6008,17.956,3796
2023-08-30,17.98,17.98,17.63,17.86,6453,17.778,4207
2023-08-31,17.62,17.66,17.05,17.22,10716,17.311,5307
2023-09-01,17.23,17.23,16.82,17.11,9241,17.025,5397
2023-09-05,16.78,16.78,16.29,16.35,12994,16.424,6201
2023-09-06,15.64,15.83,15.47,15.57,6719,15.613,3805
2023-09-07,15.37,15.46,15.19,15.33,6782,15.338,3482
2023-09-08,15.28,15.59,15.24,15.58,6335,15.484,3357
2023-09-11,15.59,15.62,15.13,15.26,9125,15.27,4906
2023-09-12,15.21,15.58,15.2,15.46,6384,15.444,3824
2023-09-13,15.43,15.49,15.03,15.16,5139,15.189,2964
2023-09-14,15.46,15.85,15.41,15.49,8901,15.597,4959
2023-09-15,15.44,15.82,15.41,15.68,8697,15.677,5188
2023-09-18,15.75,16.47,15.71,16.31,11383,16.276,6858
2023-09-19,16.67,16.79,16.19,16.2,5417,16.374,2887
2023-09-20,16.39,16.9,16.37,16.57,7545,16.679,4343
2023-09-21,16.74,17.31,16.44,17.2,25433,17.021,11475
2023-09-22,17.68,17.89,17.21,17.21,16451,17.497,8973
2023-09-25,17.0,17.38,16.85,17.29,8147,17.175,4235
2023-09-26,17.29,17.59,17.14,17.43,13767,17.366,7876
2023-09-27,17.53,17.8,17.2,17.46,7690,17.504,4678
2023-09-28,17.18,17.52,17.01,17.48,6408,17.328,3644
2023-09-29,17.14,17.14,15.68,16.43,45221,16.232,23616
2023-10-02,15.88,16.11,15.43,15.44,20771,15.661,11541
2023-10-03,15.28,15.46,14.92,15.16,14689,15.135,8643
2023-10-04,14.9,14.9,14.45,14.77,13960,14.694,7944
2023-10-05,17.69,17.7,16.88,17.29,99654,17.215,47963
2023-10-06,17.2,17.37,17.13,17.25,33598,17.243,17636
2023-10-09,17.63,17.76,17.62,17.69,64376,17.688,22823
2023-10-10,17.67,17.76,17.65,17.75,33058,17.724,14020
2023-10-11,17.71,17.95,17.67,17.89,25625,17.815,10608
