date,open,high,low,close,volume,average,barCount
2024-05-24,63.24,63.52,61.46,61.77,1645,62.411,1239
2024-05-28,62.33,63.2,61.59,62.32,1311,62.312,993
2024-05-29,61.28,61.76,60.42,60.69,1374,60.894,831
2024-05-30,61.14,61.63,60.5,61.0,1604,60.959,1026
2024-05-31,61.37,62.41,60.85,61.33,1599,61.475,1373
2024-06-03,62.49,63.0,61.58,61.73,1335,62.138,1137
2024-06-04,61.4,62.49,60.6,60.87,1272,61.06,1049
2024-06-05,61.05,62.15,60.74,61.89,1108,61.598,758
2024-06-06,61.67,62.23,61.04,61.2,1875,61.528,1064
2024-06-07,60.54,61.99,60.34,61.32,3870,61.238,1005
2024-06-10,60.67,61.78,60.28,60.88,2988,61.047,1240
2024-06-11,60.65,62.15,60.33,61.44,4547,61.427,1595
2024-06-12,62.79,64.87,61.24,61.3,3034,61.948,1894
2024-06-13,60.97,61.66,58.71,58.75,1773,59.438,1426
2024-06-14,57.94,58.31,55.69,58.22,2215,57.32,1539
2024-06-17,58.22,58.8,57.22,58.58,1210,58.275,874
2024-06-18,58.37,59.0,57.53,58.27,1808,58.196,1213
2024-06-20,58.0,61.22,58.0,60.46,2043,60.253,1420
2024-06-21,60.47,61.39,60.21,60.66,2524,60.659,1449
2024-06-24,60.94,61.64,59.93,59.97,1391,60.69,1035
2024-06-25,60.01,60.01,58.78,58.82,2468,59.136,1502
2024-06-26,59.13,59.87,57.55,58.02,4835,58.246,2797
2024-06-27,66.09,66.09,61.45,62.77,10728,63.459,7803
2024-06-28,63.21,65.01,61.93,63.28,2369,63.194,1609
2024-07-01,62.64,64.87,61.67,63.78,2056,63.159,1625
2024-07-02,63.82,66.34,63.76,65.95,3073,65.201,1718
2024-07-03,66.13,67.6,65.92,65.98,1602,66.504,1235
2024-07-05,65.98,66.53,63.14,63.49,2777,64.263,1985
2024-07-08,64.32,66.42,64.08,66.01,1877,65.742,1455
2024-07-09,65.9,66.48,65.01,65.81,1318,65.562,988
2024-07-10,66.08,66.99,65.23,66.9,2226,66.229,1417
2024-07-11,67.81,69.68,66.95,68.68,2730,68.927,1579
2024-07-12,69.04,70.12,68.55,69.99,1664,69.632,1174
2024-07-15,70.54,71.67,70.02,71.1,2326,71.007,1754
2024-07-16,71.25,72.58,71.23,72.26,1472,71.85,1095
2024-07-17,70.9,71.62,68.54,69.38,2180,69.459,1502
2024-07-18,69.88,71.36,68.18,68.2,1079,69.3,885
