date,open,high,low,close,volume,average,barCount
2023-12-21,2.52,2.73,2.47,2.71,26817,2.64831,8549
2023-12-22,2.73,2.79,2.645,2.73,15694,2.69854,6193
2023-12-26,2.75,2.81,2.68,2.79,11818,2.74108,3591
2023-12-27,2.78,2.92,2.755,2.85,15363,2.8469,5096
2023-12-28,2.8,2.93,2.77,2.92,16442,2.87024,5235
2023-12-29,2.92,2.99,2.8,2.82,27509,2.87453,6550
2024-01-02,2.8,2.965,2.73,2.86,21726,2.86093,7887
2024-01-03,2.82,2.91,2.7,2.78,22863,2.80118,7331
2024-01-04,2.78,2.795,2.7025,2.73,14797,2.74386,6050
2024-01-05,2.7,2.88,2.68,2.74,17231,2.7577,6239
2024-01-08,2.74,2.75,2.59,2.7,21705,2.67135,8402
2024-01-09,2.68,2.72,2.58,2.69,26107,2.66052,9954
2024-01-10,2.67,2.7,2.56,2.64,16827,2.62464,6872
2024-01-11,2.63,2.63,2.44,2.47,18652,2.49101,5987
2024-01-12,2.53,2.585,2.47,2.47,17478,2.51328,6035
2024-01-16,2.41,2.45,2.3625,2.42,16244,2.40242,6174
2024-01-17,2.36,2.38,2.28,2.32,23666,2.32112,8216
2024-01-18,2.33,2.405,2.3,2.37,13698,2.35392,5913
2024-01-19,2.35,2.41,2.29,2.38,15269,2.34572,5269
2024-01-22,2.23,2.32,2.135,2.295,28355,2.24358,10174
2024-01-23,2.33,2.46,2.28,2.46,13138,2.37895,4761
2024-01-24,2.51,2.5615,2.39,2.41,15379,2.48076,6088
2024-01-25,2.46,2.53,2.43,2.45,10189,2.47516,4104
2024-01-26,2.47,2.53,2.41,2.41,6000,2.46062,2403
2024-01-29,2.41,2.49,2.36,2.49,8337,2.42909,3471
2024-01-30,2.47,2.505,2.42,2.45,12806,2.45474,5349
2024-01-31,2.43,2.45,2.31,2.32,16938,2.37578,5957
2024-02-01,2.41,2.415,2.285,2.35,12401,2.35044,4943
2024-02-02,2.32,2.33,2.21,2.24,13847,2.25105,5271
2024-02-05,2.24,2.24,2.09,2.09,17525,2.14315,6280
2024-02-06,2.12,2.28,2.085,2.21,12813,2.21173,5457
2024-02-07,2.19,2.21,2.1225,2.15,8890,2.16496,3789
2024-02-08,2.2,2.2,2.12,2.14,9337,2.15842,4232
2024-02-09,2.14,2.25,2.125,2.18,12320,2.19131,5051
2024-02-12,2.17,2.38,2.17,2.37,14183,2.32946,5716
2024-02-13,2.25,2.255,2.09,2.105,17618,2.13639,5366
2024-02-14,2.14,2.18,2.09,2.115,13681,2.12914,4664
2024-02-15,2.16,2.245,2.095,2.24,16932,2.18539,6762
2024-02-16,2.19,2.28,2.17,2.18,17108,2.21521,5552
2024-02-20,2.13,2.18,2.08,2.08,12855,2.10472,4750
2024-02-21,2.07,2.075,1.925,1.93,13700,1.98285,4352
2024-02-22,1.98,1.98,1.85,1.92,25934,1.89291,6706
2024-02-23,1.93,1.965,1.88,1.9,9251,1.92104,3008
2024-02-26,1.94,1.98,1.855,1.94,16053,1.94619,5051
2024-02-27,1.95,1.995,1.93,1.96,17697,1.96276,5623
2024-02-28,1.95,2.03,1.82,1.85,22097,1.87117,5710
2024-02-29,1.31,1.48,1.16,1.165,108662,1.2677,20229
2024-03-01,1.2,1.2,1.1,1.135,50815,1.13857,11943
2024-03-04,1.11,1.11,0.8942,1.02,77877,1.01025,15075
2024-03-05,1.04,1.11,1.02,1.04,47010,1.05077,10034
