date,open,high,low,close,volume,average,barCount
2024-05-28 00:00:00,6.18,6.49,6.16,6.28,5249,6.337,2328
2024-05-29 00:00:00,6.17,6.33,6.06,6.11,4272,6.18,2290
2024-05-30 00:00:00,6.17,6.26,6.1,6.23,4758,6.181,2241
2024-05-31 00:00:00,6.26,6.44,6.18,6.23,5047,6.28,2641
2024-06-03 00:00:00,6.22,6.35,6.13,6.16,3429,6.229,2143
2024-06-04 00:00:00,6.07,6.38,6.07,6.35,3429,6.289,2062
2024-06-05 00:00:00,6.35,6.78,6.34,6.69,5830,6.655,3580
2024-06-06 00:00:00,6.63,6.8,6.58,6.74,3187,6.721,2047
2024-06-07 00:00:00,6.63,6.87,6.48,6.7,4911,6.746,2957
2024-06-10 00:00:00,6.7,6.92,6.66,6.89,3623,6.834,2163
2024-06-11 00:00:00,6.79,6.97,6.77,6.94,3101,6.903,1896
2024-06-12 00:00:00,7.03,7.17,6.91,6.93,2415,6.954,1374
2024-06-13 00:00:00,6.91,7.0,6.77,6.86,3869,6.861,2381
2024-06-14 00:00:00,6.81,6.87,6.56,6.68,3768,6.658,2214
2024-06-17 00:00:00,6.68,6.85,6.67,6.7,2921,6.743,1786
2024-06-18 00:00:00,6.65,6.72,6.53,6.57,3004,6.627,1652
2024-06-20 00:00:00,6.54,6.62,6.47,6.47,3595,6.57,2216
2024-06-21 00:00:00,6.45,6.48,5.92,5.94,6512,6.11,2755
2024-06-24 00:00:00,5.94,6.19,5.88,5.98,3048,6.08,1895
2024-06-25 00:00:00,5.92,6.04,5.85,5.91,2875,5.972,2016
2024-06-26 00:00:00,5.88,6.04,5.84,5.87,4700,5.938,2996
2024-06-27 00:00:00,5.9,6.02,5.78,5.9,4294,5.942,2705
2024-06-28 00:00:00,5.92,6.01,5.65,5.99,7009,5.882,4246
2024-07-01 00:00:00,6.07,6.18,5.46,5.55,8818,5.661,4829
2024-07-02 00:00:00,5.04,5.43,5.0,5.41,7185,5.3,4578
2024-07-03 00:00:00,5.4,5.75,5.4,5.64,4155,5.67,2701
2024-07-05 00:00:00,5.59,5.66,5.39,5.45,4665,5.501,3345
2024-07-08 00:00:00,5.51,5.7,5.46,5.49,3979,5.519,2314
2024-07-09 00:00:00,5.46,5.52,5.37,5.49,2711,5.462,1727
2024-07-10 00:00:00,5.51,5.53,5.41,5.46,3493,5.46,2474
2024-07-11 00:00:00,5.58,5.91,5.56,5.91,5304,5.737,3365
2024-07-12 00:00:00,5.9,5.96,5.69,5.9,4209,5.829,2473
2024-07-15 00:00:00,5.93,5.93,5.7,5.71,2764,5.811,2075
2024-07-16 00:00:00,5.78,6.08,5.76,6.03,5030,5.996,2837
2024-07-17 00:00:00,6.04,6.12,5.91,6.04,2778,6.026,1670
2024-07-18 00:00:00,6.04,6.22,5.93,5.96,2753,6.041,1916
2024-07-19 00:00:00,5.97,5.97,5.74,5.94,4507,5.887,1864
2024-07-22 00:00:00,5.87,5.99,5.79,5.98,2237,5.888,1262
2024-07-23 00:00:00,6.02,6.1,5.95,6.07,1964,6.047,1095
2024-07-24 00:00:00,6.03,6.09,5.87,5.94,3991,5.951,1721
2024-07-25 00:00:00,5.94,6.19,5.86,6.08,8681,6.076,3688
2024-07-26 00:00:00,6.14,6.43,6.08,6.43,2873,6.284,1688
2024-07-29 00:00:00,6.43,6.54,6.3,6.4,2454,6.424,1646
2024-07-30 00:00:00,6.4,6.48,6.29,6.35,2039,6.364,1407
2024-07-31 00:00:00,6.44,6.44,6.16,6.21,3183,6.246,1730
2024-08-01 00:00:00,6.22,6.24,5.85,6.02,5551,5.997,3573
2024-08-02 00:00:00,5.86,5.98,5.64,5.86,5262,5.811,3487
2024-08-05 00:00:00,5.57,5.76,5.5,5.68,4745,5.649,2922
2024-08-06 00:00:00,5.69,5.88,5.6,5.85,5855,5.785,3921
2024-08-07 00:00:00,6.13,6.61,6.03,6.31,14321,6.314,6821
2024-08-08 00:00:00,6.45,6.65,6.25,6.5,10049,6.457,6497
2024-08-09 00:00:00,6.48,6.56,6.17,6.39,7737,6.376,4064
2024-08-12 00:00:00,6.34,6.4,5.6,5.63,4869,5.827,2486
2024-08-13 00:00:00,5.66,6.1,5.65,6.1,3400,5.94,2350
2024-08-14 00:00:00,6.02,6.13,5.76,5.89,4738,5.868,2876
2024-08-15 00:00:00,6.1,6.1,5.92,5.92,4119,6.0,1674
2024-08-16 00:00:00,5.92,6.05,5.86,5.97,5097,5.962,1994
2024-08-19 00:00:00,5.96,6.05,5.69,5.74,3919,5.856,2113
