date,open,high,low,close,volume,average,barCount
2025-02-18 04:00:00,3.69,3.69,3.69,3.69,3,3.69,1
2025-02-18 05:00:00,3.69,3.69,3.69,3.69,0,3.69,0
2025-02-18 06:00:00,3.69,3.69,3.69,3.69,0,3.69,0
2025-02-18 07:00:00,3.69,3.69,3.69,3.69,0,3.69,0
2025-02-18 08:00:00,3.78,3.78,3.76,3.76,18,3.773,2
2025-02-18 09:00:00,3.76,3.86,3.74,3.77,628,3.778,311
2025-02-18 10:00:00,3.75,3.77,3.72,3.74,282,3.742,181
2025-02-18 11:00:00,3.73,3.75,3.71,3.75,700,3.732,426
2025-02-18 12:00:00,3.75,3.76,3.68,3.72,2223,3.72,769
2025-02-18 13:00:00,3.73,3.74,3.7,3.71,862,3.712,432
2025-02-18 14:00:00,3.71,3.76,3.7,3.74,526,3.726,308
2025-02-18 15:00:00,3.74,3.75,3.67,3.7,2338,3.705,1505
2025-02-18 16:00:00,3.7,3.7,3.7,3.7,436,3.7,3
2025-02-18 17:00:00,3.68,3.68,3.68,3.68,6,3.68,1
2025-02-18 18:00:00,3.68,3.68,3.68,3.68,0,3.68,0
2025-02-18 19:00:00,3.68,3.68,3.68,3.68,0,3.68,0
2025-02-19 09:00:00,3.7,3.8,3.67,3.76,206,3.751,129
2025-02-19 10:00:00,3.77,3.77,3.68,3.71,334,3.721,214
2025-02-19 11:00:00,3.71,3.86,3.71,3.79,622,3.815,229
2025-02-19 12:00:00,3.8,3.88,3.79,3.85,570,3.836,223
2025-02-19 13:00:00,3.84,3.89,3.81,3.83,419,3.86,194
2025-02-19 14:00:00,3.82,3.84,3.81,3.84,129,3.822,92
2025-02-19 15:00:00,3.85,3.87,3.79,3.87,515,3.839,335
2025-02-19 16:00:00,3.87,3.87,3.75,3.75,333,3.869,4
2025-02-19 17:00:00,3.75,3.75,3.75,3.75,0,3.75,0
2025-02-19 18:00:00,3.75,3.75,3.75,3.75,0,3.75,0
2025-02-19 19:00:00,3.75,3.75,3.75,3.75,0,3.75,0
2025-02-20 08:00:00,3.81,3.83,3.81,3.82,66,3.812,3
2025-02-20 09:00:00,3.86,3.95,3.8,3.83,543,3.874,232
2025-02-20 10:00:00,3.84,3.88,3.8,3.81,276,3.823,198
2025-02-20 11:00:00,3.81,3.88,3.78,3.79,1058,3.83,290
2025-02-20 12:00:00,3.79,3.81,3.72,3.74,178,3.747,107
2025-02-20 13:00:00,3.73,3.75,3.72,3.74,180,3.733,78
2025-02-20 14:00:00,3.74,3.75,3.68,3.73,624,3.709,202
2025-02-20 15:00:00,3.72,3.75,3.68,3.69,926,3.712,481
2025-02-20 16:00:00,3.69,3.69,3.69,3.69,257,3.69,2
2025-02-20 17:00:00,3.66,3.67,3.66,3.66,1,3.66,1
2025-02-20 18:00:00,3.66,3.66,3.66,3.66,0,3.66,0
2025-02-20 19:00:00,3.66,3.67,3.66,3.66,0,3.66,0
2025-02-21 09:00:00,3.77,3.82,3.7,3.76,507,3.786,183
2025-02-21 10:00:00,3.76,3.77,3.69,3.74,406,3.728,313
2025-02-21 11:00:00,3.74,3.78,3.73,3.77,287,3.76,141
2025-02-21 12:00:00,3.77,3.83,3.73,3.74,346,3.79,198
2025-02-21 13:00:00,3.74,3.75,3.72,3.72,262,3.735,205
2025-02-21 14:00:00,3.73,3.73,3.69,3.72,399,3.707,264
2025-02-21 15:00:00,3.71,3.8,3.67,3.78,1625,3.767,998
2025-02-21 16:00:00,3.77,3.77,3.77,3.77,887,3.77,5
2025-02-21 17:00:00,3.77,3.86,3.7,3.79,234,3.817,53
2025-02-21 18:00:00,3.78,3.79,3.78,3.79,77,3.79,4
2025-02-21 19:00:00,3.85,3.9,3.8,3.8,173,3.851,23
2025-02-24 05:00:00,3.88,3.88,3.88,3.88,1,3.88,1
