date,open,high,low,close,volume,average,barCount
2024-02-28,17.0,18.56,12.5,15.5,167,14.98653,109
2024-02-29,14.31,14.31,10.1,12.38,32,12.44461,28
2024-03-01,11.75,12.38,10.0,10.0,220,11.24149,109
2024-03-04,13.23,13.89,11.19,11.59,200,12.16954,106
2024-03-05,11.5,11.92,11.0,11.24,55,11.45006,21
2024-03-06,11.99,11.99,11.01,11.75,258,11.66292,162
2024-03-07,11.5,12.0,10.98,10.99,25,11.31096,12
2024-03-08,11.0,11.0,7.08,8.12,348,8.27802,174
2024-03-11,8.5,9.41,8.12,8.78,164,8.78749,63
2024-03-12,9.14,9.14,7.8,7.87,61,8.41966,34
2024-03-13,7.99,8.36,7.37,7.37,63,8.15826,38
2024-03-14,7.16,8.95,7.05,8.29,73,7.70105,57
2024-03-15,8.39,8.39,7.15,7.91,271,7.42875,161
2024-03-18,7.02,7.99,7.02,7.86,58,7.38304,36
2024-03-19,7.77,10.43,7.65,10.3,322,9.09661,190
2024-03-20,10.4,13.55,10.3,13.03,358,12.13489,183
2024-03-21,12.5,12.5,9.12,12.06,220,11.06253,155
2024-03-22,12.06,13.49,11.78,13.4,175,12.64922,93
2024-03-25,12.22,13.7,11.7,13.32,30,12.49082,16
2024-03-26,11.63,12.95,11.63,12.65,21,12.43368,19
2024-03-27,12.0,12.0,11.4,11.4,259,11.79113,36
2024-03-28,11.07,11.82,10.35,11.0,257,11.25281,154
2024-04-01,10.77,13.34,10.77,11.9,327,12.06031,211
2024-04-02,11.5,14.0,11.21,14.0,57,11.66467,41
2024-04-03,12.87,12.91,11.55,12.3,272,12.22947,174
2024-04-04,12.0,12.89,11.57,12.83,226,12.26163,180
2024-04-05,12.17,12.2,11.4,11.41,305,11.72872,189
2024-04-08,11.89,11.96,11.37,11.96,19,11.7902,16
2024-04-09,11.84,12.25,11.5,12.06,78,11.90503,52
2024-04-10,12.01,12.98,11.23,11.72,41,11.89939,35
2024-04-11,11.21,11.98,10.96,11.85,41,11.30136,32
2024-04-12,11.33,11.45,10.89,11.09,21,11.29435,16
2024-04-15,11.1,11.64,10.0,10.0,316,11.14754,190
2024-04-16,9.62,9.98,9.05,9.1,27,9.54119,19
2024-04-17,8.88,9.41,7.5,7.5,6,8.9494,5
2024-04-18,8.25,9.8,7.88,8.4,57,8.92036,36
2024-04-19,8.14,10.8,8.0,8.1,173,9.57917,104
2024-04-22,7.9,12.0,7.9,9.02,178,10.03781,105
2024-04-23,9.1,10.75,9.1,10.19,135,10.27957,102
2024-04-24,10.1,11.0,10.1,10.49,15,10.60608,13
2024-04-25,11.18,11.19,10.29,11.19,63,10.85114,40
2024-04-26,10.7,12.0,10.49,11.99,51,11.62132,30
2024-04-29,12.01,12.01,11.2,11.69,41,11.55219,30
2024-04-30,11.31,11.43,10.5,10.5,36,11.05609,15
2024-05-01,10.55,10.55,7.81,7.81,78,8.80853,38
2024-05-02,8.77,9.85,8.0,9.26,236,8.51662,137
2024-05-03,9.26,10.78,8.56,9.97,130,9.33121,91
2024-05-06,9.61,10.0,9.1,10.0,32,9.43764,22
2024-05-07,9.4,10.0,9.0,10.0,55,9.19532,41
2024-05-08,8.91,9.5,8.71,8.89,35,9.15287,27
2024-05-09,8.99,10.0,8.0,8.8,156,8.7339,81
2024-05-10,8.91,9.13,8.19,8.39,105,8.75292,93
2024-05-13,8.52,9.1,8.17,8.68,60,8.50672,57
2024-05-14,8.8,9.3,8.1,8.1,214,8.72276,128
2024-05-15,8.5,9.29,8.5,9.1,49,8.97124,39
2024-05-16,8.74,9.28,8.73,9.28,7,8.88114,4
2024-05-17,9.27,12.2,9.22,11.07,180,10.40227,102
2024-05-20,10.79,12.0,10.68,11.01,128,11.44572,72
2024-05-21,11.4,11.9,11.4,11.89,18,11.56716,16
2024-05-22,11.77,12.49,10.6,11.14,83,11.70715,64
2024-05-23,9.64,9.95,7.09,8.11,1166,8.25711,516
2024-05-24,8.5,9.98,8.16,9.94,238,9.33268,124
2024-05-28,9.94,11.66,9.82,10.0,341,10.57404,167
2024-05-29,9.64,10.99,9.64,10.95,57,10.33144,46
2024-05-30,10.8,11.22,10.79,11.07,43,10.96239,29
2024-05-31,11.44,11.45,10.05,10.75,69,11.02837,50
2024-06-03,11.0,11.28,10.53,11.28,39,10.72796,37
2024-06-04,9.9,11.5,9.9,10.67,83,10.97604,51
2024-06-05,10.7,11.58,10.28,10.28,175,11.2293,113
2024-06-06,10.59,11.25,10.1,10.87,61,10.873,48
2024-06-07,11.52,11.52,10.25,10.28,72,11.2002,41
2024-06-10,10.93,11.31,10.74,10.81,45,10.96205,29
2024-06-11,10.52,11.3,9.9,9.9,209,10.47046,135
2024-06-12,10.35,10.52,10.1,10.2,34,10.31925,17
2024-06-13,10.22,11.5,10.01,11.39,67,10.89878,24
2024-06-14,11.5,12.0,10.35,11.53,67,11.61025,35
2024-06-17,11.99,11.99,11.0,11.3,162,11.43704,61
2024-06-18,11.5,11.65,11.29,11.29,45,11.43918,29
2024-06-20,12.0,12.0,11.56,11.6,1681,11.75597,739
2024-06-21,11.71,11.71,11.3,11.5,952,11.50957,306
2024-06-24,11.73,11.75,11.45,11.49,1007,11.58819,348
2024-06-25,11.72,11.73,11.49,11.5,1218,11.66115,356
2024-06-26,11.5,11.6,11.4,11.5,367,11.51145,262
2024-06-27,11.65,11.7,11.38,11.5,403,11.56332,263
2024-06-28,11.65,11.9,10.58,11.27,1369,11.51903,864
2024-07-01,11.45,11.6,10.01,10.39,671,10.68938,269
2024-07-02,11.01,11.06,9.78,9.81,594,10.33146,233
2024-07-03,9.75,10.08,9.06,9.63,453,9.54777,213
2024-07-05,9.8,10.37,9.36,9.68,162,9.87387,75
2024-07-08,9.55,10.1,9.52,9.75,247,9.82574,131
2024-07-09,9.65,10.68,9.65,10.37,135,10.23007,69
2024-07-10,10.41,11.2,10.41,11.06,258,10.91044,111
2024-07-11,10.8,11.25,10.44,10.79,179,10.88786,102
2024-07-12,11.2,11.2,10.59,10.9,229,10.85756,152
2024-07-15,10.82,10.9,9.89,10.4,162,10.28247,85
2024-07-16,10.25,10.59,9.8,10.58,86,10.24359,54
2024-07-17,10.39,10.89,10.39,10.88,165,10.58848,104
2024-07-18,10.66,11.13,10.03,10.32,169,10.3891,77
2024-07-19,10.32,10.37,9.8,9.98,120,10.11314,63
2024-07-22,10.11,10.41,9.95,10.19,262,10.05468,136
2024-07-23,10.2,10.25,9.76,9.97,137,10.02626,63
2024-07-24,9.97,10.05,9.65,9.94,197,9.85934,97
2024-07-25,10.0,10.0,9.6,9.79,131,9.79142,99
2024-07-26,9.57,10.15,9.57,10.15,74,9.79996,49
2024-07-29,10.15,10.15,9.61,9.94,50,9.88478,39
2024-07-30,10.03,10.03,9.56,9.79,93,9.78251,45
2024-07-31,9.94,10.18,9.54,10.08,121,9.81887,76
2024-08-01,10.06,10.06,9.45,9.7,52,9.64399,31
2024-08-02,9.7,9.7,8.87,9.38,194,9.23521,111
2024-08-05,9.0,9.25,8.8,8.81,130,8.89571,81
2024-08-06,8.83,9.59,8.7,9.59,82,9.18058,45
2024-08-07,9.64,9.65,9.22,9.23,63,9.45703,32
2024-08-08,9.55,10.41,9.55,9.99,114,9.94472,70
2024-08-09,9.8,9.8,9.2,9.63,74,9.4374,48
2024-08-12,9.6,9.6,9.0,9.24,38,9.22978,28
2024-08-13,9.15,9.4,9.14,9.4,13,9.29044,8
2024-08-14,9.48,10.03,9.06,9.06,36,9.2997,21
2024-08-15,9.16,10.0,9.16,9.97,25,9.64928,18
2024-08-16,10.02,10.09,9.86,10.03,58,9.99431,42
2024-08-19,10.15,10.15,9.71,9.96,44,9.86435,31
2024-08-20,9.73,9.85,9.69,9.85,16,9.72842,16
2024-08-21,9.81,9.81,9.54,9.68,37,9.6685,31
2024-08-22,9.55,9.65,9.45,9.53,59,9.50784,20
2024-08-23,9.65,9.65,9.0,9.2,117,9.26655,47
2024-08-26,9.2,9.2,8.8,8.8,55,9.02694,30
2024-08-27,8.75,8.99,8.7,8.7,53,8.79683,27
2024-08-28,8.75,8.78,8.25,8.32,49,8.579,28
2024-08-29,8.21,8.88,8.21,8.65,60,8.42038,32
2024-08-30,8.65,8.65,8.38,8.38,47,8.46905,32
2024-09-03,8.32,8.4,8.05,8.05,73,8.15259,41
2024-09-04,8.31,8.31,7.91,7.95,83,8.03502,21
2024-09-05,7.87,8.43,7.76,7.76,53,8.12704,27
2024-09-06,7.69,7.85,7.29,7.35,186,7.46489,59
2024-09-09,7.29,7.54,6.6,6.68,126,7.18557,42
2024-09-10,6.69,6.75,6.49,6.49,112,6.58629,47
2024-09-11,6.26,6.95,6.13,6.52,36,6.42433,28
2024-09-12,6.51,7.51,6.51,7.1,99,7.26843,59
2024-09-13,7.44,8.31,7.43,7.57,67,7.6721,50
2024-09-16,7.52,7.78,7.39,7.45,96,7.60881,58
2024-09-17,7.75,7.75,7.37,7.47,89,7.50873,28
2024-09-18,7.34,7.55,7.14,7.14,36,7.38867,19
2024-09-19,7.52,7.71,7.17,7.71,52,7.47689,34
2024-09-20,7.72,7.73,7.0,7.0,149,7.65488,32
2024-09-23,7.32,7.32,7.01,7.1,32,7.14133,16
2024-09-24,7.14,7.14,7.1,7.13,2,7.12,2
2024-09-25,7.25,7.75,6.5,6.54,165,7.16958,82
2024-09-26,6.61,7.39,6.61,6.98,42,6.98628,35
2024-09-27,6.82,7.5,6.82,7.29,82,7.27164,55
2024-09-30,7.14,7.48,7.12,7.44,107,7.26942,71
2024-10-01,7.11,7.15,6.91,6.92,81,7.02311,43
2024-10-02,6.83,7.11,6.8,6.8,38,6.95738,23
2024-10-03,6.8,6.95,6.7,6.7,13,6.80159,12
2024-10-04,6.73,6.99,6.72,6.96,9,6.89783,6
2024-10-07,7.14,7.15,6.7,6.73,119,6.96968,69
2024-10-08,6.73,7.0,6.73,6.91,11,6.86382,9
2024-10-09,7.0,7.01,6.7,6.81,69,6.84652,33
2024-10-10,6.71,6.86,6.7,6.7,12,6.73643,7
2024-10-11,6.9,6.9,6.7,6.84,11,6.81741,9
2024-10-14,6.94,6.94,6.61,6.71,74,6.76141,40
2024-10-15,6.72,6.9,6.7,6.86,27,6.73418,17
2024-10-16,6.86,7.03,6.82,7.03,25,6.8979,18
2024-10-17,7.1,7.25,6.75,7.02,126,7.08179,49
2024-10-18,7.02,7.25,7.0,7.0,36,7.15889,5
2024-10-21,7.14,7.14,6.75,6.75,34,6.9312,16
2024-10-22,6.85,6.85,6.34,6.5,128,6.61546,61
2024-10-23,6.49,6.5,6.02,6.44,52,6.24148,35
2024-10-24,6.34,6.59,6.13,6.52,145,6.2506,79
2024-10-25,6.59,6.71,6.26,6.26,25,6.57621,13
2024-10-28,6.42,6.42,6.11,6.23,109,6.21971,45
2024-10-29,6.43,6.57,6.23,6.3,27,6.35106,18
2024-10-30,6.55,6.8,6.47,6.47,87,6.58903,38
2024-10-31,6.47,6.47,5.95,6.18,35,6.19175,26
