date,open,high,low,close,volume,average,barCount
2025-02-20 04:00:00,3.81,3.81,3.45,3.45,22,3.62568,9
2025-02-20 05:00:00,3.53,3.54,3.49,3.54,14,3.51244,8
2025-02-20 06:00:00,3.55,3.57,3.54,3.57,49,3.5502,12
2025-02-20 07:00:00,3.6,3.6,3.43,3.55,52,3.51212,22
2025-02-20 08:00:00,3.65,3.76,3.41,3.42,359,3.50056,80
2025-02-20 09:00:00,3.41,3.99,3.3,3.42,3238,3.55419,696
2025-02-20 10:00:00,3.44,3.69,3.37,3.53,1138,3.49195,223
2025-02-20 11:00:00,3.53,3.54,3.1,3.1,1100,3.32787,257
2025-02-20 12:00:00,3.09,3.2,2.9,3.1,1370,3.04965,381
2025-02-20 13:00:00,3.1,3.25,3.08,3.15,924,3.1527,363
2025-02-20 14:00:00,3.13,3.19,3.01,3.01,639,3.07173,195
2025-02-20 15:00:00,3.02,3.05,2.91,3.02,1048,2.97624,441
2025-02-20 16:00:00,3.05,3.06,3.05,3.06,136,3.05081,3
2025-02-20 17:00:00,3.06,3.07,3.06,3.06,40,3.061,1
2025-02-20 18:00:00,3.07,3.07,3.02,3.02,8,3.052,5
2025-02-20 19:00:00,3.1,3.1,3.1,3.1,1,3.1,1
2025-02-21 04:00:00,3.06,3.06,3.06,3.06,2,3.06,1
2025-02-21 05:00:00,3.06,3.06,3.06,3.06,0,3.06,0
2025-02-21 06:00:00,3.06,3.06,3.06,3.06,0,3.06,0
2025-02-21 07:00:00,3.08,3.08,3.05,3.06,7,3.063,5
2025-02-21 08:00:00,3.21,3.24,3.2,3.24,4,3.22265,3
2025-02-21 09:00:00,3.24,3.24,2.89,2.92,753,3.1095,181
2025-02-21 10:00:00,2.91,2.91,2.65,2.82,1447,2.76116,424
2025-02-21 11:00:00,2.82,2.82,2.63,2.65,893,2.71408,240
2025-02-21 12:00:00,2.63,2.69,2.55,2.59,778,2.60955,175
2025-02-21 13:00:00,2.57,2.65,2.51,2.53,1487,2.56025,315
2025-02-21 14:00:00,2.54,2.57,2.41,2.45,838,2.49289,200
2025-02-21 15:00:00,2.46,2.67,2.36,2.66,1255,2.43385,413
2025-02-21 16:00:00,2.67,2.75,2.6,2.74,119,2.68515,15
2025-02-21 17:00:00,2.68,2.68,2.68,2.68,20,2.68,1
2025-02-21 18:00:00,2.65,2.65,2.64,2.64,6,2.64504,3
2025-02-21 19:00:00,2.64,2.64,2.64,2.64,0,2.64,0
2025-02-24 04:00:00,2.65,3.0,2.65,3.0,74,2.82715,26
2025-02-24 05:00:00,2.95,3.0,2.79,2.79,32,2.8881,15
2025-02-24 06:00:00,2.94,3.0,2.82,2.89,31,2.96813,18
2025-02-24 07:00:00,2.82,2.82,2.8,2.81,49,2.81079,19
2025-02-24 08:00:00,2.86,3.13,2.8,3.13,544,2.9669,165
2025-02-24 09:00:00,3.11,3.33,2.89,2.89,4611,3.12323,866
2025-02-24 10:00:00,2.89,3.04,2.73,2.74,2033,2.90076,587
2025-02-24 11:00:00,2.72,2.84,2.7,2.72,1178,2.75849,291
2025-02-24 12:00:00,2.74,2.74,2.55,2.65,898,2.61431,246
2025-02-24 13:00:00,2.65,2.65,2.56,2.59,501,2.59532,147
2025-02-24 14:00:00,2.6,2.61,2.45,2.46,1300,2.5158,248
2025-02-24 15:00:00,2.46,2.6,2.45,2.6,875,2.52435,271
2025-02-24 16:00:00,2.6,2.64,2.55,2.62,100,2.60211,14
2025-02-24 17:00:00,2.66,2.66,2.51,2.59,56,2.61552,12
2025-02-24 18:00:00,2.6,2.6,2.6,2.6,10,2.6,1
2025-02-24 19:00:00,2.6,2.6,2.6,2.6,0,2.6,0
2025-02-25 06:00:00,2.69,2.69,2.68,2.68,5,2.68393,5
2025-02-25 07:00:00,2.7,2.72,2.67,2.67,17,2.69189,9
2025-02-25 08:00:00,2.68,2.75,2.56,2.75,267,2.64789,64
2025-02-25 09:00:00,2.75,2.78,2.4,2.42,971,2.50973,342
2025-02-25 10:00:00,2.42,2.45,2.34,2.38,1342,2.39065,399
2025-02-25 11:00:00,2.38,2.42,2.31,2.41,894,2.35585,264
2025-02-25 12:00:00,2.4,2.45,2.3,2.33,947,2.3716,191
2025-02-25 13:00:00,2.33,2.37,2.31,2.34,417,2.33567,130
