date,open,high,low,close,volume,average,barCount
2024-05-28 00:00:00,48.01,48.42,46.46,46.86,4426,47.125,3097
2024-05-29 00:00:00,46.15,46.5,45.18,45.81,2483,45.873,1731
2024-05-30 00:00:00,46.13,46.57,45.07,45.37,2768,45.688,2033
2024-05-31 00:00:00,45.69,46.86,44.08,44.41,5236,45.021,3650
2024-06-03 00:00:00,44.87,47.22,44.43,46.28,9174,45.852,6120
2024-06-04 00:00:00,46.67,48.71,46.2,47.33,10813,48.031,4977
2024-06-05 00:00:00,47.45,48.1,46.79,47.23,2442,47.442,1881
2024-06-06 00:00:00,47.14,47.39,45.77,45.84,3697,46.67,2170
2024-06-07 00:00:00,45.33,46.59,44.66,44.71,2543,45.296,1722
2024-06-10 00:00:00,44.05,45.09,43.65,45.01,3107,44.567,2184
2024-06-11 00:00:00,44.9,45.39,44.38,44.82,1215,44.841,913
2024-06-12 00:00:00,46.33,48.05,45.3,47.78,7993,46.66,3393
2024-06-13 00:00:00,47.69,48.26,46.72,46.89,2871,47.174,2199
2024-06-14 00:00:00,46.18,46.73,45.05,45.33,2763,45.511,1802
2024-06-17 00:00:00,45.12,45.76,44.38,44.71,3501,44.873,2058
2024-06-18 00:00:00,44.65,44.94,43.85,44.29,2779,44.335,1640
2024-06-20 00:00:00,44.01,44.78,43.63,44.21,2130,44.157,1517
2024-06-21 00:00:00,44.25,46.16,43.76,45.58,5490,45.149,3085
2024-06-24 00:00:00,45.0,46.02,44.71,45.66,2626,45.538,1663
2024-06-25 00:00:00,45.18,46.47,44.72,44.87,3007,45.445,1626
2024-06-26 00:00:00,44.38,44.38,41.01,42.19,9860,42.171,5387
2024-06-27 00:00:00,42.27,43.7,41.62,43.47,4039,43.094,2619
2024-06-28 00:00:00,43.67,44.98,43.11,44.79,5793,44.236,3554
2024-07-01 00:00:00,44.83,47.26,44.57,46.07,8111,45.953,4254
2024-07-02 00:00:00,46.09,47.15,45.19,45.54,6780,45.947,3960
2024-07-03 00:00:00,45.47,45.8,44.13,44.2,1903,44.682,1268
2024-07-05 00:00:00,44.09,44.46,43.71,43.83,3023,44.024,2065
2024-07-08 00:00:00,44.29,45.75,43.74,45.37,2166,44.864,1362
2024-07-09 00:00:00,45.79,48.28,45.34,48.23,4519,47.607,2488
2024-07-10 00:00:00,48.46,51.7,48.46,50.8,6924,50.355,4491
2024-07-11 00:00:00,51.81,53.19,51.23,52.81,5178,52.479,3648
2024-07-12 00:00:00,53.44,54.57,52.59,53.67,4817,53.575,2907
2024-07-15 00:00:00,53.39,55.36,53.13,54.14,5981,54.466,3325
2024-07-16 00:00:00,54.69,55.77,54.49,54.98,8665,54.988,5297
2024-07-17 00:00:00,54.3,55.21,52.87,53.85,7476,53.958,2963
2024-07-18 00:00:00,53.53,54.8,52.06,52.41,4114,53.031,2347
2024-07-19 00:00:00,52.94,53.16,52.09,52.66,2687,52.644,1444
2024-07-22 00:00:00,52.96,53.99,52.35,53.58,3764,53.261,2326
2024-07-23 00:00:00,53.66,55.78,53.31,54.83,6578,54.891,2985
2024-07-24 00:00:00,54.08,55.01,52.6,53.41,1818,53.712,1282
2024-07-25 00:00:00,53.5,54.41,52.83,53.34,2035,53.816,1426
2024-07-26 00:00:00,54.24,55.06,53.2,54.36,2701,54.216,1955
2024-07-29 00:00:00,54.44,54.83,52.98,54.26,3012,53.81,1809
2024-07-30 00:00:00,54.61,55.04,51.53,52.64,2651,52.924,1498
2024-07-31 00:00:00,53.32,54.27,52.5,53.12,2574,53.497,1605
2024-08-01 00:00:00,53.26,55.63,51.71,52.07,2684,52.532,1773
2024-08-02 00:00:00,50.33,50.79,49.17,49.79,3504,49.794,2177
2024-08-05 00:00:00,46.08,49.35,45.45,49.14,4552,48.424,2723
2024-08-06 00:00:00,49.82,50.88,48.63,50.2,3342,50.069,2010
2024-08-07 00:00:00,51.0,51.0,48.14,48.3,2219,48.758,1790
2024-08-08 00:00:00,49.15,50.85,48.1,50.74,2355,50.074,1720
2024-08-09 00:00:00,48.36,50.47,47.16,47.64,5300,48.147,4035
2024-08-12 00:00:00,47.61,49.68,47.07,49.57,3190,48.954,2359
2024-08-13 00:00:00,50.21,51.38,49.76,50.33,1772,50.343,1298
2024-08-14 00:00:00,50.44,52.0,49.93,51.43,1968,51.236,1369
2024-08-15 00:00:00,52.34,52.95,51.17,52.53,3192,52.426,1779
2024-08-16 00:00:00,52.57,52.71,51.62,51.62,1608,52.161,1072
2024-08-19 00:00:00,51.58,53.59,51.58,52.92,2652,52.76,1563
2024-08-20 00:00:00,52.8,53.92,52.3,53.83,1726,53.377,1210
2024-08-21 00:00:00,54.02,54.76,53.26,53.96,1106,53.825,830
2024-08-22 00:00:00,54.2,54.2,52.82,53.24,1404,53.291,1015
2024-08-23 00:00:00,53.86,54.06,52.83,53.15,2277,53.39,1423
2024-08-26 00:00:00,53.19,54.03,53.06,53.12,2750,53.584,1423
2024-08-27 00:00:00,52.75,54.56,52.7,54.47,2529,53.784,1713
2024-08-28 00:00:00,54.49,55.7,54.02,54.4,2296,54.718,1459
2024-08-29 00:00:00,54.57,54.78,52.53,52.7,3020,53.767,2055
2024-08-30 00:00:00,53.0,53.48,52.04,53.06,3060,52.969,1935
2024-09-03 00:00:00,53.24,54.12,51.32,52.02,1920,52.557,1388
2024-09-04 00:00:00,51.86,53.29,51.21,52.8,1250,52.439,890
2024-09-05 00:00:00,53.07,53.42,50.7,50.98,1840,51.469,1234
2024-09-06 00:00:00,51.26,51.66,49.67,50.39,2924,50.51,1681
2024-09-09 00:00:00,51.06,53.12,50.66,52.24,3009,52.377,2199
2024-09-10 00:00:00,52.31,52.31,49.93,50.4,3510,50.722,1996
2024-09-11 00:00:00,50.6,51.38,50.05,50.74,2098,50.832,1210
2024-09-12 00:00:00,50.62,51.59,49.96,51.23,2053,50.958,1629
2024-09-13 00:00:00,52.01,53.85,51.59,53.8,1847,53.077,1210
2024-09-16 00:00:00,53.9,54.51,53.32,53.94,1874,53.954,1322
2024-09-17 00:00:00,54.11,54.31,52.3,52.99,2411,53.286,1588
2024-09-18 00:00:00,53.24,53.9,52.06,52.77,2514,53.123,1871
2024-09-19 00:00:00,54.02,55.16,53.29,53.88,3609,54.408,2170
2024-09-20 00:00:00,54.13,54.71,53.11,53.15,3987,53.788,1643
2024-09-23 00:00:00,53.25,53.59,50.34,50.42,2336,51.331,1469
2024-09-24 00:00:00,50.42,50.92,49.12,49.82,2031,49.925,1439
2024-09-25 00:00:00,49.67,52.03,49.53,50.45,2284,50.94,1659
2024-09-26 00:00:00,50.98,51.81,50.28,50.58,4041,51.034,2455
2024-09-27 00:00:00,51.23,51.37,50.36,50.75,1484,50.867,1045
2024-09-30 00:00:00,50.53,51.9,50.19,51.1,2953,51.221,1435
2024-10-01 00:00:00,50.7,52.09,49.7,51.92,3342,51.171,2230
2024-10-02 00:00:00,51.44,54.13,50.94,54.02,2899,53.163,2227
2024-10-03 00:00:00,53.75,55.3,52.23,52.77,3221,53.584,2274
2024-10-04 00:00:00,53.42,53.59,52.73,53.14,1489,53.194,1076
2024-10-07 00:00:00,53.23,53.56,51.68,51.76,1360,52.447,1046
2024-10-08 00:00:00,52.0,52.9,51.66,51.7,988,52.208,596
2024-10-09 00:00:00,52.51,52.68,49.5,50.7,13808,50.447,8396
2024-10-10 00:00:00,49.48,52.22,49.48,51.78,7122,51.21,5433
2024-10-11 00:00:00,51.87,53.62,51.53,53.14,6366,52.919,3823
2024-10-14 00:00:00,53.0,53.5,52.38,53.1,1849,53.059,1339
2024-10-15 00:00:00,53.61,57.93,53.39,57.6,7408,56.223,3977
2024-10-16 00:00:00,58.28,59.39,57.1,58.86,6275,58.45,3202
2024-10-17 00:00:00,58.81,59.68,57.99,58.92,5026,58.876,2422
2024-10-18 00:00:00,58.91,59.8,58.4,59.09,2920,59.168,1359
2024-10-21 00:00:00,58.61,58.88,57.47,58.7,6040,58.425,2157
2024-10-22 00:00:00,58.49,60.04,58.26,59.61,8425,59.358,2120
2024-10-23 00:00:00,59.53,60.0,57.53,58.4,2908,58.355,1500
2024-10-24 00:00:00,58.5,59.39,58.29,58.74,1879,58.835,1314
2024-10-25 00:00:00,59.22,59.32,57.86,57.96,2282,58.565,1285
2024-10-28 00:00:00,58.64,59.67,56.81,57.15,2423,58.09,1614
2024-10-29 00:00:00,56.84,57.24,56.12,56.26,2183,56.527,1450
2024-10-30 00:00:00,55.91,56.96,55.43,55.76,1611,56.0,1033
2024-10-31 00:00:00,55.36,56.54,54.32,55.96,2107,55.884,1503
2024-11-01 00:00:00,56.5,57.81,56.19,56.69,1521,56.642,1126
2024-11-04 00:00:00,56.17,58.0,55.21,56.82,1871,56.852,1328
2024-11-05 00:00:00,56.49,57.88,55.28,57.81,1388,56.942,1009
2024-11-06 00:00:00,59.89,60.91,58.58,59.16,5542,59.791,3856
2024-11-07 00:00:00,59.11,60.17,58.66,59.81,3652,59.486,2366
2024-11-08 00:00:00,59.68,60.93,58.98,60.69,2224,59.99,1451
2024-11-11 00:00:00,61.88,62.0,59.95,60.01,3246,61.07,1957
2024-11-12 00:00:00,59.99,60.48,58.2,58.78,5928,59.007,3085
2024-11-13 00:00:00,60.0,61.16,58.5,58.92,7728,59.721,5306
2024-11-14 00:00:00,58.28,62.53,58.16,59.66,4294,60.409,2910
2024-11-15 00:00:00,60.13,60.15,54.42,54.72,4894,55.957,3348
2024-11-18 00:00:00,54.35,55.05,52.84,53.7,3819,53.807,2621
2024-11-19 00:00:00,53.15,55.21,53.15,55.17,2708,54.432,1820
2024-11-20 00:00:00,55.33,56.43,54.64,56.07,2374,55.698,1716
2024-11-21 00:00:00,56.0,58.04,55.3,57.03,3970,56.816,2531
2024-11-22 00:00:00,56.97,57.1,55.34,56.06,6008,56.099,3324
2024-11-25 00:00:00,56.44,57.42,55.92,56.09,2184,56.594,1744
2024-11-26 00:00:00,56.0,56.98,55.43,56.77,1585,56.355,1313
2024-11-27 00:00:00,57.0,58.06,56.17,57.67,1750,57.306,1413
2024-11-29 00:00:00,57.67,57.81,56.9,57.2,870,57.356,689
2024-12-02 00:00:00,57.27,58.13,56.83,57.39,1718,57.595,1427
