date,open,high,low,close,volume,average,barCount
2024-01-02,7.39,8.0,7.02,8.0,43,7.52282,23
2024-01-03,8.0,9.32,8.0,8.6,128,8.68514,64
2024-01-04,9.16,9.4,8.34,9.4,62,9.04756,27
2024-01-05,9.69,9.69,9.29,9.4,12,9.54101,5
2024-01-08,8.87,9.5,8.87,9.24,20,9.29491,11
2024-01-09,9.14,9.45,9.14,9.45,40,9.24862,13
2024-01-10,9.15,10.32,9.15,9.28,80,9.7235,39
2024-01-11,9.99,9.99,8.86,9.39,84,9.33144,68
2024-01-12,9.89,9.89,8.78,8.79,40,9.38584,24
2024-01-16,9.19,9.28,9.06,9.15,50,9.20355,24
2024-01-17,9.1,9.1,8.94,9.06,45,9.08421,37
2024-01-18,8.99,9.13,8.82,9.1,45,8.99874,24
2024-01-19,9.3,9.31,9.15,9.3,77,9.20587,11
2024-01-22,9.07,9.3,8.95,9.0,174,9.11826,80
2024-01-23,8.88,9.22,8.82,8.83,261,9.00629,109
2024-01-24,8.9,9.19,8.83,9.01,36,8.92855,19
2024-01-25,8.88,9.18,8.88,9.18,9,9.03485,6
2024-01-26,9.0,9.24,9.0,9.24,18,9.20708,4
2024-01-29,9.02,9.16,8.28,8.72,68,8.91034,30
2024-01-30,9.27,9.27,8.51,8.55,17,8.93771,7
2024-01-31,8.6,8.88,8.3,8.34,40,8.60752,25
2024-02-01,8.73,8.74,8.06,8.15,96,8.3476,52
2024-02-02,8.53,8.68,8.12,8.16,59,8.37074,33
2024-02-05,8.67,8.67,8.52,8.52,2,8.60056,2
2024-02-06,8.34,8.75,8.34,8.39,75,8.66539,34
2024-02-07,8.87,9.47,8.81,9.11,304,9.13014,108
2024-02-08,9.45,11.5,9.36,10.3,683,10.65719,192
2024-02-09,10.4,11.32,10.33,10.99,53,10.64702,24
2024-02-12,11.65,14.6,11.48,13.97,463,13.27145,222
2024-02-13,14.59,14.59,13.97,14.13,476,14.24245,286
2024-02-14,14.01,14.8,14.01,14.8,70,14.36334,27
2024-02-15,16.24,17.2,15.25,16.18,1524,16.29412,669
2024-02-16,16.45,18.5,15.0,16.78,2762,16.93281,1042
2024-02-20,17.0,17.0,13.26,15.65,447,15.14684,205
2024-02-21,15.39,15.39,13.61,14.5,291,14.12678,123
2024-02-22,14.11,16.15,13.6,13.94,252,14.10485,78
2024-02-23,13.82,16.5,13.07,13.7,334,14.15031,139
2024-02-26,13.7,14.38,12.26,12.83,370,12.94407,181
2024-02-27,12.35,13.54,12.35,13.18,73,13.02355,41
2024-02-28,12.65,13.0,12.65,12.66,120,12.75288,89
2024-02-29,12.57,13.96,12.57,13.73,113,13.70985,51
2024-03-01,13.61,13.61,12.85,12.92,247,13.17149,112
2024-03-04,13.59,13.62,11.9,12.7,337,12.63408,212
2024-03-05,12.5,13.72,11.99,13.0,154,12.87886,115
2024-03-06,13.65,15.84,12.55,15.84,89,14.06464,55
2024-03-07,16.49,16.91,15.42,16.0,121,16.08792,77
2024-03-08,15.97,17.5,15.5,16.63,117,16.83895,77
2024-03-11,17.1,17.68,16.06,17.68,159,16.82659,99
2024-03-12,18.23,18.23,17.0,17.57,34,17.64936,18
2024-03-13,17.23,17.9,16.8,16.99,39,17.23018,12
2024-03-14,16.8,16.8,16.5,16.52,24,16.76254,7
2024-03-15,16.01,18.0,15.94,18.0,184,17.02904,89
2024-03-18,18.54,22.96,18.0,21.99,337,20.44676,155
2024-03-19,22.98,24.44,21.0,24.44,234,22.8162,120
2024-03-20,25.1,26.38,23.7,25.93,326,25.40669,153
2024-03-21,25.43,25.43,21.74,22.48,233,23.02043,134
2024-03-22,22.98,23.1,20.97,21.9,171,22.05757,102
2024-03-25,21.57,22.55,20.3,21.08,199,21.41558,146
2024-03-26,21.6,21.72,20.25,20.79,24,20.94545,20
2024-03-27,20.5,21.03,16.2,19.62,176,18.59017,106
2024-03-28,22.0,24.0,21.5,23.3,364,22.68954,189
2024-04-01,21.56,24.21,21.56,22.7,133,22.6157,73
2024-04-02,23.99,23.99,20.0,22.16,165,21.704,87
2024-04-03,21.22,22.49,21.03,21.03,44,21.70763,22
2024-04-04,22.89,22.89,20.62,21.64,48,21.66241,11
2024-04-05,21.25,21.78,19.97,20.5,151,21.06056,87
2024-04-08,21.04,23.19,20.88,23.19,137,21.609,83
2024-04-09,23.0,24.6,22.28,23.14,76,23.33399,43
2024-04-10,23.98,24.46,22.05,24.46,105,23.30639,58
2024-04-11,25.79,25.79,23.0,25.2,129,24.75884,90
2024-04-12,24.09,25.2,22.77,25.19,160,23.89823,96
2024-04-15,24.52,25.92,22.0,23.35,259,24.03494,161
2024-04-16,23.46,25.33,23.02,24.85,29,24.31492,18
