date,open,high,low,close,volume,average,barCount
2025-01-30,50.0,50.0,33.75,33.75,131,39.137,62
2025-01-31,36.0,36.0,22.0,25.41,101,28.38,49
2025-02-03,25.0,28.82,16.63,19.0,134,20.188,82
2025-02-04,17.33,18.83,12.23,12.98,412,14.296,226
2025-02-05,13.91,13.91,7.58,8.29,1940,8.927,900
2025-02-06,7.8,8.13,6.9,6.97,973,7.317,367
2025-02-07,6.6,6.6,5.1,5.39,2024,5.793,764
2025-02-10,5.78,14.9,5.3,12.34,84017,10.99,29540
2025-02-11,10.09,16.23,9.02,12.9,20000,13.163,6188
2025-02-12,12.13,19.77,12.13,17.63,15195,16.096,4559
2025-02-13,18.14,52.43,17.7,37.68,26387,34.246,9189
2025-02-14,33.92,33.92,18.37,19.05,7902,25.006,2506
2025-02-18,21.8,25.73,10.03,10.5,17179,14.012,5079
2025-02-19,10.79,12.93,10.19,11.62,14394,11.403,3730
2025-02-20,11.4,13.42,10.5,11.85,7629,11.863,2168
2025-02-21,12.12,12.89,10.25,10.66,3686,11.255,1079
2025-02-24,10.38,11.05,7.95,8.54,4186,9.09,1119
2025-02-25,7.78,9.39,7.53,8.24,3125,8.396,967
2025-02-26,9.0,9.38,7.66,8.44,3845,8.536,1101
2025-02-27,8.29,8.7,7.25,7.63,1955,7.885,711
2025-02-28,7.53,7.62,6.71,7.37,2294,7.066,668
2025-03-03,7.3,7.6,6.4,6.71,2703,7.031,902
2025-03-04,6.5,8.13,6.03,8.06,3192,7.18,821
2025-03-05,7.97,8.35,7.03,7.26,1871,7.648,534
2025-03-06,7.01,7.35,6.15,6.24,1902,6.614,643
2025-03-07,6.13,7.07,6.0,6.68,3541,6.544,1332
2025-03-10,6.3,6.45,5.15,5.25,2930,5.543,1170
2025-03-11,5.12,5.66,4.76,5.05,2333,5.064,811
2025-03-12,5.13,5.58,4.53,4.9,3038,4.93,1249
2025-03-13,4.93,5.25,4.45,4.46,1922,4.824,744
2025-03-14,4.51,5.24,4.22,5.1,3348,4.697,1038
2025-03-17,5.04,6.38,5.02,6.09,3902,5.864,1027
2025-03-18,6.0,6.05,5.5,5.57,1105,5.784,310
2025-03-19,5.51,8.41,5.42,7.84,24466,7.679,7438
