date,open,high,low,close,volume,average,barCount
2024-03-22,35.172,37.608,34.044,36.22,331,36.1456,3949
2024-03-25,36.8,37.572,31.876,32.516,316,33.8244,4437
2024-03-26,32.404,32.656,28.48,30.248,612,29.8952,6491
2024-03-27,31.5,33.972,30.404,33.752,366,32.9096,4534
2024-03-28,34.024,35.188,31.58,32.448,263,32.5132,4198
2024-04-01,31.0,32.816,29.776,32.108,307,31.6088,4774
2024-04-02,30.524,32.332,30.0,32.252,205,31.7932,3410
2024-04-03,32.0,33.116,31.464,32.0,275,32.146,4192
2024-04-04,32.796,35.608,31.536,33.028,205,33.902,3555
2024-04-05,32.04,34.308,31.452,33.56,163,33.4732,2938
2024-04-08,34.376,35.956,33.688,33.988,204,34.5908,2533
2024-04-09,34.164,35.56,32.168,33.168,184,32.8932,2570
2024-04-10,30.892,32.376,30.892,32.06,360,31.8956,4109
2024-04-11,32.708,33.6,31.544,32.324,160,32.0368,2317
2024-04-12,31.652,32.68,30.296,31.5,198,31.1524,2170
2024-04-15,31.036,32.04,29.608,30.8,410,30.912,4349
2024-04-16,30.8,30.8,28.044,29.144,293,29.082,4232
2024-04-17,29.2,30.056,28.504,29.012,266,29.2732,4168
2024-04-18,28.952,30.872,28.432,29.468,365,29.8028,4728
2024-04-19,29.252,30.88,25.708,26.008,466,27.3056,6198
2024-04-22,26.6,27.312,22.0,22.128,1270,23.5736,10657
2024-04-23,22.508,25.2,22.0,22.408,1252,23.426,11504
2024-04-24,22.8,24.116,21.6,23.272,701,22.4148,9700
2024-04-25,22.576,23.696,21.644,22.832,389,22.6092,5914
2024-04-26,21.912,23.52,21.2,23.02,400,22.6936,4910
2024-04-29,24.464,27.652,23.608,26.596,784,26.4452,8193
2024-04-30,26.54,27.16,25.656,25.992,363,26.2608,4742
2024-05-01,25.224,27.508,24.944,25.672,270,25.9148,4511
2024-05-02,25.732,27.152,25.6,26.628,190,26.2436,3244
2024-05-03,26.74,28.0,25.872,26.172,125,26.2196,2587
2024-05-06,26.172,27.288,25.6,26.66,241,26.354,2883
2024-05-07,26.708,26.8,25.604,26.004,268,26.0616,4364
2024-05-08,22.516,25.056,22.2,24.288,865,23.468,8065
2024-05-09,24.048,31.008,24.0,28.84,1749,27.8248,12877
2024-05-10,27.244,29.496,26.352,28.248,1466,27.9552,13123
2024-05-13,28.38,30.616,25.388,25.584,268,27.564,3049
2024-05-14,26.316,28.288,22.004,22.568,681,24.968,6822
2024-05-15,25.2,26.328,23.676,25.156,546,24.7392,6317
2024-05-16,24.708,25.2,22.576,23.896,436,23.6668,4057
2024-05-17,24.3,24.3,22.82,23.572,357,23.3352,4694
2024-05-20,23.6,23.928,21.296,21.844,367,22.0632,4625
2024-05-21,22.396,23.5,20.408,21.732,587,21.4296,6203
2024-05-22,21.6,28.0,21.484,26.404,1238,25.734,9846
2024-05-23,26.404,26.8,22.068,22.464,620,23.3652,6692
2024-05-24,23.2,27.58,22.996,27.476,734,26.1812,7283
2024-05-28,26.604,28.892,24.0,24.072,672,25.0652,7277
2024-05-29,23.644,23.872,22.0,23.224,522,22.7148,5127
2024-05-30,23.68,23.68,21.344,21.604,321,22.0224,4977
2024-05-31,21.868,22.272,20.8,21.476,455,21.2068,4753
2024-06-03,21.832,22.4,19.692,20.192,480,20.3116,5748
2024-06-04,20.092,21.02,18.624,18.844,387,19.1848,5019
2024-06-05,19.192,19.42,16.928,17.404,728,17.4936,6445
2024-06-06,17.388,17.908,16.372,17.66,789,17.1188,7750
2024-06-07,17.272,17.984,16.228,16.476,438,17.0636,4572
2024-06-10,16.316,17.996,14.8,17.944,677,16.1944,7530
2024-06-11,17.868,19.112,16.812,18.484,595,18.0692,6073
2024-06-12,19.344,21.08,17.884,18.788,717,19.6496,8072
2024-06-13,18.404,19.728,16.768,17.816,514,17.2872,6120
2024-06-14,17.108,17.908,16.74,17.404,284,17.4468,2391
2024-06-17,16.804,17.568,15.224,15.964,565,16.0088,6199
2024-06-18,15.988,16.148,15.2,15.28,372,15.4272,5254
2024-06-20,15.08,15.836,14.004,15.32,397,15.1796,5216
2024-06-21,15.468,16.4,14.4,14.66,504,15.4288,4208
2024-06-24,14.044,15.856,14.044,14.736,500,14.9776,6480
2024-06-25,14.324,15.016,13.132,14.3,825,14.5536,7670
2024-06-26,15.2,18.508,15.04,16.628,1431,17.0752,10706
2024-06-27,16.092,18.104,15.076,16.848,901,16.9388,9253
2024-06-28,16.404,16.88,15.2,15.536,1227,16.0852,11155
2024-07-01,16.484,17.2,12.6,12.6,1192,14.3604,10096
2024-07-02,12.8,13.28,10.656,11.228,1849,11.3612,14023
