date,open,high,low,close,volume,average,barCount
2025-02-20 04:00:00,6.07,6.07,6.07,6.07,2,6.07,2
2025-02-20 05:00:00,6.1,6.1,6.1,6.1,2,6.1,2
2025-02-20 06:00:00,6.1,6.1,6.1,6.1,0,6.1,0
2025-02-20 07:00:00,6.1,6.1,6.1,6.1,0,6.1,0
2025-02-20 08:00:00,6.1,6.1,6.1,6.1,0,6.1,0
2025-02-20 09:00:00,6.25,6.25,6.1,6.18,77,6.19238,42
2025-02-20 10:00:00,6.1,6.3,6.1,6.26,319,6.24375,173
2025-02-20 11:00:00,6.24,6.27,6.1,6.11,149,6.21531,98
2025-02-20 12:00:00,6.11,6.22,6.11,6.145,190,6.16462,118
2025-02-20 13:00:00,6.15,6.26,6.128,6.18,304,6.18859,165
2025-02-20 14:00:00,6.18,6.23,6.14,6.205,313,6.19473,197
2025-02-20 15:00:00,6.21,6.25,6.165,6.19,801,6.21414,554
2025-02-20 16:00:00,6.21,6.21,6.21,6.21,430,6.21,1
2025-02-20 17:00:00,6.21,6.21,6.21,6.21,0,6.21,0
2025-02-20 18:00:00,6.21,6.21,6.21,6.21,0,6.21,0
2025-02-20 19:00:00,6.21,6.21,6.21,6.21,0,6.21,0
2025-02-21 09:00:00,6.3,6.3,6.09,6.09,151,6.24627,19
2025-02-21 10:00:00,6.09,6.12,5.91,5.91,220,6.03122,85
2025-02-21 11:00:00,5.925,6.02,5.87,6.02,331,5.94405,184
2025-02-21 12:00:00,6.03,6.04,5.905,5.905,100,5.99619,86
2025-02-21 13:00:00,5.89,5.9525,5.87,5.94,114,5.91148,81
2025-02-21 14:00:00,5.95,5.95,5.88,5.94,240,5.91781,160
2025-02-21 15:00:00,5.92,6.1,5.9,6.01,1864,6.01432,1167
2025-02-21 16:00:00,6.02,6.02,6.02,6.02,610,6.02,1
2025-02-21 17:00:00,6.02,6.02,6.02,6.02,0,6.02,0
2025-02-21 18:00:00,6.02,6.02,6.02,6.02,0,6.02,0
2025-02-21 19:00:00,6.02,6.02,6.02,6.02,0,6.02,0
2025-02-24 09:00:00,6.02,6.05,6.0,6.04,81,6.02391,28
2025-02-24 10:00:00,6.0266,6.07,5.94,5.96,234,6.00498,140
2025-02-24 11:00:00,5.96,6.19,5.96,6.05,383,6.10099,230
2025-02-24 12:00:00,6.05,6.12,6.0493,6.11,38,6.07893,28
2025-02-24 13:00:00,6.08,6.13,6.08,6.11,72,6.11115,48
2025-02-24 14:00:00,6.12,6.15,6.05,6.05,137,6.12241,86
2025-02-24 15:00:00,6.05,6.14,6.04,6.09,397,6.09373,302
2025-02-24 16:00:00,6.1,6.1,6.1,6.1,410,6.1,2
2025-02-24 17:00:00,6.1,6.1,6.1,6.1,0,6.1,0
2025-02-24 18:00:00,5.68,5.68,5.68,5.68,1,5.68,1
2025-02-24 19:00:00,5.68,5.68,5.68,5.68,0,5.68,0
2025-02-25 09:00:00,6.21,6.24,6.09,6.24,57,6.20138,19
2025-02-25 10:00:00,6.13,6.26,6.05,6.14,261,6.15963,158
2025-02-25 11:00:00,6.13,6.2,6.13,6.17,106,6.15737,71
2025-02-25 12:00:00,6.16,6.16,6.1,6.12,124,6.1302,56
2025-02-25 13:00:00,6.12,6.17,6.08,6.1,204,6.11052,81
2025-02-25 14:00:00,6.11,6.145,6.08,6.12,172,6.11307,100
2025-02-25 15:00:00,6.125,6.15,6.0444,6.1,663,6.1107,312
2025-02-25 16:00:00,6.11,6.11,6.11,6.11,344,6.11,2
2025-02-25 17:00:00,6.11,6.11,6.11,6.11,0,6.11,0
2025-02-25 18:00:00,6.11,6.11,6.11,6.11,0,6.11,0
2025-02-25 19:00:00,6.11,6.11,6.11,6.11,0,6.11,0
2025-02-26 05:00:00,6.11,6.11,6.11,6.11,3,6.11,3
2025-02-26 06:00:00,6.1,6.11,6.1,6.11,2,6.10578,2
2025-02-26 07:00:00,6.11,6.11,6.11,6.11,0,6.11,0
2025-02-26 08:00:00,6.11,6.11,6.11,6.11,0,6.11,0
2025-02-26 09:00:00,6.11,6.11,5.99,6.0,108,6.07793,32
2025-02-26 10:00:00,5.98,6.14,5.97,6.03,306,6.06321,127
2025-02-26 11:00:00,6.03,6.09,5.98,6.06,242,6.03637,123
2025-02-26 12:00:00,6.07,6.1,5.94,5.94,169,6.03035,91
2025-02-26 13:00:00,5.94,6.04,5.93,5.98,180,5.99403,92
2025-02-26 14:00:00,5.99,6.09,5.975,6.03,269,6.04991,150
2025-02-26 15:00:00,6.04,6.13,6.03,6.1,788,6.09334,531
2025-02-26 16:00:00,6.11,6.11,6.11,6.11,461,6.11,1
2025-02-26 17:00:00,6.11,6.11,6.11,6.11,0,6.11,0
2025-02-26 18:00:00,6.11,6.11,6.11,6.11,0,6.11,0
2025-02-26 19:00:00,6.11,6.11,6.11,6.11,0,6.11,0
2025-02-27 09:00:00,6.15,6.15,5.9101,5.975,40,6.06638,19
2025-02-27 10:00:00,5.98,6.09,5.955,6.02,228,6.03347,78
2025-02-27 11:00:00,6.035,6.05,5.97,5.97,29,6.00802,17
2025-02-27 12:00:00,5.97,6.03,5.96,5.99,101,5.99578,53
2025-02-27 13:00:00,6.0,6.02,6.0,6.02,30,6.00737,14
2025-02-27 14:00:00,6.02,6.06,5.935,5.94,222,5.97832,108
2025-02-27 15:00:00,5.94,5.995,5.85,5.91,1123,5.9321,700
2025-02-27 16:00:00,5.89,5.89,5.89,5.89,565,5.89,2
2025-02-27 17:00:00,5.89,5.89,5.89,5.89,0,5.89,0
2025-02-27 18:00:00,5.89,5.89,5.89,5.89,0,5.89,0
2025-02-27 19:00:00,5.89,5.89,5.89,5.89,0,5.89,0
2025-02-28 09:00:00,5.84,5.97,5.81,5.82,175,5.87672,54
2025-02-28 10:00:00,5.84,6.0556,5.84,6.005,347,5.96704,168
2025-02-28 11:00:00,6.02,6.02,5.93,5.95,115,5.97355,61
2025-02-28 12:00:00,5.96,5.968,5.875,5.9,56,5.92213,42
2025-02-28 13:00:00,5.91,5.935,5.89,5.89,133,5.91327,79
2025-02-28 14:00:00,5.89,5.965,5.88,5.96,149,5.93091,94
2025-02-28 15:00:00,5.965,6.05,5.955,6.0,703,6.00867,446
2025-02-28 16:00:00,6.0,6.0,6.0,6.0,569,6.0,1
2025-02-28 17:00:00,6.11,6.11,5.71,5.71,3,5.82429,2
2025-02-28 18:00:00,5.71,5.71,5.71,5.71,0,5.71,0
2025-02-28 19:00:00,5.71,5.71,5.71,5.71,0,5.71,0
2025-03-03 09:00:00,6.11,6.155,6.01,6.06,315,6.11352,142
2025-03-03 10:00:00,6.04,6.1,6.02,6.055,158,6.05879,135
2025-03-03 11:00:00,6.04,6.085,6.04,6.065,102,6.05996,82
2025-03-03 12:00:00,6.08,6.21,6.08,6.21,171,6.13903,72
2025-03-03 13:00:00,6.21,6.245,6.11,6.22,337,6.15105,162
2025-03-03 14:00:00,6.22,6.28,6.2,6.2,199,6.23402,147
2025-03-03 15:00:00,6.2,6.21,6.05,6.08,851,6.12771,546
2025-03-03 16:00:00,6.08,6.08,6.08,6.08,308,6.08,2
2025-03-03 17:00:00,6.0,6.0,6.0,6.0,1,6.0,1
2025-03-03 18:00:00,6.0,6.0,6.0,6.0,0,6.0,0
2025-03-03 19:00:00,6.25,6.25,6.05,6.05,129,6.1493,3
2025-03-04 09:00:00,6.1,6.16,5.865,5.87,232,5.99563,120
2025-03-04 10:00:00,5.89,5.93,5.76,5.8,329,5.82632,184
2025-03-04 11:00:00,5.8,6.04,5.76,5.93,301,5.86476,173
2025-03-04 12:00:00,5.91,5.93,5.85,5.85,121,5.8998,74
2025-03-04 13:00:00,5.83,5.85,5.8,5.84,87,5.8298,69
2025-03-04 14:00:00,5.84,5.9,5.84,5.875,317,5.86448,108
2025-03-04 15:00:00,5.89,5.97,5.79,5.79,664,5.85654,409
2025-03-04 16:00:00,5.79,5.79,5.79,5.79,414,5.79,3
2025-03-04 17:00:00,5.79,5.79,5.79,5.79,0,5.79,0
2025-03-04 18:00:00,5.79,5.79,5.79,5.79,0,5.79,0
2025-03-04 19:00:00,5.79,5.79,5.79,5.79,0,5.79,0
2025-03-05 09:00:00,5.8,5.875,5.7408,5.83,266,5.80283,58
2025-03-05 10:00:00,5.85,5.9,5.8,5.89,116,5.85465,95
2025-03-05 11:00:00,5.87,5.885,5.8,5.83,132,5.84913,90
2025-03-05 12:00:00,5.85,5.92,5.835,5.895,117,5.87078,90
2025-03-05 13:00:00,5.89,5.89,5.85,5.88,104,5.86668,64
2025-03-05 14:00:00,5.9,5.96,5.9,5.93,115,5.93662,86
2025-03-05 15:00:00,5.93,6.05,5.92,6.03,298,5.98926,173
2025-03-05 16:00:00,6.04,6.04,6.04,6.04,354,6.04,1
2025-03-05 17:00:00,6.04,6.04,6.04,6.04,0,6.04,0
2025-03-05 18:00:00,6.04,6.04,6.04,6.04,0,6.04,0
2025-03-05 19:00:00,6.04,6.04,6.04,6.04,0,6.04,0
2025-03-06 09:00:00,5.99,6.08,5.953,6.03,48,6.00364,17
2025-03-06 10:00:00,6.03,6.255,6.03,6.255,150,6.14919,93
2025-03-06 11:00:00,6.26,6.34,6.23,6.24,149,6.28577,95
2025-03-06 12:00:00,6.255,6.265,6.22,6.245,137,6.24134,88
2025-03-06 13:00:00,6.24,6.25,6.17,6.17,179,6.22458,131
2025-03-06 14:00:00,6.16,6.31,6.13,6.21,311,6.22905,161
2025-03-06 15:00:00,6.205,6.26,6.17,6.17,338,6.20762,166
2025-03-06 16:00:00,6.17,6.17,6.17,6.17,385,6.17,2
2025-03-06 17:00:00,6.17,6.17,6.17,6.17,0,6.17,0
2025-03-06 18:00:00,6.17,6.17,6.17,6.17,0,6.17,0
2025-03-06 19:00:00,6.17,6.17,6.17,6.17,0,6.17,0
2025-03-07 09:00:00,6.17,6.29,6.15,6.255,61,6.19657,32
2025-03-07 10:00:00,6.245,6.27,6.15,6.18,144,6.20088,102
2025-03-07 11:00:00,6.185,6.21,6.05,6.1,378,6.15435,234
2025-03-07 12:00:00,6.095,6.255,6.095,6.22,135,6.16425,97
2025-03-07 13:00:00,6.23,6.26,6.1972,6.24,195,6.22356,98
2025-03-07 14:00:00,6.23,6.27,6.19,6.19,267,6.23384,138
2025-03-07 15:00:00,6.2,6.3,6.2,6.25,438,6.24222,268
2025-03-07 16:00:00,6.27,6.27,6.27,6.27,255,6.27,2
2025-03-07 17:00:00,6.27,6.27,6.27,6.27,0,6.27,0
2025-03-07 18:00:00,6.27,6.27,6.27,6.27,0,6.27,0
2025-03-07 19:00:00,6.27,6.27,6.27,6.27,0,6.27,0
2025-03-10 03:00:00,6.27,6.27,6.27,6.27,3,6.27,3
2025-03-10 04:00:00,6.27,6.27,6.27,6.27,0,6.27,0
2025-03-10 05:00:00,6.27,6.27,6.27,6.27,0,6.27,0
2025-03-10 06:00:00,6.27,6.27,6.27,6.27,0,6.27,0
2025-03-10 07:00:00,6.27,6.27,6.27,6.27,0,6.27,0
2025-03-10 08:00:00,6.1,6.25,6.1,6.12,722,6.13597,100
2025-03-10 09:00:00,6.1,6.11,5.86,5.865,688,5.98203,162
2025-03-10 10:00:00,5.86,6.033,5.86,6.03,200,5.93476,90
2025-03-10 11:00:00,6.01,6.06,5.85,5.85,107,5.95593,77
2025-03-10 12:00:00,5.84,5.8696,5.71,5.75,174,5.8111,92
2025-03-10 13:00:00,5.74,5.79,5.67,5.68,206,5.7341,122
2025-03-10 14:00:00,5.67,5.8,5.5,5.77,1439,5.63381,662
2025-03-10 15:00:00,5.77,5.77,5.77,5.77,314,5.77,3
2025-03-10 16:00:00,5.77,5.77,5.77,5.77,0,5.77,0
2025-03-10 17:00:00,5.77,5.77,5.77,5.77,0,5.77,0
2025-03-10 18:00:00,5.77,5.77,5.77,5.77,0,5.77,0
2025-03-11 08:00:00,5.78,5.79,5.62,5.63,148,5.71081,57
2025-03-11 09:00:00,5.64,5.685,5.635,5.685,119,5.65646,76
2025-03-11 10:00:00,5.68,5.68,5.54,5.54,213,5.60897,97
2025-03-11 11:00:00,5.5025,5.505,5.21,5.235,492,5.35181,265
2025-03-11 12:00:00,5.23,5.245,5.12,5.142,360,5.19354,146
2025-03-11 13:00:00,5.15,5.255,5.15,5.25,217,5.20951,104
2025-03-11 14:00:00,5.25,5.25,5.095,5.11,386,5.1354,240
2025-03-11 15:00:00,5.11,5.11,5.11,5.11,254,5.11,2
2025-03-11 16:00:00,5.11,5.11,5.11,5.11,0,5.11,0
