date,open,high,low,close,volume,average,barCount
2024-05-23 00:00:00,8.29,8.37,8.27,8.32,125,8.34,50
2024-05-24 00:00:00,8.25,8.28,8.25,8.28,30,8.261,15
2024-05-28 00:00:00,8.3,8.35,8.25,8.32,116,8.318,42
2024-05-29 00:00:00,8.3,8.38,8.25,8.36,149,8.341,55
2024-05-30 00:00:00,8.38,8.51,8.33,8.51,85,8.422,35
2024-05-31 00:00:00,8.46,8.49,8.35,8.38,72,8.437,38
2024-06-03 00:00:00,8.35,8.8,8.32,8.32,250,8.674,112
2024-06-04 00:00:00,8.31,8.43,8.13,8.34,67,8.319,40
2024-06-05 00:00:00,8.41,8.65,8.35,8.49,56,8.524,19
2024-06-06 00:00:00,8.39,8.67,8.36,8.44,80,8.468,45
2024-06-07 00:00:00,8.85,9.49,8.57,8.86,661,9.084,228
2024-06-10 00:00:00,9.0,9.0,8.59,8.74,75,8.67,34
2024-06-11 00:00:00,8.55,8.86,8.55,8.8,204,8.74,97
2024-06-12 00:00:00,8.9,9.07,8.65,8.65,211,8.858,61
2024-06-13 00:00:00,8.64,8.76,8.63,8.67,54,8.67,31
2024-06-14 00:00:00,8.65,8.77,8.55,8.69,70,8.691,40
2024-06-17 00:00:00,8.68,8.97,8.51,8.83,81,8.663,25
2024-06-18 00:00:00,8.67,9.05,8.67,9.05,300,8.95,107
2024-06-20 00:00:00,9.06,9.24,9.04,9.05,149,9.112,94
2024-06-21 00:00:00,9.0,9.03,8.93,8.98,74,8.989,39
2024-06-24 00:00:00,8.91,9.15,8.81,9.15,120,8.963,67
2024-06-25 00:00:00,8.95,9.15,8.91,9.15,42,9.062,18
2024-06-26 00:00:00,9.14,9.2,8.42,9.2,202,8.827,100
2024-06-27 00:00:00,8.95,9.25,8.95,9.16,98,9.112,61
2024-06-28 00:00:00,9.2,9.21,9.1,9.1,49,9.113,20
2024-07-01 00:00:00,9.09,9.15,8.92,9.14,143,9.094,77
2024-07-02 00:00:00,9.3,9.3,9.04,9.15,275,9.163,98
2024-07-03 00:00:00,9.07,9.19,8.98,8.99,58,9.13,25
2024-07-05 00:00:00,9.0,9.18,9.0,9.15,55,9.139,37
2024-07-08 00:00:00,8.96,9.23,8.96,9.17,117,9.155,53
2024-07-09 00:00:00,9.17,9.43,9.17,9.34,53,9.319,32
2024-07-10 00:00:00,9.29,9.43,9.25,9.25,39,9.325,28
2024-07-11 00:00:00,9.22,9.22,9.21,9.21,7,9.211,6
2024-07-12 00:00:00,9.17,9.24,9.09,9.2,32,9.19,17
2024-07-15 00:00:00,9.28,9.36,9.27,9.27,17,9.337,12
2024-07-16 00:00:00,9.27,9.36,9.25,9.25,36,9.35,5
2024-07-17 00:00:00,9.16,9.45,9.16,9.44,114,9.393,67
2024-07-18 00:00:00,9.46,9.5,9.35,9.5,268,9.49,110
2024-07-19 00:00:00,9.48,9.53,9.45,9.53,38,9.515,25
