date,open,high,low,close,volume,average,barCount
2025-02-19 07:00:00,5.03,5.03,5.03,5.03,2,5.03,1
2025-02-19 08:00:00,5.03,5.03,5.03,5.03,0,5.03,0
2025-02-19 09:00:00,4.99,5.04,4.94,5.02,651,4.983,376
2025-02-19 10:00:00,5.02,5.1,5.01,5.06,954,5.062,451
2025-02-19 11:00:00,5.06,5.15,5.05,5.13,1710,5.102,480
2025-02-19 12:00:00,5.13,5.16,5.09,5.1,858,5.129,341
2025-02-19 13:00:00,5.09,5.12,5.06,5.08,772,5.093,291
2025-02-19 14:00:00,5.08,5.24,5.07,5.21,2289,5.191,840
2025-02-19 15:00:00,5.21,5.27,5.18,5.22,3353,5.226,1160
2025-02-19 16:00:00,5.22,5.22,5.22,5.22,1071,5.22,2
2025-02-19 17:00:00,5.22,5.22,5.22,5.22,0,5.22,0
2025-02-19 18:00:00,5.22,5.22,5.22,5.22,0,5.22,0
2025-02-19 19:00:00,5.22,5.22,5.22,5.22,0,5.22,0
2025-02-20 09:00:00,5.19,5.23,5.12,5.21,312,5.188,149
2025-02-20 10:00:00,5.2,5.2,5.01,5.07,2226,5.061,647
2025-02-20 11:00:00,5.06,5.07,4.97,5.0,2398,5.017,644
2025-02-20 12:00:00,5.0,5.03,4.98,4.98,733,5.004,282
2025-02-20 13:00:00,4.99,5.02,4.9,4.92,1902,4.962,705
2025-02-20 14:00:00,4.91,5.03,4.9,4.95,2730,4.978,1390
2025-02-20 15:00:00,4.96,5.04,4.87,4.92,6226,4.937,2752
2025-02-20 16:00:00,4.92,4.92,4.92,4.92,2098,4.92,2
2025-02-20 17:00:00,4.92,4.92,4.92,4.92,0,4.92,0
2025-02-20 18:00:00,4.92,4.92,4.92,4.92,0,4.92,0
2025-02-20 19:00:00,4.92,4.92,4.92,4.92,0,4.92,0
2025-02-21 07:00:00,5.0,5.0,5.0,5.0,7,5.0,1
2025-02-21 08:00:00,5.0,5.0,5.0,5.0,0,5.0,0
2025-02-21 09:00:00,5.01,5.02,4.95,4.96,479,4.99,189
2025-02-21 10:00:00,4.95,4.95,4.81,4.83,1018,4.866,426
2025-02-21 11:00:00,4.83,4.87,4.81,4.87,1340,4.838,459
