date,open,high,low,close,volume,average,barCount
2023-12-20,35.53,35.84,34.14,34.29,99819,34.962,47040
2023-12-21,34.71,35.35,34.59,35.11,84775,34.948,45304
2023-12-22,35.2,36.26,35.2,35.72,91191,35.839,46994
2023-12-26,35.82,35.93,35.43,35.55,43975,35.578,20759
2023-12-27,35.63,35.93,35.26,35.79,61687,35.587,33629
2023-12-28,35.69,36.32,35.62,35.87,50858,36.015,21131
2023-12-29,35.74,35.87,35.17,35.25,44793,35.425,20549
2024-01-02,34.62,34.75,33.25,33.58,93740,33.804,42692
2024-01-03,32.85,33.46,32.04,32.21,103060,32.467,49184
2024-01-04,32.01,33.59,31.98,32.88,88449,33.113,45413
2024-01-05,32.66,33.39,32.54,33.18,51324,33.16,24697
2024-01-08,33.5,33.9,33.05,33.61,90219,33.448,43334
2024-01-09,33.75,34.83,33.66,34.24,92047,34.404,46536
2024-01-10,34.19,34.28,33.38,33.57,64906,33.711,32497
2024-01-11,33.37,33.58,32.39,33.43,60024,33.051,33166
2024-01-12,33.38,33.73,32.63,32.95,59960,33.004,32599
2024-01-16,32.58,33.9,32.56,33.66,58333,33.492,34097
2024-01-17,33.58,35.53,33.44,35.07,173115,34.755,79548
2024-01-18,37.2,37.87,36.44,37.54,209083,37.131,97967
2024-01-19,37.89,38.15,36.75,37.62,113508,37.43,53354
2024-01-22,38.05,38.47,37.42,37.94,77643,37.913,35280
2024-01-23,38.09,38.8,37.64,38.29,73019,38.203,35526
2024-01-24,38.85,40.0,38.09,38.46,171738,39.137,73331
2024-01-25,38.74,38.95,38.18,38.69,64855,38.593,32047
2024-01-26,38.84,38.94,38.18,38.48,57145,38.591,28107
2024-01-29,38.7,40.19,37.73,39.91,140752,39.242,60375
2024-01-30,40.0,40.54,39.63,40.29,98072,40.125,45773
2024-01-31,39.81,40.43,39.04,39.05,85907,39.739,38893
2024-02-01,39.43,40.66,38.72,40.65,85429,39.789,37108
2024-02-02,40.13,42.02,40.07,41.59,95835,41.252,40631
2024-02-05,41.48,42.08,41.02,41.95,82510,41.758,40847
