date,open,high,low,close,volume,average,barCount
2024-05-28 00:00:00,6.0,6.04,5.646,5.718,2360,5.8381,6954
2024-05-29 00:00:00,5.985,5.988,5.419,5.632,1633,5.6321,4164
2024-05-30 00:00:00,5.7,5.8,5.632,5.762,1370,5.7344,4388
2024-05-31 00:00:00,5.776,5.814,5.5,5.637,1299,5.6289,3538
2024-06-03 00:00:00,5.628,5.979,5.5,5.811,1382,5.709,3312
2024-06-04 00:00:00,5.781,5.898,5.401,5.491,1568,5.4999,5441
2024-06-05 00:00:00,5.422,5.8,5.422,5.776,1639,5.6205,3414
2024-06-06 00:00:00,5.402,5.8,5.402,5.7,1438,5.6451,3962
2024-06-07 00:00:00,5.6,5.732,4.8,4.9,4090,5.2222,6507
2024-06-10 00:00:00,4.96,5.097,4.775,4.913,5372,4.8864,9329
2024-06-11 00:00:00,5.25,5.25,4.45,4.46,4318,4.6031,2619
2024-06-12 00:00:00,4.33,4.45,4.02,4.23,5805,4.19638,2449
2024-06-13 00:00:00,4.34,4.34,3.8,3.92,6755,3.89534,2315
2024-06-14 00:00:00,3.9,4.02,3.76,3.84,3018,3.8751,1085
2024-06-17 00:00:00,3.76,4.11,3.63,3.66,5521,3.8382,2004
2024-06-18 00:00:00,3.65,6.0,3.62,4.97,33571,5.12551,12002
2024-06-20 00:00:00,4.85,4.95,4.11,4.16,8861,4.39617,3237
2024-06-21 00:00:00,4.23,4.25,4.01,4.13,3759,4.15798,1317
2024-06-24 00:00:00,4.15,4.39,4.1,4.26,5143,4.28292,2371
2024-06-25 00:00:00,4.17,4.28,4.1,4.22,3714,4.2023,1528
2024-06-26 00:00:00,4.17,4.39,4.04,4.08,3320,4.18903,1497
2024-06-27 00:00:00,4.12,4.29,4.01,4.29,2727,4.18163,1245
2024-06-28 00:00:00,4.27,4.38,4.13,4.13,5395,4.22594,2257
2024-07-01 00:00:00,4.06,4.19,3.7,4.07,7352,3.96893,2644
2024-07-02 00:00:00,4.07,4.56,3.91,4.32,12465,4.3229,3424
2024-07-03 00:00:00,4.45,5.35,4.45,5.24,42022,4.89235,11648
2024-07-05 00:00:00,4.94,5.12,4.75,5.03,11941,4.96619,3220
2024-07-08 00:00:00,4.85,5.19,4.84,5.0,11108,5.02577,3804
2024-07-09 00:00:00,5.1,5.1,4.83,5.05,8071,4.93855,3197
2024-07-10 00:00:00,5.0,5.35,4.93,5.33,9687,5.15489,3584
2024-07-11 00:00:00,5.19,5.33,4.9,4.98,9832,5.06108,3894
2024-07-12 00:00:00,5.0,5.07,4.96,4.99,4679,4.99,1808
2024-07-15 00:00:00,5.01,5.08,4.88,5.02,4521,4.97712,1928
2024-07-16 00:00:00,5.0,5.21,4.94,5.19,6126,5.09343,2304
2024-07-17 00:00:00,5.11,5.22,4.96,5.0,5720,5.06792,1856
2024-07-18 00:00:00,5.0,5.06,4.94,4.98,3308,4.9879,1520
2024-07-19 00:00:00,4.99,5.42,4.94,5.36,8743,5.22117,3206
2024-07-22 00:00:00,5.27,5.32,5.04,5.15,3593,5.149,1213
2024-07-23 00:00:00,5.06,5.35,5.05,5.15,2918,5.25053,929
2024-07-24 00:00:00,5.08,5.18,4.88,4.89,5180,5.01461,1190
2024-07-25 00:00:00,4.86,4.96,4.77,4.77,2878,4.88118,917
2024-07-26 00:00:00,4.86,4.94,4.82,4.85,2051,4.87283,752
2024-07-29 00:00:00,4.86,4.97,4.84,4.88,1775,4.88834,799
2024-07-30 00:00:00,4.88,4.94,4.87,4.91,1757,4.91181,1054
2024-07-31 00:00:00,4.75,4.79,4.58,4.71,5558,4.67832,2419
2024-08-01 00:00:00,4.75,4.81,4.7,4.72,2409,4.72141,1123
2024-08-02 00:00:00,4.65,4.68,4.32,4.39,5411,4.47963,2208
2024-08-05 00:00:00,4.15,4.33,4.05,4.29,2846,4.22979,1096
2024-08-06 00:00:00,4.32,4.5,4.29,4.36,2030,4.40818,797
2024-08-07 00:00:00,4.4,4.47,4.29,4.4,3104,4.3915,1317
2024-08-08 00:00:00,4.38,4.48,4.38,4.38,7217,4.40782,1121
2024-08-09 00:00:00,4.38,4.4,4.16,4.22,5838,4.28764,875
2024-08-12 00:00:00,4.17,4.21,4.09,4.11,1635,4.14772,663
2024-08-13 00:00:00,4.16,4.23,4.12,4.14,1442,4.16605,659
2024-08-14 00:00:00,4.14,4.18,4.05,4.11,1774,4.09247,722
2024-08-15 00:00:00,4.15,4.2,4.08,4.09,2057,4.1408,813
2024-08-16 00:00:00,4.09,4.16,4.05,4.06,2106,4.08489,638
2024-08-19 00:00:00,4.06,4.17,4.06,4.12,1150,4.12493,372
2024-08-20 00:00:00,4.1,4.22,4.09,4.19,1349,4.15969,416
2024-08-21 00:00:00,4.22,4.22,4.14,4.15,1011,4.16196,545
2024-08-22 00:00:00,4.16,4.25,4.15,4.25,999,4.17704,346
2024-08-23 00:00:00,4.22,4.44,4.18,4.34,3317,4.36085,1109
2024-08-26 00:00:00,4.44,4.56,4.42,4.5,2106,4.49728,1001
2024-08-27 00:00:00,4.45,4.48,4.3,4.33,1653,4.34533,680
2024-08-28 00:00:00,4.3,4.33,4.25,4.25,1111,4.27766,404
2024-08-29 00:00:00,4.28,4.31,4.25,4.27,2295,4.28236,976
2024-08-30 00:00:00,4.27,4.39,4.27,4.39,938,4.32925,565
2024-09-03 00:00:00,4.34,4.41,4.27,4.27,3046,4.32078,1420
2024-09-04 00:00:00,4.25,4.33,4.25,4.27,1578,4.28573,882
2024-09-05 00:00:00,4.27,4.38,4.27,4.38,1233,4.32576,473
2024-09-06 00:00:00,4.36,4.37,4.3,4.34,895,4.33544,431
2024-09-09 00:00:00,4.36,4.41,4.33,4.39,860,4.37586,349
2024-09-10 00:00:00,4.4,4.46,4.36,4.46,815,4.41891,323
