date,open,high,low,close,volume,average,barCount
2024-05-24,21.61,22.55,20.46,22.55,767,22.114,573
2024-05-28,22.66,22.92,21.64,21.92,718,22.019,581
2024-05-29,21.25,22.17,20.93,22.16,263,21.513,217
2024-05-30,22.07,22.16,20.6,20.7,1118,21.541,500
2024-05-31,20.71,21.92,20.57,21.61,395,21.389,277
2024-06-03,22.25,22.8,21.15,21.89,1148,21.83,752
2024-06-04,21.9,22.29,21.0,21.74,1017,21.647,719
2024-06-05,21.76,22.57,21.28,22.55,851,21.919,438
2024-06-06,22.39,23.08,20.73,20.93,1234,21.88,648
2024-06-07,20.4,21.08,19.84,20.13,754,20.262,507
2024-06-10,20.12,22.33,20.12,21.46,2413,21.534,1356
2024-06-11,22.03,24.39,21.85,23.96,1097,23.554,791
2024-06-12,24.64,26.4,24.15,25.16,1235,25.11,597
2024-06-13,25.16,27.1,24.95,26.96,1309,26.023,631
2024-06-14,26.96,27.33,25.17,26.0,1844,25.887,993
2024-06-17,25.63,25.97,24.52,25.26,3403,25.36,1143
2024-06-18,25.27,25.81,24.16,24.88,4458,24.848,1116
2024-06-20,24.55,26.44,24.4,25.86,1722,25.832,1285
2024-06-21,26.0,26.5,24.37,25.53,1133,25.431,792
2024-06-24,25.99,26.19,24.5,25.52,1670,25.196,1436
2024-06-25,25.35,25.98,24.24,24.24,1075,25.256,899
2024-06-26,23.86,23.86,21.41,23.69,1821,22.647,1352
2024-06-27,24.17,25.86,23.82,24.92,1295,24.842,1105
2024-06-28,25.01,26.18,23.91,25.88,2698,25.3,2119
2024-07-01,25.84,28.9,25.28,28.87,1557,27.918,1216
2024-07-02,28.67,29.3,26.08,26.27,1360,27.481,1175
2024-07-03,26.83,26.91,25.39,26.45,534,26.348,429
2024-07-05,26.06,26.34,24.18,25.22,1453,25.044,1059
2024-07-08,25.49,28.88,25.49,28.23,2396,27.971,757
2024-07-09,28.07,28.94,28.07,28.61,1405,28.574,697
2024-07-10,28.6,29.76,28.45,28.64,1524,29.03,702
2024-07-11,28.9,29.88,28.64,28.97,1213,29.153,700
2024-07-12,29.41,29.86,28.39,28.95,975,29.078,584
2024-07-15,29.44,29.44,28.76,29.0,1145,29.078,863
2024-07-16,29.35,29.5,28.44,28.5,635,28.843,398
2024-07-17,27.69,28.75,26.6,27.68,1862,27.532,1171
2024-07-18,27.86,28.53,25.95,26.54,1026,26.948,750
2024-07-19,26.8,27.32,25.76,26.56,580,26.542,356
2024-07-22,26.61,28.14,25.82,27.96,726,27.224,448
2024-07-23,27.96,28.72,27.32,27.98,845,27.968,647
2024-07-24,27.75,28.56,27.37,27.83,501,27.884,331
2024-07-25,27.71,28.51,27.1,28.09,526,28.067,357
2024-07-26,29.81,31.61,28.88,28.97,1575,29.43,730
2024-07-29,29.14,29.5,28.16,28.86,5710,28.888,731
2024-07-30,28.8,30.01,28.24,29.11,1279,29.174,596
2024-07-31,29.17,30.22,28.97,29.78,2409,29.669,902
2024-08-01,29.97,30.37,27.44,28.01,1954,29.06,462
2024-08-02,26.58,28.14,25.13,27.49,1100,26.736,522
2024-08-05,25.29,28.51,25.05,28.36,2310,27.483,904
2024-08-06,28.32,29.7,27.49,28.23,2024,28.336,555
2024-08-07,28.48,28.48,25.42,25.8,665,26.875,413
2024-08-08,25.88,27.07,25.42,26.74,525,26.29,304
2024-08-09,27.0,29.09,25.6,27.5,923,27.626,528
2024-08-12,27.53,27.57,25.92,26.47,638,26.827,445
2024-08-13,26.6,26.76,25.67,26.47,1209,26.158,591
2024-08-14,26.76,29.02,26.46,28.5,758,27.904,468
2024-08-15,29.36,30.04,28.94,29.81,516,29.769,359
2024-08-16,29.48,29.6,28.3,28.75,742,28.951,380
2024-08-19,28.72,29.2,28.07,28.66,443,28.504,305
2024-08-20,28.73,29.63,28.05,28.98,1206,29.067,696
2024-08-21,29.0,29.0,27.72,28.53,961,28.545,543
2024-08-22,28.6,28.87,26.89,27.62,439,27.982,348
2024-08-23,27.99,28.9,27.84,28.3,543,28.249,434
2024-08-26,28.76,30.06,27.4,29.78,2536,29.163,1254
2024-08-27,29.72,29.72,27.9,28.63,1341,28.363,764
2024-08-28,28.47,29.16,28.09,28.39,597,28.65,426
2024-08-29,28.78,29.76,28.65,28.77,647,29.091,492
2024-08-30,29.17,30.22,28.04,28.83,895,28.751,579
2024-09-03,28.58,29.15,26.79,27.65,808,27.659,442
2024-09-04,27.66,28.51,27.26,27.85,531,27.896,469
2024-09-05,28.07,29.06,27.63,27.98,586,28.127,440
2024-09-06,27.81,27.81,26.37,26.62,759,26.879,599
2024-09-09,26.79,28.68,26.41,27.85,636,28.063,516
2024-09-10,27.89,28.59,27.58,27.8,438,28.018,348
2024-09-11,27.63,28.11,27.09,27.57,329,27.56,235
2024-09-12,27.86,27.96,27.19,27.81,345,27.581,286
2024-09-13,28.24,29.18,27.99,28.96,743,28.602,558
2024-09-16,29.37,29.58,26.4,26.42,586,27.356,447
2024-09-17,26.73,26.81,25.2,25.99,886,25.99,726
2024-09-18,25.99,27.09,25.68,26.0,769,26.109,557
2024-09-19,27.03,28.28,26.58,28.1,1359,27.807,440
2024-09-20,27.91,29.18,27.68,28.0,2701,28.129,849
2024-09-23,28.18,28.65,26.0,26.17,783,26.482,491
2024-09-24,26.59,28.04,26.19,27.85,988,27.516,584
2024-09-25,28.07,28.81,26.51,26.69,1894,28.27,755
2024-09-26,26.96,27.45,26.61,27.02,526,27.002,361
2024-09-27,27.36,27.72,26.67,27.24,562,27.232,345
2024-09-30,27.0,27.73,26.99,27.38,1033,27.384,434
2024-10-01,27.18,27.96,26.16,27.88,1646,26.959,1124
2024-10-02,27.18,28.88,27.18,27.98,1655,28.116,1125
2024-10-03,28.09,28.1,26.98,27.46,1458,27.714,947
2024-10-04,28.15,28.5,27.72,28.0,3552,28.065,2147
2024-10-07,28.29,28.29,25.63,26.48,1096,26.555,753
2024-10-08,26.38,28.87,26.22,27.99,3346,28.095,1904
2024-10-09,28.05,28.34,27.4,28.1,1630,27.932,842
2024-10-10,27.88,28.62,27.54,28.32,1392,28.132,470
2024-10-11,28.31,28.97,27.41,27.5,2436,27.757,1366
2024-10-14,27.58,27.94,24.93,25.43,1950,25.96,1036
2024-10-15,25.41,28.06,24.96,27.54,984,26.802,526
