date,open,high,low,close,volume,average,barCount
2024-05-23 00:00:00,67.1,67.1,65.7,66.55,504,66.304,446
2024-05-24 00:00:00,66.71,67.78,66.71,66.85,481,67.204,431
2024-05-28 00:00:00,67.19,67.34,66.94,67.12,241,67.138,208
2024-05-29 00:00:00,66.29,66.75,65.09,65.2,555,65.768,503
2024-05-30 00:00:00,64.97,67.32,64.95,66.36,980,66.484,805
2024-05-31 00:00:00,62.5,67.57,60.81,62.5,2476,63.503,1800
2024-06-03 00:00:00,63.93,64.71,62.56,64.14,723,63.924,607
2024-06-04 00:00:00,63.49,64.29,60.76,61.62,885,61.811,752
2024-06-05 00:00:00,62.13,63.19,61.56,63.13,803,62.612,705
2024-06-06 00:00:00,62.77,63.77,62.63,63.35,536,63.286,465
2024-06-07 00:00:00,62.56,63.43,62.23,62.57,479,62.786,460
2024-06-10 00:00:00,62.18,62.18,60.6,61.22,676,61.102,629
2024-06-11 00:00:00,61.05,61.23,60.32,60.86,345,60.749,314
2024-06-12 00:00:00,61.62,63.47,61.62,62.54,743,62.859,619
2024-06-13 00:00:00,61.97,62.57,61.71,62.37,365,62.17,291
2024-06-14 00:00:00,61.7,62.04,61.25,61.67,462,61.756,426
2024-06-17 00:00:00,61.52,63.6,61.52,63.2,387,63.046,346
2024-06-18 00:00:00,63.08,63.75,62.0,62.51,930,62.414,580
2024-06-20 00:00:00,62.09,63.99,61.99,63.76,266,63.369,225
2024-06-21 00:00:00,63.51,64.95,63.31,63.99,484,64.098,433
2024-06-24 00:00:00,64.34,65.86,64.0,65.19,276,65.258,257
2024-06-25 00:00:00,64.92,65.28,62.63,62.93,574,63.694,501
2024-06-26 00:00:00,62.81,63.21,62.43,62.62,357,62.795,315
2024-06-27 00:00:00,62.97,63.44,62.05,63.36,477,62.994,434
2024-06-28 00:00:00,63.75,64.71,63.61,64.03,174,63.964,155
2024-07-01 00:00:00,64.09,64.73,63.0,63.22,97,63.246,87
2024-07-02 00:00:00,63.07,64.32,63.07,64.17,289,63.847,250
2024-07-03 00:00:00,64.13,64.73,63.53,64.52,158,64.461,135
2024-07-05 00:00:00,64.55,64.92,62.8,63.18,478,63.52,425
2024-07-08 00:00:00,63.16,63.65,61.83,62.03,257,62.443,229
2024-07-09 00:00:00,61.84,61.98,59.96,61.43,586,61.127,542
2024-07-10 00:00:00,61.46,63.9,61.46,63.68,325,63.096,301
2024-07-11 00:00:00,64.33,67.25,63.98,67.15,414,66.34,348
2024-07-12 00:00:00,67.2,69.86,67.2,69.32,452,68.979,388
2024-07-15 00:00:00,69.79,69.86,68.58,68.75,352,69.385,333
2024-07-16 00:00:00,68.73,71.1,68.64,70.89,383,70.307,327
2024-07-17 00:00:00,70.18,71.31,69.87,70.68,361,70.665,327
2024-07-18 00:00:00,70.21,71.69,69.89,70.6,376,70.806,337
2024-07-19 00:00:00,70.3,70.76,69.01,69.33,551,69.66,463
2024-07-22 00:00:00,69.71,70.76,68.47,70.45,197,69.591,172
2024-07-23 00:00:00,69.29,69.29,65.2,68.42,1651,67.232,1330
2024-07-24 00:00:00,68.47,69.92,66.23,66.49,373,67.349,352
2024-07-25 00:00:00,66.49,69.0,65.79,68.34,549,68.137,486
2024-07-26 00:00:00,69.03,72.25,68.88,72.23,433,70.384,323
2024-07-29 00:00:00,72.44,72.46,69.71,70.76,637,70.697,584
2024-07-30 00:00:00,70.66,72.32,70.66,72.02,351,71.791,307
2024-07-31 00:00:00,72.94,74.0,71.81,72.42,203,72.914,191
2024-08-01 00:00:00,71.97,72.45,69.51,69.72,571,70.164,305
2024-08-02 00:00:00,68.32,69.45,67.77,69.34,577,68.925,451
2024-08-05 00:00:00,65.4,68.23,64.54,68.13,329,67.308,247
2024-08-06 00:00:00,68.21,69.08,67.26,67.84,1552,68.107,958
2024-08-07 00:00:00,68.65,69.51,65.7,66.1,744,66.803,649
2024-08-08 00:00:00,67.09,67.89,66.42,67.4,668,66.935,483
2024-08-09 00:00:00,67.32,67.57,66.11,66.29,204,66.763,187
2024-08-12 00:00:00,66.23,66.9,65.18,65.42,179,65.695,164
2024-08-13 00:00:00,66.17,68.13,65.97,67.71,173,67.418,145
2024-08-14 00:00:00,67.42,68.25,66.84,66.99,513,67.596,473
2024-08-15 00:00:00,68.37,69.58,67.56,68.55,313,68.78,290
2024-08-16 00:00:00,68.12,69.42,68.12,69.05,139,68.901,117
2024-08-19 00:00:00,69.52,69.71,68.57,68.82,204,68.964,150
2024-08-20 00:00:00,69.02,69.17,68.02,69.07,524,68.63,421
2024-08-21 00:00:00,67.99,68.59,67.14,68.28,709,68.115,528
2024-08-22 00:00:00,68.73,68.73,67.17,67.41,519,67.635,375
2024-08-23 00:00:00,67.52,72.52,67.52,71.58,817,71.513,570
2024-08-26 00:00:00,71.67,72.84,71.48,71.7,485,71.883,453
2024-08-27 00:00:00,70.95,71.16,70.39,70.76,208,70.794,189
2024-08-28 00:00:00,70.51,71.0,70.16,70.8,251,70.677,237
2024-08-29 00:00:00,70.88,72.33,70.82,71.17,518,71.443,464
2024-08-30 00:00:00,71.73,72.52,70.86,72.38,441,71.823,377
2024-09-03 00:00:00,72.21,72.21,69.41,69.54,327,70.196,283
2024-09-04 00:00:00,69.42,69.7,68.42,68.89,326,68.989,304
2024-09-05 00:00:00,69.04,69.31,65.97,66.08,725,67.308,666
2024-09-06 00:00:00,61.0,66.3,60.72,62.91,3081,63.347,2282
2024-09-09 00:00:00,62.51,62.67,58.59,58.67,2002,59.962,1610
2024-09-10 00:00:00,58.68,58.68,57.28,58.22,1229,58.015,1122
2024-09-11 00:00:00,58.09,61.34,58.06,60.98,736,60.084,656
2024-09-12 00:00:00,61.46,62.89,61.07,62.29,730,62.132,535
2024-09-13 00:00:00,63.26,64.81,62.05,62.63,699,63.025,579
2024-09-16 00:00:00,62.67,63.45,60.48,60.49,1167,61.49,961
2024-09-17 00:00:00,60.64,61.88,59.97,61.07,713,61.014,652
2024-09-18 00:00:00,61.01,62.38,60.74,60.93,537,61.488,477
2024-09-19 00:00:00,61.96,62.03,61.13,61.74,561,61.472,375
2024-09-20 00:00:00,61.82,61.82,60.6,61.52,386,61.298,320
2024-09-23 00:00:00,61.87,61.87,60.1,60.75,454,60.717,367
2024-09-24 00:00:00,60.94,61.42,60.27,60.55,448,60.69,400
2024-09-25 00:00:00,60.21,60.64,58.61,59.04,576,59.422,469
2024-09-26 00:00:00,59.76,61.26,59.45,60.48,519,60.535,450
2024-09-27 00:00:00,61.1,62.45,60.66,60.86,268,61.325,241
2024-09-30 00:00:00,60.89,61.16,59.07,59.54,523,59.553,480
2024-10-01 00:00:00,59.49,59.71,57.93,58.41,803,58.801,355
2024-10-02 00:00:00,58.01,58.85,57.97,58.03,460,58.338,318
2024-10-03 00:00:00,57.69,58.62,57.16,58.62,469,57.949,390
2024-10-04 00:00:00,59.23,59.43,58.47,59.31,390,58.988,318
2024-10-07 00:00:00,58.96,59.47,58.67,59.38,558,59.131,484
2024-10-08 00:00:00,59.25,59.34,58.5,58.53,479,58.765,386
2024-10-09 00:00:00,58.06,60.61,58.06,58.91,430,59.56,363
2024-10-10 00:00:00,58.6,59.23,57.84,58.14,661,58.551,515
2024-10-11 00:00:00,58.29,58.91,58.29,58.41,558,58.626,448
2024-10-14 00:00:00,58.14,58.79,57.86,58.54,242,58.199,196
2024-10-15 00:00:00,57.96,58.41,56.21,56.47,1233,56.856,1060
2024-10-16 00:00:00,56.96,57.82,56.95,57.06,365,57.247,278
2024-10-17 00:00:00,57.46,57.5,56.11,57.27,1006,56.965,715
2024-10-18 00:00:00,57.15,58.5,57.15,57.5,678,57.831,485
2024-10-21 00:00:00,57.36,57.5,55.67,55.75,447,56.299,397
2024-10-22 00:00:00,55.8,55.91,51.52,51.67,2364,52.734,1832
2024-10-23 00:00:00,51.6,51.6,49.92,51.17,1294,50.76,999
2024-10-24 00:00:00,51.08,51.54,50.15,51.0,945,50.687,738
2024-10-25 00:00:00,51.02,52.22,50.42,50.68,383,51.209,314
2024-10-28 00:00:00,51.12,51.72,50.63,51.71,347,51.354,306
2024-10-29 00:00:00,51.35,51.79,50.52,51.19,449,51.071,350
2024-10-30 00:00:00,50.71,51.56,50.54,51.27,847,51.184,673
2024-10-31 00:00:00,51.38,51.38,49.21,49.27,841,49.887,604
2024-11-01 00:00:00,49.73,50.33,49.0,49.83,1008,49.903,661
2024-11-04 00:00:00,49.93,50.97,49.93,50.45,731,50.513,521
2024-11-05 00:00:00,50.27,51.14,50.15,50.87,512,50.684,339
2024-11-06 00:00:00,52.56,52.56,50.15,50.31,1684,50.476,822
2024-11-07 00:00:00,50.64,50.71,48.4,48.98,1313,49.23,954
2024-11-08 00:00:00,48.71,49.56,47.98,49.41,396,49.042,333
2024-11-11 00:00:00,49.62,49.77,48.68,49.05,853,49.171,423
2024-11-12 00:00:00,48.75,49.15,47.91,48.13,540,48.401,446
2024-11-13 00:00:00,48.22,48.47,47.35,47.73,607,47.734,496
2024-11-14 00:00:00,47.9,49.22,47.52,47.71,686,48.181,572
2024-11-15 00:00:00,47.89,48.37,47.38,48.09,503,47.723,429
2024-11-18 00:00:00,48.08,48.62,47.8,48.19,609,48.107,425
2024-11-19 00:00:00,47.99,48.75,47.73,48.65,803,48.195,594
2024-11-20 00:00:00,48.39,48.39,47.07,47.78,542,47.505,440
2024-11-21 00:00:00,47.78,48.37,46.84,48.29,511,47.69,428
2024-11-22 00:00:00,48.32,49.08,47.98,48.51,688,48.444,555
2024-11-25 00:00:00,49.07,51.72,48.7,50.84,1027,50.632,799
2024-11-26 00:00:00,49.66,50.28,46.94,47.56,1470,47.759,1072
2024-11-27 00:00:00,47.81,48.99,47.53,48.38,1458,48.556,1005
2024-11-29 00:00:00,48.36,48.94,48.28,48.73,354,48.694,292
2024-12-02 00:00:00,48.73,49.84,48.59,49.6,800,49.499,519
2024-12-03 00:00:00,49.61,50.08,49.07,49.42,1089,49.502,615
2024-12-04 00:00:00,49.42,49.82,47.58,48.45,795,48.418,570
2024-12-05 00:00:00,48.48,49.35,48.16,48.52,1273,48.536,1076
2024-12-06 00:00:00,52.76,55.5,51.0,51.42,2257,52.553,1502
2024-12-09 00:00:00,51.2,54.79,51.19,53.39,1255,53.418,979
2024-12-10 00:00:00,52.94,53.45,51.82,52.38,783,52.419,678
2024-12-11 00:00:00,52.61,53.04,51.98,52.75,738,52.601,581
2024-12-12 00:00:00,52.19,52.36,50.64,51.52,706,51.333,510
2024-12-13 00:00:00,51.1,51.76,50.87,51.71,635,51.378,524
