date,open,high,low,close,volume,average,barCount
2024-01-02,9.3,9.349,8.984,9.156,1124,9.0826,2540
2024-01-03,9.0,9.5,8.8,9.199,1053,9.1199,2823
2024-01-04,9.259,9.259,8.9,8.997,706,9.0011,2583
2024-01-05,8.944,9.4,8.82,9.148,852,9.0862,2625
2024-01-08,9.1,9.239,8.8,9.115,491,8.9896,1365
2024-01-09,8.9,9.05,8.6,8.685,579,8.7019,1804
2024-01-10,8.8,9.014,8.4,8.408,494,8.5614,1535
2024-01-11,8.404,9.043,8.404,8.897,412,8.7253,1092
2024-01-12,8.901,9.448,8.665,8.675,750,9.1161,2369
2024-01-16,8.58,8.58,7.95,8.084,651,8.1671,1338
2024-01-17,7.881,8.05,7.7,7.956,419,7.8504,1180
2024-01-18,7.9,8.398,7.8,8.174,284,8.1705,970
2024-01-19,8.153,8.167,7.93,8.01,268,8.0774,649
2024-01-22,8.0,8.0,7.52,7.602,449,7.6904,973
2024-01-23,7.817,8.4,7.817,8.189,781,8.2171,1659
2024-01-24,8.5,8.89,8.3,8.754,1112,8.7109,1775
2024-01-25,8.877,9.1,8.793,8.9,710,8.9784,1768
2024-01-26,8.992,9.0,8.4,8.451,318,8.7123,612
2024-01-29,8.5,8.5,7.91,8.05,682,8.0507,1111
2024-01-30,7.9,8.201,7.805,7.806,374,7.9664,649
2024-01-31,7.791,8.27,7.7,7.731,280,8.0064,616
2024-02-01,7.742,8.299,7.7,7.702,216,7.864,386
2024-02-02,7.7,7.76,7.4,7.45,495,7.5069,1095
2024-02-05,7.439,7.849,7.204,7.299,469,7.4327,868
2024-02-06,7.8,7.8,7.508,7.6,555,7.5799,1046
2024-02-07,7.6,7.795,7.28,7.38,319,7.4616,718
2024-02-08,7.679,7.699,7.077,7.213,498,7.3731,751
2024-02-09,7.177,7.302,7.11,7.195,475,7.2027,746
2024-02-12,7.4,7.6,7.355,7.5,346,7.4831,620
2024-02-13,7.5,7.588,7.2,7.227,235,7.3269,652
2024-02-14,7.67,7.67,7.268,7.502,1132,7.3584,1468
2024-02-15,7.3,8.2,7.288,7.971,1069,7.8266,1749
2024-02-16,7.89,8.3,7.801,7.96,673,8.0874,826
2024-02-20,7.8,7.821,7.19,7.3,1452,7.2931,4292
2024-02-21,7.45,7.648,7.3,7.4,430,7.411,1410
2024-02-22,7.4,7.848,7.302,7.56,437,7.5666,1194
2024-02-23,7.5,7.631,7.401,7.591,410,7.5552,1314
2024-02-26,7.5,7.73,7.5,7.645,263,7.586,840
2024-02-27,7.65,7.7,7.421,7.6,479,7.5905,915
2024-02-28,7.599,7.679,7.377,7.665,341,7.4737,961
2024-02-29,7.579,7.675,7.4,7.524,487,7.5226,1188
2024-03-01,7.478,7.75,7.4,7.512,1276,7.568,1842
2024-03-04,7.613,7.78,7.16,7.2,906,7.3345,1603
2024-03-05,7.3,7.381,7.1,7.1,625,7.1585,1796
2024-03-06,7.115,7.42,7.115,7.318,542,7.2964,1672
2024-03-07,7.344,7.35,7.1,7.28,634,7.2223,1457
2024-03-08,7.6,7.6,7.122,7.24,461,7.2183,1974
2024-03-11,7.5,7.799,7.32,7.6,1348,7.5615,2472
2024-03-12,7.63,8.163,7.6,7.962,984,7.9879,2236
