date,open,high,low,close,volume,average,barCount
2025-02-20 07:00:00,1.13,1.13,1.12,1.12,20,1.125,4
2025-02-20 08:00:00,1.13,1.13,1.1,1.1,26,1.12251,4
2025-02-20 09:00:00,1.09,1.1699,1.04,1.045,6700,1.05389,812
2025-02-20 10:00:00,1.045,1.055,1.01,1.03,41248,1.01389,771
2025-02-20 11:00:00,1.03,1.07,1.03,1.07,5583,1.05283,579
2025-02-20 12:00:00,1.065,1.075,1.035,1.04,4806,1.05088,661
2025-02-20 13:00:00,1.04,1.045,1.03,1.035,4461,1.03658,425
2025-02-20 14:00:00,1.04,1.05,1.02,1.035,8519,1.03399,965
2025-02-20 15:00:00,1.035,1.04,1.01,1.02,8837,1.02434,1956
2025-02-20 16:00:00,1.02,1.02,1.02,1.02,2481,1.02,1
2025-02-20 17:00:00,1.02,1.02,1.02,1.02,0,1.02,0
2025-02-20 18:00:00,1.06,1.06,1.02,1.02,2,1.04662,2
2025-02-20 19:00:00,1.05,1.06,1.05,1.05,16,1.05651,3
2025-02-21 07:00:00,1.07,1.07,1.07,1.07,2,1.07,2
2025-02-21 08:00:00,1.0599,1.0599,1.0599,1.0599,10,1.0599,1
2025-02-21 09:00:00,1.04,1.105,1.03,1.085,8113,1.04582,642
2025-02-21 10:00:00,1.09,1.16,1.075,1.11,37846,1.08273,925
2025-02-21 11:00:00,1.1092,1.13,1.05,1.075,2697,1.09225,568
2025-02-21 12:00:00,1.0795,1.1099,1.02,1.1056,110082,1.02695,641
2025-02-21 13:00:00,1.1,1.2,1.1,1.1896,7862,1.15002,986
2025-02-21 14:00:00,1.185,1.23,1.18,1.23,5543,1.20089,988
2025-02-21 15:00:00,1.225,1.2692,1.22,1.23,10100,1.24339,2165
2025-02-21 16:00:00,1.25,1.2661,1.21,1.24,2247,1.24899,11
2025-02-21 17:00:00,1.24,1.24,1.22,1.22,54,1.22755,10
2025-02-21 18:00:00,1.21,1.21,1.21,1.21,1,1.21,1
2025-02-21 19:00:00,1.21,1.21,1.21,1.21,4,1.21,1
2025-02-24 04:00:00,1.27,1.27,1.22,1.22,35,1.23451,5
2025-02-24 05:00:00,1.24,1.24,1.23,1.23,28,1.23508,2
2025-02-24 06:00:00,1.23,1.23,1.23,1.23,0,1.23,0
2025-02-24 07:00:00,1.28,1.29,1.28,1.29,7,1.28413,3
2025-02-24 08:00:00,1.2404,1.29,1.24,1.2693,92,1.27016,16
2025-02-24 09:00:00,1.27,1.27,1.19,1.2125,1615,1.22682,326
2025-02-24 10:00:00,1.215,1.245,1.17,1.185,2718,1.21305,538
2025-02-24 11:00:00,1.19,1.23,1.19,1.22,1817,1.21019,354
2025-02-24 12:00:00,1.215,1.26,1.21,1.235,2298,1.23967,739
2025-02-24 13:00:00,1.235,1.26,1.2,1.2,2891,1.23384,939
2025-02-24 14:00:00,1.2,1.22,1.2,1.215,1391,1.21076,498
2025-02-24 15:00:00,1.215,1.22,1.16,1.19,6165,1.1901,1272
2025-02-24 16:00:00,1.2,1.28,1.2,1.28,1658,1.20062,5
2025-02-24 17:00:00,1.25,1.25,1.2,1.21,219,1.20193,5
2025-02-24 18:00:00,1.21,1.21,1.21,1.21,0,1.21,0
2025-02-24 19:00:00,1.21,1.21,1.21,1.21,0,1.21,0
2025-02-25 05:00:00,1.17,1.17,1.17,1.17,14,1.17,1
2025-02-25 06:00:00,1.165,1.17,1.165,1.17,10,1.16803,2
2025-02-25 07:00:00,1.17,1.28,1.17,1.28,13,1.25017,2
2025-02-25 08:00:00,1.22,1.22,1.22,1.22,3,1.22,1
2025-02-25 09:00:00,1.22,1.23,1.175,1.225,1448,1.1994,524
2025-02-25 10:00:00,1.22,1.22,1.155,1.165,1831,1.17926,622
2025-02-25 11:00:00,1.16,1.165,1.15,1.15,528,1.15736,281
2025-02-25 12:00:00,1.16,1.16,1.14,1.151,1325,1.14936,350
2025-02-25 13:00:00,1.16,1.19,1.15,1.185,1346,1.1689,373
2025-02-25 14:00:00,1.19,1.22,1.17,1.195,2133,1.19528,563
2025-02-25 15:00:00,1.195,1.24,1.18,1.195,6063,1.21249,1534
2025-02-25 16:00:00,1.19,1.19,1.19,1.19,1469,1.19,2
2025-02-25 17:00:00,1.19,1.19,1.19,1.19,0,1.19,0
2025-02-25 18:00:00,1.19,1.19,1.19,1.19,0,1.19,0
2025-02-25 19:00:00,1.2399,1.2399,1.2399,1.2399,1,1.2399,1
2025-02-26 05:00:00,1.27,1.27,1.27,1.27,10,1.27,3
2025-02-26 06:00:00,1.27,1.27,1.27,1.27,0,1.27,0
2025-02-26 07:00:00,1.27,1.27,1.27,1.27,0,1.27,0
2025-02-26 08:00:00,1.3159,1.3159,1.29,1.29,2,1.30295,2
2025-02-26 09:00:00,1.22,1.225,1.185,1.19,835,1.20978,183
2025-02-26 10:00:00,1.185,1.21,1.15,1.175,4430,1.18193,904
2025-02-26 11:00:00,1.175,1.18,1.141,1.145,1335,1.16035,427
2025-02-26 12:00:00,1.145,1.1554,1.13,1.13,1917,1.14457,425
2025-02-26 13:00:00,1.13,1.14,1.1103,1.125,691,1.12627,232
2025-02-26 14:00:00,1.125,1.16,1.12,1.15,1726,1.1429,657
2025-02-26 15:00:00,1.145,1.17,1.145,1.155,2196,1.15566,944
2025-02-26 16:00:00,1.16,1.16,1.16,1.16,1303,1.16,1
2025-02-26 17:00:00,1.16,1.16,1.16,1.16,0,1.16,0
2025-02-26 18:00:00,1.16,1.16,1.16,1.16,0,1.16,0
2025-02-26 19:00:00,1.17,1.17,1.16,1.16,10,1.162,2
2025-02-27 06:00:00,1.24,1.24,1.24,1.24,9,1.24,1
2025-02-27 07:00:00,1.17,1.23,1.17,1.23,28,1.19266,6
2025-02-27 08:00:00,1.2,1.25,1.2,1.2,37,1.21466,4
2025-02-27 09:00:00,1.24,1.24,1.16,1.185,793,1.19221,186
2025-02-27 10:00:00,1.1856,1.23,1.165,1.2,1601,1.19741,436
2025-02-27 11:00:00,1.2,1.23,1.2,1.2,1286,1.21621,255
2025-02-27 12:00:00,1.21,1.22,1.2,1.2,798,1.21273,267
2025-02-27 13:00:00,1.205,1.22,1.205,1.215,330,1.21375,228
2025-02-27 14:00:00,1.21,1.22,1.18,1.19,1591,1.19713,598
2025-02-27 15:00:00,1.19,1.2,1.16,1.175,2389,1.1828,866
2025-02-27 16:00:00,1.18,1.2,1.18,1.2,1187,1.18008,2
2025-02-27 17:00:00,1.2,1.2,1.2,1.2,100,1.2,1
2025-02-27 18:00:00,1.2,1.2,1.2,1.2,0,1.2,0
2025-02-27 19:00:00,1.226,1.226,1.226,1.226,2,1.226,1
2025-02-28 08:00:00,1.15,1.2,1.15,1.2,3,1.16429,2
