date,open,high,low,close,volume,average,barCount
2024-05-28 00:00:00,1.14,1.2499,1.11,1.16,680,1.15786,168
2024-05-29 00:00:00,1.13,1.18,1.1,1.15,5305,1.11479,789
2024-05-30 00:00:00,1.17,1.2,1.07,1.09,4359,1.10992,754
2024-05-31 00:00:00,1.1106,1.3,1.09,1.2,3847,1.17753,941
2024-06-03 00:00:00,1.19,1.29,1.16,1.18,2174,1.20461,406
2024-06-04 00:00:00,1.2,1.21,1.08,1.1,5726,1.12917,1299
2024-06-05 00:00:00,1.11,1.11,1.06,1.09,541,1.08201,111
2024-06-06 00:00:00,1.1,1.15,1.07,1.13,660,1.10011,240
2024-06-07 00:00:00,1.17,1.17,1.05,1.08,488,1.11131,137
2024-06-10 00:00:00,1.05,1.1,0.981,0.981,5873,1.0165,1235
2024-06-11 00:00:00,0.97,1.02,0.9621,1.0,2545,1.00021,208
2024-06-12 00:00:00,1.02,1.03,0.98,1.0,2140,1.00054,175
2024-06-13 00:00:00,1.0299,1.08,0.9999,1.08,2200,1.02518,250
2024-06-14 00:00:00,1.1,1.2499,1.08,1.18,2011,1.17839,367
2024-06-17 00:00:00,1.17,1.38,1.17,1.31,2415,1.29368,341
2024-06-18 00:00:00,1.33,1.3716,1.2347,1.31,1934,1.31001,151
2024-06-20 00:00:00,1.35,1.4,1.32,1.4,2108,1.35152,246
2024-06-21 00:00:00,1.39,1.56,1.3,1.37,3498,1.45527,692
2024-06-24 00:00:00,1.41,1.55,1.38,1.51,1989,1.49084,277
2024-06-25 00:00:00,1.49,1.71,1.484,1.66,2023,1.65541,235
2024-06-26 00:00:00,1.66,2.32,1.66,1.96,6911,2.0651,1566
2024-06-27 00:00:00,1.93,2.38,1.89,2.32,5834,2.20226,1361
2024-06-28 00:00:00,2.41,2.4799,2.0,2.06,4821,2.15811,1058
2024-07-01 00:00:00,2.13,2.1395,1.8104,1.94,1970,1.95578,374
2024-07-02 00:00:00,1.92,2.0,1.82,1.95,2282,1.90321,304
2024-07-03 00:00:00,1.94,1.96,1.8609,1.93,1006,1.93269,111
2024-07-05 00:00:00,1.95,1.985,1.88,1.94,1988,1.92078,123
2024-07-08 00:00:00,1.87,1.97,1.74,1.77,2186,1.78914,279
2024-07-09 00:00:00,1.76,1.83,1.76,1.78,1968,1.78793,139
2024-07-10 00:00:00,1.78,1.83,1.65,1.75,2066,1.71035,235
2024-07-11 00:00:00,1.75,1.77,1.71,1.76,1972,1.7439,155
2024-07-12 00:00:00,1.74,1.85,1.66,1.72,1982,1.72127,218
2024-07-15 00:00:00,1.7,1.81,1.7,1.77,1988,1.77865,567
2024-07-16 00:00:00,1.768,1.7726,1.71,1.74,1984,1.74644,308
2024-07-17 00:00:00,1.72,1.84,1.72,1.8,1999,1.78947,118
2024-07-18 00:00:00,1.82,1.82,1.682,1.7,2000,1.73383,134
2024-07-19 00:00:00,1.67,1.71,1.46,1.65,2007,1.60405,280
2024-07-22 00:00:00,1.63,1.68,1.55,1.66,1999,1.64488,157
2024-07-23 00:00:00,1.64,1.68,1.6,1.66,2006,1.65645,124
2024-07-24 00:00:00,1.66,1.7,1.635,1.69,1566,1.65486,104
2024-07-25 00:00:00,1.65,1.65,1.6,1.63,511,1.62936,46
2024-07-26 00:00:00,1.6191,1.66,1.6,1.63,550,1.61992,42
2024-07-29 00:00:00,1.61,1.7,1.61,1.7,515,1.66164,61
2024-07-30 00:00:00,1.665,1.666,1.6,1.62,516,1.61282,18
2024-07-31 00:00:00,1.6303,1.6492,1.56,1.6,545,1.61939,50
2024-08-01 00:00:00,1.64,1.6498,1.56,1.62,505,1.58491,71
2024-08-02 00:00:00,1.62,1.68,1.54,1.64,501,1.59124,107
2024-08-05 00:00:00,1.62,1.65,1.5602,1.57,521,1.58343,68
2024-08-06 00:00:00,1.58,1.7,1.58,1.7,529,1.64741,65
2024-08-07 00:00:00,1.77,1.77,1.57,1.575,513,1.62132,104
2024-08-08 00:00:00,1.56,1.65,1.5314,1.61,1042,1.62505,104
2024-08-09 00:00:00,1.6102,1.65,1.61,1.65,514,1.61677,45
2024-08-12 00:00:00,1.68,1.68,1.615,1.63,543,1.65329,63
2024-08-13 00:00:00,1.665,1.7,1.6599,1.7,553,1.68121,33
2024-08-14 00:00:00,1.68,1.68,1.53,1.53,596,1.63577,137
2024-08-15 00:00:00,1.6001,1.7381,1.6001,1.7,2023,1.70807,210
2024-08-16 00:00:00,1.73,1.83,1.715,1.77,642,1.74633,137
2024-08-19 00:00:00,1.81,1.81,1.69,1.77,557,1.7347,72
2024-08-20 00:00:00,1.74,1.75,1.72,1.72,497,1.74012,36
2024-08-21 00:00:00,1.6677,1.74,1.66,1.72,531,1.71651,24
2024-08-22 00:00:00,1.7,1.7,1.6501,1.66,502,1.68013,33
2024-08-23 00:00:00,1.66,1.68,1.66,1.66,520,1.66557,39
2024-08-26 00:00:00,1.68,1.77,1.67,1.77,710,1.72444,78
2024-08-27 00:00:00,1.75,1.8,1.71,1.75,533,1.76211,99
2024-08-28 00:00:00,1.625,1.83,1.625,1.73,746,1.78367,119
2024-08-29 00:00:00,1.84,1.9,1.78,1.78,438,1.86643,83
2024-08-30 00:00:00,1.78,1.85,1.78,1.8,752,1.81384,98
2024-09-03 00:00:00,1.84,1.85,1.53,1.62,561,1.724,178
2024-09-04 00:00:00,1.74,1.75,1.685,1.74,29,1.71799,17
2024-09-05 00:00:00,1.79,1.79,1.71,1.74,130,1.74435,21
2024-09-06 00:00:00,1.75,1.8,1.675,1.72,192,1.7519,33
2024-09-09 00:00:00,1.672,1.8,1.67,1.77,100,1.76334,43
2024-09-10 00:00:00,1.79,1.8,1.7701,1.8,64,1.78164,12
2024-09-11 00:00:00,1.76,1.7886,1.73,1.74,12,1.76485,6
2024-09-12 00:00:00,1.72,1.79,1.62,1.65,153,1.70636,110
2024-09-13 00:00:00,1.6635,1.78,1.6635,1.75,389,1.7398,88
2024-09-16 00:00:00,1.85,1.85,1.75,1.78,105,1.78656,52
2024-09-17 00:00:00,1.82,1.825,1.7202,1.74,315,1.78673,79
2024-09-18 00:00:00,1.775,1.8,1.75,1.77,817,1.79137,427
2024-09-19 00:00:00,1.78,1.8,1.7506,1.77,162,1.78535,100
2024-09-20 00:00:00,1.79,2.1,1.75,2.01,1946,1.86849,305
2024-09-23 00:00:00,1.97,1.97,1.72,1.72,468,1.83162,124
2024-09-24 00:00:00,1.825,1.92,1.73,1.73,528,1.83514,188
2024-09-25 00:00:00,1.72,1.8383,1.72,1.81,279,1.78653,73
2024-09-26 00:00:00,1.845,1.98,1.82,1.93,734,1.92745,134
2024-09-27 00:00:00,1.93,2.035,1.9,1.91,1048,1.98078,159
2024-09-30 00:00:00,1.93,1.97,1.8502,1.91,804,1.91434,148
2024-10-01 00:00:00,1.9,1.98,1.88,1.94,271,1.92344,71
2024-10-02 00:00:00,1.96,1.96,1.8,1.96,586,1.91004,145
2024-10-03 00:00:00,1.94,1.96,1.86,1.89,262,1.89776,64
2024-10-04 00:00:00,1.8889,1.92,1.8472,1.89,205,1.88012,70
2024-10-07 00:00:00,1.94,1.945,1.91,1.93,439,1.931,76
2024-10-08 00:00:00,1.91,1.94,1.8727,1.93,143,1.9118,51
2024-10-09 00:00:00,1.88,1.9,1.84,1.84,145,1.87767,20
2024-10-10 00:00:00,1.9163,1.9163,1.85,1.87,26,1.8596,8
2024-10-11 00:00:00,1.84,1.87,1.75,1.83,426,1.76608,37
2024-10-14 00:00:00,1.81,1.81,1.73,1.77,388,1.76771,148
2024-10-15 00:00:00,1.7339,1.77,1.7339,1.74,29,1.75503,22
2024-10-16 00:00:00,1.76,1.79,1.74,1.78,27,1.7584,15
2024-10-17 00:00:00,1.78,1.8,1.744,1.78,106,1.77785,31
2024-10-18 00:00:00,1.8,1.8494,1.7819,1.84,322,1.80929,21
2024-10-21 00:00:00,1.85,1.85,1.82,1.85,100,1.83983,39
2024-10-22 00:00:00,1.8516,1.87,1.85,1.865,341,1.85615,19
2024-10-23 00:00:00,1.84,1.85,1.71,1.745,687,1.81076,69
2024-10-24 00:00:00,1.81,1.81,1.78,1.79,64,1.78757,18
2024-10-25 00:00:00,1.79,1.8,1.77,1.8,162,1.78923,21
2024-10-28 00:00:00,1.7868,1.84,1.75,1.82,220,1.79273,40
2024-10-29 00:00:00,1.85,1.85,1.83,1.85,55,1.83475,9
2024-10-30 00:00:00,1.8507,1.8565,1.8,1.8,103,1.83531,19
2024-10-31 00:00:00,1.78,1.83,1.78,1.81,46,1.80878,22
2024-11-01 00:00:00,1.78,1.85,1.76,1.765,176,1.79055,25
