date,open,high,low,close,volume,average,barCount
2023-12-20,8.91,9.25,8.59,8.61,1567,9.002,686
2023-12-21,8.7,9.0,8.66,8.97,929,8.831,422
2023-12-22,9.0,9.45,9.0,9.37,1368,9.313,569
2023-12-26,9.35,9.36,9.09,9.23,815,9.225,425
2023-12-27,9.28,9.33,8.76,8.99,1733,8.952,876
2023-12-28,8.9,9.1,8.85,8.89,284,8.932,215
2023-12-29,8.85,9.01,8.5,8.72,956,8.687,549
2024-01-02,8.61,8.66,8.37,8.54,1923,8.489,1209
2024-01-03,8.45,8.61,8.05,8.05,1818,8.227,1028
2024-01-04,8.09,8.42,7.8,7.86,2600,7.907,1153
2024-01-05,7.84,8.04,7.62,7.74,1846,7.743,847
2024-01-08,7.75,7.85,7.6,7.62,1498,7.671,790
2024-01-09,7.58,8.09,7.51,7.9,1829,7.772,929
2024-01-10,7.82,7.92,7.64,7.79,1418,7.724,543
2024-01-11,7.74,7.75,7.44,7.51,1372,7.534,700
2024-01-12,7.66,7.66,7.27,7.32,988,7.357,606
2024-01-16,7.2,7.28,6.77,6.87,2761,6.939,1288
2024-01-17,6.81,7.09,6.72,6.99,1248,6.945,855
2024-01-18,6.58,6.73,5.12,5.85,16337,5.625,7037
2024-01-19,5.81,6.07,5.67,6.0,5117,5.958,3052
2024-01-22,6.02,6.11,5.91,6.08,2381,6.014,1296
2024-01-23,6.21,6.36,6.07,6.25,5026,6.198,1952
2024-01-24,6.33,6.33,5.62,5.73,4116,5.885,1646
2024-01-25,5.83,5.87,5.35,5.58,2954,5.531,1734
2024-01-26,6.37,7.18,6.23,6.74,15699,6.768,7026
2024-01-29,6.7,7.29,6.7,7.15,5624,7.071,2725
2024-01-30,7.09,7.09,6.77,6.9,1946,6.928,1309
2024-01-31,6.86,7.01,6.75,6.8,2115,6.862,1308
2024-02-01,6.84,7.27,6.78,7.25,1517,6.987,891
2024-02-02,7.06,7.39,6.99,7.27,1544,7.246,780
2024-02-05,7.13,7.13,6.59,6.59,1440,6.861,843
2024-02-06,6.56,6.95,6.45,6.79,1954,6.782,1106
2024-02-07,6.85,6.88,6.53,6.58,1601,6.637,823
2024-02-08,6.53,6.55,6.34,6.41,1404,6.436,791
2024-02-09,6.48,6.94,6.4,6.92,1356,6.71,855
2024-02-12,6.93,7.3,6.91,7.27,1280,7.159,786
2024-02-13,6.95,7.19,6.62,6.7,1599,6.808,1043
2024-02-14,6.75,6.89,6.69,6.82,688,6.779,478
2024-02-15,6.87,7.04,6.74,7.03,850,6.931,615
2024-02-16,6.95,7.13,6.8,6.93,760,6.997,425
2024-02-20,6.69,7.0,6.69,6.98,716,6.881,444
2024-02-21,6.94,7.0,6.58,6.72,873,6.751,459
2024-02-22,6.67,6.89,6.63,6.7,843,6.728,539
