date,open,high,low,close,volume,average,barCount
2025-02-19 04:00:00,48.73,49.0,48.73,49.0,2,48.865,2
2025-02-19 05:00:00,44.8,44.8,44.8,44.8,1,44.8,1
2025-02-19 06:00:00,45.1,45.1,45.1,45.1,1,45.1,1
2025-02-19 07:00:00,45.1,45.1,45.1,45.1,0,45.1,0
2025-02-19 08:00:00,45.1,45.1,45.1,45.1,0,45.1,0
2025-02-19 09:00:00,43.84,44.4981,43.65,44.395,331,44.32539,80
2025-02-19 10:00:00,44.47,44.735,44.42,44.45,270,44.6094,143
2025-02-19 11:00:00,44.47,44.6,44.455,44.47,134,44.51973,83
2025-02-19 12:00:00,44.39,44.46,44.25,44.405,107,44.36677,61
2025-02-19 13:00:00,44.42,44.5,44.31,44.5,86,44.40386,76
2025-02-19 14:00:00,44.46,44.69,44.38,44.65,182,44.54337,103
2025-02-19 15:00:00,44.67,44.74,44.48,44.54,1041,44.5842,616
2025-02-19 16:00:00,44.54,44.54,44.54,44.54,880,44.54,5
2025-02-19 17:00:00,44.54,44.54,44.54,44.54,0,44.54,0
2025-02-19 18:00:00,44.54,44.54,44.54,44.54,0,44.54,0
2025-02-19 19:00:00,44.54,44.54,44.54,44.54,0,44.54,0
2025-02-20 04:00:00,45.15,45.15,45.15,45.15,1,45.15,1
2025-02-20 05:00:00,44.13,44.13,44.13,44.13,1,44.13,1
2025-02-20 06:00:00,45.18,45.18,45.18,45.18,2,45.18,2
2025-02-20 07:00:00,45.18,45.18,45.18,45.18,0,45.18,0
2025-02-20 08:00:00,45.18,45.18,45.18,45.18,0,45.18,0
2025-02-20 09:00:00,44.57,44.755,44.24,44.54,340,44.37702,77
2025-02-20 10:00:00,44.475,44.475,44.015,44.03,175,44.27858,126
2025-02-20 11:00:00,44.04,44.09,43.61,43.61,184,43.87682,133
2025-02-20 12:00:00,43.62,43.99,43.62,43.915,145,43.87214,115
2025-02-20 13:00:00,43.95,43.99,43.44,43.45,251,43.80771,170
2025-02-20 14:00:00,43.48,43.66,43.471,43.55,183,43.56306,150
2025-02-20 15:00:00,43.55,43.96,43.52,43.89,1012,43.85034,749
2025-02-20 16:00:00,43.9,43.9,43.9,43.9,1060,43.9,4
2025-02-20 17:00:00,43.9,43.9,43.9,43.9,0,43.9,0
2025-02-20 18:00:00,43.9,43.9,43.9,43.9,0,43.9,0
2025-02-20 19:00:00,43.9,43.9,43.9,43.9,0,43.9,0
2025-02-21 09:00:00,43.85,44.03,43.44,43.82,49,43.83158,14
2025-02-21 10:00:00,43.77,43.86,43.34,43.375,205,43.61693,163
2025-02-21 11:00:00,43.25,43.37,42.995,43.275,305,43.13665,181
2025-02-21 12:00:00,43.32,43.4,43.1,43.12,138,43.22733,123
2025-02-21 13:00:00,43.09,43.09,42.46,42.46,243,42.69312,149
2025-02-21 14:00:00,42.49,42.67,42.38,42.55,255,42.55614,208
2025-02-21 15:00:00,42.545,42.905,42.49,42.74,812,42.76267,570
2025-02-21 16:00:00,42.71,42.71,42.71,42.71,1107,42.71,5
2025-02-21 17:00:00,42.71,42.71,42.71,42.71,0,42.71,0
2025-02-21 18:00:00,42.71,42.71,42.71,42.71,0,42.71,0
2025-02-21 19:00:00,42.71,42.71,42.71,42.71,0,42.71,0
