date,open,high,low,close,volume,average,barCount
2024-06-04,15.28,15.76,15.21,15.45,3277,15.4818,1025
2024-06-05,15.63,16.16,15.3,16.12,8847,15.67085,2609
2024-06-06,15.85,15.91,15.34,15.36,5454,15.64801,1295
2024-06-07,15.52,15.67,13.61,14.49,7491,15.08307,1185
2024-06-10,14.35,14.67,14.25,14.3,1246,14.42697,338
2024-06-11,13.23,13.23,12.4,12.93,5018,12.89812,1039
2024-06-12,13.81,14.04,13.01,13.18,6974,13.58552,877
2024-06-13,13.14,13.16,12.4,12.8,4687,12.68614,596
2024-06-14,13.08,13.08,11.92,12.21,6719,12.41785,884
2024-06-17,13.11,13.44,12.65,13.3,7275,13.06488,916
2024-06-18,12.06,12.41,11.89,12.28,4753,12.115,870
2024-06-20,13.14,13.16,12.72,13.08,4765,12.98599,710
2024-06-21,12.59,13.06,12.46,13.06,3442,12.80746,751
2024-06-24,11.39,11.54,10.87,11.29,9957,11.30191,1597
2024-06-25,11.8,12.17,11.69,12.07,8291,11.97716,965
2024-06-26,11.82,12.04,11.41,12.04,6437,11.75281,812
2024-06-27,12.29,12.52,12.23,12.32,7637,12.36271,1069
2024-06-28,12.28,12.51,11.66,11.72,6689,11.98759,818
2024-07-01,12.44,12.65,12.28,12.43,6310,12.44349,761
2024-07-02,12.3,12.33,11.88,12.01,5034,12.0543,830
2024-07-03,11.22,11.5,11.13,11.28,5123,11.24635,833
2024-07-05,8.98,9.21,8.75,9.12,17398,9.0135,3332
2024-07-08,9.48,9.49,8.55,9.2,8757,9.09705,1883
2024-07-09,9.58,9.84,9.4,9.59,7216,9.55986,1122
2024-07-10,9.82,10.11,9.72,9.85,10551,9.8844,1415
2024-07-11,10.3,10.33,9.75,9.83,10065,9.99639,1614
2024-07-12,9.72,10.17,9.72,9.89,7756,9.97225,1096
2024-07-15,11.4,11.91,11.28,11.78,25729,11.57954,2781
2024-07-16,11.8,12.36,11.54,12.23,12746,11.95393,1982
2024-07-17,12.01,12.22,11.48,11.81,10124,11.84717,1984
2024-07-18,12.26,12.3,11.44,11.71,13181,11.85584,1848
2024-07-19,11.7,12.7,11.69,12.56,14326,12.29734,2205
2024-07-22,12.29,12.4,11.88,12.34,12157,12.12409,2251
2024-07-23,12.29,12.35,11.53,12.01,28461,11.99526,5319
2024-07-24,12.06,12.08,11.3,11.33,15867,11.68572,2564
2024-07-25,9.88,10.04,9.51,9.73,21583,9.83008,3981
2024-07-26,10.41,10.72,10.28,10.66,9365,10.49881,2061
2024-07-29,11.25,11.25,10.49,10.86,12611,10.90584,3414
2024-07-30,11.11,11.17,10.51,10.59,17359,10.83102,3837
2024-07-31,10.99,11.1,10.42,10.58,13741,10.81496,2026
2024-08-01,9.98,10.09,9.3,9.67,13771,9.66582,3454
2024-08-02,9.73,9.97,8.74,8.87,13595,9.15864,2387
2024-08-05,4.1,5.99,4.03,5.32,64022,5.2704,9835
2024-08-06,5.53,5.99,5.38,5.71,31524,5.78423,4888
2024-08-07,5.57,5.68,4.97,5.04,41950,5.30947,5550
2024-08-08,5.53,6.15,5.31,6.04,27207,5.81932,3659
2024-08-09,6.22,6.41,5.91,6.1,15439,6.10592,3042
2024-08-12,6.52,6.69,6.08,6.42,18362,6.42936,3849
2024-08-13,6.31,6.75,6.25,6.64,24633,6.53588,5009
2024-08-14,6.68,6.72,6.25,6.45,17532,6.40519,2261
2024-08-15,6.4,6.46,5.76,5.83,31037,6.11267,4729
2024-08-16,6.15,6.24,5.88,6.22,16925,6.07815,2674
2024-08-19,6.07,6.22,5.91,6.12,10942,6.02512,2132
2024-08-20,6.28,6.32,5.86,6.08,14757,6.04787,2592
2024-08-21,5.99,6.32,5.78,6.3,23016,6.10823,2748
2024-08-22,6.21,6.21,6.01,6.09,10546,6.09114,1705
2024-08-23,6.35,6.8,6.22,6.78,21481,6.53707,3123
2024-08-26,6.67,6.69,6.38,6.41,14917,6.563,2830
2024-08-27,6.14,6.14,5.83,5.95,28898,5.95346,4646
2024-08-28,5.65,5.76,5.34,5.57,22331,5.56316,4521
2024-08-29,5.82,5.96,5.58,5.68,13226,5.78113,2945
2024-08-30,5.74,5.74,5.21,5.56,30332,5.45518,5448
2024-09-03,5.57,5.57,5.22,5.26,19513,5.3205,2715
2024-09-04,5.07,5.47,5.03,5.32,26329,5.1676,2776
2024-09-05,5.06,5.12,4.84,4.92,18547,4.98048,2856
2024-09-06,5.06,5.07,4.24,4.3,42521,4.57997,5200
2024-09-09,4.67,4.84,4.51,4.83,17344,4.69764,2143
2024-09-10,4.78,4.99,4.68,4.95,12459,4.80789,1833
2024-09-11,4.74,4.9,4.5,4.77,16684,4.6997,2737
2024-09-12,4.8,4.88,4.65,4.86,15101,4.77926,2266
2024-09-13,4.79,5.15,4.78,5.12,22768,5.0141,3064
2024-09-16,4.61,4.63,4.45,4.54,22414,4.53474,3402
2024-09-17,4.66,4.95,4.59,4.78,17934,4.78056,2741
2024-09-18,4.61,4.83,4.51,4.62,20576,4.63077,3435
