date,open,high,low,close,volume,average,barCount
2024-05-24 00:00:00,8.24,8.345,7.85,8.14,5405,8.07918,2946
2024-05-28 00:00:00,8.32,8.41,7.93,8.32,4411,8.18628,2695
2024-05-29 00:00:00,8.12,8.19,7.94,8.02,9834,8.04334,2774
2024-05-30 00:00:00,8.09,8.17,7.705,7.78,4783,7.96504,2666
2024-05-31 00:00:00,7.84,8.02,7.64,7.9,5313,7.82719,2966
2024-06-03 00:00:00,8.06,8.36,7.68,7.92,6790,7.92543,3480
2024-06-04 00:00:00,7.85,8.75,7.76,8.3,15893,8.23124,4017
2024-06-05 00:00:00,7.7,8.3,7.4501,8.07,8102,7.97929,3819
2024-06-06 00:00:00,8.07,8.11,7.8,8.095,7935,8.01787,3770
2024-06-07 00:00:00,7.94,8.31,7.82,8.1,5610,8.15214,2666
2024-06-10 00:00:00,7.95,8.49,7.81,8.47,3776,8.29511,2407
2024-06-11 00:00:00,8.38,8.84,8.25,8.68,4730,8.55538,2996
2024-06-12 00:00:00,8.94,9.96,8.93,9.46,6338,9.47393,3358
2024-06-13 00:00:00,9.44,9.84,9.21,9.29,4503,9.44216,2808
2024-06-14 00:00:00,9.16,9.22,8.37,8.77,8246,8.66976,3855
2024-06-17 00:00:00,8.69,9.03,8.65,8.86,3025,8.84397,1957
2024-06-18 00:00:00,8.84,8.915,8.34,8.4,3480,8.40396,2162
2024-06-20 00:00:00,8.36,8.4,7.92,7.93,7942,8.12373,4409
2024-06-21 00:00:00,7.98,8.65,7.98,8.52,7000,8.33618,4043
2024-06-24 00:00:00,8.55,8.79,8.11,8.45,7309,8.40611,4182
2024-06-25 00:00:00,8.39,8.48,7.86,7.86,6282,8.1718,3080
2024-06-26 00:00:00,7.84,7.95,7.3,7.31,13148,7.6627,4852
2024-06-27 00:00:00,7.35,7.75,7.0,7.54,14664,7.32867,5310
2024-06-28 00:00:00,7.63,8.19,7.45,8.01,9015,7.90189,4545
2024-07-01 00:00:00,7.97,8.11,7.74,7.76,5974,7.88874,3545
2024-07-02 00:00:00,7.85,7.85,7.41,7.6,5587,7.54306,3225
2024-07-03 00:00:00,7.66,7.83,7.4275,7.48,2292,7.56396,1186
2024-07-05 00:00:00,7.48,7.555,7.25,7.52,4646,7.41247,2357
2024-07-08 00:00:00,7.6,7.92,7.52,7.9,4071,7.77438,2464
2024-07-09 00:00:00,7.9,8.14,7.74,8.05,1949,8.01873,1260
2024-07-10 00:00:00,8.13,8.65,7.96,8.65,3090,8.41615,1659
2024-07-11 00:00:00,8.89,9.24,8.75,8.77,5488,9.00262,3391
2024-07-12 00:00:00,8.92,9.62,8.68,8.78,10154,9.11286,2753
2024-07-15 00:00:00,8.86,9.28,8.79,9.0,6850,9.02734,3880
2024-07-16 00:00:00,9.28,9.56,9.105,9.22,9476,9.28279,4643
2024-07-17 00:00:00,9.02,9.14,8.595,8.68,6372,8.72751,2977
2024-07-18 00:00:00,8.72,8.98,8.27,8.33,4770,8.48972,2567
2024-07-19 00:00:00,8.35,8.53,8.23,8.35,6979,8.34876,2328
2024-07-22 00:00:00,8.42,8.47,7.97,8.31,6233,8.26618,2881
2024-07-23 00:00:00,8.27,8.78,8.27,8.74,2301,8.57528,1486
2024-07-24 00:00:00,8.64,9.46,8.595,9.0,5531,9.09522,3016
2024-07-25 00:00:00,9.08,9.99,9.05,9.66,4946,9.66021,2987
2024-07-26 00:00:00,9.85,9.85,9.19,9.24,3642,9.34361,2260
2024-07-29 00:00:00,9.24,9.58,9.1659,9.2,3330,9.26749,2070
2024-07-30 00:00:00,9.14,9.37,8.98,9.09,2780,9.17567,1582
2024-07-31 00:00:00,9.15,9.61,8.9,9.16,2128,9.24752,1496
2024-08-01 00:00:00,9.3,9.68,9.2,9.45,5472,9.48824,3267
2024-08-02 00:00:00,9.07,9.22,8.59,8.91,7651,8.87748,4474
2024-08-05 00:00:00,8.27,8.42,8.03,8.39,3461,8.28207,2305
2024-08-06 00:00:00,8.8,8.8,7.77,7.94,5014,8.01059,3059
2024-08-07 00:00:00,8.13,8.19,7.5,7.71,4637,7.78175,2401
2024-08-08 00:00:00,7.86,8.03,7.59,7.99,2871,7.90811,1792
2024-08-09 00:00:00,7.98,8.04,7.775,7.8,1957,7.86462,1312
2024-08-12 00:00:00,7.83,7.985,7.6,7.82,2359,7.80836,1362
2024-08-13 00:00:00,7.98,8.15,7.9,8.02,3029,8.0092,1888
2024-08-14 00:00:00,8.05,8.08,7.54,7.645,2590,7.72517,1369
2024-08-15 00:00:00,7.85,8.24,7.7737,8.17,3710,8.06166,2213
2024-08-16 00:00:00,8.16,8.28,8.01,8.04,1920,8.10791,1111
2024-08-19 00:00:00,8.08,8.5,7.9807,8.5,2461,8.29345,1503
2024-08-20 00:00:00,8.5,8.78,8.33,8.71,1528,8.62117,960
2024-08-21 00:00:00,8.78,9.04,8.5901,8.9,3069,8.85595,1907
2024-08-22 00:00:00,8.91,8.97,8.4,8.47,1648,8.56359,1005
2024-08-23 00:00:00,8.57,8.88,8.45,8.855,1691,8.78819,1073
